Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 26.33 , 25.93 , 26.27 , 26.00 
3 , 18 , 2010 , 26.21 , 25.82 , 26.01 , 26.20 
3 , 19 , 2010 , 26.33 , 25.77 , 26.28 , 25.86 
3 , 22 , 2010 , 26.10 , 25.73 , 25.80 , 26.02 
3 , 23 , 2010 , 26.14 , 25.85 , 26.00 , 26.05 
3 , 24 , 2010 , 25.93 , 25.65 , 25.89 , 25.65 
3 , 25 , 2010 , 25.99 , 25.61 , 25.75 , 25.69 
3 , 26 , 2010 , 26.01 , 25.67 , 25.71 , 25.74 
3 , 29 , 2010 , 26.04 , 25.75 , 25.84 , 25.99 
3 , 30 , 2010 , 27.24 , 26.74 , 26.93 , 27.17 
3 , 31 , 2010 , 27.10 , 26.77 , 27.05 , 26.84 
4 , 1 , 2010 , 27.20 , 26.89 , 26.92 , 27.08 
4 , 5 , 2010 , 27.21 , 27.00 , 27.18 , 27.17 
4 , 6 , 2010 , 27.13 , 26.98 , 27.09 , 27.06 
4 , 7 , 2010 , 27.09 , 26.80 , 26.95 , 27.01 
4 , 8 , 2010 , 27.04 , 26.73 , 27.00 , 26.82 
4 , 9 , 2010 , 26.99 , 26.76 , 26.76 , 26.98 
4 , 12 , 2010 , 27.05 , 26.88 , 27.03 , 26.99 
4 , 13 , 2010 , 26.77 , 26.52 , 26.62 , 26.61 
4 , 14 , 2010 , 27.21 , 26.51 , 26.61 , 27.17 
4 , 15 , 2010 , 27.40 , 27.04 , 27.11 , 27.24 
4 , 16 , 2010 , 27.25 , 26.72 , 27.20 , 26.82 
4 , 19 , 2010 , 26.88 , 26.52 , 26.68 , 26.85 
4 , 20 , 2010 , 27.34 , 27.01 , 27.15 , 27.15 
4 , 21 , 2010 , 27.64 , 27.02 , 27.11 , 27.37 
4 , 22 , 2010 , 28.61 , 27.61 , 28.01 , 28.35 
4 , 23 , 2010 , 28.70 , 28.05 , 28.42 , 28.69 
4 , 26 , 2010 , 28.72 , 28.43 , 28.72 , 28.55 
4 , 27 , 2010 , 28.60 , 27.91 , 28.48 , 27.97 
4 , 28 , 2010 , 28.29 , 27.95 , 28.12 , 28.05 
4 , 29 , 2010 , 28.65 , 28.20 , 28.20 , 28.56 
4 , 30 , 2010 , 28.72 , 28.21 , 28.67 , 28.31 
5 , 3 , 2010 , 28.87 , 28.15 , 28.23 , 28.71 
5 , 4 , 2010 , 28.38 , 27.60 , 28.38 , 27.92 
5 , 5 , 2010 , 28.05 , 27.58 , 27.66 , 27.70 
5 , 6 , 2010 , 27.93 , 25.30 , 27.54 , 26.96 
5 , 7 , 2010 , 27.33 , 26.61 , 27.03 , 26.81 
5 , 10 , 2010 , 28.30 , 27.58 , 27.62 , 28.27 
5 , 11 , 2010 , 28.37 , 27.87 , 27.98 , 28.29 
5 , 12 , 2010 , 29.40 , 28.55 , 28.63 , 29.36 
5 , 13 , 2010 , 29.36 , 28.84 , 29.36 , 28.94 
5 , 14 , 2010 , 28.82 , 28.17 , 28.68 , 28.56 
5 , 17 , 2010 , 28.72 , 27.94 , 28.56 , 28.35 
5 , 18 , 2010 , 28.62 , 27.80 , 28.60 , 27.86 
5 , 19 , 2010 , 27.71 , 26.68 , 27.69 , 27.12 
5 , 20 , 2010 , 26.98 , 26.03 , 26.56 , 26.38 
5 , 21 , 2010 , 27.16 , 25.93 , 26.03 , 26.84 
5 , 24 , 2010 , 26.80 , 26.42 , 26.65 , 26.45 
5 , 25 , 2010 , 26.54 , 25.74 , 25.88 , 26.49 
5 , 26 , 2010 , 26.94 , 26.38 , 26.85 , 26.44 
5 , 27 , 2010 , 27.06 , 26.59 , 26.83 , 27.04 
5 , 28 , 2010 , 27.11 , 26.57 , 26.96 , 26.66 
6 , 1 , 2010 , 26.99 , 26.30 , 26.39 , 26.46 
6 , 2 , 2010 , 27.29 , 26.39 , 26.55 , 27.28 
6 , 3 , 2010 , 27.63 , 27.26 , 27.31 , 27.37 
6 , 4 , 2010 , 26.93 , 26.02 , 26.88 , 26.13 
6 , 7 , 2010 , 26.18 , 25.55 , 26.18 , 25.57 
6 , 8 , 2010 , 25.84 , 25.29 , 25.57 , 25.75 
6 , 9 , 2010 , 26.13 , 25.49 , 25.86 , 25.59 
6 , 10 , 2010 , 26.45 , 25.92 , 25.97 , 26.41 
6 , 11 , 2010 , 26.44 , 26.10 , 26.24 , 26.43 
6 , 14 , 2010 , 26.97 , 26.49 , 26.73 , 26.64 
6 , 15 , 2010 , 27.34 , 26.81 , 26.95 , 27.33 
6 , 16 , 2010 , 27.44 , 27.07 , 27.17 , 27.36 
6 , 17 , 2010 , 27.45 , 26.88 , 27.43 , 27.25 
6 , 18 , 2010 , 27.46 , 27.24 , 27.30 , 27.35 
6 , 21 , 2010 , 27.77 , 27.03 , 27.57 , 27.22 
6 , 22 , 2010 , 27.43 , 26.60 , 27.19 , 26.64 
6 , 23 , 2010 , 26.82 , 26.32 , 26.72 , 26.58 
6 , 24 , 2010 , 26.49 , 25.97 , 26.49 , 26.05 
6 , 25 , 2010 , 26.38 , 25.92 , 26.06 , 26.27 
6 , 28 , 2010 , 26.44 , 25.95 , 26.25 , 26.08 
6 , 29 , 2010 , 25.82 , 25.06 , 25.68 , 25.25 
6 , 30 , 2010 , 25.50 , 24.86 , 25.16 , 24.94 
7 , 1 , 2010 , 25.12 , 24.48 , 25.04 , 24.63 
7 , 2 , 2010 , 24.82 , 24.25 , 24.72 , 24.35 
7 , 6 , 2010 , 24.76 , 23.96 , 24.76 , 24.12 
7 , 7 , 2010 , 25.04 , 24.05 , 24.12 , 25.00 
7 , 8 , 2010 , 25.29 , 24.91 , 25.00 , 25.23 
7 , 9 , 2010 , 25.39 , 25.07 , 25.25 , 25.35 
