Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 33.84 , 33.53 , 33.79 , 33.75 
3 , 18 , 2010 , 33.85 , 33.52 , 33.69 , 33.78 
3 , 19 , 2010 , 33.98 , 33.48 , 33.81 , 33.64 
3 , 22 , 2010 , 34.19 , 33.42 , 33.47 , 33.95 
3 , 23 , 2010 , 34.10 , 33.73 , 34.00 , 34.01 
3 , 24 , 2010 , 34.43 , 33.87 , 33.91 , 34.39 
3 , 25 , 2010 , 35.50 , 34.42 , 34.49 , 35.09 
3 , 26 , 2010 , 35.60 , 34.85 , 34.89 , 35.31 
3 , 29 , 2010 , 35.42 , 34.97 , 35.28 , 35.16 
3 , 30 , 2010 , 35.20 , 34.76 , 35.13 , 35.10 
3 , 31 , 2010 , 35.20 , 34.81 , 35.07 , 34.91 
4 , 1 , 2010 , 35.59 , 35.01 , 35.07 , 35.55 
4 , 5 , 2010 , 35.55 , 35.07 , 35.28 , 35.22 
4 , 6 , 2010 , 35.61 , 35.10 , 35.24 , 35.47 
4 , 7 , 2010 , 35.49 , 35.06 , 35.39 , 35.32 
4 , 8 , 2010 , 35.75 , 35.14 , 35.28 , 35.67 
4 , 9 , 2010 , 36.88 , 35.64 , 35.82 , 36.22 
4 , 12 , 2010 , 36.33 , 35.80 , 36.14 , 35.89 
4 , 13 , 2010 , 36.06 , 35.71 , 35.87 , 35.84 
4 , 14 , 2010 , 36.21 , 35.77 , 35.89 , 36.20 
4 , 15 , 2010 , 36.51 , 35.86 , 36.08 , 36.40 
4 , 16 , 2010 , 36.51 , 35.68 , 36.22 , 35.83 
4 , 19 , 2010 , 36.17 , 35.58 , 35.80 , 36.17 
4 , 20 , 2010 , 36.65 , 36.28 , 36.40 , 36.54 
4 , 21 , 2010 , 36.75 , 36.35 , 36.39 , 36.56 
4 , 22 , 2010 , 36.87 , 36.12 , 36.30 , 36.78 
4 , 23 , 2010 , 36.85 , 36.49 , 36.80 , 36.79 
4 , 26 , 2010 , 37.14 , 36.67 , 36.76 , 37.04 
4 , 27 , 2010 , 36.82 , 36.16 , 36.78 , 36.32 
4 , 28 , 2010 , 36.55 , 35.96 , 36.52 , 36.29 
4 , 29 , 2010 , 37.39 , 36.50 , 36.50 , 37.22 
4 , 30 , 2010 , 37.49 , 36.60 , 37.19 , 36.84 
5 , 3 , 2010 , 37.98 , 36.84 , 36.95 , 37.56 
5 , 4 , 2010 , 37.30 , 36.32 , 37.29 , 36.59 
5 , 5 , 2010 , 36.56 , 35.08 , 36.43 , 35.34 
5 , 6 , 2010 , 35.55 , 31.00 , 35.16 , 34.01 
5 , 7 , 2010 , 34.35 , 32.77 , 33.86 , 33.41 
5 , 10 , 2010 , 35.63 , 34.56 , 34.83 , 35.29 
5 , 11 , 2010 , 36.25 , 35.14 , 35.52 , 35.76 
5 , 12 , 2010 , 36.21 , 34.82 , 34.98 , 35.13 
5 , 13 , 2010 , 35.53 , 34.74 , 35.18 , 34.75 
5 , 14 , 2010 , 34.78 , 33.83 , 34.66 , 34.06 
5 , 17 , 2010 , 34.34 , 33.29 , 34.22 , 34.20 
5 , 18 , 2010 , 34.64 , 33.52 , 34.36 , 33.73 
5 , 19 , 2010 , 33.80 , 33.09 , 33.47 , 33.39 
5 , 20 , 2010 , 32.96 , 31.99 , 32.76 , 31.99 
5 , 21 , 2010 , 32.87 , 31.40 , 31.40 , 32.87 
5 , 24 , 2010 , 32.99 , 32.11 , 32.56 , 32.48 
5 , 25 , 2010 , 32.37 , 31.21 , 31.58 , 32.32 
5 , 26 , 2010 , 33.85 , 32.14 , 32.51 , 33.07 
5 , 27 , 2010 , 34.37 , 33.48 , 33.60 , 34.37 
5 , 28 , 2010 , 34.05 , 33.24 , 33.70 , 33.42 
6 , 1 , 2010 , 33.87 , 32.85 , 33.06 , 33.33 
6 , 2 , 2010 , 34.79 , 33.46 , 33.62 , 34.74 
6 , 3 , 2010 , 35.10 , 34.31 , 34.92 , 34.71 
6 , 4 , 2010 , 34.35 , 33.44 , 34.06 , 33.69 
6 , 7 , 2010 , 34.07 , 33.01 , 33.70 , 33.04 
6 , 8 , 2010 , 33.32 , 32.41 , 33.03 , 33.15 
6 , 9 , 2010 , 33.82 , 32.83 , 33.30 , 32.94 
6 , 10 , 2010 , 34.23 , 33.45 , 33.46 , 34.11 
6 , 11 , 2010 , 34.26 , 33.58 , 33.85 , 34.24 
6 , 14 , 2010 , 34.57 , 33.92 , 34.49 , 33.93 
6 , 15 , 2010 , 35.00 , 34.11 , 34.11 , 34.99 
6 , 16 , 2010 , 34.93 , 34.48 , 34.79 , 34.79 
6 , 17 , 2010 , 35.11 , 34.60 , 34.80 , 35.07 
6 , 18 , 2010 , 35.35 , 34.92 , 35.19 , 35.15 
