Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 56.23 , 55.58 , 56.15 , 55.96 
3 , 18 , 2010 , 56.23 , 55.75 , 55.90 , 55.93 
3 , 19 , 2010 , 56.16 , 55.17 , 55.83 , 56.00 
3 , 22 , 2010 , 56.60 , 55.35 , 55.56 , 56.46 
3 , 23 , 2010 , 56.27 , 54.95 , 56.27 , 55.37 
3 , 24 , 2010 , 56.42 , 55.16 , 55.22 , 55.53 
3 , 25 , 2010 , 56.14 , 55.41 , 55.77 , 55.44 
3 , 26 , 2010 , 55.62 , 54.27 , 55.58 , 54.51 
3 , 29 , 2010 , 55.19 , 54.57 , 54.77 , 54.95 
3 , 30 , 2010 , 55.14 , 54.18 , 55.14 , 54.45 
3 , 31 , 2010 , 54.56 , 53.83 , 54.30 , 54.20 
4 , 1 , 2010 , 54.77 , 53.89 , 54.43 , 54.41 
4 , 5 , 2010 , 56.10 , 54.43 , 54.79 , 55.70 
4 , 6 , 2010 , 56.55 , 55.02 , 55.43 , 56.27 
4 , 7 , 2010 , 56.32 , 55.02 , 56.19 , 55.18 
4 , 8 , 2010 , 55.52 , 54.88 , 55.25 , 55.40 
4 , 9 , 2010 , 56.68 , 55.14 , 55.70 , 56.57 
4 , 12 , 2010 , 56.93 , 56.30 , 56.93 , 56.32 
4 , 13 , 2010 , 58.16 , 56.03 , 56.27 , 58.00 
4 , 14 , 2010 , 58.42 , 56.65 , 58.30 , 56.84 
4 , 15 , 2010 , 57.10 , 55.53 , 56.61 , 55.65 
4 , 16 , 2010 , 56.15 , 54.83 , 55.72 , 54.93 
4 , 19 , 2010 , 54.94 , 54.02 , 54.61 , 54.72 
4 , 20 , 2010 , 56.26 , 54.67 , 55.15 , 56.26 
4 , 21 , 2010 , 57.05 , 55.74 , 56.10 , 56.84 
4 , 22 , 2010 , 58.75 , 56.24 , 56.49 , 58.43 
4 , 23 , 2010 , 59.41 , 58.08 , 58.36 , 59.34 
4 , 26 , 2010 , 60.93 , 58.98 , 59.26 , 60.15 
4 , 27 , 2010 , 60.47 , 58.50 , 59.59 , 58.58 
4 , 28 , 2010 , 59.52 , 58.03 , 59.16 , 58.27 
4 , 29 , 2010 , 60.88 , 59.23 , 59.38 , 60.21 
4 , 30 , 2010 , 60.39 , 58.60 , 60.09 , 58.70 
5 , 3 , 2010 , 60.07 , 58.92 , 58.97 , 59.91 
5 , 4 , 2010 , 59.79 , 58.20 , 59.79 , 58.74 
5 , 5 , 2010 , 59.31 , 57.57 , 58.09 , 58.24 
5 , 6 , 2010 , 58.49 , 53.30 , 57.96 , 56.52 
5 , 7 , 2010 , 57.84 , 55.34 , 56.80 , 55.58 
5 , 10 , 2010 , 60.01 , 57.56 , 58.37 , 60.00 
5 , 11 , 2010 , 60.77 , 58.96 , 59.01 , 59.94 
5 , 12 , 2010 , 60.45 , 59.50 , 59.85 , 59.85 
5 , 13 , 2010 , 60.04 , 58.93 , 59.88 , 59.08 
5 , 14 , 2010 , 58.75 , 57.15 , 58.68 , 57.46 
5 , 17 , 2010 , 58.29 , 55.95 , 57.69 , 57.39 
5 , 18 , 2010 , 58.19 , 55.68 , 58.00 , 55.93 
5 , 19 , 2010 , 56.32 , 54.32 , 55.38 , 55.31 
5 , 20 , 2010 , 54.55 , 52.77 , 54.55 , 52.92 
5 , 21 , 2010 , 54.67 , 51.77 , 52.09 , 54.50 
5 , 24 , 2010 , 55.29 , 53.90 , 54.55 , 53.97 
5 , 25 , 2010 , 54.85 , 52.01 , 53.46 , 54.69 
5 , 26 , 2010 , 56.54 , 54.75 , 55.40 , 55.74 
5 , 27 , 2010 , 58.01 , 55.74 , 56.99 , 57.90 
5 , 28 , 2010 , 57.87 , 56.70 , 57.47 , 56.91 
6 , 1 , 2010 , 57.85 , 56.10 , 56.54 , 56.32 
6 , 2 , 2010 , 59.16 , 55.13 , 55.15 , 58.91 
6 , 3 , 2010 , 60.37 , 58.16 , 58.62 , 60.20 
6 , 4 , 2010 , 60.19 , 58.00 , 59.31 , 58.32 
