Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 50.13 , 49.74 , 50.13 , 49.86 
3 , 18 , 2010 , 50.13 , 49.65 , 49.65 , 49.74 
3 , 19 , 2010 , 50.27 , 49.38 , 49.68 , 49.74 
3 , 22 , 2010 , 49.65 , 49.08 , 49.59 , 49.32 
3 , 23 , 2010 , 49.41 , 49.08 , 49.29 , 49.38 
3 , 24 , 2010 , 49.38 , 48.90 , 49.35 , 48.96 
3 , 25 , 2010 , 49.23 , 48.81 , 49.02 , 48.90 
3 , 26 , 2010 , 49.29 , 48.84 , 49.08 , 49.26 
3 , 29 , 2010 , 49.77 , 49.26 , 49.35 , 49.77 
3 , 30 , 2010 , 49.98 , 49.11 , 49.74 , 49.20 
3 , 31 , 2010 , 49.29 , 48.93 , 49.17 , 48.96 
4 , 1 , 2010 , 49.38 , 49.05 , 49.14 , 49.23 
4 , 5 , 2010 , 49.47 , 49.05 , 49.29 , 49.26 
4 , 6 , 2010 , 49.65 , 48.90 , 49.05 , 49.65 
4 , 7 , 2010 , 49.65 , 49.05 , 49.59 , 49.11 
4 , 8 , 2010 , 49.20 , 48.63 , 49.08 , 48.72 
4 , 9 , 2010 , 48.99 , 48.39 , 48.81 , 48.99 
4 , 12 , 2010 , 49.11 , 48.78 , 48.96 , 48.78 
4 , 13 , 2010 , 48.87 , 48.57 , 48.81 , 48.66 
4 , 14 , 2010 , 48.72 , 48.51 , 48.69 , 48.63 
4 , 15 , 2010 , 48.66 , 48.21 , 48.66 , 48.39 
4 , 16 , 2010 , 48.54 , 48.00 , 48.39 , 48.03 
4 , 19 , 2010 , 48.39 , 47.82 , 47.82 , 48.21 
4 , 20 , 2010 , 49.11 , 48.33 , 48.36 , 49.05 
4 , 21 , 2010 , 49.11 , 48.75 , 48.96 , 48.90 
4 , 22 , 2010 , 48.93 , 48.30 , 48.72 , 48.63 
4 , 23 , 2010 , 48.75 , 48.07 , 48.66 , 48.75 
4 , 26 , 2010 , 48.90 , 48.45 , 48.72 , 48.72 
4 , 27 , 2010 , 48.84 , 48.03 , 48.63 , 48.03 
4 , 28 , 2010 , 50.70 , 48.45 , 48.57 , 49.92 
4 , 29 , 2010 , 50.16 , 49.50 , 49.77 , 49.59 
4 , 30 , 2010 , 50.46 , 49.59 , 49.68 , 50.34 
5 , 3 , 2010 , 50.91 , 50.25 , 50.55 , 50.79 
5 , 4 , 2010 , 51.00 , 49.92 , 50.64 , 50.13 
5 , 5 , 2010 , 50.97 , 50.07 , 50.25 , 50.28 
5 , 6 , 2010 , 50.79 , 47.70 , 50.46 , 49.44 
5 , 7 , 2010 , 49.95 , 48.33 , 49.71 , 49.65 
5 , 10 , 2010 , 50.85 , 50.04 , 50.55 , 50.70 
5 , 11 , 2010 , 51.36 , 50.22 , 50.52 , 50.76 
5 , 12 , 2010 , 51.15 , 50.43 , 50.73 , 50.94 
5 , 13 , 2010 , 51.18 , 50.43 , 50.94 , 50.58 
5 , 14 , 2010 , 50.76 , 50.16 , 50.58 , 50.34 
5 , 17 , 2010 , 50.85 , 49.83 , 50.40 , 50.79 
5 , 18 , 2010 , 51.42 , 50.76 , 50.97 , 50.82 
5 , 19 , 2010 , 50.13 , 49.23 , 50.10 , 49.47 
5 , 20 , 2010 , 49.26 , 47.91 , 48.93 , 47.91 
5 , 21 , 2010 , 48.03 , 47.25 , 47.25 , 48.00 
5 , 24 , 2010 , 48.72 , 47.73 , 47.91 , 47.91 
5 , 25 , 2010 , 47.55 , 46.41 , 47.34 , 47.46 
5 , 26 , 2010 , 47.85 , 46.98 , 47.82 , 47.13 
5 , 27 , 2010 , 47.97 , 47.32 , 47.73 , 47.94 
5 , 28 , 2010 , 48.39 , 47.73 , 48.09 , 47.88 
6 , 1 , 2010 , 47.91 , 47.04 , 47.55 , 47.10 
6 , 2 , 2010 , 47.88 , 47.13 , 47.58 , 47.88 
6 , 3 , 2010 , 48.33 , 47.79 , 48.09 , 48.15 
6 , 4 , 2010 , 47.64 , 46.74 , 47.61 , 46.83 
6 , 7 , 2010 , 47.52 , 46.74 , 46.98 , 47.01 
6 , 8 , 2010 , 48.30 , 46.71 , 46.98 , 48.30 
6 , 9 , 2010 , 48.42 , 47.61 , 48.36 , 47.79 
6 , 10 , 2010 , 48.72 , 48.15 , 48.36 , 48.72 
6 , 11 , 2010 , 48.72 , 47.94 , 48.51 , 48.51 
6 , 14 , 2010 , 48.93 , 48.48 , 48.78 , 48.63 
6 , 15 , 2010 , 49.23 , 48.66 , 48.81 , 49.23 
6 , 16 , 2010 , 49.68 , 49.02 , 49.41 , 49.56 
6 , 17 , 2010 , 50.16 , 49.35 , 49.65 , 50.13 
6 , 18 , 2010 , 50.22 , 49.56 , 50.07 , 49.92 
6 , 21 , 2010 , 50.25 , 49.53 , 50.16 , 49.77 
6 , 22 , 2010 , 49.80 , 48.84 , 49.71 , 48.96 
6 , 23 , 2010 , 49.20 , 48.45 , 49.02 , 48.66 
6 , 24 , 2010 , 49.17 , 48.33 , 48.39 , 48.45 
6 , 25 , 2010 , 48.78 , 48.15 , 48.54 , 48.51 
6 , 28 , 2010 , 49.23 , 48.36 , 48.72 , 49.02 
6 , 29 , 2010 , 48.84 , 48.15 , 48.69 , 48.45 
6 , 30 , 2010 , 48.87 , 47.85 , 48.42 , 48.00 
7 , 1 , 2010 , 48.21 , 47.61 , 48.21 , 47.91 
7 , 2 , 2010 , 48.48 , 47.88 , 47.91 , 48.18 
7 , 6 , 2010 , 48.90 , 48.27 , 48.39 , 48.66 
7 , 7 , 2010 , 50.28 , 48.63 , 48.72 , 50.25 
7 , 8 , 2010 , 50.55 , 49.74 , 50.28 , 50.16 
7 , 9 , 2010 , 50.43 , 49.92 , 50.10 , 50.37 
7 , 12 , 2010 , 50.70 , 50.10 , 50.19 , 50.67 
7 , 13 , 2010 , 50.94 , 50.31 , 50.79 , 50.52 
7 , 14 , 2010 , 50.91 , 50.25 , 50.40 , 50.88 
7 , 15 , 2010 , 51.33 , 50.58 , 50.88 , 51.24 
7 , 16 , 2010 , 51.33 , 50.46 , 51.24 , 50.61 
7 , 19 , 2010 , 51.68 , 50.70 , 50.91 , 51.51 
7 , 20 , 2010 , 51.57 , 50.79 , 51.12 , 51.42 
7 , 21 , 2010 , 51.54 , 50.37 , 51.48 , 50.70 
7 , 22 , 2010 , 51.54 , 50.91 , 51.09 , 51.30 
7 , 23 , 2010 , 51.57 , 50.55 , 51.57 , 50.82 
7 , 26 , 2010 , 51.30 , 50.67 , 50.67 , 51.30 
7 , 27 , 2010 , 52.08 , 51.15 , 51.42 , 52.08 
7 , 28 , 2010 , 52.11 , 51.60 , 52.02 , 51.93 
7 , 29 , 2010 , 52.29 , 51.48 , 52.14 , 51.51 
7 , 30 , 2010 , 51.68 , 51.00 , 51.30 , 51.30 
8 , 2 , 2010 , 52.44 , 51.72 , 51.72 , 52.11 
8 , 3 , 2010 , 52.50 , 51.99 , 52.50 , 52.11 
8 , 4 , 2010 , 52.41 , 51.75 , 52.41 , 52.11 
8 , 5 , 2010 , 52.26 , 51.75 , 51.96 , 52.23 
8 , 6 , 2010 , 52.35 , 51.75 , 52.14 , 52.26 
8 , 9 , 2010 , 52.83 , 52.32 , 52.50 , 52.68 
8 , 10 , 2010 , 53.40 , 52.26 , 52.47 , 53.07 
8 , 11 , 2010 , 51.99 , 51.33 , 51.93 , 51.33 
8 , 12 , 2010 , 51.60 , 50.88 , 50.97 , 51.30 
8 , 13 , 2010 , 51.60 , 51.00 , 51.24 , 51.03 
8 , 16 , 2010 , 51.12 , 50.28 , 50.91 , 51.09 
8 , 17 , 2010 , 52.11 , 51.24 , 51.33 , 51.72 
8 , 18 , 2010 , 51.99 , 51.33 , 51.63 , 51.78 
8 , 19 , 2010 , 51.63 , 50.58 , 51.63 , 51.12 
8 , 20 , 2010 , 51.33 , 50.73 , 50.88 , 51.18 
8 , 23 , 2010 , 51.72 , 51.18 , 51.45 , 51.18 
8 , 24 , 2010 , 51.87 , 50.76 , 50.94 , 51.63 
8 , 25 , 2010 , 51.72 , 50.85 , 51.48 , 51.48 
8 , 26 , 2010 , 51.69 , 51.09 , 51.69 , 51.24 
8 , 27 , 2010 , 52.08 , 51.09 , 51.45 , 52.08 
8 , 30 , 2010 , 52.14 , 51.45 , 52.05 , 51.45 
8 , 31 , 2010 , 51.87 , 51.03 , 51.30 , 51.54 
9 , 1 , 2010 , 52.50 , 51.84 , 51.99 , 52.32 
9 , 2 , 2010 , 52.38 , 51.66 , 52.38 , 51.84 
9 , 3 , 2010 , 52.23 , 51.59 , 51.96 , 52.05 
9 , 7 , 2010 , 52.47 , 51.90 , 52.05 , 52.02 
9 , 8 , 2010 , 52.47 , 51.99 , 52.02 , 52.17 
9 , 9 , 2010 , 52.74 , 52.20 , 52.41 , 52.62 
9 , 10 , 2010 , 52.68 , 52.26 , 52.56 , 52.59 
9 , 13 , 2010 , 53.16 , 52.68 , 52.74 , 52.98 
9 , 14 , 2010 , 53.25 , 52.68 , 52.98 , 52.98 
9 , 15 , 2010 , 53.13 , 52.62 , 52.95 , 52.74 
9 , 16 , 2010 , 53.16 , 52.53 , 53.16 , 52.71 
9 , 17 , 2010 , 53.01 , 52.41 , 52.92 , 52.53 
9 , 20 , 2010 , 53.40 , 52.56 , 52.68 , 53.34 
9 , 21 , 2010 , 53.79 , 53.07 , 53.37 , 53.37 
9 , 22 , 2010 , 54.24 , 53.43 , 53.43 , 53.94 
9 , 23 , 2010 , 54.16 , 53.13 , 53.76 , 53.28 
9 , 24 , 2010 , 54.12 , 53.58 , 53.61 , 53.97 
9 , 27 , 2010 , 53.96 , 53.40 , 53.82 , 53.70 
9 , 28 , 2010 , 54.00 , 53.46 , 53.91 , 53.82 
9 , 29 , 2010 , 53.85 , 53.34 , 53.61 , 53.58 
9 , 30 , 2010 , 53.91 , 53.07 , 53.82 , 53.13 
10 , 1 , 2010 , 53.76 , 53.19 , 53.55 , 53.49 
10 , 4 , 2010 , 53.67 , 53.04 , 53.40 , 53.25 
10 , 5 , 2010 , 53.70 , 53.13 , 53.67 , 53.22 
10 , 6 , 2010 , 53.57 , 53.01 , 53.19 , 53.10 
10 , 7 , 2010 , 53.37 , 52.74 , 53.28 , 52.89 
10 , 8 , 2010 , 53.07 , 52.69 , 52.86 , 52.92 
10 , 11 , 2010 , 53.13 , 52.71 , 52.95 , 52.86 
10 , 12 , 2010 , 52.92 , 52.59 , 52.68 , 52.74 
10 , 13 , 2010 , 52.95 , 52.62 , 52.86 , 52.68 
10 , 14 , 2010 , 52.80 , 52.53 , 52.71 , 52.74 
10 , 15 , 2010 , 53.13 , 52.52 , 52.95 , 52.77 
10 , 18 , 2010 , 53.07 , 52.73 , 52.89 , 52.95 
10 , 19 , 2010 , 53.19 , 52.71 , 52.71 , 53.01 
10 , 20 , 2010 , 53.73 , 53.10 , 53.19 , 53.37 
10 , 21 , 2010 , 53.88 , 53.25 , 53.52 , 53.46 
10 , 22 , 2010 , 53.52 , 52.89 , 53.46 , 53.34 
10 , 25 , 2010 , 53.64 , 53.25 , 53.40 , 53.31 
10 , 26 , 2010 , 53.61 , 52.95 , 53.25 , 53.58 
10 , 27 , 2010 , 53.61 , 52.89 , 53.28 , 53.61 
10 , 28 , 2010 , 54.27 , 53.61 , 54.00 , 54.21 
10 , 29 , 2010 , 54.96 , 54.03 , 54.15 , 54.63 
11 , 1 , 2010 , 55.02 , 53.79 , 54.87 , 54.15 
11 , 2 , 2010 , 54.93 , 54.42 , 54.51 , 54.81 
11 , 3 , 2010 , 55.11 , 54.45 , 54.99 , 54.87 
11 , 4 , 2010 , 55.59 , 55.05 , 55.23 , 55.59 
11 , 5 , 2010 , 55.80 , 55.14 , 55.50 , 55.47 
11 , 8 , 2010 , 55.47 , 54.96 , 55.44 , 55.29 
11 , 9 , 2010 , 54.78 , 53.91 , 54.63 , 54.15 
11 , 10 , 2010 , 54.30 , 53.49 , 54.12 , 53.64 
11 , 11 , 2010 , 53.85 , 53.40 , 53.55 , 53.61 
11 , 12 , 2010 , 53.46 , 52.86 , 53.46 , 53.37 
11 , 15 , 2010 , 53.85 , 53.22 , 53.55 , 53.22 
11 , 16 , 2010 , 53.23 , 52.50 , 53.16 , 52.83 
11 , 17 , 2010 , 53.13 , 52.65 , 53.04 , 52.77 
11 , 18 , 2010 , 53.16 , 52.65 , 52.98 , 53.07 
11 , 19 , 2010 , 53.25 , 52.56 , 52.98 , 52.83 
11 , 22 , 2010 , 53.07 , 52.50 , 52.56 , 52.98 
11 , 23 , 2010 , 52.86 , 52.35 , 52.77 , 52.71 
11 , 24 , 2010 , 53.01 , 52.68 , 53.01 , 52.98 
11 , 26 , 2010 , 52.92 , 52.53 , 52.65 , 52.56 
11 , 29 , 2010 , 52.68 , 52.05 , 52.47 , 52.53 
11 , 30 , 2010 , 52.77 , 52.05 , 52.14 , 52.65 
12 , 1 , 2010 , 53.55 , 52.77 , 53.10 , 53.34 
12 , 2 , 2010 , 53.34 , 52.95 , 53.13 , 53.28 
12 , 3 , 2010 , 53.37 , 52.80 , 53.19 , 53.37 
12 , 6 , 2010 , 53.28 , 52.95 , 53.25 , 53.04 
12 , 7 , 2010 , 53.58 , 52.20 , 53.25 , 52.41 
12 , 8 , 2010 , 52.50 , 51.57 , 52.35 , 52.08 
12 , 9 , 2010 , 52.47 , 51.84 , 52.47 , 52.32 
12 , 10 , 2010 , 52.62 , 52.17 , 52.41 , 52.59 
12 , 13 , 2010 , 52.86 , 52.44 , 52.77 , 52.62 
12 , 14 , 2010 , 53.10 , 52.71 , 52.77 , 52.98 
12 , 15 , 2010 , 53.10 , 52.62 , 52.98 , 52.65 
12 , 16 , 2010 , 53.07 , 52.60 , 53.07 , 52.98 
12 , 17 , 2010 , 53.25 , 52.71 , 52.80 , 53.22 
12 , 20 , 2010 , 53.46 , 53.07 , 53.46 , 53.19 
12 , 21 , 2010 , 53.40 , 53.19 , 53.31 , 53.31 
12 , 22 , 2010 , 53.49 , 53.19 , 53.31 , 53.28 
12 , 23 , 2010 , 53.34 , 53.04 , 53.34 , 53.31 
12 , 27 , 2010 , 53.67 , 53.07 , 53.22 , 53.40 
12 , 28 , 2010 , 53.58 , 53.19 , 53.40 , 53.58 
12 , 29 , 2010 , 53.70 , 53.28 , 53.58 , 53.49 
12 , 30 , 2010 , 53.67 , 53.37 , 53.43 , 53.40 
12 , 31 , 2010 , 53.67 , 53.34 , 53.43 , 53.43 
1 , 3 , 2011 , 53.76 , 53.31 , 53.76 , 53.58 
1 , 4 , 2011 , 54.00 , 53.28 , 53.58 , 53.85 
1 , 5 , 2011 , 53.67 , 53.10 , 53.46 , 53.31 
1 , 6 , 2011 , 53.40 , 52.89 , 53.34 , 53.22 
1 , 7 , 2011 , 53.40 , 52.92 , 53.40 , 53.37 
1 , 10 , 2011 , 53.10 , 52.08 , 53.04 , 52.74 
1 , 11 , 2011 , 53.01 , 52.50 , 52.74 , 52.92 
1 , 12 , 2011 , 53.28 , 52.92 , 53.10 , 53.13 
1 , 13 , 2011 , 53.40 , 52.92 , 53.22 , 53.40 
1 , 14 , 2011 , 53.82 , 53.10 , 53.43 , 53.76 
1 , 18 , 2011 , 54.39 , 53.67 , 53.91 , 54.03 
1 , 19 , 2011 , 54.21 , 53.79 , 54.09 , 54.00 
