Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 43.90 , 43.40 , 43.84 , 43.60 
3 , 18 , 2010 , 43.66 , 43.14 , 43.57 , 43.14 
3 , 19 , 2010 , 43.47 , 43.00 , 43.19 , 43.19 
3 , 22 , 2010 , 43.49 , 43.03 , 43.07 , 43.39 
3 , 23 , 2010 , 43.51 , 43.02 , 43.40 , 43.42 
3 , 24 , 2010 , 43.58 , 43.14 , 43.34 , 43.29 
3 , 25 , 2010 , 43.60 , 43.08 , 43.46 , 43.10 
3 , 26 , 2010 , 43.63 , 43.08 , 43.14 , 43.49 
3 , 29 , 2010 , 43.84 , 43.37 , 43.54 , 43.63 
3 , 30 , 2010 , 44.05 , 43.65 , 43.71 , 43.90 
3 , 31 , 2010 , 44.27 , 43.61 , 43.61 , 43.95 
4 , 1 , 2010 , 44.53 , 44.10 , 44.10 , 44.43 
4 , 5 , 2010 , 44.71 , 44.29 , 44.43 , 44.56 
4 , 6 , 2010 , 44.60 , 44.16 , 44.22 , 44.56 
4 , 7 , 2010 , 44.83 , 44.36 , 44.46 , 44.70 
4 , 8 , 2010 , 44.82 , 44.33 , 44.54 , 44.40 
4 , 9 , 2010 , 45.02 , 44.44 , 44.56 , 45.02 
4 , 12 , 2010 , 45.21 , 44.82 , 45.02 , 45.00 
4 , 13 , 2010 , 45.20 , 45.00 , 45.18 , 45.12 
4 , 14 , 2010 , 45.41 , 45.00 , 45.15 , 45.31 
4 , 15 , 2010 , 45.45 , 45.02 , 45.20 , 45.41 
4 , 16 , 2010 , 45.47 , 44.83 , 45.25 , 45.28 
4 , 19 , 2010 , 45.57 , 44.87 , 45.12 , 45.51 
4 , 20 , 2010 , 45.99 , 45.52 , 45.70 , 45.95 
4 , 21 , 2010 , 46.50 , 45.80 , 45.88 , 46.38 
4 , 22 , 2010 , 46.90 , 46.28 , 46.30 , 46.90 
4 , 23 , 2010 , 47.70 , 46.63 , 46.84 , 47.62 
4 , 26 , 2010 , 47.99 , 47.52 , 47.69 , 47.71 
4 , 27 , 2010 , 47.83 , 46.82 , 47.60 , 46.93 
4 , 28 , 2010 , 47.67 , 47.06 , 47.22 , 47.46 
4 , 29 , 2010 , 49.00 , 47.69 , 47.81 , 49.00 
4 , 30 , 2010 , 49.16 , 48.80 , 49.10 , 48.84 
5 , 3 , 2010 , 49.70 , 48.97 , 49.34 , 49.34 
5 , 4 , 2010 , 49.09 , 48.23 , 49.00 , 48.59 
5 , 5 , 2010 , 48.76 , 47.94 , 48.06 , 48.59 
5 , 6 , 2010 , 48.64 , 46.31 , 48.38 , 47.50 
5 , 7 , 2010 , 48.28 , 47.12 , 47.55 , 47.74 
5 , 10 , 2010 , 49.47 , 48.42 , 49.18 , 49.03 
5 , 11 , 2010 , 49.26 , 48.24 , 48.55 , 48.85 
5 , 12 , 2010 , 49.00 , 48.28 , 48.91 , 48.51 
5 , 13 , 2010 , 48.59 , 48.04 , 48.51 , 48.10 
5 , 14 , 2010 , 48.03 , 47.24 , 47.72 , 47.48 
5 , 17 , 2010 , 48.02 , 47.10 , 47.62 , 47.89 
5 , 18 , 2010 , 48.61 , 47.64 , 48.15 , 47.66 
5 , 19 , 2010 , 47.78 , 47.00 , 47.35 , 47.49 
5 , 20 , 2010 , 46.76 , 45.55 , 46.58 , 45.55 
5 , 21 , 2010 , 46.65 , 45.00 , 45.01 , 46.65 
5 , 24 , 2010 , 46.70 , 46.05 , 46.50 , 46.05 
5 , 25 , 2010 , 46.60 , 44.94 , 45.11 , 46.60 
5 , 26 , 2010 , 47.10 , 46.07 , 46.69 , 46.18 
5 , 27 , 2010 , 47.53 , 46.63 , 46.83 , 47.52 
5 , 28 , 2010 , 47.64 , 46.99 , 47.35 , 47.23 
6 , 1 , 2010 , 47.67 , 46.65 , 46.98 , 46.65 
6 , 2 , 2010 , 47.59 , 46.60 , 46.94 , 47.59 
6 , 3 , 2010 , 47.87 , 47.20 , 47.68 , 47.64 
6 , 4 , 2010 , 47.11 , 46.11 , 46.80 , 46.19 
6 , 7 , 2010 , 46.44 , 45.40 , 46.04 , 45.43 
6 , 8 , 2010 , 45.90 , 45.19 , 45.58 , 45.89 
6 , 9 , 2010 , 46.48 , 45.36 , 46.06 , 45.52 
6 , 10 , 2010 , 46.71 , 45.93 , 46.09 , 46.47 
6 , 11 , 2010 , 46.46 , 45.10 , 46.00 , 46.44 
6 , 14 , 2010 , 46.87 , 45.92 , 46.83 , 45.98 
6 , 15 , 2010 , 47.25 , 46.00 , 46.13 , 47.21 
6 , 16 , 2010 , 47.33 , 46.92 , 47.00 , 47.05 
6 , 17 , 2010 , 47.41 , 46.63 , 47.30 , 47.25 
6 , 18 , 2010 , 47.41 , 46.92 , 47.41 , 47.00 
6 , 21 , 2010 , 47.65 , 46.51 , 47.40 , 46.98 
6 , 22 , 2010 , 47.59 , 46.60 , 46.85 , 46.62 
6 , 23 , 2010 , 46.92 , 46.28 , 46.58 , 46.62 
6 , 24 , 2010 , 46.72 , 45.61 , 46.47 , 45.66 
6 , 25 , 2010 , 46.05 , 45.37 , 45.69 , 45.67 
6 , 28 , 2010 , 45.97 , 45.18 , 45.83 , 45.58 
6 , 29 , 2010 , 45.33 , 44.52 , 44.90 , 45.06 
6 , 30 , 2010 , 45.84 , 44.87 , 44.92 , 44.91 
7 , 1 , 2010 , 45.26 , 44.69 , 44.80 , 45.09 
7 , 2 , 2010 , 45.35 , 44.66 , 45.09 , 44.92 
7 , 6 , 2010 , 45.62 , 44.87 , 45.52 , 45.25 
7 , 7 , 2010 , 47.07 , 45.32 , 45.34 , 47.06 
7 , 8 , 2010 , 47.67 , 46.94 , 47.40 , 47.63 
7 , 9 , 2010 , 47.99 , 47.45 , 47.49 , 47.86 
7 , 12 , 2010 , 47.83 , 47.22 , 47.72 , 47.38 
7 , 13 , 2010 , 48.65 , 47.44 , 47.85 , 48.52 
