Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 62.38 , 61.03 , 62.15 , 61.94 
3 , 18 , 2010 , 64.30 , 60.82 , 61.69 , 63.82 
3 , 19 , 2010 , 65.84 , 64.25 , 64.35 , 65.07 
3 , 22 , 2010 , 66.33 , 64.12 , 65.21 , 64.39 
3 , 23 , 2010 , 64.53 , 62.94 , 64.37 , 63.61 
3 , 24 , 2010 , 64.17 , 63.09 , 63.31 , 63.40 
3 , 25 , 2010 , 64.26 , 63.01 , 63.90 , 63.59 
3 , 26 , 2010 , 63.91 , 63.03 , 63.81 , 63.05 
3 , 29 , 2010 , 64.38 , 63.03 , 63.30 , 64.19 
3 , 30 , 2010 , 65.15 , 63.84 , 64.25 , 64.69 
3 , 31 , 2010 , 65.21 , 64.31 , 65.13 , 64.38 
4 , 1 , 2010 , 64.84 , 64.18 , 64.47 , 64.71 
4 , 5 , 2010 , 65.57 , 64.70 , 65.11 , 65.34 
4 , 6 , 2010 , 65.81 , 64.61 , 64.87 , 64.61 
4 , 7 , 2010 , 64.58 , 62.79 , 64.31 , 63.26 
4 , 8 , 2010 , 63.21 , 61.54 , 63.05 , 62.09 
4 , 9 , 2010 , 62.05 , 60.31 , 61.94 , 61.26 
4 , 12 , 2010 , 61.64 , 61.00 , 61.18 , 61.34 
4 , 13 , 2010 , 61.40 , 59.90 , 61.07 , 60.18 
4 , 14 , 2010 , 60.00 , 58.62 , 59.79 , 58.96 
4 , 15 , 2010 , 58.90 , 56.98 , 58.73 , 58.58 
4 , 16 , 2010 , 59.35 , 58.22 , 58.36 , 59.08 
4 , 19 , 2010 , 60.77 , 58.83 , 58.89 , 60.55 
4 , 20 , 2010 , 61.49 , 59.39 , 61.49 , 59.84 
4 , 21 , 2010 , 60.02 , 58.30 , 59.75 , 58.64 
4 , 22 , 2010 , 58.56 , 57.40 , 58.35 , 58.41 
4 , 23 , 2010 , 58.32 , 57.43 , 58.29 , 57.98 
4 , 26 , 2010 , 58.41 , 56.12 , 58.29 , 56.56 
4 , 27 , 2010 , 57.02 , 55.69 , 56.31 , 55.92 
4 , 28 , 2010 , 58.19 , 55.23 , 55.43 , 57.45 
4 , 29 , 2010 , 59.93 , 57.79 , 57.99 , 59.08 
4 , 30 , 2010 , 58.14 , 53.50 , 58.08 , 53.80 
5 , 3 , 2010 , 54.90 , 53.03 , 54.59 , 53.52 
5 , 4 , 2010 , 53.53 , 51.82 , 53.24 , 52.60 
5 , 5 , 2010 , 52.90 , 50.68 , 51.01 , 52.53 
5 , 6 , 2010 , 53.34 , 49.10 , 52.40 , 51.30 
5 , 7 , 2010 , 51.52 , 49.79 , 50.89 , 50.94 
5 , 10 , 2010 , 53.00 , 50.43 , 52.68 , 51.14 
5 , 11 , 2010 , 52.81 , 50.50 , 50.67 , 52.11 
5 , 12 , 2010 , 54.06 , 51.65 , 52.31 , 54.04 
5 , 13 , 2010 , 54.21 , 53.05 , 54.21 , 53.16 
5 , 14 , 2010 , 53.18 , 52.15 , 52.78 , 53.09 
5 , 17 , 2010 , 53.69 , 52.38 , 52.97 , 53.52 
5 , 18 , 2010 , 54.40 , 52.99 , 53.68 , 53.08 
5 , 19 , 2010 , 53.72 , 52.41 , 52.80 , 53.40 
5 , 20 , 2010 , 52.78 , 51.13 , 52.36 , 51.17 
5 , 21 , 2010 , 51.57 , 50.08 , 50.60 , 51.25 
5 , 24 , 2010 , 51.72 , 50.60 , 50.99 , 51.10 
5 , 25 , 2010 , 50.87 , 49.82 , 50.13 , 50.70 
5 , 26 , 2010 , 51.68 , 50.73 , 50.86 , 50.89 
5 , 27 , 2010 , 52.03 , 51.03 , 51.94 , 51.72 
5 , 28 , 2010 , 51.84 , 51.16 , 51.80 , 51.30 
6 , 1 , 2010 , 51.72 , 50.82 , 50.92 , 51.05 
6 , 2 , 2010 , 52.41 , 50.87 , 51.11 , 52.37 
6 , 3 , 2010 , 54.56 , 52.51 , 52.51 , 54.45 
6 , 4 , 2010 , 56.34 , 53.69 , 53.70 , 54.14 
6 , 7 , 2010 , 55.48 , 52.45 , 54.36 , 53.57 
6 , 8 , 2010 , 54.28 , 52.60 , 53.73 , 53.27 
6 , 9 , 2010 , 53.90 , 52.16 , 53.40 , 52.31 
6 , 10 , 2010 , 53.33 , 52.26 , 53.16 , 52.79 
6 , 11 , 2010 , 53.28 , 51.93 , 52.36 , 52.65 
6 , 14 , 2010 , 53.89 , 52.71 , 52.92 , 53.10 
6 , 15 , 2010 , 54.08 , 53.22 , 53.34 , 54.03 
6 , 16 , 2010 , 54.95 , 53.50 , 53.54 , 54.71 
6 , 17 , 2010 , 55.13 , 54.53 , 54.93 , 55.05 
6 , 18 , 2010 , 55.35 , 54.80 , 55.02 , 55.22 
6 , 21 , 2010 , 55.98 , 55.02 , 55.54 , 55.24 
6 , 22 , 2010 , 55.56 , 53.62 , 55.16 , 53.72 
6 , 23 , 2010 , 53.78 , 52.76 , 53.75 , 53.03 
6 , 24 , 2010 , 53.32 , 52.10 , 52.79 , 52.37 
6 , 25 , 2010 , 52.82 , 51.63 , 52.37 , 51.75 
6 , 28 , 2010 , 51.98 , 50.78 , 51.91 , 50.79 
6 , 29 , 2010 , 50.63 , 49.37 , 50.43 , 49.57 
6 , 30 , 2010 , 49.71 , 48.86 , 49.54 , 48.93 
7 , 1 , 2010 , 48.73 , 46.52 , 48.73 , 47.79 
7 , 2 , 2010 , 48.09 , 47.11 , 48.01 , 47.43 
7 , 6 , 2010 , 48.62 , 47.62 , 48.01 , 48.11 
7 , 7 , 2010 , 49.00 , 48.21 , 48.31 , 48.91 
7 , 8 , 2010 , 49.88 , 48.94 , 49.17 , 49.87 
7 , 9 , 2010 , 51.18 , 49.67 , 49.90 , 51.17 
7 , 12 , 2010 , 51.35 , 50.38 , 51.06 , 51.28 
7 , 13 , 2010 , 51.94 , 51.38 , 51.77 , 51.61 
7 , 14 , 2010 , 51.99 , 50.86 , 51.38 , 51.97 
7 , 15 , 2010 , 53.16 , 51.48 , 51.74 , 53.15 
7 , 16 , 2010 , 53.19 , 51.37 , 52.81 , 51.39 
7 , 19 , 2010 , 52.73 , 51.63 , 51.63 , 52.49 
7 , 20 , 2010 , 52.78 , 51.43 , 52.19 , 52.61 
7 , 21 , 2010 , 52.91 , 51.20 , 52.69 , 51.49 
7 , 22 , 2010 , 52.75 , 51.63 , 51.90 , 52.46 
7 , 23 , 2010 , 52.46 , 51.63 , 52.18 , 51.99 
7 , 26 , 2010 , 53.19 , 52.00 , 52.15 , 53.19 
7 , 27 , 2010 , 53.87 , 52.64 , 53.30 , 52.80 
7 , 28 , 2010 , 52.80 , 50.20 , 52.62 , 50.83 
7 , 29 , 2010 , 51.46 , 49.45 , 51.18 , 49.88 
7 , 30 , 2010 , 51.04 , 48.76 , 49.32 , 50.72 
8 , 2 , 2010 , 52.10 , 50.97 , 51.12 , 52.01 
8 , 3 , 2010 , 53.84 , 51.70 , 51.81 , 53.24 
8 , 4 , 2010 , 54.35 , 53.13 , 53.41 , 54.24 
8 , 5 , 2010 , 55.06 , 53.65 , 53.90 , 54.96 
8 , 6 , 2010 , 55.14 , 54.22 , 54.58 , 55.05 
8 , 9 , 2010 , 55.70 , 55.08 , 55.32 , 55.14 
8 , 10 , 2010 , 55.46 , 54.56 , 54.85 , 55.02 
8 , 11 , 2010 , 54.50 , 51.29 , 54.47 , 51.31 
8 , 12 , 2010 , 51.95 , 50.72 , 50.86 , 51.58 
8 , 13 , 2010 , 52.04 , 50.81 , 51.31 , 51.79 
8 , 16 , 2010 , 51.80 , 50.78 , 51.37 , 51.62 
8 , 17 , 2010 , 52.61 , 51.72 , 52.14 , 52.38 
8 , 18 , 2010 , 52.62 , 51.71 , 52.48 , 51.98 
8 , 19 , 2010 , 51.71 , 49.79 , 51.70 , 50.12 
8 , 20 , 2010 , 50.29 , 49.17 , 50.13 , 49.89 
8 , 23 , 2010 , 50.78 , 49.58 , 50.10 , 49.64 
8 , 24 , 2010 , 49.94 , 48.61 , 49.15 , 49.68 
8 , 25 , 2010 , 51.51 , 49.28 , 49.40 , 51.04 
8 , 26 , 2010 , 52.29 , 50.56 , 51.33 , 50.64 
