Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 49.15 , 48.70 , 48.75 , 48.89 
3 , 18 , 2010 , 49.05 , 48.55 , 48.98 , 48.98 
3 , 19 , 2010 , 49.28 , 48.39 , 49.06 , 48.62 
3 , 22 , 2010 , 48.92 , 48.20 , 48.27 , 48.82 
3 , 23 , 2010 , 49.71 , 48.83 , 48.95 , 49.54 
3 , 24 , 2010 , 49.79 , 48.91 , 49.56 , 49.13 
3 , 25 , 2010 , 50.00 , 49.27 , 49.55 , 49.49 
3 , 26 , 2010 , 50.20 , 49.56 , 49.56 , 49.80 
3 , 29 , 2010 , 50.03 , 49.64 , 49.93 , 49.83 
3 , 30 , 2010 , 51.10 , 49.89 , 49.96 , 50.81 
3 , 31 , 2010 , 50.87 , 50.23 , 50.59 , 50.34 
4 , 1 , 2010 , 51.05 , 50.43 , 50.52 , 50.83 
4 , 5 , 2010 , 51.36 , 50.71 , 51.00 , 51.33 
4 , 6 , 2010 , 51.31 , 50.82 , 51.31 , 50.98 
4 , 7 , 2010 , 50.96 , 50.04 , 50.82 , 50.45 
4 , 8 , 2010 , 51.01 , 50.13 , 50.50 , 50.94 
4 , 9 , 2010 , 51.22 , 50.52 , 50.99 , 50.80 
4 , 12 , 2010 , 51.13 , 50.61 , 50.77 , 50.79 
4 , 13 , 2010 , 51.27 , 50.63 , 50.68 , 51.15 
4 , 14 , 2010 , 52.00 , 50.89 , 51.12 , 51.90 
4 , 15 , 2010 , 53.05 , 51.70 , 51.88 , 52.95 
4 , 16 , 2010 , 52.88 , 51.49 , 52.77 , 51.80 
4 , 19 , 2010 , 51.90 , 50.94 , 51.52 , 51.65 
4 , 20 , 2010 , 52.31 , 51.68 , 52.08 , 52.10 
4 , 21 , 2010 , 52.28 , 51.46 , 52.04 , 51.91 
4 , 22 , 2010 , 52.62 , 50.51 , 51.40 , 52.59 
4 , 23 , 2010 , 52.79 , 51.72 , 52.60 , 52.74 
4 , 26 , 2010 , 53.07 , 52.49 , 52.85 , 52.61 
4 , 27 , 2010 , 52.71 , 50.77 , 52.34 , 50.90 
4 , 28 , 2010 , 52.68 , 50.94 , 51.28 , 52.47 
4 , 29 , 2010 , 53.35 , 52.70 , 52.94 , 53.21 
4 , 30 , 2010 , 53.50 , 52.16 , 53.17 , 52.23 
5 , 3 , 2010 , 53.73 , 52.53 , 52.53 , 53.62 
5 , 4 , 2010 , 51.70 , 49.34 , 50.83 , 50.18 
5 , 5 , 2010 , 50.21 , 48.60 , 49.71 , 49.02 
5 , 6 , 2010 , 49.76 , 46.00 , 48.78 , 48.44 
5 , 7 , 2010 , 49.08 , 46.58 , 48.47 , 48.47 
5 , 10 , 2010 , 51.69 , 49.37 , 49.96 , 50.85 
5 , 11 , 2010 , 50.74 , 49.50 , 50.30 , 49.90 
5 , 12 , 2010 , 50.38 , 49.29 , 49.90 , 50.27 
5 , 13 , 2010 , 50.89 , 50.01 , 50.06 , 50.33 
5 , 14 , 2010 , 50.03 , 48.46 , 49.77 , 49.06 
5 , 17 , 2010 , 49.22 , 47.00 , 49.11 , 47.89 
5 , 18 , 2010 , 49.03 , 47.78 , 48.10 , 47.97 
5 , 19 , 2010 , 47.82 , 46.02 , 47.62 , 46.83 
5 , 20 , 2010 , 46.77 , 45.34 , 45.78 , 46.01 
5 , 21 , 2010 , 46.46 , 44.50 , 45.24 , 45.93 
5 , 24 , 2010 , 46.09 , 45.31 , 45.59 , 45.38 
5 , 25 , 2010 , 45.70 , 43.41 , 43.76 , 45.60 
5 , 26 , 2010 , 46.57 , 45.30 , 46.10 , 45.54 
5 , 27 , 2010 , 47.37 , 46.15 , 46.42 , 47.36 
5 , 28 , 2010 , 47.50 , 46.00 , 47.29 , 46.44 
6 , 1 , 2010 , 46.97 , 45.55 , 45.94 , 45.60 
6 , 2 , 2010 , 46.91 , 45.58 , 45.79 , 46.89 
6 , 3 , 2010 , 47.72 , 46.75 , 47.06 , 47.28 
6 , 4 , 2010 , 46.53 , 44.71 , 46.08 , 44.97 
6 , 7 , 2010 , 45.15 , 43.68 , 45.06 , 43.70 
6 , 8 , 2010 , 44.50 , 43.10 , 43.79 , 44.24 
6 , 9 , 2010 , 45.11 , 43.80 , 44.46 , 43.99 
6 , 10 , 2010 , 45.90 , 44.92 , 45.08 , 45.88 
6 , 11 , 2010 , 45.85 , 45.09 , 45.45 , 45.77 
6 , 14 , 2010 , 46.23 , 45.37 , 45.90 , 45.45 
6 , 15 , 2010 , 47.47 , 45.61 , 45.65 , 47.45 
6 , 16 , 2010 , 47.52 , 46.98 , 47.18 , 47.30 
6 , 17 , 2010 , 47.67 , 46.50 , 47.44 , 47.23 
6 , 18 , 2010 , 47.57 , 47.02 , 47.29 , 47.47 
6 , 21 , 2010 , 48.71 , 47.32 , 48.07 , 47.64 
6 , 22 , 2010 , 48.07 , 46.31 , 47.57 , 46.39 
6 , 23 , 2010 , 46.43 , 45.37 , 46.36 , 46.00 
6 , 24 , 2010 , 45.91 , 44.34 , 45.90 , 44.59 
6 , 25 , 2010 , 45.10 , 44.11 , 44.65 , 44.89 
6 , 28 , 2010 , 45.26 , 44.48 , 45.17 , 44.85 
