Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 37.47 , 36.33 , 37.02 , 36.61 
3 , 18 , 2010 , 36.90 , 34.88 , 36.73 , 35.34 
3 , 19 , 2010 , 35.88 , 33.87 , 35.61 , 34.55 
3 , 22 , 2010 , 35.02 , 33.50 , 34.08 , 34.45 
3 , 23 , 2010 , 35.83 , 34.46 , 34.46 , 35.77 
3 , 24 , 2010 , 35.93 , 34.75 , 35.28 , 34.99 
3 , 25 , 2010 , 35.66 , 33.26 , 35.35 , 33.41 
3 , 26 , 2010 , 33.54 , 32.47 , 33.54 , 33.50 
3 , 29 , 2010 , 35.25 , 34.48 , 34.51 , 35.18 
3 , 30 , 2010 , 35.55 , 34.81 , 35.16 , 35.37 
3 , 31 , 2010 , 35.71 , 35.04 , 35.45 , 35.17 
4 , 1 , 2010 , 36.51 , 35.71 , 35.72 , 36.49 
4 , 5 , 2010 , 37.77 , 36.50 , 36.71 , 37.59 
4 , 6 , 2010 , 38.01 , 37.25 , 37.51 , 37.39 
4 , 7 , 2010 , 41.32 , 38.64 , 38.91 , 40.57 
4 , 8 , 2010 , 42.59 , 40.57 , 40.67 , 42.18 
4 , 9 , 2010 , 42.80 , 41.04 , 42.37 , 41.09 
4 , 12 , 2010 , 42.35 , 40.66 , 40.99 , 42.29 
4 , 13 , 2010 , 42.90 , 41.29 , 42.18 , 42.39 
4 , 14 , 2010 , 43.42 , 42.36 , 43.12 , 43.35 
4 , 15 , 2010 , 44.18 , 43.05 , 43.39 , 43.95 
4 , 16 , 2010 , 43.88 , 42.35 , 43.48 , 42.44 
4 , 19 , 2010 , 42.90 , 41.85 , 41.93 , 42.70 
4 , 20 , 2010 , 44.54 , 43.14 , 43.14 , 44.46 
4 , 21 , 2010 , 44.81 , 43.93 , 44.36 , 44.64 
4 , 22 , 2010 , 45.31 , 43.63 , 44.19 , 45.21 
4 , 23 , 2010 , 45.63 , 44.24 , 44.78 , 45.56 
4 , 26 , 2010 , 45.99 , 44.78 , 45.68 , 44.94 
4 , 27 , 2010 , 45.22 , 42.88 , 44.73 , 43.02 
