Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 86.72 , 83.80 , 83.82 , 85.94 
3 , 18 , 2010 , 86.43 , 84.95 , 86.28 , 85.35 
3 , 19 , 2010 , 86.07 , 83.69 , 85.70 , 84.17 
3 , 22 , 2010 , 84.08 , 82.62 , 83.78 , 83.43 
3 , 23 , 2010 , 84.20 , 82.30 , 83.31 , 83.49 
3 , 24 , 2010 , 83.97 , 81.01 , 82.69 , 81.57 
3 , 25 , 2010 , 82.40 , 80.32 , 82.40 , 80.43 
3 , 26 , 2010 , 80.77 , 77.67 , 80.77 , 77.93 
3 , 29 , 2010 , 79.64 , 77.66 , 78.00 , 78.57 
3 , 30 , 2010 , 79.83 , 78.72 , 78.80 , 79.45 
3 , 31 , 2010 , 79.81 , 78.50 , 78.89 , 78.82 
4 , 1 , 2010 , 81.48 , 79.42 , 79.81 , 80.38 
4 , 5 , 2010 , 84.00 , 80.03 , 80.16 , 83.09 
4 , 6 , 2010 , 84.48 , 81.45 , 82.97 , 82.93 
4 , 7 , 2010 , 83.65 , 82.18 , 82.69 , 83.11 
4 , 8 , 2010 , 83.74 , 81.69 , 83.08 , 83.37 
4 , 9 , 2010 , 84.40 , 82.79 , 83.37 , 84.14 
4 , 12 , 2010 , 84.48 , 83.50 , 83.80 , 84.46 
4 , 13 , 2010 , 84.30 , 81.92 , 83.81 , 82.69 
4 , 14 , 2010 , 83.08 , 81.81 , 82.15 , 82.83 
4 , 15 , 2010 , 83.76 , 81.91 , 82.92 , 81.94 
4 , 16 , 2010 , 82.11 , 80.43 , 81.26 , 81.10 
4 , 19 , 2010 , 80.92 , 77.97 , 80.50 , 79.33 
4 , 20 , 2010 , 80.98 , 79.41 , 79.61 , 80.74 
4 , 21 , 2010 , 83.31 , 80.16 , 80.16 , 82.10 
4 , 22 , 2010 , 80.03 , 74.68 , 78.46 , 77.56 
4 , 23 , 2010 , 78.03 , 76.27 , 78.00 , 77.22 
4 , 26 , 2010 , 85.36 , 80.42 , 80.42 , 84.69 
4 , 27 , 2010 , 85.62 , 82.84 , 83.89 , 83.82 
4 , 28 , 2010 , 84.03 , 79.64 , 83.98 , 81.58 
4 , 29 , 2010 , 82.94 , 79.80 , 82.10 , 82.83 
4 , 30 , 2010 , 83.09 , 81.58 , 83.09 , 82.13 
5 , 3 , 2010 , 84.83 , 81.74 , 81.75 , 84.77 
5 , 4 , 2010 , 84.03 , 81.09 , 83.72 , 81.63 
5 , 5 , 2010 , 80.97 , 74.60 , 80.94 , 76.59 
5 , 6 , 2010 , 78.10 , 69.43 , 76.18 , 73.93 
5 , 7 , 2010 , 74.75 , 70.93 , 73.93 , 72.93 
5 , 10 , 2010 , 80.71 , 76.88 , 76.94 , 79.86 
5 , 11 , 2010 , 81.20 , 78.88 , 79.16 , 79.98 
5 , 12 , 2010 , 81.48 , 79.86 , 80.69 , 80.73 
5 , 13 , 2010 , 88.92 , 80.31 , 80.37 , 83.16 
5 , 14 , 2010 , 83.25 , 80.03 , 82.48 , 81.13 
5 , 17 , 2010 , 82.03 , 79.00 , 81.32 , 80.22 
5 , 18 , 2010 , 81.20 , 77.27 , 80.48 , 78.05 
5 , 19 , 2010 , 79.97 , 76.79 , 78.01 , 78.32 
5 , 20 , 2010 , 77.14 , 73.53 , 76.24 , 73.75 
5 , 21 , 2010 , 75.18 , 72.00 , 72.93 , 73.65 
5 , 24 , 2010 , 74.73 , 72.90 , 73.29 , 72.99 
5 , 25 , 2010 , 72.54 , 69.34 , 71.33 , 72.32 
5 , 26 , 2010 , 75.74 , 72.58 , 72.93 , 72.82 
5 , 27 , 2010 , 75.65 , 73.48 , 74.95 , 75.45 
5 , 28 , 2010 , 76.03 , 72.23 , 75.00 , 73.49 
6 , 1 , 2010 , 73.95 , 70.15 , 72.40 , 70.21 
6 , 2 , 2010 , 73.05 , 70.01 , 70.08 , 72.94 
6 , 3 , 2010 , 74.70 , 72.51 , 72.93 , 72.65 
6 , 4 , 2010 , 71.86 , 68.21 , 71.44 , 68.37 
6 , 7 , 2010 , 68.64 , 63.95 , 68.08 , 64.29 
6 , 8 , 2010 , 64.22 , 60.20 , 64.22 , 62.36 
6 , 9 , 2010 , 68.73 , 63.95 , 65.27 , 64.58 
6 , 10 , 2010 , 66.29 , 64.71 , 65.48 , 66.08 
6 , 11 , 2010 , 66.95 , 64.58 , 65.83 , 66.13 
6 , 14 , 2010 , 66.93 , 63.65 , 66.59 , 63.92 
6 , 15 , 2010 , 66.59 , 63.88 , 64.13 , 66.53 
6 , 16 , 2010 , 68.81 , 66.20 , 66.44 , 67.54 
6 , 17 , 2010 , 67.95 , 65.47 , 67.40 , 65.93 
6 , 18 , 2010 , 66.38 , 65.05 , 65.55 , 66.35 
6 , 21 , 2010 , 67.92 , 66.09 , 66.90 , 66.55 
6 , 22 , 2010 , 66.80 , 64.46 , 66.47 , 64.56 
6 , 23 , 2010 , 65.50 , 63.64 , 64.44 , 65.22 
6 , 24 , 2010 , 65.08 , 63.93 , 65.08 , 64.36 
6 , 25 , 2010 , 66.07 , 64.10 , 64.51 , 65.58 
6 , 28 , 2010 , 65.92 , 64.62 , 65.73 , 64.98 
6 , 29 , 2010 , 64.14 , 60.61 , 63.98 , 60.93 
6 , 30 , 2010 , 64.03 , 60.65 , 60.97 , 62.70 
7 , 1 , 2010 , 62.80 , 59.72 , 61.89 , 60.87 
7 , 2 , 2010 , 61.32 , 59.85 , 61.07 , 60.17 
7 , 6 , 2010 , 62.37 , 59.33 , 61.48 , 60.05 
7 , 7 , 2010 , 61.64 , 57.77 , 58.35 , 60.89 
7 , 8 , 2010 , 64.30 , 61.48 , 61.65 , 63.97 
7 , 9 , 2010 , 65.48 , 62.15 , 63.71 , 65.10 
7 , 12 , 2010 , 65.12 , 62.88 , 64.63 , 63.77 
7 , 13 , 2010 , 66.82 , 64.14 , 64.65 , 66.40 
7 , 14 , 2010 , 67.14 , 65.60 , 66.64 , 66.68 
7 , 15 , 2010 , 67.64 , 65.50 , 66.52 , 67.51 
7 , 16 , 2010 , 67.31 , 63.52 , 66.82 , 63.72 
7 , 19 , 2010 , 64.80 , 63.43 , 64.20 , 64.53 
7 , 20 , 2010 , 66.06 , 62.45 , 63.38 , 65.85 
7 , 21 , 2010 , 66.88 , 65.83 , 66.12 , 66.20 
7 , 22 , 2010 , 68.51 , 66.75 , 66.93 , 67.99 
7 , 23 , 2010 , 70.53 , 66.64 , 67.87 , 70.29 
7 , 26 , 2010 , 72.44 , 70.31 , 70.33 , 72.32 
7 , 27 , 2010 , 73.77 , 70.57 , 72.92 , 71.93 
7 , 28 , 2010 , 72.46 , 68.95 , 71.86 , 69.54 
7 , 29 , 2010 , 75.73 , 72.53 , 72.92 , 75.30 
7 , 30 , 2010 , 75.32 , 72.43 , 73.69 , 74.99 
8 , 2 , 2010 , 75.64 , 74.35 , 75.47 , 75.49 
8 , 3 , 2010 , 75.67 , 74.59 , 75.03 , 75.52 
8 , 4 , 2010 , 76.19 , 75.28 , 75.78 , 75.71 
8 , 5 , 2010 , 75.98 , 74.55 , 75.42 , 75.48 
8 , 6 , 2010 , 76.07 , 73.83 , 74.52 , 74.86 
8 , 9 , 2010 , 76.22 , 74.47 , 75.50 , 75.35 
8 , 10 , 2010 , 76.12 , 73.21 , 74.39 , 75.78 
8 , 11 , 2010 , 75.01 , 72.09 , 74.04 , 72.19 
8 , 12 , 2010 , 72.46 , 70.64 , 72.46 , 71.44 
8 , 13 , 2010 , 72.19 , 70.97 , 70.97 , 71.31 
8 , 16 , 2010 , 72.32 , 69.99 , 70.61 , 71.56 
8 , 17 , 2010 , 73.09 , 71.45 , 72.13 , 72.04 
8 , 18 , 2010 , 72.76 , 71.21 , 71.85 , 71.95 
8 , 19 , 2010 , 72.23 , 70.82 , 71.32 , 71.65 
8 , 20 , 2010 , 71.66 , 71.03 , 71.23 , 71.50 
8 , 23 , 2010 , 71.99 , 71.26 , 71.75 , 71.48 
8 , 24 , 2010 , 71.96 , 70.26 , 70.26 , 70.46 
8 , 25 , 2010 , 72.09 , 69.92 , 69.98 , 71.72 
8 , 26 , 2010 , 73.23 , 70.29 , 71.97 , 70.73 
8 , 27 , 2010 , 73.07 , 70.17 , 71.52 , 72.85 
8 , 30 , 2010 , 72.85 , 71.88 , 72.18 , 72.05 
8 , 31 , 2010 , 73.28 , 71.15 , 71.16 , 72.69 
9 , 1 , 2010 , 76.48 , 73.12 , 73.48 , 75.18 
9 , 2 , 2010 , 77.74 , 74.16 , 74.73 , 77.43 
9 , 3 , 2010 , 78.89 , 76.69 , 77.62 , 78.42 
9 , 7 , 2010 , 78.34 , 76.22 , 77.64 , 76.38 
9 , 8 , 2010 , 77.53 , 76.03 , 76.47 , 76.08 
9 , 9 , 2010 , 77.56 , 75.94 , 76.49 , 76.73 
9 , 10 , 2010 , 77.14 , 75.76 , 77.09 , 76.01 
9 , 13 , 2010 , 78.51 , 76.13 , 76.79 , 77.62 
9 , 14 , 2010 , 77.71 , 76.84 , 77.71 , 77.26 
9 , 15 , 2010 , 78.22 , 76.62 , 76.62 , 77.21 
9 , 16 , 2010 , 77.85 , 76.27 , 77.31 , 76.68 
9 , 17 , 2010 , 79.16 , 76.10 , 76.73 , 78.20 
9 , 20 , 2010 , 79.98 , 77.98 , 78.53 , 79.69 
9 , 21 , 2010 , 81.11 , 78.98 , 79.61 , 81.02 
9 , 22 , 2010 , 81.00 , 79.93 , 80.49 , 80.52 
9 , 23 , 2010 , 83.70 , 79.61 , 79.61 , 82.11 
9 , 24 , 2010 , 84.88 , 83.26 , 83.71 , 83.72 
9 , 27 , 2010 , 85.33 , 83.77 , 83.95 , 84.00 
9 , 28 , 2010 , 84.88 , 82.09 , 84.01 , 84.64 
9 , 29 , 2010 , 85.57 , 83.76 , 83.76 , 84.79 
9 , 30 , 2010 , 85.92 , 82.47 , 84.98 , 83.83 
10 , 1 , 2010 , 84.79 , 82.74 , 84.08 , 84.32 
10 , 4 , 2010 , 84.72 , 82.17 , 84.02 , 82.58 
10 , 5 , 2010 , 86.57 , 83.42 , 83.44 , 86.57 
10 , 6 , 2010 , 62.26 , 50.90 , 60.94 , 51.82 
10 , 7 , 2010 , 57.14 , 52.08 , 53.23 , 56.48 
10 , 8 , 2010 , 57.95 , 54.53 , 56.48 , 56.40 
10 , 11 , 2010 , 56.73 , 54.09 , 56.48 , 54.43 
10 , 12 , 2010 , 56.07 , 53.54 , 54.31 , 55.49 
