Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 37.87 , 37.20 , 37.35 , 37.45 
3 , 18 , 2010 , 37.71 , 37.29 , 37.44 , 37.55 
3 , 19 , 2010 , 37.99 , 36.97 , 37.66 , 37.08 
3 , 22 , 2010 , 37.93 , 36.72 , 36.78 , 37.83 
3 , 23 , 2010 , 38.21 , 37.62 , 37.97 , 38.16 
3 , 24 , 2010 , 38.14 , 37.37 , 38.14 , 37.41 
3 , 25 , 2010 , 37.87 , 37.17 , 37.76 , 37.23 
3 , 26 , 2010 , 37.65 , 37.04 , 37.32 , 37.29 
3 , 29 , 2010 , 38.11 , 37.43 , 37.43 , 38.05 
3 , 30 , 2010 , 38.47 , 38.02 , 38.17 , 38.21 
3 , 31 , 2010 , 38.25 , 37.77 , 38.17 , 37.89 
4 , 1 , 2010 , 38.44 , 37.84 , 38.08 , 38.03 
4 , 5 , 2010 , 38.66 , 38.06 , 38.06 , 38.45 
4 , 6 , 2010 , 38.87 , 38.14 , 38.41 , 38.83 
4 , 7 , 2010 , 39.44 , 38.64 , 38.64 , 39.22 
4 , 8 , 2010 , 39.48 , 38.73 , 39.07 , 39.25 
4 , 9 , 2010 , 40.34 , 39.35 , 39.41 , 40.11 
4 , 12 , 2010 , 40.46 , 39.88 , 40.11 , 39.97 
4 , 13 , 2010 , 39.90 , 39.36 , 39.78 , 39.69 
4 , 14 , 2010 , 40.02 , 39.56 , 39.90 , 39.96 
4 , 15 , 2010 , 40.60 , 39.83 , 39.95 , 40.16 
4 , 16 , 2010 , 40.33 , 39.26 , 40.14 , 39.70 
4 , 19 , 2010 , 39.82 , 38.57 , 39.42 , 39.58 
4 , 20 , 2010 , 40.89 , 38.96 , 40.57 , 39.16 
4 , 21 , 2010 , 39.60 , 38.66 , 39.34 , 39.05 
4 , 22 , 2010 , 39.47 , 38.20 , 38.80 , 39.36 
4 , 23 , 2010 , 39.70 , 39.21 , 39.46 , 39.61 
4 , 26 , 2010 , 39.94 , 39.37 , 39.78 , 39.42 
4 , 27 , 2010 , 39.78 , 38.39 , 39.28 , 38.52 
4 , 28 , 2010 , 38.85 , 38.32 , 38.83 , 38.56 
4 , 29 , 2010 , 39.52 , 38.76 , 38.92 , 39.51 
4 , 30 , 2010 , 39.57 , 38.56 , 39.48 , 38.58 
5 , 3 , 2010 , 39.55 , 38.58 , 38.95 , 39.23 
5 , 4 , 2010 , 38.64 , 37.22 , 38.64 , 37.45 
5 , 5 , 2010 , 37.71 , 36.29 , 36.97 , 37.51 
5 , 6 , 2010 , 37.47 , 33.14 , 37.34 , 35.62 
5 , 7 , 2010 , 35.71 , 34.15 , 35.44 , 35.13 
5 , 10 , 2010 , 37.56 , 36.84 , 37.23 , 37.41 
5 , 11 , 2010 , 37.88 , 36.87 , 36.90 , 37.51 
5 , 12 , 2010 , 38.64 , 37.67 , 37.67 , 38.50 
5 , 13 , 2010 , 38.76 , 37.95 , 38.31 , 38.08 
5 , 14 , 2010 , 37.81 , 36.57 , 37.65 , 36.96 
5 , 17 , 2010 , 37.46 , 36.06 , 37.22 , 36.93 
5 , 18 , 2010 , 37.88 , 36.09 , 37.32 , 36.31 
5 , 19 , 2010 , 36.00 , 34.47 , 35.89 , 35.19 
5 , 20 , 2010 , 34.75 , 33.62 , 34.12 , 33.80 
5 , 21 , 2010 , 34.70 , 33.00 , 33.02 , 34.66 
5 , 24 , 2010 , 34.81 , 34.31 , 34.52 , 34.54 
5 , 25 , 2010 , 34.48 , 33.09 , 33.64 , 34.45 
5 , 26 , 2010 , 35.35 , 34.01 , 34.84 , 34.14 
5 , 27 , 2010 , 35.27 , 34.54 , 34.92 , 35.25 
5 , 28 , 2010 , 35.85 , 34.69 , 35.85 , 34.98 
6 , 1 , 2010 , 35.35 , 34.01 , 34.65 , 34.06 
6 , 2 , 2010 , 35.36 , 34.04 , 34.21 , 35.32 
6 , 3 , 2010 , 35.89 , 35.26 , 35.26 , 35.82 
6 , 4 , 2010 , 35.09 , 33.43 , 34.86 , 33.59 
6 , 7 , 2010 , 33.83 , 33.09 , 33.65 , 33.21 
6 , 8 , 2010 , 33.80 , 33.18 , 33.29 , 33.74 
6 , 9 , 2010 , 34.76 , 33.45 , 33.92 , 33.61 
6 , 10 , 2010 , 35.49 , 34.32 , 34.32 , 35.43 
6 , 11 , 2010 , 35.65 , 34.76 , 34.95 , 35.27 
6 , 14 , 2010 , 36.29 , 35.58 , 35.65 , 35.70 
6 , 15 , 2010 , 37.29 , 35.94 , 35.94 , 37.23 
6 , 16 , 2010 , 37.38 , 36.55 , 36.93 , 36.78 
6 , 17 , 2010 , 37.16 , 36.35 , 37.16 , 37.10 
6 , 18 , 2010 , 37.35 , 36.84 , 37.09 , 37.16 
6 , 21 , 2010 , 38.15 , 36.90 , 37.58 , 37.16 
6 , 22 , 2010 , 37.43 , 35.70 , 37.16 , 35.79 
6 , 23 , 2010 , 35.85 , 34.91 , 35.76 , 35.54 
6 , 24 , 2010 , 35.54 , 34.63 , 35.39 , 34.71 
6 , 25 , 2010 , 35.20 , 34.31 , 34.77 , 35.10 
6 , 28 , 2010 , 35.36 , 34.56 , 35.36 , 34.62 
6 , 29 , 2010 , 34.06 , 32.69 , 33.81 , 33.00 
6 , 30 , 2010 , 33.59 , 32.66 , 32.91 , 32.72 
7 , 1 , 2010 , 32.79 , 31.87 , 32.65 , 32.28 
7 , 2 , 2010 , 32.74 , 31.68 , 32.46 , 31.85 
7 , 6 , 2010 , 32.72 , 31.48 , 32.60 , 31.79 
7 , 7 , 2010 , 32.89 , 31.77 , 31.95 , 32.88 
7 , 8 , 2010 , 33.41 , 32.72 , 33.14 , 33.28 
7 , 9 , 2010 , 33.77 , 33.19 , 33.37 , 33.75 
7 , 12 , 2010 , 33.66 , 33.13 , 33.55 , 33.30 
7 , 13 , 2010 , 34.44 , 33.75 , 33.80 , 34.26 
7 , 14 , 2010 , 34.48 , 33.83 , 34.05 , 34.35 
7 , 15 , 2010 , 34.54 , 33.86 , 34.40 , 34.48 
7 , 16 , 2010 , 34.41 , 33.48 , 34.12 , 33.60 
7 , 19 , 2010 , 33.92 , 33.14 , 33.70 , 33.76 
7 , 20 , 2010 , 34.62 , 33.05 , 33.15 , 34.53 
7 , 21 , 2010 , 37.00 , 35.75 , 35.85 , 36.57 
7 , 22 , 2010 , 37.81 , 36.85 , 37.22 , 37.38 
7 , 23 , 2010 , 38.74 , 37.15 , 37.30 , 38.62 
7 , 26 , 2010 , 39.13 , 38.23 , 38.89 , 38.71 
7 , 27 , 2010 , 39.13 , 38.56 , 39.06 , 38.80 
7 , 28 , 2010 , 39.28 , 38.28 , 38.80 , 38.53 
7 , 29 , 2010 , 39.10 , 38.07 , 38.93 , 38.73 
7 , 30 , 2010 , 39.45 , 37.92 , 38.08 , 39.23 
8 , 2 , 2010 , 39.99 , 39.39 , 39.97 , 39.83 
8 , 3 , 2010 , 39.94 , 39.30 , 39.87 , 39.70 
8 , 4 , 2010 , 40.38 , 39.70 , 39.74 , 40.33 
8 , 5 , 2010 , 39.95 , 39.54 , 39.91 , 39.88 
8 , 6 , 2010 , 39.82 , 38.94 , 39.58 , 39.58 
8 , 9 , 2010 , 39.99 , 39.38 , 39.99 , 39.56 
8 , 10 , 2010 , 39.80 , 38.98 , 39.16 , 39.54 
8 , 11 , 2010 , 38.97 , 38.17 , 38.97 , 38.23 
8 , 12 , 2010 , 38.08 , 37.27 , 37.41 , 37.84 
8 , 13 , 2010 , 37.99 , 37.50 , 37.60 , 37.64 
8 , 16 , 2010 , 38.01 , 36.97 , 37.42 , 37.71 
