Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 39.31 , 38.31 , 39.07 , 38.43 
3 , 18 , 2010 , 39.03 , 37.83 , 38.40 , 37.95 
3 , 19 , 2010 , 38.29 , 36.87 , 38.27 , 37.07 
3 , 22 , 2010 , 37.77 , 36.20 , 36.44 , 37.71 
3 , 23 , 2010 , 38.38 , 37.42 , 37.62 , 38.36 
3 , 24 , 2010 , 38.26 , 37.60 , 37.66 , 37.71 
3 , 25 , 2010 , 38.27 , 36.68 , 38.16 , 36.77 
3 , 26 , 2010 , 37.78 , 36.91 , 37.11 , 37.40 
3 , 29 , 2010 , 39.31 , 38.06 , 38.28 , 39.25 
3 , 30 , 2010 , 40.26 , 39.32 , 39.39 , 39.64 
3 , 31 , 2010 , 39.94 , 39.38 , 39.52 , 39.58 
4 , 1 , 2010 , 40.96 , 40.20 , 40.26 , 40.95 
4 , 5 , 2010 , 41.75 , 40.78 , 41.23 , 41.48 
4 , 6 , 2010 , 41.96 , 41.15 , 41.32 , 41.48 
4 , 7 , 2010 , 41.66 , 40.27 , 41.59 , 40.78 
4 , 8 , 2010 , 40.88 , 39.95 , 40.36 , 40.84 
4 , 9 , 2010 , 41.28 , 40.06 , 41.15 , 40.65 
4 , 12 , 2010 , 40.80 , 39.82 , 40.31 , 40.01 
4 , 13 , 2010 , 40.31 , 39.52 , 39.92 , 40.20 
4 , 14 , 2010 , 40.86 , 40.26 , 40.65 , 40.49 
4 , 15 , 2010 , 40.49 , 39.83 , 40.32 , 39.92 
4 , 16 , 2010 , 39.88 , 38.15 , 39.60 , 38.40 
4 , 19 , 2010 , 38.45 , 37.16 , 37.97 , 38.21 
4 , 20 , 2010 , 38.91 , 38.20 , 38.66 , 38.21 
4 , 21 , 2010 , 38.34 , 36.08 , 38.31 , 37.02 
4 , 22 , 2010 , 38.09 , 36.41 , 36.67 , 38.06 
4 , 23 , 2010 , 38.27 , 37.27 , 38.22 , 37.59 
4 , 26 , 2010 , 38.64 , 37.90 , 37.95 , 38.01 
4 , 27 , 2010 , 37.41 , 35.66 , 37.41 , 35.89 
4 , 28 , 2010 , 36.63 , 35.48 , 36.36 , 36.06 
4 , 29 , 2010 , 36.90 , 36.19 , 36.31 , 36.67 
4 , 30 , 2010 , 37.15 , 35.36 , 37.04 , 35.58 
5 , 3 , 2010 , 35.95 , 33.82 , 35.61 , 34.68 
5 , 4 , 2010 , 33.76 , 32.51 , 33.75 , 33.06 
5 , 5 , 2010 , 34.03 , 31.77 , 31.80 , 33.03 
5 , 6 , 2010 , 34.16 , 30.50 , 33.10 , 32.20 
5 , 7 , 2010 , 32.89 , 30.43 , 32.79 , 31.60 
5 , 10 , 2010 , 34.56 , 33.01 , 33.29 , 34.06 
5 , 11 , 2010 , 34.04 , 32.91 , 33.38 , 32.93 
5 , 12 , 2010 , 34.36 , 33.38 , 33.60 , 34.31 
5 , 13 , 2010 , 34.64 , 33.50 , 34.39 , 33.67 
5 , 14 , 2010 , 33.13 , 31.76 , 32.85 , 32.67 
5 , 17 , 2010 , 32.71 , 30.84 , 32.48 , 31.80 
5 , 18 , 2010 , 33.29 , 31.41 , 32.53 , 31.49 
5 , 19 , 2010 , 31.95 , 30.43 , 30.89 , 31.66 
5 , 20 , 2010 , 30.76 , 29.41 , 30.64 , 29.62 
5 , 21 , 2010 , 31.74 , 29.16 , 29.20 , 31.32 
5 , 24 , 2010 , 31.85 , 30.56 , 31.47 , 30.59 
5 , 25 , 2010 , 31.69 , 29.20 , 29.52 , 31.62 
5 , 26 , 2010 , 32.81 , 31.06 , 32.78 , 31.11 
5 , 27 , 2010 , 33.36 , 32.07 , 32.50 , 33.35 
5 , 28 , 2010 , 33.49 , 32.44 , 33.39 , 32.84 
6 , 1 , 2010 , 32.56 , 31.04 , 32.38 , 31.06 
6 , 2 , 2010 , 32.33 , 30.83 , 31.34 , 32.32 
6 , 3 , 2010 , 32.67 , 30.32 , 32.66 , 30.90 
6 , 4 , 2010 , 30.53 , 29.07 , 29.91 , 29.22 
6 , 7 , 2010 , 29.31 , 26.93 , 29.21 , 27.14 
6 , 8 , 2010 , 28.58 , 27.24 , 27.35 , 28.55 
6 , 9 , 2010 , 29.76 , 27.94 , 29.26 , 28.19 
6 , 10 , 2010 , 30.04 , 29.09 , 29.13 , 29.99 
6 , 11 , 2010 , 30.58 , 29.66 , 29.86 , 30.28 
6 , 14 , 2010 , 31.36 , 30.43 , 31.24 , 30.44 
6 , 15 , 2010 , 31.39 , 30.25 , 30.82 , 31.34 
6 , 16 , 2010 , 31.69 , 30.69 , 30.89 , 31.33 
6 , 17 , 2010 , 31.29 , 30.12 , 31.19 , 30.72 
6 , 18 , 2010 , 30.95 , 30.40 , 30.75 , 30.76 
6 , 21 , 2010 , 32.81 , 31.69 , 32.42 , 31.85 
6 , 22 , 2010 , 31.96 , 30.32 , 31.94 , 30.41 
6 , 23 , 2010 , 30.57 , 29.26 , 30.28 , 30.34 
6 , 24 , 2010 , 30.34 , 29.49 , 30.22 , 29.53 
6 , 25 , 2010 , 31.23 , 29.40 , 29.70 , 31.10 
6 , 28 , 2010 , 30.98 , 29.94 , 30.88 , 30.14 
6 , 29 , 2010 , 29.52 , 28.06 , 29.20 , 28.35 
6 , 30 , 2010 , 28.66 , 27.27 , 28.42 , 27.38 
7 , 1 , 2010 , 27.94 , 26.17 , 27.41 , 26.90 
7 , 2 , 2010 , 27.64 , 26.75 , 27.45 , 27.08 
7 , 6 , 2010 , 28.66 , 27.00 , 28.11 , 27.41 
7 , 7 , 2010 , 29.29 , 27.43 , 27.75 , 29.29 
7 , 8 , 2010 , 30.00 , 28.89 , 29.69 , 29.39 
7 , 9 , 2010 , 30.88 , 29.26 , 29.38 , 30.80 
7 , 12 , 2010 , 30.53 , 29.09 , 30.44 , 29.42 
7 , 13 , 2010 , 30.29 , 29.42 , 30.19 , 29.87 
7 , 14 , 2010 , 30.17 , 29.31 , 29.68 , 29.64 
7 , 15 , 2010 , 29.69 , 28.73 , 29.68 , 29.40 
7 , 16 , 2010 , 29.29 , 27.77 , 29.13 , 27.85 
7 , 19 , 2010 , 28.53 , 27.82 , 28.05 , 28.24 
7 , 20 , 2010 , 30.38 , 28.04 , 28.14 , 29.97 
7 , 21 , 2010 , 31.99 , 30.53 , 31.60 , 30.84 
7 , 22 , 2010 , 32.80 , 31.69 , 31.80 , 32.20 
7 , 23 , 2010 , 33.50 , 32.19 , 32.37 , 33.35 
7 , 26 , 2010 , 33.71 , 32.84 , 33.23 , 33.43 
7 , 27 , 2010 , 33.81 , 32.12 , 33.61 , 32.73 
7 , 28 , 2010 , 33.60 , 32.52 , 32.54 , 33.00 
7 , 29 , 2010 , 34.06 , 32.82 , 33.46 , 33.18 
7 , 30 , 2010 , 33.70 , 32.49 , 32.50 , 33.58 
8 , 2 , 2010 , 35.38 , 34.35 , 34.42 , 35.21 
8 , 3 , 2010 , 35.05 , 34.34 , 34.88 , 34.83 
8 , 4 , 2010 , 35.44 , 34.40 , 34.99 , 35.31 
8 , 5 , 2010 , 35.24 , 34.36 , 35.24 , 34.85 
8 , 6 , 2010 , 35.94 , 34.51 , 34.52 , 35.12 
8 , 9 , 2010 , 35.61 , 34.83 , 35.47 , 35.18 
8 , 10 , 2010 , 34.72 , 33.91 , 34.31 , 34.42 
8 , 11 , 2010 , 33.39 , 32.56 , 33.22 , 32.83 
8 , 12 , 2010 , 33.47 , 32.39 , 32.53 , 33.01 
8 , 13 , 2010 , 33.06 , 32.52 , 32.77 , 32.85 
8 , 16 , 2010 , 33.66 , 32.97 , 33.25 , 33.13 
8 , 17 , 2010 , 34.81 , 33.97 , 34.00 , 34.23 
8 , 18 , 2010 , 34.74 , 33.83 , 34.17 , 34.42 
8 , 19 , 2010 , 34.96 , 33.61 , 34.38 , 33.86 
8 , 20 , 2010 , 33.69 , 32.94 , 33.44 , 33.50 
8 , 23 , 2010 , 33.89 , 32.92 , 33.86 , 32.99 
8 , 24 , 2010 , 31.99 , 31.07 , 31.97 , 31.34 
8 , 25 , 2010 , 31.25 , 30.67 , 30.98 , 31.14 
8 , 26 , 2010 , 32.31 , 31.36 , 31.96 , 31.37 
8 , 27 , 2010 , 33.45 , 31.56 , 32.04 , 33.41 
8 , 30 , 2010 , 33.78 , 32.99 , 33.31 , 32.99 
8 , 31 , 2010 , 34.30 , 32.75 , 32.75 , 33.81 
9 , 1 , 2010 , 35.98 , 34.68 , 34.80 , 35.91 
9 , 2 , 2010 , 36.36 , 35.41 , 35.77 , 36.29 
9 , 3 , 2010 , 37.29 , 36.71 , 36.97 , 37.09 
9 , 7 , 2010 , 37.21 , 36.01 , 36.49 , 36.74 
9 , 8 , 2010 , 37.81 , 36.84 , 37.01 , 37.38 
9 , 9 , 2010 , 37.70 , 36.56 , 37.58 , 36.89 
9 , 10 , 2010 , 37.58 , 36.71 , 36.88 , 37.47 
9 , 13 , 2010 , 39.02 , 38.04 , 38.11 , 38.70 
9 , 14 , 2010 , 39.06 , 38.16 , 38.44 , 38.53 
9 , 15 , 2010 , 38.54 , 37.82 , 38.28 , 38.51 
9 , 16 , 2010 , 39.10 , 38.39 , 38.40 , 38.68 
9 , 17 , 2010 , 38.99 , 38.38 , 38.99 , 38.67 
9 , 20 , 2010 , 39.70 , 38.75 , 38.88 , 39.49 
9 , 21 , 2010 , 39.55 , 38.29 , 39.54 , 39.31 
9 , 22 , 2010 , 40.49 , 39.57 , 39.62 , 40.07 
9 , 23 , 2010 , 40.43 , 38.78 , 39.39 , 39.93 
9 , 24 , 2010 , 41.55 , 40.70 , 40.82 , 41.12 
9 , 27 , 2010 , 41.46 , 40.70 , 41.06 , 41.09 
9 , 28 , 2010 , 41.48 , 40.22 , 41.15 , 41.33 
9 , 29 , 2010 , 41.77 , 40.64 , 41.28 , 40.91 
9 , 30 , 2010 , 41.44 , 39.93 , 41.31 , 40.51 
10 , 1 , 2010 , 42.46 , 41.00 , 41.29 , 42.38 
10 , 4 , 2010 , 42.11 , 41.15 , 42.03 , 41.43 
10 , 5 , 2010 , 43.71 , 42.12 , 42.17 , 43.40 
10 , 6 , 2010 , 44.99 , 43.54 , 43.61 , 44.62 
10 , 7 , 2010 , 44.75 , 42.74 , 44.63 , 43.51 
10 , 8 , 2010 , 45.77 , 43.81 , 43.97 , 45.57 
10 , 11 , 2010 , 46.10 , 45.14 , 45.64 , 45.50 
10 , 12 , 2010 , 45.61 , 44.27 , 45.21 , 45.53 
10 , 13 , 2010 , 47.77 , 46.04 , 46.09 , 47.35 
10 , 14 , 2010 , 47.98 , 46.90 , 47.39 , 47.31 
10 , 15 , 2010 , 47.49 , 46.17 , 47.34 , 46.84 
10 , 18 , 2010 , 46.50 , 45.66 , 46.13 , 45.96 
10 , 19 , 2010 , 45.11 , 43.81 , 44.24 , 44.17 
10 , 20 , 2010 , 45.93 , 44.52 , 44.80 , 45.49 
10 , 21 , 2010 , 47.64 , 45.02 , 47.34 , 46.03 
10 , 22 , 2010 , 46.09 , 44.32 , 46.04 , 44.84 
10 , 25 , 2010 , 46.73 , 45.59 , 46.31 , 45.85 
10 , 26 , 2010 , 47.02 , 45.06 , 45.30 , 46.95 
10 , 27 , 2010 , 46.01 , 44.83 , 45.78 , 45.56 
10 , 28 , 2010 , 46.56 , 45.49 , 46.31 , 45.56 
10 , 29 , 2010 , 45.49 , 44.81 , 45.21 , 45.21 
11 , 1 , 2010 , 46.11 , 45.32 , 46.04 , 45.93 
11 , 2 , 2010 , 46.94 , 46.12 , 46.51 , 46.64 
11 , 3 , 2010 , 46.74 , 45.34 , 46.61 , 46.36 
11 , 4 , 2010 , 49.79 , 47.74 , 47.83 , 49.76 
11 , 5 , 2010 , 51.35 , 49.29 , 49.31 , 50.23 
11 , 8 , 2010 , 50.67 , 49.42 , 49.96 , 50.45 
11 , 9 , 2010 , 52.07 , 48.77 , 51.72 , 49.14 
11 , 10 , 2010 , 50.05 , 48.12 , 49.15 , 49.98 
11 , 11 , 2010 , 51.87 , 50.14 , 50.61 , 51.82 
11 , 12 , 2010 , 51.16 , 48.92 , 50.58 , 49.77 
11 , 15 , 2010 , 50.05 , 48.72 , 49.76 , 48.81 
11 , 16 , 2010 , 47.71 , 45.82 , 47.55 , 46.62 
11 , 17 , 2010 , 47.47 , 46.10 , 46.34 , 46.23 
11 , 18 , 2010 , 48.55 , 47.59 , 47.66 , 47.74 
11 , 19 , 2010 , 48.78 , 46.71 , 47.16 , 48.71 
11 , 22 , 2010 , 49.06 , 47.81 , 48.03 , 48.82 
11 , 23 , 2010 , 47.86 , 46.78 , 47.81 , 47.16 
11 , 24 , 2010 , 48.44 , 47.41 , 47.77 , 48.17 
11 , 26 , 2010 , 47.46 , 46.71 , 47.45 , 46.77 
11 , 29 , 2010 , 48.61 , 45.99 , 46.60 , 48.46 
11 , 30 , 2010 , 49.40 , 47.67 , 47.86 , 48.47 
12 , 1 , 2010 , 50.60 , 49.34 , 49.88 , 50.56 
12 , 2 , 2010 , 51.94 , 50.56 , 50.56 , 51.63 
12 , 3 , 2010 , 52.53 , 51.25 , 51.25 , 52.29 
12 , 6 , 2010 , 53.76 , 52.29 , 52.30 , 52.76 
12 , 7 , 2010 , 54.93 , 52.98 , 54.35 , 53.13 
12 , 8 , 2010 , 53.59 , 51.16 , 53.34 , 52.11 
12 , 9 , 2010 , 53.81 , 52.64 , 53.77 , 53.14 
12 , 10 , 2010 , 54.33 , 52.96 , 53.70 , 54.25 
12 , 13 , 2010 , 56.51 , 55.01 , 55.38 , 55.58 
12 , 14 , 2010 , 55.84 , 54.82 , 55.79 , 55.22 
12 , 15 , 2010 , 55.16 , 53.72 , 54.61 , 53.84 
12 , 16 , 2010 , 54.54 , 53.19 , 54.53 , 54.03 
12 , 17 , 2010 , 55.26 , 54.32 , 54.43 , 55.17 
12 , 20 , 2010 , 56.24 , 55.28 , 55.96 , 55.33 
12 , 21 , 2010 , 56.50 , 55.50 , 56.14 , 56.41 
12 , 22 , 2010 , 56.99 , 56.20 , 56.92 , 56.51 
12 , 23 , 2010 , 57.40 , 56.05 , 56.15 , 57.40 
12 , 27 , 2010 , 58.03 , 56.84 , 56.90 , 57.62 
12 , 28 , 2010 , 58.17 , 57.15 , 58.13 , 57.45 
12 , 29 , 2010 , 58.02 , 57.46 , 57.83 , 57.89 
12 , 30 , 2010 , 58.70 , 57.77 , 58.23 , 57.79 
12 , 31 , 2010 , 58.53 , 57.60 , 57.91 , 58.36 
1 , 3 , 2011 , 59.56 , 57.89 , 59.16 , 58.10 
1 , 4 , 2011 , 58.44 , 55.84 , 58.01 , 57.69 
1 , 5 , 2011 , 57.74 , 56.26 , 57.01 , 57.49 
1 , 6 , 2011 , 57.51 , 55.88 , 57.47 , 56.35 
