Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 90.51 , 89.05 , 89.05 , 89.80 
3 , 18 , 2010 , 92.96 , 87.00 , 87.85 , 92.67 
3 , 19 , 2010 , 92.17 , 90.36 , 92.02 , 91.05 
3 , 22 , 2010 , 91.00 , 89.52 , 90.50 , 89.68 
3 , 23 , 2010 , 92.01 , 89.64 , 89.66 , 91.63 
3 , 24 , 2010 , 91.50 , 90.10 , 91.42 , 90.24 
3 , 25 , 2010 , 91.94 , 90.01 , 91.18 , 90.94 
3 , 26 , 2010 , 91.88 , 90.34 , 91.19 , 91.35 
3 , 29 , 2010 , 92.43 , 90.84 , 91.75 , 92.23 
3 , 30 , 2010 , 93.23 , 91.68 , 92.52 , 92.82 
3 , 31 , 2010 , 93.66 , 91.60 , 92.17 , 93.40 
4 , 1 , 2010 , 94.53 , 91.69 , 94.01 , 92.17 
4 , 5 , 2010 , 92.63 , 91.66 , 92.12 , 92.46 
4 , 6 , 2010 , 92.84 , 91.76 , 92.09 , 92.37 
4 , 7 , 2010 , 92.35 , 90.20 , 92.03 , 90.67 
4 , 8 , 2010 , 90.94 , 89.82 , 90.45 , 90.72 
4 , 9 , 2010 , 91.64 , 90.28 , 90.48 , 91.26 
4 , 12 , 2010 , 91.70 , 90.58 , 91.07 , 90.82 
4 , 13 , 2010 , 90.95 , 89.92 , 90.69 , 90.72 
4 , 14 , 2010 , 94.23 , 90.77 , 91.12 , 94.01 
4 , 15 , 2010 , 97.75 , 95.30 , 95.56 , 95.62 
4 , 16 , 2010 , 95.39 , 93.41 , 95.24 , 93.87 
4 , 19 , 2010 , 94.27 , 91.93 , 93.32 , 92.55 
4 , 20 , 2010 , 93.56 , 91.55 , 93.34 , 92.04 
4 , 21 , 2010 , 92.50 , 91.12 , 91.98 , 91.50 
4 , 22 , 2010 , 91.94 , 89.90 , 91.01 , 91.71 
4 , 23 , 2010 , 92.83 , 91.30 , 91.93 , 92.81 
4 , 26 , 2010 , 93.99 , 92.27 , 93.03 , 92.50 
4 , 27 , 2010 , 92.71 , 89.43 , 91.73 , 89.72 
4 , 28 , 2010 , 91.42 , 89.66 , 90.37 , 90.84 
4 , 29 , 2010 , 92.80 , 91.28 , 91.47 , 92.58 
4 , 30 , 2010 , 93.80 , 89.90 , 92.42 , 90.01 
5 , 3 , 2010 , 92.74 , 90.32 , 90.68 , 92.47 
5 , 4 , 2010 , 91.24 , 88.34 , 91.03 , 89.37 
5 , 5 , 2010 , 89.64 , 87.85 , 88.45 , 88.56 
5 , 6 , 2010 , 89.28 , 81.50 , 87.95 , 85.99 
5 , 7 , 2010 , 86.16 , 81.80 , 86.16 , 83.14 
5 , 10 , 2010 , 88.46 , 86.10 , 87.03 , 87.72 
5 , 11 , 2010 , 89.62 , 86.32 , 86.93 , 88.11 
5 , 12 , 2010 , 89.92 , 88.00 , 88.62 , 89.76 
5 , 13 , 2010 , 89.62 , 87.67 , 89.25 , 87.98 
5 , 14 , 2010 , 87.42 , 85.01 , 87.30 , 85.91 
5 , 17 , 2010 , 86.96 , 84.00 , 86.13 , 85.89 
5 , 18 , 2010 , 86.83 , 83.77 , 85.96 , 84.06 
5 , 19 , 2010 , 84.71 , 82.12 , 83.27 , 84.09 
5 , 20 , 2010 , 83.17 , 81.02 , 82.55 , 81.10 
5 , 21 , 2010 , 83.35 , 79.41 , 80.14 , 83.06 
5 , 24 , 2010 , 83.47 , 81.41 , 82.66 , 81.47 
5 , 25 , 2010 , 80.89 , 78.29 , 79.11 , 80.71 
5 , 26 , 2010 , 82.71 , 81.01 , 81.44 , 81.64 
5 , 27 , 2010 , 84.29 , 82.13 , 83.16 , 84.16 
5 , 28 , 2010 , 84.63 , 82.67 , 84.04 , 83.49 
6 , 1 , 2010 , 83.41 , 81.20 , 82.49 , 81.29 
6 , 2 , 2010 , 83.41 , 81.49 , 81.93 , 83.32 
6 , 3 , 2010 , 84.85 , 82.66 , 83.84 , 83.98 
6 , 4 , 2010 , 82.62 , 78.84 , 82.21 , 79.37 
6 , 7 , 2010 , 79.93 , 76.45 , 79.47 , 76.52 
6 , 8 , 2010 , 79.01 , 76.03 , 77.07 , 78.68 
6 , 9 , 2010 , 80.25 , 77.12 , 79.38 , 77.55 
6 , 10 , 2010 , 80.34 , 78.65 , 79.14 , 80.26 
6 , 11 , 2010 , 80.74 , 78.82 , 79.53 , 80.63 
6 , 14 , 2010 , 82.50 , 80.75 , 81.18 , 81.47 
6 , 15 , 2010 , 83.15 , 81.63 , 82.10 , 83.01 
6 , 16 , 2010 , 82.05 , 77.92 , 81.40 , 78.07 
6 , 17 , 2010 , 78.52 , 77.13 , 78.50 , 78.11 
6 , 18 , 2010 , 78.83 , 77.91 , 78.47 , 78.70 
6 , 21 , 2010 , 80.09 , 78.02 , 79.69 , 78.58 
6 , 22 , 2010 , 78.96 , 75.88 , 78.52 , 76.20 
6 , 23 , 2010 , 77.22 , 75.44 , 76.43 , 76.59 
6 , 24 , 2010 , 77.33 , 75.69 , 76.02 , 75.96 
6 , 25 , 2010 , 76.24 , 74.42 , 76.12 , 75.96 
6 , 28 , 2010 , 76.55 , 74.93 , 75.80 , 75.13 
6 , 29 , 2010 , 74.27 , 70.94 , 74.01 , 71.51 
6 , 30 , 2010 , 71.90 , 69.98 , 71.47 , 70.11 
7 , 1 , 2010 , 72.19 , 69.78 , 70.71 , 72.00 
7 , 2 , 2010 , 72.60 , 71.02 , 72.39 , 71.41 
7 , 6 , 2010 , 72.71 , 70.06 , 72.23 , 70.70 
7 , 7 , 2010 , 72.91 , 70.57 , 71.00 , 72.89 
7 , 8 , 2010 , 74.44 , 72.63 , 73.49 , 73.68 
7 , 9 , 2010 , 74.36 , 72.52 , 73.87 , 74.22 
7 , 12 , 2010 , 75.40 , 73.58 , 75.21 , 74.16 
7 , 13 , 2010 , 77.68 , 75.11 , 75.16 , 77.29 
7 , 14 , 2010 , 79.12 , 76.91 , 77.01 , 78.73 
7 , 15 , 2010 , 78.80 , 76.24 , 78.75 , 77.22 
7 , 16 , 2010 , 76.99 , 74.37 , 76.80 , 74.61 
7 , 19 , 2010 , 75.22 , 73.70 , 74.91 , 74.99 
7 , 20 , 2010 , 76.04 , 73.26 , 74.10 , 75.91 
7 , 21 , 2010 , 76.57 , 73.35 , 76.53 , 74.03 
