Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 12.90 , 12.64 , 12.74 , 12.82 
3 , 18 , 2010 , 12.85 , 12.75 , 12.81 , 12.77 
3 , 19 , 2010 , 12.87 , 12.63 , 12.86 , 12.67 
3 , 22 , 2010 , 12.86 , 12.60 , 12.65 , 12.82 
3 , 23 , 2010 , 12.82 , 12.68 , 12.82 , 12.75 
3 , 24 , 2010 , 12.74 , 12.63 , 12.70 , 12.68 
3 , 25 , 2010 , 12.75 , 12.57 , 12.72 , 12.57 
3 , 26 , 2010 , 12.67 , 12.53 , 12.65 , 12.60 
3 , 29 , 2010 , 12.70 , 12.58 , 12.61 , 12.63 
3 , 30 , 2010 , 12.72 , 12.55 , 12.60 , 12.69 
3 , 31 , 2010 , 12.76 , 12.66 , 12.68 , 12.69 
4 , 1 , 2010 , 12.86 , 12.64 , 12.64 , 12.78 
4 , 5 , 2010 , 12.88 , 12.76 , 12.79 , 12.85 
4 , 6 , 2010 , 12.89 , 12.77 , 12.79 , 12.87 
4 , 7 , 2010 , 12.84 , 12.74 , 12.81 , 12.79 
4 , 8 , 2010 , 12.86 , 12.65 , 12.73 , 12.82 
4 , 9 , 2010 , 12.94 , 12.78 , 12.88 , 12.94 
4 , 12 , 2010 , 12.98 , 12.90 , 12.95 , 12.94 
4 , 13 , 2010 , 12.98 , 12.83 , 12.91 , 12.95 
4 , 14 , 2010 , 13.08 , 12.92 , 12.95 , 13.08 
4 , 15 , 2010 , 13.39 , 13.06 , 13.07 , 13.37 
4 , 16 , 2010 , 13.36 , 13.13 , 13.33 , 13.25 
4 , 19 , 2010 , 13.30 , 13.15 , 13.22 , 13.30 
4 , 20 , 2010 , 13.42 , 13.28 , 13.33 , 13.38 
4 , 21 , 2010 , 13.39 , 13.25 , 13.31 , 13.38 
4 , 22 , 2010 , 13.48 , 13.22 , 13.31 , 13.46 
4 , 23 , 2010 , 13.55 , 13.34 , 13.48 , 13.52 
4 , 26 , 2010 , 13.79 , 13.52 , 13.74 , 13.54 
4 , 27 , 2010 , 13.69 , 13.37 , 13.49 , 13.41 
4 , 28 , 2010 , 13.56 , 13.37 , 13.52 , 13.51 
4 , 29 , 2010 , 13.70 , 13.48 , 13.54 , 13.67 
4 , 30 , 2010 , 13.02 , 12.67 , 12.95 , 12.78 
5 , 3 , 2010 , 13.03 , 12.70 , 12.70 , 13.03 
5 , 4 , 2010 , 12.90 , 12.63 , 12.90 , 12.75 
5 , 5 , 2010 , 12.93 , 12.57 , 12.80 , 12.74 
5 , 6 , 2010 , 13.82 , 12.50 , 12.63 , 12.93 
5 , 7 , 2010 , 13.02 , 12.55 , 12.83 , 12.76 
5 , 10 , 2010 , 13.38 , 12.94 , 13.11 , 13.18 
