Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 1.70 , 1.64 , 1.66 , 1.69 
3 , 18 , 2010 , 1.75 , 1.70 , 1.70 , 1.72 
3 , 19 , 2010 , 1.73 , 1.67 , 1.72 , 1.71 
3 , 22 , 2010 , 1.73 , 1.70 , 1.70 , 1.71 
3 , 23 , 2010 , 1.74 , 1.71 , 1.71 , 1.73 
3 , 24 , 2010 , 1.76 , 1.71 , 1.73 , 1.72 
3 , 25 , 2010 , 1.76 , 1.72 , 1.73 , 1.72 
3 , 26 , 2010 , 1.73 , 1.69 , 1.72 , 1.71 
3 , 29 , 2010 , 1.74 , 1.70 , 1.70 , 1.74 
3 , 30 , 2010 , 1.77 , 1.73 , 1.74 , 1.77 
3 , 31 , 2010 , 1.79 , 1.75 , 1.76 , 1.76 
4 , 1 , 2010 , 1.80 , 1.76 , 1.78 , 1.77 
4 , 5 , 2010 , 1.78 , 1.71 , 1.78 , 1.73 
4 , 6 , 2010 , 1.74 , 1.70 , 1.72 , 1.72 
4 , 7 , 2010 , 1.75 , 1.69 , 1.73 , 1.73 
4 , 8 , 2010 , 1.74 , 1.68 , 1.73 , 1.70 
4 , 9 , 2010 , 1.72 , 1.63 , 1.70 , 1.69 
4 , 12 , 2010 , 1.71 , 1.67 , 1.68 , 1.70 
4 , 13 , 2010 , 1.71 , 1.64 , 1.69 , 1.64 
4 , 14 , 2010 , 1.72 , 1.62 , 1.66 , 1.71 
4 , 15 , 2010 , 1.71 , 1.64 , 1.70 , 1.65 
4 , 16 , 2010 , 1.65 , 1.59 , 1.65 , 1.62 
4 , 19 , 2010 , 1.65 , 1.62 , 1.62 , 1.63 
4 , 20 , 2010 , 1.67 , 1.62 , 1.63 , 1.67 
4 , 21 , 2010 , 1.69 , 1.64 , 1.67 , 1.64 
4 , 22 , 2010 , 1.66 , 1.61 , 1.62 , 1.64 
4 , 23 , 2010 , 1.66 , 1.59 , 1.64 , 1.66 
4 , 26 , 2010 , 1.67 , 1.62 , 1.66 , 1.63 
4 , 27 , 2010 , 1.67 , 1.60 , 1.62 , 1.64 
4 , 28 , 2010 , 1.69 , 1.62 , 1.67 , 1.68 
4 , 29 , 2010 , 1.80 , 1.69 , 1.73 , 1.78 
4 , 30 , 2010 , 1.92 , 1.75 , 1.79 , 1.78 
5 , 3 , 2010 , 1.87 , 1.78 , 1.78 , 1.86 
5 , 4 , 2010 , 1.91 , 1.75 , 1.85 , 1.79 
5 , 5 , 2010 , 1.79 , 1.73 , 1.79 , 1.76 
5 , 6 , 2010 , 1.77 , 1.56 , 1.75 , 1.72 
5 , 7 , 2010 , 1.72 , 1.62 , 1.71 , 1.65 
5 , 10 , 2010 , 1.75 , 1.67 , 1.74 , 1.69 
5 , 11 , 2010 , 1.71 , 1.65 , 1.66 , 1.68 
5 , 12 , 2010 , 1.73 , 1.67 , 1.69 , 1.72 
5 , 13 , 2010 , 1.71 , 1.66 , 1.70 , 1.68 
5 , 14 , 2010 , 1.67 , 1.61 , 1.65 , 1.61 
5 , 17 , 2010 , 1.68 , 1.51 , 1.52 , 1.68 
