Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 75.00 , 73.59 , 73.91 , 74.98 
3 , 18 , 2010 , 75.50 , 74.79 , 74.86 , 75.24 
3 , 19 , 2010 , 76.24 , 75.24 , 75.69 , 75.49 
3 , 22 , 2010 , 75.82 , 74.59 , 75.23 , 75.66 
3 , 23 , 2010 , 76.96 , 75.79 , 75.88 , 76.94 
3 , 24 , 2010 , 76.76 , 75.60 , 76.74 , 75.74 
3 , 25 , 2010 , 76.96 , 75.73 , 76.34 , 76.22 
3 , 26 , 2010 , 77.05 , 76.15 , 76.50 , 76.92 
3 , 29 , 2010 , 78.62 , 77.17 , 77.35 , 78.48 
3 , 30 , 2010 , 78.48 , 77.07 , 78.48 , 77.49 
3 , 31 , 2010 , 77.79 , 76.98 , 77.34 , 77.20 
4 , 1 , 2010 , 78.33 , 77.37 , 77.53 , 77.91 
4 , 5 , 2010 , 78.96 , 77.74 , 78.47 , 78.23 
4 , 6 , 2010 , 77.97 , 76.74 , 77.70 , 77.41 
4 , 7 , 2010 , 77.19 , 76.32 , 76.97 , 76.47 
4 , 8 , 2010 , 77.13 , 75.94 , 76.18 , 76.81 
4 , 9 , 2010 , 77.58 , 76.68 , 77.08 , 77.54 
4 , 12 , 2010 , 78.18 , 77.14 , 77.54 , 77.30 
4 , 13 , 2010 , 77.35 , 76.07 , 77.35 , 76.85 
4 , 14 , 2010 , 76.97 , 76.30 , 76.87 , 76.71 
4 , 15 , 2010 , 77.06 , 76.19 , 76.43 , 76.46 
4 , 16 , 2010 , 76.95 , 75.53 , 76.22 , 76.04 
4 , 19 , 2010 , 76.32 , 75.61 , 75.94 , 76.14 
4 , 20 , 2010 , 77.06 , 76.19 , 76.34 , 76.94 
4 , 21 , 2010 , 78.24 , 76.75 , 77.02 , 78.05 
4 , 22 , 2010 , 78.30 , 76.60 , 77.56 , 78.21 
4 , 23 , 2010 , 78.64 , 77.57 , 78.28 , 78.60 
4 , 26 , 2010 , 79.00 , 78.26 , 78.38 , 78.67 
4 , 27 , 2010 , 78.70 , 76.52 , 78.50 , 76.56 
4 , 28 , 2010 , 77.35 , 75.95 , 76.72 , 76.98 
4 , 29 , 2010 , 78.10 , 76.58 , 77.55 , 77.96 
4 , 30 , 2010 , 78.33 , 76.33 , 78.12 , 76.36 
5 , 3 , 2010 , 77.58 , 76.36 , 76.83 , 77.55 
5 , 4 , 2010 , 76.81 , 74.72 , 76.81 , 75.28 
5 , 5 , 2010 , 75.61 , 74.32 , 74.65 , 74.96 
5 , 6 , 2010 , 75.23 , 64.58 , 74.52 , 72.06 
5 , 7 , 2010 , 72.10 , 69.46 , 72.10 , 70.50 
5 , 10 , 2010 , 74.25 , 71.43 , 73.00 , 73.11 
5 , 11 , 2010 , 73.54 , 72.13 , 72.68 , 72.65 
5 , 12 , 2010 , 74.47 , 72.78 , 72.97 , 74.09 
5 , 13 , 2010 , 74.39 , 72.88 , 74.03 , 72.96 
5 , 14 , 2010 , 72.67 , 70.90 , 72.30 , 71.71 
5 , 17 , 2010 , 72.32 , 70.34 , 72.04 , 71.77 
5 , 18 , 2010 , 72.34 , 70.44 , 71.81 , 70.55 
5 , 19 , 2010 , 70.35 , 68.55 , 70.14 , 69.68 
5 , 20 , 2010 , 68.26 , 66.30 , 68.22 , 66.30 
5 , 21 , 2010 , 67.68 , 64.90 , 65.39 , 67.45 
5 , 24 , 2010 , 67.28 , 65.88 , 67.28 , 65.96 
5 , 25 , 2010 , 66.16 , 64.00 , 64.06 , 66.04 
5 , 26 , 2010 , 67.45 , 66.18 , 66.52 , 66.38 
5 , 27 , 2010 , 68.48 , 67.17 , 67.20 , 68.48 
5 , 28 , 2010 , 68.69 , 67.52 , 68.49 , 67.90 
6 , 1 , 2010 , 68.42 , 66.73 , 67.00 , 66.74 
6 , 2 , 2010 , 67.99 , 65.95 , 67.17 , 67.92 
6 , 3 , 2010 , 69.10 , 67.65 , 68.20 , 68.07 
6 , 4 , 2010 , 67.06 , 64.95 , 67.06 , 65.18 
6 , 7 , 2010 , 65.32 , 61.97 , 65.32 , 62.08 
6 , 8 , 2010 , 62.93 , 61.79 , 62.10 , 62.65 
6 , 9 , 2010 , 63.84 , 62.33 , 62.79 , 62.55 
6 , 10 , 2010 , 64.24 , 63.24 , 63.30 , 64.07 
6 , 11 , 2010 , 64.70 , 62.95 , 63.41 , 64.58 
6 , 14 , 2010 , 65.41 , 64.15 , 65.13 , 64.31 
6 , 15 , 2010 , 66.67 , 64.65 , 64.89 , 66.62 
6 , 16 , 2010 , 66.61 , 65.87 , 66.10 , 66.29 
6 , 17 , 2010 , 66.55 , 65.44 , 66.22 , 66.31 
6 , 18 , 2010 , 67.09 , 66.42 , 66.42 , 66.90 
6 , 21 , 2010 , 68.08 , 66.45 , 67.98 , 66.78 
6 , 22 , 2010 , 67.35 , 65.31 , 67.11 , 65.45 
6 , 23 , 2010 , 65.63 , 64.01 , 65.55 , 64.89 
6 , 24 , 2010 , 65.10 , 63.14 , 64.67 , 63.25 
6 , 25 , 2010 , 63.68 , 62.31 , 63.35 , 63.22 
6 , 28 , 2010 , 63.42 , 62.16 , 63.42 , 62.26 
6 , 29 , 2010 , 61.57 , 59.20 , 61.33 , 59.43 
6 , 30 , 2010 , 59.69 , 58.47 , 58.92 , 58.56 
7 , 1 , 2010 , 58.84 , 57.68 , 58.61 , 58.50 
7 , 2 , 2010 , 59.25 , 58.30 , 58.79 , 58.70 
7 , 6 , 2010 , 59.71 , 58.12 , 59.08 , 58.64 
7 , 7 , 2010 , 60.27 , 58.58 , 58.87 , 60.22 
7 , 8 , 2010 , 61.08 , 60.31 , 60.58 , 60.97 
7 , 9 , 2010 , 60.86 , 60.00 , 60.78 , 60.84 
7 , 12 , 2010 , 60.43 , 59.52 , 60.34 , 59.87 
7 , 13 , 2010 , 60.83 , 60.07 , 60.42 , 60.56 
7 , 14 , 2010 , 61.61 , 60.16 , 60.26 , 61.61 
7 , 15 , 2010 , 61.83 , 60.45 , 61.60 , 61.47 
7 , 16 , 2010 , 61.29 , 58.75 , 60.97 , 58.90 
7 , 19 , 2010 , 59.04 , 58.20 , 58.84 , 58.60 
7 , 20 , 2010 , 59.22 , 56.93 , 57.91 , 59.21 
7 , 21 , 2010 , 60.44 , 59.00 , 59.53 , 59.28 
7 , 22 , 2010 , 61.40 , 59.90 , 59.90 , 61.03 
7 , 23 , 2010 , 61.87 , 60.48 , 60.98 , 61.29 
7 , 26 , 2010 , 63.08 , 61.29 , 61.31 , 62.49 
7 , 27 , 2010 , 62.74 , 61.70 , 62.57 , 61.77 
7 , 28 , 2010 , 62.57 , 61.22 , 61.52 , 61.80 
7 , 29 , 2010 , 62.69 , 61.03 , 62.30 , 61.73 
7 , 30 , 2010 , 61.52 , 60.58 , 60.99 , 61.25 
8 , 2 , 2010 , 63.15 , 61.74 , 62.06 , 62.91 
8 , 3 , 2010 , 63.20 , 62.44 , 62.61 , 62.67 
8 , 4 , 2010 , 63.46 , 62.72 , 62.93 , 63.34 
8 , 5 , 2010 , 63.79 , 62.89 , 63.07 , 63.77 
8 , 6 , 2010 , 64.02 , 62.97 , 63.28 , 63.78 
8 , 9 , 2010 , 64.40 , 63.87 , 64.05 , 64.32 
8 , 10 , 2010 , 64.44 , 63.09 , 63.63 , 64.09 
8 , 11 , 2010 , 63.18 , 61.02 , 63.17 , 61.32 
8 , 12 , 2010 , 61.02 , 60.21 , 60.28 , 60.72 
8 , 13 , 2010 , 61.16 , 60.40 , 60.52 , 60.67 
