Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 88.06 , 86.00 , 87.68 , 86.34 
3 , 18 , 2010 , 87.39 , 85.71 , 86.58 , 87.05 
3 , 19 , 2010 , 87.77 , 85.81 , 87.68 , 86.48 
3 , 22 , 2010 , 86.77 , 85.19 , 85.48 , 86.48 
3 , 23 , 2010 , 88.30 , 86.86 , 86.91 , 87.72 
3 , 24 , 2010 , 90.64 , 87.43 , 87.87 , 88.30 
3 , 25 , 2010 , 89.78 , 87.39 , 89.54 , 87.58 
3 , 26 , 2010 , 89.16 , 87.01 , 87.68 , 87.77 
3 , 29 , 2010 , 88.83 , 87.32 , 88.63 , 88.06 
3 , 30 , 2010 , 88.44 , 87.34 , 88.39 , 87.58 
3 , 31 , 2010 , 87.87 , 86.77 , 87.15 , 87.10 
4 , 1 , 2010 , 88.06 , 87.01 , 87.44 , 87.72 
4 , 5 , 2010 , 89.26 , 87.72 , 88.16 , 88.68 
4 , 6 , 2010 , 89.26 , 88.11 , 88.30 , 89.02 
4 , 7 , 2010 , 89.73 , 88.01 , 88.87 , 88.54 
4 , 8 , 2010 , 89.26 , 87.34 , 88.01 , 88.83 
4 , 9 , 2010 , 89.35 , 88.06 , 88.97 , 88.63 
4 , 12 , 2010 , 90.84 , 88.73 , 88.83 , 89.54 
4 , 13 , 2010 , 91.55 , 89.59 , 89.73 , 90.69 
4 , 14 , 2010 , 92.85 , 90.96 , 91.94 , 92.61 
4 , 15 , 2010 , 94.23 , 92.70 , 93.08 , 93.32 
4 , 16 , 2010 , 93.08 , 89.26 , 93.04 , 90.79 
4 , 19 , 2010 , 90.79 , 89.21 , 89.21 , 90.64 
4 , 20 , 2010 , 91.89 , 90.84 , 91.12 , 90.93 
4 , 21 , 2010 , 91.79 , 90.40 , 91.41 , 91.07 
4 , 22 , 2010 , 90.98 , 89.06 , 90.50 , 90.69 
4 , 23 , 2010 , 91.41 , 89.97 , 90.26 , 91.27 
4 , 26 , 2010 , 92.70 , 91.41 , 91.84 , 92.37 
4 , 27 , 2010 , 93.28 , 88.97 , 92.08 , 89.50 
4 , 28 , 2010 , 91.36 , 89.26 , 89.35 , 90.69 
