Month , Day , Year , High , Low , Open , Close
6 , 7 , 2024 , 165.76 , 159.04 , 159.50 , 162.08 
6 , 10 , 2024 , 170.00 , 160.60 , 161.22 , 166.64 
6 , 11 , 2024 , 168.54 , 163.30 , 165.50 , 168.23 
6 , 12 , 2024 , 179.22 , 171.16 , 171.54 , 177.52 
6 , 13 , 2024 , 181.96 , 172.84 , 179.80 , 176.17 
6 , 14 , 2024 , 174.78 , 166.20 , 174.09 , 170.17 
6 , 17 , 2024 , 171.88 , 166.15 , 169.75 , 168.76 
6 , 18 , 2024 , 180.25 , 166.33 , 167.94 , 179.57 
6 , 20 , 2024 , 185.50 , 175.10 , 178.47 , 177.18 
6 , 21 , 2024 , 177.18 , 170.40 , 177.10 , 175.73 
6 , 24 , 2024 , 179.15 , 174.77 , 176.55 , 178.14 
6 , 25 , 2024 , 181.50 , 176.27 , 179.80 , 181.45 
6 , 26 , 2024 , 181.73 , 177.62 , 180.89 , 180.00 
6 , 27 , 2024 , 179.27 , 173.25 , 178.39 , 176.28 
6 , 28 , 2024 , 176.30 , 167.18 , 174.80 , 171.51 
7 , 1 , 2024 , 171.20 , 165.12 , 171.00 , 167.52 
7 , 2 , 2024 , 171.98 , 165.41 , 165.41 , 169.81 
7 , 3 , 2024 , 174.78 , 169.18 , 170.10 , 172.68 
7 , 5 , 2024 , 177.44 , 171.26 , 171.50 , 176.23 
7 , 8 , 2024 , 178.60 , 174.17 , 176.81 , 174.37 
7 , 9 , 2024 , 174.83 , 172.60 , 174.28 , 172.98 
7 , 10 , 2024 , 179.80 , 174.60 , 174.93 , 179.73 
7 , 11 , 2024 , 183.16 , 176.55 , 181.00 , 176.70 
7 , 12 , 2024 , 184.33 , 174.40 , 177.95 , 180.45 
7 , 15 , 2024 , 181.81 , 176.50 , 180.24 , 177.44 
7 , 16 , 2024 , 183.89 , 178.18 , 178.78 , 182.74 
7 , 17 , 2024 , 180.20 , 162.90 , 180.20 , 165.83 
7 , 18 , 2024 , 171.45 , 159.43 , 168.00 , 161.49 
7 , 19 , 2024 , 163.69 , 159.11 , 162.00 , 163.34 
7 , 22 , 2024 , 168.25 , 163.68 , 166.38 , 166.76 
7 , 23 , 2024 , 171.01 , 166.22 , 167.00 , 170.49 
7 , 24 , 2024 , 172.30 , 162.73 , 167.34 , 162.90 
7 , 25 , 2024 , 166.29 , 156.41 , 166.00 , 160.00 
7 , 26 , 2024 , 173.98 , 163.69 , 168.46 , 173.11 
7 , 29 , 2024 , 174.77 , 169.85 , 174.32 , 172.05 
7 , 30 , 2024 , 174.07 , 162.45 , 172.93 , 162.70 
7 , 31 , 2024 , 180.26 , 171.25 , 171.25 , 178.24 
8 , 1 , 2024 , 183.86 , 171.81 , 181.90 , 174.03 
8 , 2 , 2024 , 169.99 , 161.50 , 168.78 , 164.73 
8 , 5 , 2024 , 165.39 , 150.01 , 152.41 , 162.24 
8 , 6 , 2024 , 166.47 , 160.00 , 163.08 , 164.35 
8 , 7 , 2024 , 172.75 , 164.69 , 168.66 , 166.07 
8 , 8 , 2024 , 177.46 , 165.05 , 169.20 , 177.21 
8 , 9 , 2024 , 179.55 , 172.60 , 176.52 , 179.11 
8 , 12 , 2024 , 180.50 , 174.39 , 178.49 , 176.44 
8 , 13 , 2024 , 180.26 , 175.32 , 178.05 , 179.65 
8 , 14 , 2024 , 185.19 , 178.25 , 180.00 , 184.16 
8 , 15 , 2024 , 190.80 , 181.61 , 185.50 , 188.82 
8 , 16 , 2024 , 188.82 , 180.39 , 188.72 , 184.06 
8 , 19 , 2024 , 185.51 , 181.22 , 184.10 , 185.40 
8 , 20 , 2024 , 186.00 , 181.68 , 184.96 , 184.00 
8 , 21 , 2024 , 185.24 , 181.81 , 183.47 , 184.26 
8 , 22 , 2024 , 186.75 , 182.31 , 185.00 , 186.00 
8 , 23 , 2024 , 183.56 , 173.07 , 180.80 , 183.29 
8 , 26 , 2024 , 183.27 , 179.19 , 181.48 , 182.13 
8 , 27 , 2024 , 187.10 , 180.49 , 181.00 , 185.55 
8 , 28 , 2024 , 185.37 , 180.77 , 183.85 , 184.00 
8 , 29 , 2024 , 195.68 , 185.36 , 186.00 , 191.36 
8 , 30 , 2024 , 201.37 , 194.20 , 195.86 , 201.00 
9 , 3 , 2024 , 202.60 , 187.55 , 200.00 , 192.55 
9 , 4 , 2024 , 204.19 , 192.12 , 193.03 , 199.63 
9 , 5 , 2024 , 200.73 , 194.27 , 197.09 , 198.44 
9 , 6 , 2024 , 201.18 , 193.38 , 198.99 , 198.33 
9 , 9 , 2024 , 202.93 , 197.38 , 200.01 , 201.81 
9 , 10 , 2024 , 203.00 , 199.14 , 202.74 , 202.01 
9 , 11 , 2024 , 210.12 , 201.50 , 204.10 , 209.15 
9 , 12 , 2024 , 217.09 , 199.65 , 200.00 , 215.27 
9 , 13 , 2024 , 228.68 , 219.01 , 220.65 , 225.59 
9 , 16 , 2024 , 231.51 , 225.24 , 227.88 , 229.93 
9 , 17 , 2024 , 240.00 , 233.51 , 237.67 , 237.15 
9 , 18 , 2024 , 241.52 , 234.00 , 238.62 , 235.67 
9 , 19 , 2024 , 245.00 , 238.11 , 243.31 , 244.45 
9 , 20 , 2024 , 250.85 , 242.25 , 243.23 , 245.46 
9 , 23 , 2024 , 254.87 , 246.79 , 247.83 , 251.53 
9 , 24 , 2024 , 257.50 , 252.12 , 254.00 , 255.48 
9 , 25 , 2024 , 257.75 , 252.17 , 257.10 , 255.05 
9 , 26 , 2024 , 258.64 , 247.07 , 257.76 , 251.22 
9 , 27 , 2024 , 254.43 , 249.58 , 250.76 , 249.86 
9 , 30 , 2024 , 255.35 , 248.96 , 251.00 , 254.98 
10 , 1 , 2024 , 257.60 , 251.10 , 256.00 , 256.53 
10 , 2 , 2024 , 257.53 , 248.50 , 251.00 , 252.29 
10 , 3 , 2024 , 257.24 , 250.89 , 253.15 , 254.68 
10 , 4 , 2024 , 266.42 , 253.23 , 257.00 , 265.59 
10 , 7 , 2024 , 265.98 , 260.52 , 264.52 , 262.54 
10 , 8 , 2024 , 266.56 , 262.25 , 264.03 , 264.27 
10 , 9 , 2024 , 269.30 , 262.88 , 264.50 , 266.60 
10 , 10 , 2024 , 266.55 , 261.79 , 264.00 , 264.62 
10 , 11 , 2024 , 270.11 , 261.05 , 263.75 , 266.89 
10 , 14 , 2024 , 270.83 , 265.69 , 267.26 , 269.50 
10 , 15 , 2024 , 270.87 , 260.05 , 270.00 , 266.36 
10 , 16 , 2024 , 276.19 , 267.69 , 268.90 , 274.77 
10 , 17 , 2024 , 281.37 , 271.89 , 279.24 , 272.00 
10 , 18 , 2024 , 275.30 , 271.35 , 273.69 , 272.72 
10 , 21 , 2024 , 277.60 , 272.28 , 277.00 , 276.43 
