Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 23.80 , 23.45 , 23.72 , 23.59 
3 , 18 , 2010 , 23.75 , 23.49 , 23.67 , 23.71 
3 , 19 , 2010 , 24.00 , 23.45 , 23.84 , 23.94 
3 , 22 , 2010 , 24.33 , 23.90 , 23.96 , 24.08 
3 , 23 , 2010 , 24.22 , 23.72 , 24.21 , 23.88 
3 , 24 , 2010 , 23.89 , 23.55 , 23.73 , 23.65 
3 , 25 , 2010 , 23.75 , 22.88 , 23.69 , 22.98 
3 , 26 , 2010 , 23.18 , 22.49 , 23.12 , 22.67 
3 , 29 , 2010 , 23.11 , 22.66 , 22.67 , 22.94 
3 , 30 , 2010 , 23.07 , 22.65 , 23.04 , 22.81 
3 , 31 , 2010 , 22.88 , 22.67 , 22.76 , 22.74 
4 , 1 , 2010 , 23.01 , 22.64 , 22.76 , 22.82 
4 , 5 , 2010 , 23.10 , 22.71 , 23.02 , 22.92 
4 , 6 , 2010 , 22.89 , 22.71 , 22.77 , 22.76 
4 , 7 , 2010 , 22.84 , 22.61 , 22.84 , 22.73 
4 , 8 , 2010 , 22.99 , 22.55 , 22.75 , 22.91 
4 , 9 , 2010 , 22.98 , 22.76 , 22.91 , 22.90 
4 , 12 , 2010 , 23.06 , 22.85 , 22.91 , 22.94 
4 , 13 , 2010 , 23.31 , 22.88 , 22.97 , 23.18 
4 , 14 , 2010 , 23.31 , 22.90 , 22.97 , 23.03 
4 , 15 , 2010 , 23.09 , 22.60 , 22.97 , 22.66 
4 , 16 , 2010 , 22.94 , 22.63 , 22.64 , 22.85 
4 , 19 , 2010 , 22.99 , 22.60 , 22.87 , 22.87 
4 , 20 , 2010 , 22.99 , 22.38 , 22.83 , 22.54 
4 , 21 , 2010 , 21.25 , 19.95 , 20.99 , 20.38 
4 , 22 , 2010 , 20.81 , 20.24 , 20.53 , 20.30 
4 , 23 , 2010 , 20.88 , 20.43 , 20.49 , 20.84 
4 , 26 , 2010 , 20.80 , 20.27 , 20.78 , 20.28 
4 , 27 , 2010 , 20.58 , 20.10 , 20.49 , 20.19 
4 , 28 , 2010 , 20.44 , 20.12 , 20.18 , 20.34 
4 , 29 , 2010 , 20.54 , 20.16 , 20.38 , 20.20 
4 , 30 , 2010 , 20.55 , 19.78 , 20.54 , 19.86 
5 , 3 , 2010 , 20.06 , 19.78 , 19.87 , 19.88 
5 , 4 , 2010 , 19.75 , 19.21 , 19.68 , 19.27 
5 , 5 , 2010 , 20.19 , 19.14 , 19.24 , 20.11 
5 , 6 , 2010 , 20.13 , 19.01 , 19.88 , 19.59 
5 , 7 , 2010 , 19.66 , 19.04 , 19.50 , 19.19 
5 , 10 , 2010 , 19.90 , 19.02 , 19.31 , 19.19 
5 , 11 , 2010 , 20.13 , 19.37 , 19.47 , 19.63 
5 , 12 , 2010 , 20.11 , 19.68 , 19.80 , 20.08 
5 , 13 , 2010 , 20.18 , 19.72 , 20.10 , 19.74 
5 , 14 , 2010 , 19.86 , 18.78 , 19.75 , 18.89 
5 , 17 , 2010 , 19.15 , 18.73 , 18.85 , 19.12 
5 , 18 , 2010 , 19.44 , 19.07 , 19.12 , 19.14 
5 , 19 , 2010 , 19.72 , 19.05 , 19.20 , 19.50 
5 , 20 , 2010 , 19.32 , 18.47 , 19.29 , 18.49 
5 , 21 , 2010 , 18.59 , 18.05 , 18.19 , 18.29 
5 , 24 , 2010 , 18.44 , 17.96 , 18.09 , 18.18 
5 , 25 , 2010 , 18.14 , 17.81 , 18.08 , 18.09 
5 , 26 , 2010 , 18.35 , 17.39 , 18.11 , 17.41 
5 , 27 , 2010 , 18.15 , 17.62 , 17.75 , 18.12 
5 , 28 , 2010 , 18.24 , 17.93 , 18.19 , 17.96 
6 , 1 , 2010 , 18.15 , 17.71 , 17.91 , 17.72 
6 , 2 , 2010 , 18.01 , 17.61 , 17.91 , 18.00 
6 , 3 , 2010 , 18.16 , 17.80 , 17.93 , 17.95 
6 , 4 , 2010 , 17.74 , 17.28 , 17.56 , 17.35 
6 , 7 , 2010 , 17.50 , 17.18 , 17.41 , 17.22 
6 , 8 , 2010 , 17.26 , 16.42 , 17.20 , 16.73 
6 , 9 , 2010 , 16.89 , 16.44 , 16.79 , 16.46 
6 , 10 , 2010 , 16.95 , 16.54 , 16.58 , 16.86 
6 , 11 , 2010 , 17.33 , 16.75 , 16.85 , 17.27 
6 , 14 , 2010 , 17.63 , 17.29 , 17.37 , 17.32 
6 , 15 , 2010 , 17.79 , 17.35 , 17.37 , 17.77 
6 , 16 , 2010 , 18.07 , 17.30 , 17.64 , 17.91 
6 , 17 , 2010 , 18.05 , 17.76 , 18.01 , 17.99 
6 , 18 , 2010 , 18.25 , 17.88 , 18.01 , 18.01 
6 , 21 , 2010 , 18.25 , 17.98 , 18.08 , 18.05 
6 , 22 , 2010 , 18.40 , 17.92 , 17.97 , 17.96 
6 , 23 , 2010 , 18.22 , 17.83 , 17.86 , 18.11 
6 , 24 , 2010 , 18.18 , 17.81 , 18.00 , 17.86 
6 , 25 , 2010 , 18.41 , 17.83 , 17.83 , 18.18 
6 , 28 , 2010 , 18.25 , 17.75 , 18.24 , 17.89 
6 , 29 , 2010 , 17.81 , 17.37 , 17.70 , 17.49 
6 , 30 , 2010 , 17.57 , 17.13 , 17.42 , 17.14 
7 , 1 , 2010 , 17.14 , 16.65 , 17.12 , 17.07 
7 , 2 , 2010 , 17.58 , 17.09 , 17.19 , 17.44 
7 , 6 , 2010 , 17.71 , 17.21 , 17.56 , 17.39 
7 , 7 , 2010 , 17.51 , 17.14 , 17.34 , 17.47 
7 , 8 , 2010 , 17.53 , 17.17 , 17.50 , 17.41 
7 , 9 , 2010 , 17.46 , 17.24 , 17.37 , 17.37 
7 , 12 , 2010 , 17.37 , 17.15 , 17.35 , 17.24 
7 , 13 , 2010 , 17.73 , 17.26 , 17.32 , 17.60 
7 , 14 , 2010 , 17.75 , 17.35 , 17.67 , 17.41 
7 , 15 , 2010 , 17.62 , 17.30 , 17.45 , 17.45 
7 , 16 , 2010 , 17.45 , 15.92 , 17.24 , 15.97 
7 , 19 , 2010 , 16.58 , 16.00 , 16.00 , 16.46 
7 , 20 , 2010 , 16.52 , 16.27 , 16.33 , 16.50 
7 , 21 , 2010 , 16.72 , 15.87 , 16.29 , 16.46 
7 , 22 , 2010 , 16.93 , 16.51 , 16.52 , 16.89 
7 , 23 , 2010 , 16.91 , 16.42 , 16.87 , 16.72 
7 , 26 , 2010 , 16.85 , 16.05 , 16.61 , 16.70 
7 , 27 , 2010 , 16.77 , 16.41 , 16.72 , 16.70 
7 , 28 , 2010 , 16.99 , 16.58 , 16.75 , 16.71 
7 , 29 , 2010 , 17.22 , 16.58 , 17.12 , 16.71 
7 , 30 , 2010 , 16.85 , 16.55 , 16.56 , 16.66 
8 , 2 , 2010 , 17.29 , 16.88 , 16.92 , 17.23 
8 , 3 , 2010 , 17.40 , 17.12 , 17.20 , 17.24 
8 , 4 , 2010 , 17.66 , 17.21 , 17.28 , 17.61 
8 , 5 , 2010 , 18.06 , 17.47 , 17.53 , 17.87 
8 , 6 , 2010 , 17.94 , 17.65 , 17.85 , 17.91 
8 , 9 , 2010 , 18.03 , 17.80 , 18.01 , 17.88 
8 , 10 , 2010 , 18.07 , 17.69 , 17.80 , 17.90 
8 , 11 , 2010 , 17.69 , 17.23 , 17.63 , 17.28 
