Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 177.88 , 175.57 , 176.86 , 176.64 
3 , 18 , 2010 , 177.75 , 175.66 , 176.20 , 177.45 
3 , 19 , 2010 , 178.21 , 175.95 , 178.19 , 177.90 
3 , 22 , 2010 , 176.95 , 175.23 , 176.21 , 176.16 
3 , 23 , 2010 , 176.81 , 173.29 , 176.25 , 174.83 
3 , 24 , 2010 , 175.96 , 173.64 , 173.64 , 174.41 
3 , 25 , 2010 , 178.73 , 174.78 , 175.24 , 174.90 
3 , 26 , 2010 , 175.48 , 171.91 , 175.38 , 172.87 
3 , 29 , 2010 , 174.43 , 171.64 , 173.87 , 174.05 
3 , 30 , 2010 , 174.78 , 170.70 , 174.26 , 171.38 
3 , 31 , 2010 , 171.66 , 169.85 , 170.00 , 170.63 
4 , 1 , 2010 , 172.00 , 169.50 , 171.72 , 170.22 
4 , 5 , 2010 , 173.37 , 169.77 , 170.68 , 173.16 
4 , 6 , 2010 , 173.89 , 172.15 , 172.61 , 172.90 
4 , 7 , 2010 , 177.90 , 172.81 , 172.89 , 176.36 
4 , 8 , 2010 , 180.80 , 175.28 , 176.10 , 179.50 
4 , 9 , 2010 , 181.00 , 177.50 , 180.28 , 179.12 
4 , 12 , 2010 , 180.38 , 177.84 , 179.36 , 177.84 
4 , 13 , 2010 , 180.00 , 177.11 , 177.56 , 179.25 
4 , 14 , 2010 , 185.94 , 183.07 , 183.91 , 184.92 
4 , 15 , 2010 , 185.60 , 183.66 , 185.37 , 184.27 
4 , 16 , 2010 , 186.41 , 155.55 , 183.62 , 160.70 
4 , 19 , 2010 , 163.73 , 155.00 , 155.60 , 163.32 
4 , 20 , 2010 , 166.71 , 158.00 , 166.44 , 159.98 
4 , 21 , 2010 , 163.14 , 157.00 , 161.47 , 158.93 
4 , 22 , 2010 , 162.00 , 156.29 , 157.93 , 159.05 
4 , 23 , 2010 , 160.72 , 157.00 , 160.19 , 157.40 
4 , 26 , 2010 , 156.99 , 151.52 , 156.72 , 152.03 
4 , 27 , 2010 , 156.19 , 150.15 , 150.25 , 153.04 
4 , 28 , 2010 , 157.65 , 154.69 , 156.66 , 157.01 
4 , 29 , 2010 , 161.05 , 158.34 , 159.55 , 160.24 
4 , 30 , 2010 , 152.50 , 143.30 , 151.90 , 145.20 
5 , 3 , 2010 , 150.65 , 146.53 , 147.84 , 149.50 
5 , 4 , 2010 , 152.35 , 147.83 , 149.03 , 149.45 
5 , 5 , 2010 , 151.22 , 147.20 , 148.10 , 148.19 
5 , 6 , 2010 , 148.63 , 139.06 , 147.48 , 142.32 
5 , 7 , 2010 , 146.55 , 141.50 , 145.38 , 142.99 
5 , 10 , 2010 , 149.90 , 141.20 , 149.09 , 143.83 
5 , 11 , 2010 , 145.50 , 141.55 , 142.40 , 141.97 
5 , 12 , 2010 , 147.65 , 142.28 , 144.24 , 147.20 
5 , 13 , 2010 , 148.45 , 144.42 , 148.36 , 144.65 
5 , 14 , 2010 , 144.15 , 141.90 , 143.41 , 143.23 
5 , 17 , 2010 , 144.30 , 138.53 , 143.47 , 142.64 
5 , 18 , 2010 , 143.75 , 136.60 , 143.69 , 137.36 
5 , 19 , 2010 , 140.13 , 136.10 , 137.95 , 140.10 
5 , 20 , 2010 , 139.49 , 135.75 , 138.20 , 136.10 
5 , 21 , 2010 , 143.45 , 136.25 , 137.08 , 140.62 
5 , 24 , 2010 , 142.95 , 136.51 , 142.00 , 136.69 
5 , 25 , 2010 , 143.19 , 134.20 , 134.73 , 142.56 
5 , 26 , 2010 , 145.80 , 139.69 , 144.29 , 140.30 
5 , 27 , 2010 , 145.05 , 141.04 , 142.93 , 144.95 
5 , 28 , 2010 , 145.80 , 143.10 , 144.42 , 144.26 
6 , 1 , 2010 , 146.40 , 141.70 , 144.26 , 141.86 
6 , 2 , 2010 , 145.00 , 141.14 , 142.00 , 144.83 
6 , 3 , 2010 , 145.25 , 142.50 , 144.91 , 144.04 
