Month , Day , Year , High , Low , Open , Close
5 , 20 , 2011 , 28.54 , 27.65 , 28.41 , 28.13 
5 , 23 , 2011 , 28.05 , 27.50 , 28.00 , 27.91 
5 , 24 , 2011 , 28.14 , 27.57 , 27.99 , 27.99 
5 , 25 , 2011 , 28.50 , 27.74 , 28.00 , 28.18 
5 , 26 , 2011 , 28.41 , 27.55 , 28.37 , 28.33 
5 , 27 , 2011 , 28.60 , 27.91 , 28.29 , 28.24 
5 , 31 , 2011 , 28.81 , 28.06 , 28.50 , 28.39 
6 , 1 , 2011 , 28.77 , 27.92 , 28.31 , 28.27 
6 , 2 , 2011 , 28.55 , 27.75 , 28.49 , 27.86 
6 , 3 , 2011 , 27.65 , 27.22 , 27.59 , 27.64 
6 , 6 , 2011 , 27.78 , 26.56 , 27.59 , 27.24 
6 , 7 , 2011 , 28.40 , 27.23 , 27.39 , 28.02 
6 , 8 , 2011 , 28.49 , 27.75 , 28.07 , 28.26 
6 , 9 , 2011 , 28.87 , 28.08 , 28.40 , 28.74 
6 , 10 , 2011 , 28.50 , 27.36 , 28.50 , 27.40 
6 , 13 , 2011 , 27.65 , 26.75 , 27.64 , 27.15 
6 , 14 , 2011 , 27.57 , 26.76 , 27.43 , 27.04 
6 , 15 , 2011 , 27.02 , 26.12 , 26.67 , 26.65 
6 , 16 , 2011 , 28.30 , 27.00 , 27.61 , 27.37 
6 , 17 , 2011 , 28.49 , 27.45 , 27.51 , 28.09 
6 , 20 , 2011 , 28.22 , 27.55 , 28.05 , 27.73 
6 , 21 , 2011 , 27.86 , 27.00 , 27.76 , 27.40 
6 , 22 , 2011 , 27.50 , 26.86 , 27.38 , 26.92 
6 , 23 , 2011 , 26.94 , 25.78 , 26.81 , 26.71 
6 , 24 , 2011 , 26.81 , 25.66 , 26.72 , 25.75 
6 , 27 , 2011 , 26.21 , 24.99 , 25.95 , 25.98 
6 , 28 , 2011 , 26.58 , 26.08 , 26.17 , 26.25 
6 , 29 , 2011 , 26.80 , 26.09 , 26.79 , 26.26 
6 , 30 , 2011 , 26.89 , 26.13 , 26.34 , 26.50 
7 , 1 , 2011 , 27.00 , 26.04 , 26.86 , 26.56 
7 , 5 , 2011 , 26.97 , 26.48 , 26.66 , 26.67 
7 , 6 , 2011 , 27.67 , 26.62 , 26.68 , 27.49 
7 , 7 , 2011 , 28.24 , 27.50 , 27.75 , 27.79 
7 , 8 , 2011 , 27.51 , 26.79 , 27.48 , 27.33 
7 , 11 , 2011 , 27.17 , 26.49 , 27.09 , 26.56 
7 , 12 , 2011 , 27.23 , 26.15 , 26.50 , 26.30 
7 , 13 , 2011 , 27.17 , 26.31 , 26.41 , 26.74 
7 , 14 , 2011 , 27.04 , 26.48 , 26.81 , 26.72 
7 , 15 , 2011 , 26.78 , 26.24 , 26.77 , 26.72 
7 , 18 , 2011 , 26.57 , 25.94 , 26.55 , 26.09 
7 , 19 , 2011 , 27.43 , 26.37 , 26.99 , 26.53 
7 , 20 , 2011 , 27.01 , 26.19 , 26.73 , 26.75 
7 , 21 , 2011 , 28.06 , 26.93 , 27.08 , 27.93 
7 , 22 , 2011 , 28.42 , 27.52 , 27.95 , 28.11 
7 , 25 , 2011 , 24.30 , 21.01 , 23.55 , 21.47 
7 , 26 , 2011 , 21.88 , 20.46 , 21.17 , 21.54 
7 , 27 , 2011 , 21.88 , 20.83 , 21.46 , 20.87 
7 , 28 , 2011 , 21.40 , 20.39 , 20.98 , 20.72 
7 , 29 , 2011 , 20.65 , 20.00 , 20.53 , 20.18 
8 , 1 , 2011 , 20.69 , 17.03 , 20.49 , 18.44 
8 , 2 , 2011 , 19.59 , 17.84 , 19.45 , 18.14 
8 , 3 , 2011 , 18.40 , 16.21 , 18.07 , 18.26 
8 , 4 , 2011 , 18.15 , 16.08 , 18.13 , 16.40 
8 , 5 , 2011 , 16.75 , 15.19 , 16.68 , 15.49 
8 , 8 , 2011 , 15.17 , 10.75 , 15.17 , 11.69 
8 , 9 , 2011 , 12.76 , 10.53 , 12.01 , 11.85 
8 , 10 , 2011 , 12.46 , 11.18 , 11.30 , 12.08 
8 , 11 , 2011 , 13.37 , 12.25 , 12.43 , 12.97 
8 , 12 , 2011 , 14.91 , 12.09 , 12.99 , 14.72 
8 , 15 , 2011 , 17.05 , 14.92 , 15.34 , 16.08 
8 , 16 , 2011 , 15.91 , 15.02 , 15.86 , 15.27 
8 , 17 , 2011 , 15.56 , 14.31 , 15.45 , 14.49 
8 , 18 , 2011 , 14.20 , 13.17 , 14.08 , 13.46 
8 , 19 , 2011 , 13.55 , 12.56 , 13.03 , 12.77 
8 , 22 , 2011 , 13.41 , 12.30 , 13.27 , 12.56 
8 , 23 , 2011 , 13.09 , 12.05 , 12.62 , 13.08 
8 , 24 , 2011 , 13.74 , 12.59 , 13.06 , 13.54 
8 , 25 , 2011 , 13.74 , 12.37 , 13.74 , 12.56 
8 , 26 , 2011 , 13.10 , 11.97 , 12.50 , 13.00 
8 , 29 , 2011 , 13.94 , 13.14 , 13.41 , 13.48 
8 , 30 , 2011 , 13.50 , 13.11 , 13.32 , 13.36 
8 , 31 , 2011 , 13.91 , 13.25 , 13.39 , 13.53 
9 , 1 , 2011 , 14.12 , 12.58 , 13.67 , 12.69 
9 , 2 , 2011 , 12.50 , 11.81 , 12.20 , 12.15 
9 , 6 , 2011 , 12.41 , 11.37 , 11.56 , 12.26 
9 , 7 , 2011 , 13.61 , 12.40 , 12.56 , 13.34 
9 , 8 , 2011 , 13.65 , 12.92 , 13.19 , 12.99 
9 , 9 , 2011 , 13.09 , 11.78 , 12.80 , 11.80 
9 , 12 , 2011 , 12.34 , 11.10 , 11.59 , 11.90 
9 , 13 , 2011 , 11.57 , 10.70 , 11.06 , 11.16 
9 , 14 , 2011 , 12.61 , 11.10 , 11.32 , 12.11 
9 , 15 , 2011 , 14.50 , 13.43 , 13.50 , 14.34 
9 , 16 , 2011 , 15.04 , 14.25 , 14.83 , 14.73 
9 , 19 , 2011 , 14.24 , 13.24 , 14.12 , 13.31 
9 , 20 , 2011 , 13.69 , 12.99 , 12.99 , 13.40 
9 , 21 , 2011 , 14.02 , 13.25 , 13.39 , 13.32 
9 , 22 , 2011 , 13.83 , 12.53 , 12.53 , 13.42 
9 , 23 , 2011 , 13.34 , 12.73 , 13.17 , 12.96 
9 , 26 , 2011 , 13.50 , 12.87 , 13.29 , 13.35 
9 , 27 , 2011 , 13.87 , 13.25 , 13.80 , 13.33 
9 , 28 , 2011 , 13.38 , 12.70 , 13.30 , 12.70 
9 , 29 , 2011 , 13.44 , 12.73 , 12.96 , 13.30 
9 , 30 , 2011 , 13.81 , 12.97 , 13.12 , 13.66 
10 , 3 , 2011 , 13.99 , 12.22 , 13.66 , 12.31 
10 , 4 , 2011 , 12.18 , 10.93 , 12.01 , 12.11 
10 , 5 , 2011 , 12.34 , 11.20 , 11.38 , 11.57 
10 , 6 , 2011 , 12.30 , 11.49 , 11.60 , 11.77 
10 , 7 , 2011 , 12.52 , 11.65 , 12.08 , 12.10 
10 , 10 , 2011 , 12.78 , 12.32 , 12.53 , 12.68 
10 , 11 , 2011 , 12.76 , 12.36 , 12.59 , 12.60 
10 , 12 , 2011 , 14.30 , 12.61 , 12.62 , 13.82 
10 , 13 , 2011 , 14.71 , 13.42 , 13.68 , 14.63 
10 , 14 , 2011 , 15.66 , 14.84 , 14.97 , 15.55 
10 , 17 , 2011 , 15.71 , 14.96 , 15.25 , 15.30 
10 , 18 , 2011 , 16.38 , 15.25 , 15.59 , 16.20 
10 , 19 , 2011 , 16.36 , 15.26 , 16.21 , 15.44 
10 , 20 , 2011 , 15.63 , 14.61 , 15.55 , 15.17 
10 , 21 , 2011 , 16.88 , 15.60 , 15.62 , 16.81 
10 , 24 , 2011 , 17.05 , 16.04 , 16.77 , 16.30 
10 , 25 , 2011 , 16.09 , 15.60 , 15.90 , 15.66 
10 , 26 , 2011 , 16.20 , 14.95 , 16.07 , 15.84 
10 , 27 , 2011 , 16.45 , 14.83 , 16.45 , 16.17 
10 , 28 , 2011 , 16.59 , 15.76 , 15.79 , 16.28 
10 , 31 , 2011 , 17.23 , 16.02 , 16.10 , 16.95 
11 , 1 , 2011 , 19.14 , 16.00 , 16.44 , 17.00 
11 , 2 , 2011 , 18.20 , 16.81 , 17.50 , 16.85 
11 , 3 , 2011 , 16.92 , 16.02 , 16.50 , 16.59 
11 , 4 , 2011 , 17.12 , 16.35 , 16.73 , 17.01 
11 , 7 , 2011 , 18.11 , 16.85 , 16.85 , 18.02 
11 , 8 , 2011 , 19.09 , 17.40 , 17.88 , 18.71 
11 , 9 , 2011 , 18.90 , 17.82 , 17.82 , 18.52 
11 , 10 , 2011 , 19.48 , 18.51 , 19.28 , 19.37 
11 , 11 , 2011 , 20.36 , 19.45 , 19.62 , 20.03 
11 , 14 , 2011 , 20.23 , 19.56 , 19.77 , 20.03 
11 , 15 , 2011 , 20.26 , 19.44 , 19.94 , 20.11 
11 , 16 , 2011 , 20.25 , 18.96 , 19.93 , 19.02 
11 , 17 , 2011 , 19.28 , 18.22 , 19.07 , 18.55 
11 , 18 , 2011 , 19.19 , 18.13 , 18.59 , 18.70 
11 , 21 , 2011 , 19.00 , 18.18 , 18.57 , 18.54 
11 , 22 , 2011 , 18.53 , 17.29 , 18.37 , 17.45 
11 , 23 , 2011 , 17.51 , 16.72 , 17.14 , 17.08 
11 , 25 , 2011 , 17.49 , 16.91 , 17.09 , 16.96 
11 , 28 , 2011 , 17.86 , 17.11 , 17.52 , 17.27 
11 , 29 , 2011 , 17.74 , 16.92 , 17.42 , 17.55 
11 , 30 , 2011 , 18.23 , 17.41 , 18.10 , 17.88 
12 , 1 , 2011 , 18.08 , 17.55 , 17.78 , 17.69 
12 , 2 , 2011 , 17.97 , 15.05 , 17.50 , 15.95 
12 , 5 , 2011 , 17.50 , 16.87 , 17.24 , 17.15 
12 , 6 , 2011 , 17.53 , 16.50 , 17.15 , 16.74 
12 , 7 , 2011 , 16.69 , 15.93 , 16.54 , 16.17 
12 , 8 , 2011 , 16.05 , 14.63 , 15.99 , 14.95 
12 , 9 , 2011 , 15.23 , 14.67 , 15.01 , 14.68 
12 , 12 , 2011 , 14.78 , 13.84 , 14.76 , 14.16 
12 , 13 , 2011 , 14.74 , 13.63 , 14.16 , 13.72 
12 , 14 , 2011 , 14.27 , 13.36 , 13.62 , 14.10 
12 , 15 , 2011 , 14.78 , 14.03 , 14.10 , 14.64 
12 , 16 , 2011 , 15.40 , 14.70 , 14.79 , 15.07 
12 , 19 , 2011 , 15.40 , 14.64 , 15.17 , 14.73 
12 , 20 , 2011 , 15.30 , 14.44 , 15.00 , 14.56 
12 , 21 , 2011 , 15.48 , 14.57 , 14.58 , 15.40 
12 , 22 , 2011 , 15.72 , 15.19 , 15.38 , 15.38 
12 , 23 , 2011 , 15.41 , 14.91 , 15.23 , 14.96 
12 , 27 , 2011 , 15.19 , 14.55 , 15.05 , 14.88 
12 , 28 , 2011 , 14.94 , 14.32 , 14.94 , 14.41 
12 , 29 , 2011 , 14.89 , 14.35 , 14.41 , 14.77 
12 , 30 , 2011 , 15.85 , 14.72 , 14.84 , 15.53 
1 , 3 , 2012 , 15.63 , 14.77 , 15.48 , 15.14 
1 , 4 , 2012 , 15.00 , 14.20 , 15.00 , 14.30 
1 , 5 , 2012 , 15.07 , 14.15 , 14.27 , 14.79 
1 , 6 , 2012 , 16.14 , 14.80 , 14.92 , 15.84 
1 , 9 , 2012 , 16.18 , 15.09 , 15.65 , 15.15 
1 , 10 , 2012 , 16.00 , 13.83 , 15.49 , 15.96 
1 , 11 , 2012 , 17.45 , 15.69 , 15.78 , 17.30 
1 , 12 , 2012 , 17.60 , 16.39 , 17.45 , 16.82 
1 , 13 , 2012 , 17.60 , 16.67 , 16.75 , 17.40 
1 , 17 , 2012 , 17.68 , 17.06 , 17.42 , 17.52 
1 , 18 , 2012 , 18.04 , 17.34 , 17.52 , 17.76 
1 , 19 , 2012 , 18.30 , 17.66 , 17.75 , 18.01 
1 , 20 , 2012 , 18.09 , 17.65 , 17.96 , 18.00 
1 , 23 , 2012 , 18.30 , 17.93 , 17.93 , 18.14 
