Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 32.64 , 32.34 , 32.49 , 32.52 
3 , 18 , 2010 , 32.56 , 32.23 , 32.45 , 32.40 
3 , 19 , 2010 , 32.57 , 32.10 , 32.41 , 32.36 
3 , 22 , 2010 , 32.79 , 32.14 , 32.14 , 32.67 
3 , 23 , 2010 , 32.63 , 32.27 , 32.59 , 32.59 
3 , 24 , 2010 , 32.60 , 32.24 , 32.44 , 32.32 
3 , 25 , 2010 , 32.92 , 32.46 , 32.50 , 32.62 
3 , 26 , 2010 , 32.98 , 32.63 , 32.67 , 32.75 
3 , 29 , 2010 , 32.89 , 32.50 , 32.78 , 32.60 
3 , 30 , 2010 , 32.88 , 32.50 , 32.56 , 32.69 
3 , 31 , 2010 , 32.64 , 32.20 , 32.54 , 32.35 
4 , 1 , 2010 , 32.63 , 32.16 , 32.41 , 32.38 
4 , 5 , 2010 , 32.74 , 32.16 , 32.35 , 32.66 
4 , 6 , 2010 , 32.73 , 32.42 , 32.62 , 32.55 
4 , 7 , 2010 , 32.72 , 32.38 , 32.50 , 32.61 
4 , 8 , 2010 , 33.08 , 32.40 , 32.46 , 32.97 
4 , 9 , 2010 , 33.40 , 32.84 , 33.03 , 33.25 
4 , 12 , 2010 , 33.57 , 33.14 , 33.22 , 33.48 
4 , 13 , 2010 , 34.62 , 33.41 , 33.41 , 34.34 
4 , 14 , 2010 , 35.07 , 34.30 , 34.32 , 34.98 
4 , 15 , 2010 , 35.15 , 34.74 , 34.94 , 35.14 
4 , 16 , 2010 , 35.08 , 34.71 , 34.99 , 35.01 
4 , 19 , 2010 , 35.27 , 34.74 , 34.92 , 35.17 
4 , 20 , 2010 , 35.49 , 35.01 , 35.32 , 35.18 
4 , 21 , 2010 , 35.44 , 35.09 , 35.15 , 35.27 
4 , 22 , 2010 , 35.89 , 35.03 , 35.15 , 35.72 
4 , 23 , 2010 , 36.44 , 35.70 , 35.76 , 36.39 
4 , 26 , 2010 , 37.03 , 36.46 , 36.52 , 36.49 
4 , 27 , 2010 , 36.38 , 35.21 , 36.38 , 35.29 
4 , 28 , 2010 , 35.65 , 35.03 , 35.43 , 35.19 
4 , 29 , 2010 , 35.96 , 35.41 , 35.45 , 35.56 
4 , 30 , 2010 , 36.00 , 35.23 , 35.70 , 35.23 
5 , 3 , 2010 , 36.06 , 35.17 , 35.39 , 35.87 
5 , 4 , 2010 , 35.59 , 34.79 , 35.56 , 35.42 
