Month , Day , Year , High , Low , Open , Close
2 , 26 , 2014 , 46.53 , 45.75 , 45.98 , 46.25 
2 , 27 , 2014 , 46.90 , 44.73 , 45.98 , 46.14 
2 , 28 , 2014 , 46.33 , 45.30 , 46.16 , 45.88 
3 , 3 , 2014 , 46.16 , 45.36 , 45.59 , 46.14 
3 , 4 , 2014 , 47.39 , 46.07 , 47.00 , 46.29 
3 , 5 , 2014 , 46.96 , 46.06 , 46.10 , 46.72 
3 , 6 , 2014 , 46.90 , 45.96 , 46.72 , 46.12 
3 , 7 , 2014 , 46.84 , 45.96 , 46.06 , 46.59 
3 , 10 , 2014 , 46.88 , 45.61 , 46.70 , 45.92 
3 , 11 , 2014 , 46.08 , 45.14 , 45.94 , 45.36 
3 , 12 , 2014 , 45.96 , 44.67 , 45.22 , 45.86 
3 , 13 , 2014 , 46.02 , 45.06 , 45.61 , 45.24 
3 , 14 , 2014 , 45.67 , 44.87 , 45.06 , 45.20 
3 , 17 , 2014 , 45.94 , 45.32 , 45.36 , 45.38 
3 , 18 , 2014 , 46.35 , 45.26 , 45.34 , 46.31 
3 , 19 , 2014 , 46.21 , 45.47 , 46.20 , 45.67 
3 , 20 , 2014 , 46.00 , 45.36 , 45.65 , 45.49 
3 , 21 , 2014 , 47.17 , 45.45 , 45.69 , 47.17 
3 , 24 , 2014 , 47.37 , 46.08 , 47.07 , 46.70 
3 , 25 , 2014 , 46.98 , 46.12 , 46.74 , 46.12 
3 , 26 , 2014 , 46.31 , 45.73 , 46.16 , 45.83 
3 , 27 , 2014 , 46.19 , 45.49 , 45.77 , 45.61 
3 , 28 , 2014 , 45.92 , 45.03 , 45.49 , 45.65 
3 , 31 , 2014 , 46.02 , 45.14 , 45.83 , 45.63 
4 , 1 , 2014 , 46.57 , 45.57 , 45.59 , 46.27 
4 , 2 , 2014 , 46.56 , 46.06 , 46.16 , 46.10 
4 , 3 , 2014 , 46.33 , 45.18 , 46.16 , 45.18 
4 , 4 , 2014 , 45.24 , 44.23 , 45.20 , 44.30 
4 , 7 , 2014 , 44.38 , 43.62 , 44.32 , 43.84 
4 , 8 , 2014 , 43.91 , 43.37 , 43.80 , 43.82 
4 , 9 , 2014 , 44.42 , 43.87 , 43.97 , 44.13 
4 , 10 , 2014 , 44.26 , 43.17 , 44.05 , 43.45 
4 , 11 , 2014 , 43.87 , 43.00 , 43.29 , 43.60 
4 , 14 , 2014 , 44.34 , 43.31 , 43.68 , 43.80 
4 , 15 , 2014 , 44.13 , 43.09 , 44.13 , 43.87 
4 , 16 , 2014 , 44.35 , 43.56 , 43.64 , 44.32 
4 , 17 , 2014 , 44.85 , 43.70 , 44.19 , 44.67 
4 , 21 , 2014 , 44.56 , 43.84 , 44.56 , 44.03 
4 , 22 , 2014 , 44.56 , 43.97 , 44.01 , 44.13 
4 , 23 , 2014 , 44.42 , 43.82 , 44.07 , 44.09 
4 , 24 , 2014 , 44.46 , 44.03 , 44.23 , 44.11 
4 , 25 , 2014 , 44.15 , 43.58 , 44.11 , 43.76 
4 , 28 , 2014 , 43.97 , 43.19 , 43.78 , 43.84 
4 , 29 , 2014 , 44.48 , 43.02 , 44.36 , 43.27 
