Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 43.12 , 42.40 , 42.97 , 42.67 
3 , 18 , 2010 , 43.28 , 42.55 , 42.68 , 43.18 
3 , 19 , 2010 , 44.04 , 43.35 , 43.74 , 43.57 
3 , 22 , 2010 , 43.74 , 43.16 , 43.29 , 43.31 
3 , 23 , 2010 , 44.08 , 43.34 , 43.42 , 43.94 
3 , 24 , 2010 , 44.79 , 43.80 , 43.98 , 44.23 
3 , 25 , 2010 , 45.02 , 44.05 , 44.50 , 44.09 
3 , 26 , 2010 , 44.73 , 44.10 , 44.18 , 44.35 
3 , 29 , 2010 , 44.87 , 44.50 , 44.65 , 44.61 
3 , 30 , 2010 , 45.02 , 44.30 , 44.75 , 44.69 
3 , 31 , 2010 , 45.52 , 44.84 , 45.37 , 45.01 
4 , 1 , 2010 , 45.59 , 44.47 , 45.25 , 44.77 
4 , 5 , 2010 , 45.38 , 44.82 , 45.02 , 45.19 
4 , 6 , 2010 , 45.49 , 45.09 , 45.19 , 45.20 
4 , 7 , 2010 , 45.50 , 44.82 , 45.24 , 44.99 
4 , 8 , 2010 , 45.35 , 44.75 , 44.95 , 45.23 
4 , 9 , 2010 , 45.72 , 45.11 , 45.41 , 45.51 
4 , 12 , 2010 , 45.91 , 45.53 , 45.60 , 45.73 
4 , 13 , 2010 , 45.81 , 45.26 , 45.71 , 45.40 
4 , 14 , 2010 , 46.11 , 45.51 , 45.54 , 46.07 
4 , 15 , 2010 , 46.27 , 45.84 , 46.04 , 46.21 
4 , 16 , 2010 , 46.25 , 45.06 , 46.18 , 45.56 
4 , 19 , 2010 , 45.60 , 44.92 , 45.19 , 45.49 
4 , 20 , 2010 , 46.17 , 45.46 , 45.80 , 46.12 
4 , 21 , 2010 , 46.46 , 45.88 , 46.23 , 46.42 
4 , 22 , 2010 , 47.19 , 45.61 , 46.06 , 47.17 
4 , 23 , 2010 , 47.51 , 46.43 , 47.45 , 47.45 
4 , 26 , 2010 , 48.15 , 47.51 , 47.55 , 48.00 
4 , 27 , 2010 , 47.96 , 46.56 , 47.96 , 46.67 
4 , 28 , 2010 , 47.11 , 46.25 , 46.99 , 46.78 
4 , 29 , 2010 , 48.27 , 47.07 , 47.21 , 48.24 
4 , 30 , 2010 , 48.35 , 47.20 , 48.20 , 47.20 
5 , 3 , 2010 , 48.25 , 47.48 , 47.54 , 48.23 
5 , 4 , 2010 , 47.69 , 46.22 , 47.59 , 46.59 
5 , 5 , 2010 , 46.05 , 45.14 , 45.76 , 45.62 
5 , 6 , 2010 , 45.96 , 39.75 , 45.24 , 44.05 
5 , 7 , 2010 , 44.37 , 42.62 , 43.44 , 43.27 
5 , 10 , 2010 , 46.15 , 45.09 , 45.43 , 45.81 
5 , 11 , 2010 , 46.34 , 45.31 , 45.38 , 45.59 
5 , 12 , 2010 , 46.73 , 45.80 , 45.91 , 46.60 
5 , 13 , 2010 , 46.67 , 45.87 , 46.56 , 45.93 
5 , 14 , 2010 , 45.64 , 44.48 , 45.53 , 45.22 
5 , 17 , 2010 , 45.55 , 44.39 , 45.26 , 45.18 
5 , 18 , 2010 , 45.84 , 44.28 , 45.24 , 44.47 
5 , 19 , 2010 , 44.33 , 43.05 , 44.02 , 43.61 
5 , 20 , 2010 , 42.65 , 41.26 , 42.24 , 41.55 
5 , 21 , 2010 , 42.31 , 40.54 , 40.67 , 41.83 
5 , 24 , 2010 , 42.43 , 41.50 , 41.91 , 41.60 
5 , 25 , 2010 , 41.59 , 39.87 , 40.35 , 41.55 
5 , 26 , 2010 , 42.75 , 41.70 , 41.91 , 41.87 
5 , 27 , 2010 , 43.25 , 42.41 , 42.80 , 43.17 
5 , 28 , 2010 , 43.28 , 42.17 , 43.11 , 42.53 
6 , 1 , 2010 , 46.29 , 41.59 , 42.00 , 41.66 
6 , 2 , 2010 , 42.72 , 41.71 , 41.97 , 42.69 
6 , 3 , 2010 , 43.18 , 42.61 , 42.84 , 43.01 
6 , 4 , 2010 , 42.16 , 40.65 , 41.81 , 40.84 
6 , 7 , 2010 , 40.97 , 39.75 , 40.90 , 39.77 
6 , 8 , 2010 , 40.27 , 39.09 , 39.74 , 40.20 
6 , 9 , 2010 , 41.19 , 39.71 , 40.39 , 39.78 
6 , 10 , 2010 , 41.23 , 40.40 , 40.56 , 41.03 
6 , 11 , 2010 , 41.14 , 40.24 , 40.52 , 41.08 
6 , 14 , 2010 , 41.95 , 41.11 , 41.23 , 41.29 
6 , 15 , 2010 , 42.80 , 41.56 , 41.72 , 42.80 
6 , 16 , 2010 , 42.76 , 42.27 , 42.34 , 42.51 
6 , 17 , 2010 , 42.67 , 41.82 , 42.63 , 42.41 
6 , 18 , 2010 , 42.72 , 42.26 , 42.53 , 42.68 
6 , 21 , 2010 , 43.52 , 42.41 , 43.17 , 42.69 
6 , 22 , 2010 , 43.03 , 41.88 , 42.86 , 41.96 
6 , 23 , 2010 , 42.09 , 41.26 , 41.93 , 41.60 
6 , 24 , 2010 , 41.54 , 40.67 , 41.37 , 40.77 
6 , 25 , 2010 , 41.60 , 40.71 , 40.89 , 41.36 
6 , 28 , 2010 , 41.63 , 40.88 , 41.58 , 40.97 
6 , 29 , 2010 , 40.31 , 38.85 , 40.25 , 39.11 
6 , 30 , 2010 , 39.68 , 38.32 , 38.37 , 38.81 
7 , 1 , 2010 , 38.77 , 37.67 , 38.77 , 38.33 
7 , 2 , 2010 , 38.81 , 37.96 , 38.37 , 38.31 
7 , 6 , 2010 , 39.13 , 38.15 , 38.92 , 38.49 
7 , 7 , 2010 , 39.96 , 38.49 , 38.52 , 39.96 
7 , 8 , 2010 , 40.62 , 39.93 , 40.44 , 40.50 
7 , 9 , 2010 , 41.11 , 40.37 , 40.61 , 41.04 
7 , 12 , 2010 , 41.13 , 40.44 , 40.90 , 40.59 
7 , 13 , 2010 , 41.86 , 41.07 , 41.18 , 41.61 
7 , 14 , 2010 , 41.79 , 41.15 , 41.41 , 41.45 
7 , 15 , 2010 , 41.82 , 40.49 , 41.51 , 41.55 
7 , 16 , 2010 , 41.31 , 39.85 , 41.19 , 39.96 
7 , 19 , 2010 , 40.32 , 39.80 , 40.20 , 40.12 
7 , 20 , 2010 , 41.04 , 39.37 , 39.52 , 40.97 
7 , 21 , 2010 , 41.69 , 40.63 , 41.22 , 40.90 
7 , 22 , 2010 , 42.54 , 41.36 , 41.40 , 42.42 
7 , 23 , 2010 , 43.62 , 42.26 , 43.07 , 43.25 
7 , 26 , 2010 , 43.98 , 43.11 , 43.20 , 43.64 
7 , 27 , 2010 , 44.05 , 43.11 , 43.99 , 43.18 
7 , 28 , 2010 , 43.25 , 42.76 , 43.25 , 42.99 
7 , 29 , 2010 , 43.37 , 42.00 , 43.20 , 42.48 
7 , 30 , 2010 , 42.80 , 41.57 , 42.29 , 42.62 
8 , 2 , 2010 , 43.67 , 43.08 , 43.41 , 43.48 
8 , 3 , 2010 , 43.35 , 42.78 , 43.33 , 42.89 
8 , 4 , 2010 , 43.91 , 43.00 , 43.12 , 43.73 
8 , 5 , 2010 , 43.92 , 43.36 , 43.41 , 43.87 
8 , 6 , 2010 , 43.80 , 42.80 , 43.25 , 43.52 
8 , 9 , 2010 , 43.85 , 43.41 , 43.82 , 43.64 
8 , 10 , 2010 , 43.44 , 42.73 , 43.29 , 43.17 
8 , 11 , 2010 , 42.46 , 41.32 , 42.33 , 41.57 
8 , 12 , 2010 , 41.29 , 40.83 , 40.92 , 41.05 
8 , 13 , 2010 , 41.27 , 40.84 , 40.89 , 41.08 
8 , 16 , 2010 , 41.13 , 40.28 , 40.80 , 40.95 
8 , 17 , 2010 , 42.78 , 41.41 , 41.64 , 42.15 
8 , 18 , 2010 , 42.15 , 41.49 , 42.03 , 41.92 
8 , 19 , 2010 , 41.65 , 40.23 , 41.65 , 40.54 
8 , 20 , 2010 , 40.52 , 39.82 , 40.13 , 40.41 
8 , 23 , 2010 , 40.82 , 39.91 , 40.54 , 39.93 
8 , 24 , 2010 , 39.48 , 38.50 , 39.46 , 39.12 
8 , 25 , 2010 , 38.88 , 37.86 , 38.72 , 38.60 
8 , 26 , 2010 , 39.14 , 38.35 , 38.98 , 38.48 
8 , 27 , 2010 , 39.46 , 38.17 , 38.84 , 39.42 
8 , 30 , 2010 , 39.52 , 38.61 , 39.20 , 38.64 
8 , 31 , 2010 , 39.07 , 38.07 , 38.52 , 38.84 
9 , 1 , 2010 , 40.88 , 39.23 , 39.36 , 40.65 
9 , 2 , 2010 , 41.77 , 40.73 , 40.73 , 41.77 
9 , 3 , 2010 , 43.00 , 42.12 , 42.12 , 42.58 
9 , 7 , 2010 , 42.44 , 41.60 , 42.24 , 41.69 
9 , 8 , 2010 , 42.28 , 41.66 , 41.66 , 41.95 
9 , 9 , 2010 , 42.68 , 41.57 , 42.54 , 41.73 
9 , 10 , 2010 , 42.65 , 41.69 , 41.92 , 42.57 
9 , 13 , 2010 , 43.34 , 42.84 , 43.06 , 43.05 
9 , 14 , 2010 , 43.54 , 42.80 , 43.03 , 43.29 
9 , 15 , 2010 , 43.39 , 42.90 , 43.11 , 43.32 
9 , 16 , 2010 , 43.61 , 43.06 , 43.09 , 43.48 
9 , 17 , 2010 , 43.83 , 43.29 , 43.64 , 43.57 
9 , 20 , 2010 , 44.16 , 43.43 , 43.79 , 44.06 
9 , 21 , 2010 , 44.26 , 43.64 , 44.10 , 44.06 
9 , 22 , 2010 , 44.07 , 43.13 , 43.88 , 43.43 
9 , 23 , 2010 , 43.71 , 42.84 , 43.33 , 42.98 
9 , 24 , 2010 , 44.24 , 43.45 , 43.45 , 44.21 
9 , 27 , 2010 , 44.26 , 43.45 , 44.26 , 43.59 
9 , 28 , 2010 , 44.07 , 42.95 , 43.70 , 43.94 
9 , 29 , 2010 , 44.04 , 43.49 , 43.65 , 43.79 
9 , 30 , 2010 , 44.63 , 43.45 , 44.10 , 43.69 
10 , 1 , 2010 , 44.46 , 43.76 , 43.97 , 43.90 
10 , 4 , 2010 , 44.29 , 43.16 , 43.90 , 43.36 
10 , 5 , 2010 , 44.97 , 43.74 , 43.80 , 44.75 
10 , 6 , 2010 , 45.59 , 44.74 , 44.75 , 45.46 
10 , 7 , 2010 , 45.60 , 44.80 , 45.60 , 45.22 
10 , 8 , 2010 , 45.63 , 44.91 , 45.31 , 45.49 
10 , 11 , 2010 , 45.59 , 45.15 , 45.41 , 45.35 
10 , 12 , 2010 , 45.41 , 44.50 , 45.14 , 45.29 
10 , 13 , 2010 , 46.41 , 45.46 , 45.48 , 46.15 
10 , 14 , 2010 , 46.14 , 45.47 , 46.12 , 45.91 
10 , 15 , 2010 , 46.43 , 45.67 , 46.29 , 46.23 
10 , 18 , 2010 , 46.75 , 46.04 , 46.25 , 46.73 
10 , 19 , 2010 , 46.56 , 45.46 , 46.04 , 45.90 
