Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 44.40 , 42.00 , 42.06 , 43.38 
3 , 18 , 2010 , 44.46 , 42.72 , 43.44 , 42.90 
3 , 19 , 2010 , 43.62 , 42.21 , 43.29 , 42.78 
3 , 22 , 2010 , 43.35 , 41.70 , 42.21 , 43.02 
3 , 23 , 2010 , 43.74 , 42.72 , 43.32 , 43.50 
3 , 24 , 2010 , 43.50 , 42.96 , 43.20 , 42.96 
3 , 25 , 2010 , 44.01 , 42.24 , 43.50 , 42.33 
3 , 26 , 2010 , 43.32 , 42.33 , 42.86 , 42.81 
3 , 29 , 2010 , 43.56 , 42.99 , 43.35 , 43.32 
3 , 30 , 2010 , 43.53 , 42.92 , 43.38 , 43.20 
3 , 31 , 2010 , 43.32 , 42.66 , 42.90 , 42.72 
4 , 1 , 2010 , 44.43 , 43.14 , 43.20 , 44.10 
4 , 5 , 2010 , 44.40 , 43.47 , 43.71 , 44.19 
4 , 6 , 2010 , 45.42 , 43.68 , 43.80 , 45.09 
4 , 7 , 2010 , 45.45 , 43.95 , 45.03 , 44.22 
4 , 8 , 2010 , 44.70 , 43.50 , 43.83 , 44.61 
4 , 9 , 2010 , 44.22 , 42.57 , 44.10 , 43.17 
4 , 12 , 2010 , 44.31 , 43.35 , 43.53 , 43.71 
4 , 13 , 2010 , 43.17 , 42.18 , 42.90 , 43.02 
4 , 14 , 2010 , 43.41 , 42.57 , 43.17 , 43.29 
4 , 15 , 2010 , 43.50 , 42.78 , 42.99 , 42.93 
4 , 16 , 2010 , 42.78 , 41.40 , 42.66 , 41.73 
4 , 19 , 2010 , 41.34 , 40.47 , 41.31 , 41.16 
4 , 20 , 2010 , 41.94 , 41.13 , 41.67 , 41.25 
4 , 21 , 2010 , 41.64 , 40.68 , 41.40 , 41.13 
4 , 22 , 2010 , 41.67 , 40.50 , 40.86 , 41.55 
4 , 23 , 2010 , 42.54 , 41.28 , 41.58 , 42.33 
4 , 26 , 2010 , 42.87 , 42.06 , 42.48 , 42.15 
4 , 27 , 2010 , 41.94 , 40.23 , 41.88 , 40.32 
4 , 28 , 2010 , 40.92 , 40.05 , 40.41 , 40.71 
4 , 29 , 2010 , 41.46 , 40.80 , 41.04 , 41.16 
4 , 30 , 2010 , 41.34 , 40.11 , 41.19 , 40.29 
5 , 3 , 2010 , 40.62 , 38.91 , 40.50 , 39.45 
5 , 4 , 2010 , 38.82 , 37.44 , 38.82 , 37.74 
5 , 5 , 2010 , 38.40 , 36.27 , 36.93 , 37.38 
5 , 6 , 2010 , 37.92 , 33.75 , 37.02 , 35.82 
5 , 7 , 2010 , 37.14 , 35.16 , 36.39 , 36.00 
5 , 10 , 2010 , 37.98 , 37.14 , 37.65 , 37.77 
5 , 11 , 2010 , 37.23 , 36.21 , 36.66 , 36.39 
5 , 12 , 2010 , 37.62 , 36.48 , 36.60 , 37.38 
5 , 13 , 2010 , 39.72 , 37.77 , 37.83 , 38.40 
5 , 14 , 2010 , 37.98 , 36.66 , 37.98 , 37.08 
5 , 17 , 2010 , 36.99 , 35.40 , 36.87 , 36.30 
5 , 18 , 2010 , 37.23 , 35.40 , 36.75 , 35.46 
5 , 19 , 2010 , 35.94 , 34.59 , 35.25 , 35.34 
5 , 20 , 2010 , 34.89 , 33.03 , 34.41 , 33.21 
5 , 21 , 2010 , 34.35 , 32.40 , 32.67 , 34.05 
5 , 24 , 2010 , 34.26 , 33.21 , 33.93 , 33.27 
5 , 25 , 2010 , 34.05 , 31.68 , 31.80 , 33.90 
5 , 26 , 2010 , 35.04 , 33.60 , 34.92 , 33.75 
5 , 27 , 2010 , 35.52 , 33.81 , 34.86 , 35.46 
5 , 28 , 2010 , 35.37 , 34.63 , 35.37 , 34.92 
6 , 1 , 2010 , 35.04 , 33.54 , 34.29 , 33.57 
6 , 2 , 2010 , 34.47 , 33.36 , 33.87 , 34.44 
6 , 3 , 2010 , 34.80 , 33.36 , 34.80 , 34.11 
6 , 4 , 2010 , 33.78 , 32.43 , 33.12 , 32.52 
6 , 7 , 2010 , 32.82 , 31.50 , 32.61 , 31.53 
6 , 8 , 2010 , 32.54 , 31.47 , 31.65 , 32.28 
6 , 9 , 2010 , 33.33 , 32.28 , 32.79 , 32.40 
6 , 10 , 2010 , 33.78 , 33.03 , 33.06 , 33.75 
6 , 11 , 2010 , 34.17 , 33.30 , 33.45 , 34.08 
6 , 14 , 2010 , 35.04 , 33.93 , 34.65 , 34.02 
6 , 15 , 2010 , 34.86 , 34.26 , 34.41 , 34.77 
6 , 16 , 2010 , 34.56 , 34.05 , 34.38 , 34.23 
6 , 17 , 2010 , 34.36 , 33.27 , 34.35 , 33.54 
6 , 18 , 2010 , 33.84 , 33.06 , 33.57 , 33.33 
6 , 21 , 2010 , 36.36 , 34.26 , 34.29 , 35.16 
6 , 22 , 2010 , 35.40 , 33.75 , 35.28 , 33.87 
6 , 23 , 2010 , 34.52 , 33.54 , 34.20 , 34.29 
6 , 24 , 2010 , 34.11 , 33.21 , 33.93 , 33.33 
6 , 25 , 2010 , 33.84 , 32.97 , 33.51 , 33.69 
6 , 28 , 2010 , 33.81 , 33.00 , 33.60 , 33.09 
6 , 29 , 2010 , 32.28 , 30.84 , 32.25 , 31.02 
6 , 30 , 2010 , 31.65 , 30.03 , 31.14 , 30.18 
7 , 1 , 2010 , 30.78 , 29.43 , 30.30 , 30.15 
7 , 2 , 2010 , 30.54 , 29.64 , 30.54 , 30.00 
7 , 6 , 2010 , 31.17 , 30.30 , 31.08 , 30.63 
7 , 7 , 2010 , 31.65 , 30.60 , 30.72 , 31.65 
7 , 8 , 2010 , 32.25 , 31.41 , 32.16 , 32.16 
7 , 9 , 2010 , 32.91 , 32.01 , 32.22 , 32.82 
7 , 12 , 2010 , 33.00 , 32.04 , 33.00 , 32.61 
7 , 13 , 2010 , 34.02 , 32.61 , 33.96 , 33.00 
7 , 14 , 2010 , 33.33 , 32.46 , 33.03 , 32.73 
7 , 15 , 2010 , 32.85 , 31.83 , 32.85 , 32.52 
7 , 16 , 2010 , 32.25 , 31.23 , 32.16 , 31.23 
7 , 19 , 2010 , 32.04 , 30.93 , 31.50 , 31.74 
7 , 20 , 2010 , 32.61 , 30.96 , 31.20 , 32.55 
7 , 21 , 2010 , 33.03 , 31.59 , 32.85 , 31.77 
7 , 22 , 2010 , 32.97 , 32.19 , 32.40 , 32.46 
7 , 23 , 2010 , 33.36 , 32.01 , 32.61 , 33.15 
7 , 26 , 2010 , 34.11 , 33.03 , 33.42 , 33.69 
7 , 27 , 2010 , 34.26 , 33.33 , 34.05 , 33.63 
7 , 28 , 2010 , 33.84 , 32.88 , 33.42 , 33.12 
7 , 29 , 2010 , 33.60 , 32.61 , 33.30 , 33.06 
7 , 30 , 2010 , 33.84 , 32.58 , 32.85 , 33.51 
8 , 2 , 2010 , 35.19 , 33.99 , 34.05 , 35.13 
8 , 3 , 2010 , 35.34 , 34.59 , 35.04 , 34.68 
8 , 4 , 2010 , 34.80 , 34.14 , 34.80 , 34.56 
8 , 5 , 2010 , 34.89 , 34.17 , 34.35 , 34.74 
8 , 6 , 2010 , 35.19 , 34.35 , 34.35 , 34.77 
8 , 9 , 2010 , 35.25 , 34.74 , 34.86 , 34.98 
8 , 10 , 2010 , 34.47 , 33.54 , 34.29 , 34.05 
