Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 123.15 , 121.65 , 123.12 , 122.03 
3 , 18 , 2010 , 122.98 , 121.74 , 121.75 , 122.62 
3 , 19 , 2010 , 123.15 , 121.10 , 123.06 , 121.98 
3 , 22 , 2010 , 122.63 , 120.90 , 121.41 , 122.24 
3 , 23 , 2010 , 123.63 , 121.92 , 122.20 , 123.57 
3 , 24 , 2010 , 124.12 , 122.71 , 122.86 , 122.77 
3 , 25 , 2010 , 124.87 , 123.34 , 123.56 , 123.45 
3 , 26 , 2010 , 123.96 , 122.95 , 123.15 , 123.46 
3 , 29 , 2010 , 124.12 , 122.51 , 123.50 , 122.82 
3 , 30 , 2010 , 123.34 , 122.50 , 123.12 , 123.00 
3 , 31 , 2010 , 122.98 , 121.93 , 122.48 , 122.50 
4 , 1 , 2010 , 123.51 , 121.83 , 123.17 , 122.50 
4 , 5 , 2010 , 123.98 , 122.39 , 122.62 , 123.55 
4 , 6 , 2010 , 123.50 , 122.31 , 122.91 , 123.15 
4 , 7 , 2010 , 123.47 , 122.27 , 122.77 , 122.72 
4 , 8 , 2010 , 122.48 , 121.50 , 122.30 , 121.89 
4 , 9 , 2010 , 123.09 , 121.42 , 122.15 , 122.99 
4 , 12 , 2010 , 123.17 , 122.49 , 122.81 , 122.60 
4 , 13 , 2010 , 123.63 , 122.11 , 122.51 , 123.24 
4 , 14 , 2010 , 125.53 , 123.66 , 123.91 , 125.37 
4 , 15 , 2010 , 125.26 , 124.35 , 124.68 , 125.02 
4 , 16 , 2010 , 126.24 , 124.41 , 124.82 , 124.77 
4 , 19 , 2010 , 126.35 , 124.53 , 124.53 , 126.30 
4 , 20 , 2010 , 124.49 , 122.51 , 123.41 , 123.88 
4 , 21 , 2010 , 124.43 , 122.74 , 124.05 , 123.21 
4 , 22 , 2010 , 123.56 , 122.04 , 122.87 , 123.34 
4 , 23 , 2010 , 124.27 , 122.94 , 123.29 , 124.16 
4 , 26 , 2010 , 125.16 , 123.73 , 123.94 , 124.87 
4 , 27 , 2010 , 126.08 , 122.94 , 124.08 , 123.04 
4 , 28 , 2010 , 124.62 , 123.24 , 123.60 , 124.27 
4 , 29 , 2010 , 125.33 , 124.31 , 124.70 , 124.61 
4 , 30 , 2010 , 124.78 , 123.06 , 124.58 , 123.22 
5 , 3 , 2010 , 124.31 , 123.03 , 123.59 , 123.79 
5 , 4 , 2010 , 123.15 , 120.90 , 123.11 , 122.38 
5 , 5 , 2010 , 122.48 , 121.18 , 121.42 , 121.75 
5 , 6 , 2010 , 122.19 , 110.80 , 120.63 , 118.36 
5 , 7 , 2010 , 118.81 , 114.62 , 117.83 , 116.63 
5 , 10 , 2010 , 120.99 , 119.45 , 120.61 , 120.61 
5 , 11 , 2010 , 122.66 , 119.54 , 119.60 , 121.20 
5 , 12 , 2010 , 126.89 , 121.32 , 121.46 , 126.73 
5 , 13 , 2010 , 127.13 , 124.98 , 125.06 , 125.58 
5 , 14 , 2010 , 125.77 , 123.61 , 125.18 , 125.31 
5 , 17 , 2010 , 125.85 , 122.93 , 124.82 , 124.59 
5 , 18 , 2010 , 126.07 , 124.08 , 125.37 , 124.12 
5 , 19 , 2010 , 124.65 , 122.09 , 123.57 , 123.08 
5 , 20 , 2010 , 122.22 , 118.13 , 121.52 , 118.25 
5 , 21 , 2010 , 119.98 , 115.96 , 116.68 , 119.80 
5 , 24 , 2010 , 120.37 , 118.48 , 119.64 , 118.87 
5 , 25 , 2010 , 119.35 , 116.02 , 116.02 , 118.94 
5 , 26 , 2010 , 120.29 , 117.49 , 119.29 , 117.70 
5 , 27 , 2010 , 120.72 , 119.18 , 119.44 , 120.72 
5 , 28 , 2010 , 120.62 , 118.72 , 120.31 , 119.64 
6 , 1 , 2010 , 121.19 , 118.63 , 119.10 , 118.77 
6 , 2 , 2010 , 121.78 , 118.77 , 119.25 , 121.70 
6 , 3 , 2010 , 122.47 , 120.79 , 122.02 , 122.22 
6 , 4 , 2010 , 121.40 , 119.08 , 120.70 , 119.66 
6 , 7 , 2010 , 120.22 , 118.56 , 119.94 , 118.56 
6 , 8 , 2010 , 118.88 , 117.31 , 118.69 , 118.17 
6 , 9 , 2010 , 120.20 , 118.04 , 119.23 , 118.34 
6 , 10 , 2010 , 122.47 , 120.16 , 120.34 , 121.96 
6 , 11 , 2010 , 123.03 , 120.77 , 121.05 , 122.69 
6 , 14 , 2010 , 124.14 , 122.73 , 122.74 , 122.74 
6 , 15 , 2010 , 124.12 , 122.61 , 123.15 , 123.97 
6 , 16 , 2010 , 124.82 , 122.59 , 122.59 , 124.51 
6 , 17 , 2010 , 125.16 , 124.04 , 124.24 , 125.11 
6 , 18 , 2010 , 125.37 , 124.30 , 125.15 , 124.31 
6 , 21 , 2010 , 126.02 , 124.38 , 125.53 , 124.79 
6 , 22 , 2010 , 125.58 , 123.28 , 124.52 , 123.50 
6 , 23 , 2010 , 125.58 , 123.30 , 123.45 , 124.28 
6 , 24 , 2010 , 123.91 , 121.97 , 123.76 , 122.44 
6 , 25 , 2010 , 123.31 , 121.42 , 122.59 , 121.42 
6 , 28 , 2010 , 123.67 , 121.52 , 121.93 , 123.20 
6 , 29 , 2010 , 122.64 , 118.55 , 121.64 , 119.48 
6 , 30 , 2010 , 119.61 , 117.49 , 119.23 , 117.94 
7 , 1 , 2010 , 118.64 , 116.16 , 118.01 , 117.07 
7 , 2 , 2010 , 117.76 , 115.20 , 117.76 , 116.40 
7 , 6 , 2010 , 119.04 , 116.69 , 118.04 , 117.92 
7 , 7 , 2010 , 121.42 , 117.93 , 117.93 , 121.31 
7 , 8 , 2010 , 122.40 , 121.06 , 121.66 , 122.23 
7 , 9 , 2010 , 122.45 , 121.58 , 122.17 , 122.22 
7 , 12 , 2010 , 123.05 , 121.46 , 121.66 , 122.90 
7 , 13 , 2010 , 125.11 , 122.92 , 123.19 , 124.63 
7 , 14 , 2010 , 125.70 , 123.35 , 123.52 , 124.86 
7 , 15 , 2010 , 125.05 , 123.74 , 124.05 , 124.86 
7 , 16 , 2010 , 124.31 , 122.12 , 124.13 , 122.29 
7 , 19 , 2010 , 124.53 , 122.61 , 122.90 , 123.97 
7 , 20 , 2010 , 120.89 , 117.42 , 117.46 , 120.88 
7 , 21 , 2010 , 120.83 , 119.03 , 120.77 , 119.65 
7 , 22 , 2010 , 122.05 , 120.40 , 120.66 , 121.75 
7 , 23 , 2010 , 123.03 , 121.31 , 121.59 , 122.62 
7 , 26 , 2010 , 122.67 , 121.44 , 122.43 , 122.65 
7 , 27 , 2010 , 123.38 , 122.16 , 123.01 , 122.86 
7 , 28 , 2010 , 123.55 , 122.15 , 122.90 , 122.67 
7 , 29 , 2010 , 123.69 , 121.44 , 123.27 , 122.28 
7 , 30 , 2010 , 123.20 , 121.34 , 121.72 , 122.64 
8 , 2 , 2010 , 125.32 , 123.45 , 123.45 , 124.90 
8 , 3 , 2010 , 125.16 , 123.53 , 124.20 , 124.52 
8 , 4 , 2010 , 125.60 , 124.03 , 124.61 , 125.38 
8 , 5 , 2010 , 126.06 , 124.68 , 124.87 , 125.92 
8 , 6 , 2010 , 124.63 , 122.99 , 124.56 , 124.31 
8 , 9 , 2010 , 126.41 , 124.55 , 124.93 , 126.08 
8 , 10 , 2010 , 126.55 , 124.91 , 125.30 , 125.93 
8 , 11 , 2010 , 124.83 , 123.66 , 124.83 , 124.01 
8 , 12 , 2010 , 123.01 , 121.80 , 121.96 , 122.55 
8 , 13 , 2010 , 122.70 , 121.62 , 122.22 , 122.14 
8 , 16 , 2010 , 122.48 , 121.27 , 121.75 , 122.04 
8 , 17 , 2010 , 124.03 , 122.17 , 123.05 , 122.69 
8 , 18 , 2010 , 124.36 , 122.07 , 123.09 , 123.59 
8 , 19 , 2010 , 123.78 , 122.28 , 122.90 , 123.12 
8 , 20 , 2010 , 123.20 , 121.27 , 122.95 , 121.78 
8 , 23 , 2010 , 122.29 , 120.77 , 121.85 , 120.80 
8 , 24 , 2010 , 120.37 , 118.98 , 119.60 , 119.30 
8 , 25 , 2010 , 119.97 , 118.44 , 118.98 , 119.65 
8 , 26 , 2010 , 120.14 , 117.28 , 120.14 , 117.28 
8 , 27 , 2010 , 119.20 , 116.93 , 118.28 , 119.14 
8 , 30 , 2010 , 119.65 , 117.87 , 119.47 , 117.87 
8 , 31 , 2010 , 118.43 , 116.80 , 117.78 , 117.61 
9 , 1 , 2010 , 120.65 , 118.94 , 119.69 , 120.13 
9 , 2 , 2010 , 120.57 , 119.06 , 120.38 , 119.43 
9 , 3 , 2010 , 121.88 , 120.04 , 120.04 , 121.88 
9 , 7 , 2010 , 121.65 , 120.24 , 121.30 , 120.30 
9 , 8 , 2010 , 120.85 , 119.77 , 120.37 , 120.43 
9 , 9 , 2010 , 121.85 , 120.49 , 121.56 , 120.69 
9 , 10 , 2010 , 122.54 , 120.60 , 121.30 , 122.25 
9 , 13 , 2010 , 124.17 , 122.76 , 122.86 , 123.80 
9 , 14 , 2010 , 124.09 , 122.67 , 122.67 , 123.07 
9 , 15 , 2010 , 124.13 , 122.78 , 122.88 , 123.63 
9 , 16 , 2010 , 124.12 , 123.03 , 123.41 , 123.86 
9 , 17 , 2010 , 124.74 , 123.88 , 124.09 , 124.35 
9 , 20 , 2010 , 126.17 , 124.28 , 124.40 , 125.88 
9 , 21 , 2010 , 126.85 , 124.92 , 125.56 , 126.06 
