Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 22.06 , 21.76 , 21.82 , 21.89 
3 , 18 , 2010 , 22.29 , 21.72 , 21.97 , 21.91 
3 , 19 , 2010 , 22.08 , 21.55 , 21.98 , 21.62 
3 , 22 , 2010 , 22.03 , 21.38 , 21.49 , 21.98 
3 , 23 , 2010 , 22.05 , 21.74 , 22.01 , 21.97 
3 , 24 , 2010 , 22.25 , 21.74 , 21.93 , 22.10 
3 , 25 , 2010 , 22.44 , 21.95 , 22.21 , 21.98 
3 , 26 , 2010 , 22.47 , 22.05 , 22.05 , 22.22 
3 , 29 , 2010 , 22.40 , 22.07 , 22.30 , 22.27 
3 , 30 , 2010 , 22.30 , 21.98 , 22.30 , 22.07 
3 , 31 , 2010 , 22.72 , 22.04 , 22.04 , 22.44 
4 , 1 , 2010 , 22.79 , 22.38 , 22.55 , 22.54 
4 , 5 , 2010 , 22.63 , 22.01 , 22.53 , 22.08 
4 , 6 , 2010 , 21.81 , 21.13 , 21.78 , 21.41 
4 , 7 , 2010 , 21.50 , 21.15 , 21.32 , 21.23 
4 , 8 , 2010 , 21.50 , 21.11 , 21.15 , 21.41 
4 , 9 , 2010 , 21.60 , 21.32 , 21.49 , 21.41 
4 , 12 , 2010 , 21.94 , 21.39 , 21.39 , 21.72 
4 , 13 , 2010 , 21.90 , 21.66 , 21.71 , 21.78 
4 , 14 , 2010 , 22.15 , 21.80 , 21.86 , 22.14 
4 , 15 , 2010 , 22.33 , 22.07 , 22.10 , 22.33 
4 , 16 , 2010 , 22.31 , 21.44 , 22.23 , 21.50 
4 , 19 , 2010 , 21.95 , 21.36 , 21.41 , 21.89 
4 , 20 , 2010 , 22.50 , 21.78 , 21.99 , 22.48 
4 , 21 , 2010 , 22.58 , 22.06 , 22.52 , 22.37 
4 , 22 , 2010 , 23.74 , 22.13 , 22.23 , 23.37 
4 , 23 , 2010 , 23.74 , 23.19 , 23.46 , 23.65 
4 , 26 , 2010 , 24.53 , 23.61 , 23.70 , 24.06 
4 , 27 , 2010 , 24.20 , 23.12 , 24.19 , 23.16 
4 , 28 , 2010 , 23.64 , 23.04 , 23.36 , 23.29 
4 , 29 , 2010 , 23.90 , 23.20 , 23.60 , 23.76 
4 , 30 , 2010 , 23.87 , 23.32 , 23.64 , 23.33 
5 , 3 , 2010 , 23.60 , 23.20 , 23.46 , 23.37 
5 , 4 , 2010 , 23.22 , 22.61 , 23.14 , 22.69 
5 , 5 , 2010 , 24.00 , 22.45 , 22.58 , 23.79 
5 , 6 , 2010 , 24.08 , 22.00 , 23.75 , 23.41 
5 , 7 , 2010 , 23.72 , 22.70 , 23.46 , 22.94 
5 , 10 , 2010 , 24.71 , 23.69 , 23.84 , 24.68 
5 , 11 , 2010 , 24.97 , 24.05 , 24.49 , 24.09 
5 , 12 , 2010 , 24.78 , 24.19 , 24.19 , 24.52 
5 , 13 , 2010 , 25.00 , 24.37 , 24.46 , 24.38 
5 , 14 , 2010 , 24.28 , 23.40 , 24.26 , 23.64 
5 , 17 , 2010 , 23.95 , 23.31 , 23.75 , 23.87 
5 , 18 , 2010 , 24.24 , 22.77 , 24.01 , 22.94 
5 , 19 , 2010 , 23.08 , 22.25 , 22.79 , 22.80 
5 , 20 , 2010 , 22.60 , 21.88 , 22.27 , 21.90 
5 , 21 , 2010 , 23.04 , 21.59 , 21.80 , 23.02 
5 , 24 , 2010 , 23.56 , 22.83 , 23.11 , 22.84 
5 , 25 , 2010 , 22.82 , 21.88 , 22.32 , 22.78 
5 , 26 , 2010 , 23.15 , 22.51 , 22.86 , 22.62 
5 , 27 , 2010 , 23.49 , 22.89 , 22.89 , 23.47 
5 , 28 , 2010 , 23.65 , 23.12 , 23.42 , 23.23 
6 , 1 , 2010 , 23.65 , 22.83 , 23.14 , 23.17 
6 , 2 , 2010 , 24.30 , 23.41 , 23.41 , 24.28 
6 , 3 , 2010 , 24.50 , 24.06 , 24.40 , 24.24 
6 , 4 , 2010 , 24.11 , 23.47 , 23.73 , 23.58 
6 , 7 , 2010 , 24.09 , 23.38 , 23.73 , 23.39 
6 , 8 , 2010 , 23.63 , 22.70 , 23.53 , 23.21 
6 , 9 , 2010 , 23.76 , 22.84 , 23.22 , 22.96 
6 , 10 , 2010 , 23.84 , 23.16 , 23.16 , 23.79 
6 , 11 , 2010 , 24.80 , 23.65 , 23.65 , 24.68 
6 , 14 , 2010 , 25.08 , 24.54 , 25.06 , 24.58 
6 , 15 , 2010 , 24.88 , 24.39 , 24.63 , 24.65 
6 , 16 , 2010 , 25.91 , 24.39 , 24.39 , 25.39 
6 , 17 , 2010 , 24.90 , 24.16 , 24.78 , 24.47 
6 , 18 , 2010 , 24.65 , 24.32 , 24.45 , 24.43 
6 , 21 , 2010 , 24.81 , 24.17 , 24.64 , 24.30 
6 , 22 , 2010 , 24.68 , 23.84 , 24.35 , 23.88 
6 , 23 , 2010 , 24.03 , 23.32 , 23.77 , 23.50 
6 , 24 , 2010 , 23.39 , 22.85 , 23.28 , 22.90 
6 , 25 , 2010 , 23.83 , 23.00 , 23.10 , 23.67 
6 , 28 , 2010 , 23.90 , 23.17 , 23.67 , 23.60 
6 , 29 , 2010 , 23.40 , 22.62 , 23.32 , 22.78 
6 , 30 , 2010 , 23.18 , 22.52 , 22.76 , 22.61 
7 , 1 , 2010 , 22.89 , 21.94 , 22.72 , 22.53 
7 , 2 , 2010 , 22.54 , 20.95 , 22.54 , 21.25 
7 , 6 , 2010 , 21.58 , 20.35 , 21.52 , 20.78 
7 , 7 , 2010 , 21.41 , 20.51 , 20.84 , 21.36 
7 , 8 , 2010 , 21.60 , 21.11 , 21.43 , 21.46 
7 , 9 , 2010 , 21.64 , 21.13 , 21.42 , 21.33 
7 , 12 , 2010 , 21.46 , 21.16 , 21.27 , 21.32 
7 , 13 , 2010 , 21.72 , 21.45 , 21.54 , 21.60 
7 , 14 , 2010 , 21.56 , 20.89 , 21.48 , 21.18 
7 , 15 , 2010 , 21.35 , 20.73 , 21.16 , 21.11 
7 , 16 , 2010 , 21.08 , 20.27 , 20.86 , 20.31 
7 , 19 , 2010 , 20.72 , 20.29 , 20.36 , 20.58 
7 , 20 , 2010 , 21.57 , 20.50 , 20.60 , 21.51 
