Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 22.35 , 21.91 , 22.06 , 22.24 
3 , 18 , 2010 , 22.35 , 22.01 , 22.19 , 22.20 
3 , 19 , 2010 , 22.39 , 21.81 , 22.25 , 21.99 
3 , 22 , 2010 , 22.30 , 21.84 , 21.87 , 22.24 
3 , 23 , 2010 , 22.75 , 22.36 , 22.39 , 22.67 
3 , 24 , 2010 , 22.67 , 22.32 , 22.53 , 22.43 
3 , 25 , 2010 , 22.73 , 22.31 , 22.69 , 22.35 
3 , 26 , 2010 , 22.59 , 22.07 , 22.43 , 22.24 
3 , 29 , 2010 , 22.49 , 22.26 , 22.42 , 22.33 
3 , 30 , 2010 , 22.54 , 22.18 , 22.40 , 22.34 
3 , 31 , 2010 , 22.50 , 22.20 , 22.32 , 22.29 
4 , 1 , 2010 , 22.64 , 22.20 , 22.40 , 22.39 
4 , 5 , 2010 , 22.65 , 22.34 , 22.48 , 22.59 
4 , 6 , 2010 , 22.48 , 22.26 , 22.43 , 22.40 
4 , 7 , 2010 , 22.68 , 22.25 , 22.43 , 22.45 
4 , 8 , 2010 , 22.41 , 22.16 , 22.38 , 22.31 
4 , 9 , 2010 , 22.57 , 22.36 , 22.40 , 22.55 
4 , 12 , 2010 , 22.73 , 22.44 , 22.69 , 22.54 
4 , 13 , 2010 , 22.82 , 22.47 , 22.65 , 22.77 
4 , 14 , 2010 , 23.69 , 23.27 , 23.57 , 23.52 
4 , 15 , 2010 , 24.37 , 23.80 , 23.83 , 24.22 
4 , 16 , 2010 , 24.16 , 23.77 , 24.06 , 23.92 
4 , 19 , 2010 , 24.04 , 23.54 , 23.91 , 24.00 
4 , 20 , 2010 , 24.25 , 23.90 , 24.20 , 24.12 
4 , 21 , 2010 , 24.13 , 23.54 , 24.10 , 23.80 
4 , 22 , 2010 , 24.06 , 23.32 , 23.55 , 23.99 
4 , 23 , 2010 , 24.06 , 23.73 , 23.95 , 24.04 
4 , 26 , 2010 , 24.13 , 23.81 , 24.08 , 23.82 
4 , 27 , 2010 , 23.88 , 23.30 , 23.73 , 23.35 
4 , 28 , 2010 , 23.46 , 22.91 , 23.41 , 23.26 
4 , 29 , 2010 , 23.51 , 23.30 , 23.33 , 23.49 
4 , 30 , 2010 , 23.46 , 22.81 , 23.45 , 22.84 
5 , 3 , 2010 , 23.44 , 22.90 , 22.98 , 23.26 
