Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 34.84 , 34.28 , 34.51 , 34.53 
3 , 18 , 2010 , 34.81 , 34.40 , 34.41 , 34.65 
3 , 19 , 2010 , 34.97 , 34.35 , 34.75 , 34.61 
3 , 22 , 2010 , 34.93 , 34.34 , 34.34 , 34.90 
3 , 23 , 2010 , 34.84 , 34.42 , 34.77 , 34.60 
3 , 24 , 2010 , 34.86 , 34.56 , 34.56 , 34.74 
3 , 25 , 2010 , 34.89 , 34.40 , 34.80 , 34.40 
3 , 26 , 2010 , 34.63 , 34.06 , 34.41 , 34.24 
3 , 29 , 2010 , 34.49 , 34.11 , 34.23 , 34.32 
3 , 30 , 2010 , 34.51 , 34.19 , 34.41 , 34.36 
3 , 31 , 2010 , 34.57 , 34.17 , 34.22 , 34.32 
4 , 1 , 2010 , 34.90 , 34.15 , 34.37 , 34.51 
4 , 5 , 2010 , 34.92 , 34.43 , 34.55 , 34.88 
4 , 6 , 2010 , 35.00 , 34.78 , 34.86 , 34.97 
4 , 7 , 2010 , 34.89 , 34.42 , 34.89 , 34.58 
4 , 8 , 2010 , 34.58 , 34.14 , 34.58 , 34.51 
4 , 9 , 2010 , 34.53 , 34.27 , 34.46 , 34.53 
4 , 12 , 2010 , 34.65 , 34.38 , 34.49 , 34.53 
4 , 13 , 2010 , 35.09 , 34.25 , 34.25 , 35.05 
4 , 14 , 2010 , 35.19 , 34.87 , 34.95 , 35.17 
4 , 15 , 2010 , 35.43 , 34.89 , 34.98 , 35.35 
4 , 16 , 2010 , 35.59 , 35.21 , 35.25 , 35.47 
4 , 19 , 2010 , 35.47 , 35.14 , 35.44 , 35.31 
4 , 20 , 2010 , 35.50 , 35.25 , 35.34 , 35.43 
4 , 21 , 2010 , 35.75 , 35.27 , 35.43 , 35.72 
4 , 22 , 2010 , 36.00 , 35.23 , 35.55 , 35.99 
4 , 23 , 2010 , 36.22 , 35.58 , 35.85 , 36.19 
4 , 26 , 2010 , 36.33 , 35.96 , 36.12 , 36.18 
4 , 27 , 2010 , 36.43 , 35.71 , 36.15 , 35.76 
4 , 28 , 2010 , 36.12 , 35.69 , 35.87 , 35.78 
4 , 29 , 2010 , 36.32 , 35.65 , 35.85 , 36.17 
4 , 30 , 2010 , 36.41 , 35.97 , 36.35 , 36.19 
5 , 3 , 2010 , 37.52 , 36.70 , 36.76 , 37.35 
5 , 4 , 2010 , 37.07 , 35.75 , 36.95 , 36.09 
5 , 5 , 2010 , 36.69 , 36.14 , 36.35 , 36.64 
5 , 6 , 2010 , 36.60 , 34.00 , 36.44 , 35.21 
5 , 7 , 2010 , 35.36 , 34.01 , 35.18 , 34.01 
5 , 10 , 2010 , 35.91 , 34.89 , 35.05 , 35.71 
5 , 11 , 2010 , 36.42 , 35.18 , 35.55 , 35.96 
5 , 12 , 2010 , 37.13 , 35.78 , 35.93 , 37.06 
5 , 13 , 2010 , 37.05 , 36.31 , 36.76 , 36.35 
5 , 14 , 2010 , 36.19 , 35.30 , 36.17 , 35.53 
5 , 17 , 2010 , 36.20 , 35.44 , 35.75 , 36.07 
5 , 18 , 2010 , 37.24 , 36.52 , 37.06 , 36.60 
5 , 19 , 2010 , 36.82 , 35.39 , 36.59 , 35.57 
5 , 20 , 2010 , 35.21 , 33.61 , 34.99 , 33.75 
5 , 21 , 2010 , 35.27 , 33.24 , 33.43 , 35.01 
5 , 24 , 2010 , 35.13 , 34.03 , 34.86 , 34.52 
5 , 25 , 2010 , 34.82 , 33.39 , 33.39 , 34.82 
5 , 26 , 2010 , 35.04 , 34.30 , 34.66 , 34.42 
5 , 27 , 2010 , 35.71 , 34.75 , 34.86 , 35.67 
5 , 28 , 2010 , 36.05 , 35.24 , 35.47 , 35.74 
6 , 1 , 2010 , 35.91 , 35.15 , 35.51 , 35.24 
6 , 2 , 2010 , 36.49 , 34.99 , 35.29 , 36.43 
6 , 3 , 2010 , 37.00 , 36.16 , 36.34 , 36.87 
6 , 4 , 2010 , 36.36 , 35.35 , 36.34 , 35.41 
6 , 7 , 2010 , 35.83 , 34.78 , 35.59 , 34.81 
6 , 8 , 2010 , 35.35 , 34.51 , 34.80 , 35.25 
6 , 9 , 2010 , 35.76 , 35.04 , 35.45 , 35.14 
6 , 10 , 2010 , 36.11 , 35.22 , 35.45 , 36.09 
