Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 39.89 , 39.36 , 39.61 , 39.58 
3 , 18 , 2010 , 39.72 , 39.19 , 39.63 , 39.29 
3 , 19 , 2010 , 40.00 , 38.58 , 39.63 , 38.80 
3 , 22 , 2010 , 38.89 , 37.85 , 38.44 , 38.64 
3 , 23 , 2010 , 38.86 , 38.25 , 38.73 , 38.77 
3 , 24 , 2010 , 38.81 , 38.16 , 38.79 , 38.46 
3 , 25 , 2010 , 38.63 , 37.94 , 38.60 , 38.01 
3 , 26 , 2010 , 38.36 , 37.61 , 38.01 , 38.00 
3 , 29 , 2010 , 38.72 , 37.80 , 38.01 , 38.64 
3 , 30 , 2010 , 39.00 , 37.99 , 38.83 , 38.77 
3 , 31 , 2010 , 38.89 , 38.34 , 38.76 , 38.68 
4 , 1 , 2010 , 39.15 , 38.44 , 39.09 , 38.84 
4 , 5 , 2010 , 39.33 , 38.28 , 39.17 , 38.42 
4 , 6 , 2010 , 38.44 , 38.10 , 38.32 , 38.14 
4 , 7 , 2010 , 38.28 , 36.87 , 38.22 , 37.04 
4 , 8 , 2010 , 37.85 , 36.67 , 36.81 , 37.79 
4 , 9 , 2010 , 39.02 , 37.81 , 38.00 , 38.96 
4 , 12 , 2010 , 39.39 , 38.95 , 39.19 , 39.36 
4 , 13 , 2010 , 41.09 , 39.33 , 39.38 , 40.83 
4 , 14 , 2010 , 42.73 , 41.00 , 41.11 , 42.66 
4 , 15 , 2010 , 43.77 , 42.09 , 42.79 , 43.11 
4 , 16 , 2010 , 43.67 , 39.99 , 42.11 , 40.04 
4 , 19 , 2010 , 41.08 , 39.47 , 40.07 , 40.22 
4 , 20 , 2010 , 40.97 , 40.30 , 40.44 , 40.74 
4 , 21 , 2010 , 41.19 , 40.22 , 40.53 , 40.66 
4 , 22 , 2010 , 41.52 , 40.06 , 40.44 , 40.97 
4 , 23 , 2010 , 41.21 , 40.42 , 41.04 , 40.55 
4 , 26 , 2010 , 40.77 , 39.83 , 40.54 , 40.24 
4 , 27 , 2010 , 40.81 , 39.58 , 40.00 , 39.76 
4 , 28 , 2010 , 40.30 , 39.89 , 40.00 , 40.01 
4 , 29 , 2010 , 41.30 , 40.11 , 40.17 , 40.93 
4 , 30 , 2010 , 41.28 , 40.06 , 40.94 , 40.06 
5 , 3 , 2010 , 41.45 , 40.26 , 40.33 , 41.36 
5 , 4 , 2010 , 41.06 , 39.89 , 40.99 , 40.19 
5 , 5 , 2010 , 39.33 , 37.90 , 39.08 , 38.55 
5 , 6 , 2010 , 38.85 , 34.91 , 38.44 , 37.48 
5 , 7 , 2010 , 37.55 , 34.60 , 37.22 , 36.04 
5 , 10 , 2010 , 38.44 , 37.56 , 37.89 , 38.27 
5 , 11 , 2010 , 38.61 , 37.56 , 37.91 , 38.31 
5 , 12 , 2010 , 39.59 , 38.56 , 38.67 , 39.39 
5 , 13 , 2010 , 39.88 , 38.89 , 39.54 , 38.98 
5 , 14 , 2010 , 38.86 , 37.35 , 38.72 , 37.79 
5 , 17 , 2010 , 38.21 , 37.15 , 38.11 , 37.90 
5 , 18 , 2010 , 38.42 , 36.87 , 38.29 , 36.94 
5 , 19 , 2010 , 37.31 , 35.82 , 36.71 , 36.53 
5 , 20 , 2010 , 35.87 , 34.52 , 35.69 , 34.66 
5 , 21 , 2010 , 35.76 , 33.45 , 33.89 , 35.68 
5 , 24 , 2010 , 36.12 , 35.03 , 35.95 , 35.15 
5 , 25 , 2010 , 35.58 , 33.85 , 34.54 , 35.46 
5 , 26 , 2010 , 37.09 , 34.07 , 35.78 , 35.27 
5 , 27 , 2010 , 36.75 , 35.67 , 36.07 , 36.72 
5 , 28 , 2010 , 36.79 , 35.62 , 36.73 , 35.86 
6 , 1 , 2010 , 36.72 , 35.29 , 35.40 , 36.02 
6 , 2 , 2010 , 37.12 , 35.92 , 36.16 , 37.12 
6 , 3 , 2010 , 37.78 , 37.13 , 37.15 , 37.49 
6 , 4 , 2010 , 37.05 , 36.01 , 36.86 , 36.07 
6 , 7 , 2010 , 36.41 , 35.59 , 36.26 , 35.67 
6 , 8 , 2010 , 36.05 , 35.17 , 35.71 , 35.85 
6 , 9 , 2010 , 36.49 , 35.61 , 36.19 , 35.69 
6 , 10 , 2010 , 36.82 , 35.79 , 36.35 , 36.77 
6 , 11 , 2010 , 37.53 , 36.29 , 36.29 , 37.46 
6 , 14 , 2010 , 37.06 , 36.20 , 36.89 , 36.38 
6 , 15 , 2010 , 37.09 , 36.10 , 36.41 , 37.05 
6 , 16 , 2010 , 37.39 , 36.73 , 36.84 , 37.16 
6 , 17 , 2010 , 37.90 , 37.11 , 37.53 , 37.81 
6 , 18 , 2010 , 38.98 , 37.56 , 37.83 , 38.88 
6 , 21 , 2010 , 39.88 , 38.79 , 39.57 , 39.03 
6 , 22 , 2010 , 39.65 , 38.20 , 39.22 , 38.34 
6 , 23 , 2010 , 38.33 , 37.33 , 38.30 , 37.60 
6 , 24 , 2010 , 37.71 , 36.75 , 37.31 , 36.88 
6 , 25 , 2010 , 37.54 , 36.67 , 36.94 , 37.49 
6 , 28 , 2010 , 37.77 , 36.78 , 37.61 , 37.29 
6 , 29 , 2010 , 36.69 , 35.31 , 36.67 , 36.09 
6 , 30 , 2010 , 36.54 , 35.01 , 36.17 , 35.07 
7 , 1 , 2010 , 35.33 , 33.52 , 35.08 , 34.67 
7 , 2 , 2010 , 34.93 , 34.05 , 34.73 , 34.43 
7 , 6 , 2010 , 35.68 , 34.70 , 34.82 , 34.99 
7 , 7 , 2010 , 35.89 , 34.97 , 35.11 , 35.80 
7 , 8 , 2010 , 36.49 , 35.33 , 36.26 , 35.69 
7 , 9 , 2010 , 35.91 , 35.19 , 35.78 , 35.43 
7 , 12 , 2010 , 35.53 , 35.08 , 35.30 , 35.27 
7 , 13 , 2010 , 36.86 , 35.45 , 35.56 , 36.62 
7 , 14 , 2010 , 37.89 , 36.67 , 36.67 , 37.53 
7 , 15 , 2010 , 37.79 , 36.91 , 37.63 , 37.30 
7 , 16 , 2010 , 37.40 , 36.00 , 37.27 , 36.07 
7 , 19 , 2010 , 36.39 , 35.63 , 36.22 , 35.90 
7 , 20 , 2010 , 36.33 , 35.33 , 35.42 , 36.23 
7 , 21 , 2010 , 36.66 , 34.89 , 36.37 , 35.12 
7 , 22 , 2010 , 36.02 , 34.09 , 34.25 , 35.22 
7 , 23 , 2010 , 37.21 , 35.10 , 35.11 , 37.15 
7 , 26 , 2010 , 38.29 , 37.02 , 37.04 , 37.83 
7 , 27 , 2010 , 38.30 , 36.90 , 38.11 , 37.27 
7 , 28 , 2010 , 37.55 , 36.48 , 37.35 , 36.67 
7 , 29 , 2010 , 37.11 , 35.81 , 37.00 , 36.36 
7 , 30 , 2010 , 37.05 , 35.86 , 35.91 , 36.49 
8 , 2 , 2010 , 37.57 , 36.89 , 37.03 , 37.42 
8 , 3 , 2010 , 37.53 , 36.99 , 37.34 , 37.18 
8 , 4 , 2010 , 37.51 , 37.10 , 37.22 , 37.26 
8 , 5 , 2010 , 37.29 , 36.71 , 37.15 , 37.21 
8 , 6 , 2010 , 37.16 , 36.24 , 36.99 , 36.91 
8 , 9 , 2010 , 37.19 , 36.58 , 37.00 , 36.82 
8 , 10 , 2010 , 36.63 , 35.87 , 36.36 , 36.40 
8 , 11 , 2010 , 36.14 , 34.95 , 35.69 , 35.22 
8 , 12 , 2010 , 35.57 , 34.56 , 34.68 , 35.22 
8 , 13 , 2010 , 35.40 , 34.90 , 35.19 , 35.08 
8 , 16 , 2010 , 35.19 , 34.30 , 34.59 , 34.37 
8 , 17 , 2010 , 35.30 , 34.41 , 34.81 , 35.21 
8 , 18 , 2010 , 35.28 , 34.67 , 35.05 , 34.89 
8 , 19 , 2010 , 34.78 , 33.77 , 34.67 , 34.06 
8 , 20 , 2010 , 34.10 , 32.44 , 33.87 , 32.61 
8 , 23 , 2010 , 33.19 , 31.34 , 32.69 , 31.44 
8 , 24 , 2010 , 30.86 , 29.51 , 30.61 , 29.90 
8 , 25 , 2010 , 30.98 , 29.95 , 30.18 , 30.71 
8 , 26 , 2010 , 31.11 , 29.77 , 30.92 , 29.77 
8 , 27 , 2010 , 30.37 , 29.11 , 29.89 , 30.34 
8 , 30 , 2010 , 30.41 , 29.63 , 30.14 , 29.82 
8 , 31 , 2010 , 29.96 , 29.18 , 29.50 , 29.45 
9 , 1 , 2010 , 30.67 , 29.53 , 30.13 , 30.45 
9 , 2 , 2010 , 30.85 , 30.14 , 30.44 , 30.81 
9 , 3 , 2010 , 31.66 , 30.89 , 31.11 , 31.24 
9 , 7 , 2010 , 31.38 , 30.79 , 31.00 , 30.89 
9 , 8 , 2010 , 31.52 , 30.97 , 30.98 , 31.14 
9 , 9 , 2010 , 31.78 , 31.14 , 31.56 , 31.43 
9 , 10 , 2010 , 31.53 , 30.94 , 31.53 , 31.11 
9 , 13 , 2010 , 31.51 , 30.89 , 31.37 , 31.04 
9 , 14 , 2010 , 31.96 , 30.68 , 30.87 , 31.77 
9 , 15 , 2010 , 32.81 , 31.27 , 31.27 , 32.64 
9 , 16 , 2010 , 32.69 , 32.14 , 32.61 , 32.47 
9 , 17 , 2010 , 33.49 , 32.56 , 32.73 , 32.86 
9 , 20 , 2010 , 34.16 , 33.00 , 33.00 , 34.04 
9 , 21 , 2010 , 34.53 , 33.76 , 34.34 , 33.90 
9 , 22 , 2010 , 34.49 , 33.41 , 33.85 , 33.47 
9 , 23 , 2010 , 33.76 , 33.01 , 33.13 , 33.23 
9 , 24 , 2010 , 34.02 , 33.40 , 33.74 , 33.95 
9 , 27 , 2010 , 33.18 , 32.02 , 33.15 , 32.25 
9 , 28 , 2010 , 32.52 , 31.60 , 32.26 , 32.23 
9 , 29 , 2010 , 32.65 , 31.73 , 32.08 , 31.89 
9 , 30 , 2010 , 32.44 , 31.33 , 32.44 , 31.53 
10 , 1 , 2010 , 32.34 , 31.59 , 31.83 , 32.18 
10 , 4 , 2010 , 32.17 , 31.15 , 32.07 , 31.47 
10 , 5 , 2010 , 32.64 , 31.45 , 31.80 , 32.54 
10 , 6 , 2010 , 32.78 , 32.08 , 32.43 , 32.54 
10 , 7 , 2010 , 32.62 , 31.74 , 32.61 , 31.91 
10 , 8 , 2010 , 32.35 , 31.70 , 32.01 , 32.20 
10 , 11 , 2010 , 32.61 , 32.00 , 32.00 , 32.28 
10 , 12 , 2010 , 32.44 , 31.78 , 32.25 , 31.85 
10 , 13 , 2010 , 32.16 , 30.63 , 32.00 , 30.63 
10 , 14 , 2010 , 30.71 , 30.05 , 30.67 , 30.46 
10 , 15 , 2010 , 31.29 , 30.14 , 30.75 , 31.09 
10 , 18 , 2010 , 31.88 , 30.94 , 31.11 , 31.73 
10 , 19 , 2010 , 31.46 , 30.57 , 31.46 , 31.00 
10 , 20 , 2010 , 29.26 , 28.34 , 29.26 , 28.83 
10 , 21 , 2010 , 29.16 , 28.36 , 29.16 , 28.54 
10 , 22 , 2010 , 29.82 , 28.42 , 28.54 , 29.54 
10 , 25 , 2010 , 29.94 , 29.31 , 29.92 , 29.53 
10 , 26 , 2010 , 29.64 , 28.95 , 29.13 , 29.33 
10 , 27 , 2010 , 29.11 , 28.47 , 29.00 , 28.99 
10 , 28 , 2010 , 29.37 , 28.92 , 29.04 , 29.20 
10 , 29 , 2010 , 29.41 , 29.01 , 29.10 , 29.22 
11 , 1 , 2010 , 29.64 , 28.94 , 29.36 , 29.11 
11 , 2 , 2010 , 29.69 , 29.12 , 29.16 , 29.58 
11 , 3 , 2010 , 30.02 , 29.40 , 29.64 , 30.00 
11 , 4 , 2010 , 30.75 , 30.44 , 30.53 , 30.64 
11 , 5 , 2010 , 31.00 , 30.64 , 30.77 , 30.92 
11 , 8 , 2010 , 30.97 , 30.66 , 30.75 , 30.79 
11 , 9 , 2010 , 31.19 , 30.67 , 30.90 , 30.88 
11 , 10 , 2010 , 31.10 , 30.28 , 30.90 , 30.79 
11 , 11 , 2010 , 30.64 , 30.00 , 30.51 , 30.36 
11 , 12 , 2010 , 30.26 , 29.46 , 30.24 , 29.74 
11 , 15 , 2010 , 30.04 , 29.44 , 29.93 , 29.80 
11 , 16 , 2010 , 29.94 , 28.90 , 29.52 , 29.17 
11 , 17 , 2010 , 29.56 , 29.04 , 29.24 , 29.16 
11 , 18 , 2010 , 29.64 , 28.83 , 29.43 , 28.90 
