Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 46.74 , 45.91 , 46.00 , 46.28 
3 , 18 , 2010 , 47.39 , 46.19 , 46.27 , 47.19 
3 , 19 , 2010 , 48.41 , 46.60 , 47.59 , 46.77 
3 , 22 , 2010 , 47.16 , 46.31 , 46.39 , 46.94 
3 , 23 , 2010 , 47.60 , 46.68 , 47.09 , 47.54 
3 , 24 , 2010 , 47.44 , 46.78 , 47.25 , 46.90 
3 , 25 , 2010 , 47.49 , 46.74 , 47.18 , 46.79 
3 , 26 , 2010 , 47.42 , 46.81 , 46.91 , 47.23 
3 , 29 , 2010 , 47.48 , 47.02 , 47.34 , 47.21 
3 , 30 , 2010 , 47.72 , 47.17 , 47.35 , 47.43 
3 , 31 , 2010 , 47.74 , 47.02 , 47.41 , 47.36 
4 , 1 , 2010 , 48.00 , 47.14 , 47.53 , 47.68 
4 , 5 , 2010 , 48.00 , 47.45 , 47.74 , 47.88 
4 , 6 , 2010 , 47.78 , 47.38 , 47.71 , 47.70 
4 , 7 , 2010 , 47.67 , 47.00 , 47.59 , 47.24 
4 , 8 , 2010 , 47.27 , 46.61 , 47.15 , 47.21 
4 , 9 , 2010 , 47.76 , 47.18 , 47.22 , 47.73 
4 , 12 , 2010 , 47.97 , 47.36 , 47.74 , 47.96 
4 , 13 , 2010 , 48.08 , 47.50 , 47.78 , 47.90 
4 , 14 , 2010 , 48.43 , 47.78 , 47.96 , 48.36 
4 , 15 , 2010 , 49.69 , 48.66 , 48.91 , 49.55 
4 , 16 , 2010 , 49.58 , 48.53 , 49.38 , 49.01 
4 , 19 , 2010 , 49.60 , 48.36 , 49.01 , 48.81 
4 , 20 , 2010 , 51.28 , 50.21 , 50.22 , 50.71 
4 , 21 , 2010 , 51.17 , 50.26 , 50.84 , 51.05 
4 , 22 , 2010 , 52.48 , 50.32 , 50.68 , 52.35 
4 , 23 , 2010 , 52.49 , 50.84 , 52.05 , 52.43 
4 , 26 , 2010 , 52.72 , 52.11 , 52.11 , 52.50 
