Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 64.74 , 64.48 , 64.72 , 64.65 
3 , 18 , 2010 , 65.15 , 64.37 , 64.58 , 65.06 
3 , 19 , 2010 , 65.49 , 64.81 , 65.25 , 65.11 
3 , 22 , 2010 , 65.44 , 64.98 , 65.07 , 65.10 
3 , 23 , 2010 , 65.39 , 64.87 , 65.18 , 65.36 
3 , 24 , 2010 , 65.31 , 64.75 , 65.31 , 64.75 
3 , 25 , 2010 , 65.25 , 64.53 , 65.04 , 64.57 
3 , 26 , 2010 , 64.72 , 64.33 , 64.68 , 64.38 
3 , 29 , 2010 , 64.94 , 64.40 , 64.46 , 64.82 
3 , 30 , 2010 , 64.98 , 64.56 , 64.95 , 64.90 
3 , 31 , 2010 , 65.31 , 64.70 , 64.84 , 65.20 
4 , 1 , 2010 , 65.77 , 65.24 , 65.37 , 65.77 
4 , 5 , 2010 , 65.89 , 65.38 , 65.77 , 65.40 
4 , 6 , 2010 , 65.45 , 65.00 , 65.13 , 65.31 
4 , 7 , 2010 , 65.49 , 65.08 , 65.24 , 65.22 
4 , 8 , 2010 , 65.19 , 64.77 , 65.19 , 64.93 
4 , 9 , 2010 , 65.17 , 64.78 , 64.88 , 65.14 
4 , 12 , 2010 , 65.21 , 64.93 , 65.11 , 65.11 
4 , 13 , 2010 , 65.85 , 64.91 , 65.06 , 65.68 
4 , 14 , 2010 , 65.60 , 65.18 , 65.43 , 65.49 
4 , 15 , 2010 , 65.54 , 65.13 , 65.29 , 65.51 
4 , 16 , 2010 , 65.65 , 64.89 , 65.34 , 65.02 
4 , 19 , 2010 , 66.10 , 65.06 , 65.06 , 66.03 
4 , 20 , 2010 , 66.20 , 65.73 , 66.03 , 65.99 
4 , 21 , 2010 , 65.98 , 65.07 , 65.98 , 65.39 
4 , 22 , 2010 , 65.24 , 64.33 , 65.18 , 64.78 
4 , 23 , 2010 , 65.04 , 64.33 , 64.71 , 65.04 
4 , 26 , 2010 , 65.20 , 64.72 , 64.99 , 64.76 
4 , 27 , 2010 , 64.88 , 64.21 , 64.57 , 64.28 
4 , 28 , 2010 , 64.86 , 64.25 , 64.43 , 64.62 
4 , 29 , 2010 , 65.34 , 64.85 , 64.85 , 65.01 
4 , 30 , 2010 , 65.34 , 64.30 , 65.13 , 64.30 
5 , 3 , 2010 , 65.62 , 64.55 , 65.16 , 65.33 
5 , 4 , 2010 , 65.28 , 64.41 , 65.07 , 64.70 
5 , 5 , 2010 , 65.29 , 64.44 , 64.58 , 65.14 
5 , 6 , 2010 , 65.10 , 60.03 , 65.04 , 63.40 
5 , 7 , 2010 , 63.60 , 62.09 , 63.26 , 63.31 
5 , 10 , 2010 , 65.36 , 64.00 , 64.91 , 64.75 
5 , 11 , 2010 , 65.09 , 64.18 , 64.23 , 64.67 
