Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 44.11 , 43.27 , 43.31 , 43.79 
3 , 18 , 2010 , 43.79 , 43.15 , 43.75 , 43.64 
3 , 19 , 2010 , 43.89 , 43.13 , 43.72 , 43.45 
3 , 22 , 2010 , 43.79 , 43.04 , 43.07 , 43.74 
3 , 23 , 2010 , 44.74 , 43.78 , 43.85 , 44.58 
3 , 24 , 2010 , 44.97 , 44.20 , 44.44 , 44.94 
3 , 25 , 2010 , 46.05 , 44.89 , 44.98 , 44.94 
3 , 26 , 2010 , 45.89 , 44.80 , 45.04 , 45.02 
3 , 29 , 2010 , 45.38 , 44.46 , 45.25 , 44.86 
3 , 30 , 2010 , 45.05 , 44.36 , 44.90 , 44.58 
3 , 31 , 2010 , 45.00 , 44.25 , 44.31 , 44.75 
4 , 1 , 2010 , 45.31 , 44.99 , 45.03 , 45.18 
4 , 5 , 2010 , 45.40 , 44.79 , 45.28 , 45.34 
4 , 6 , 2010 , 45.94 , 45.15 , 45.23 , 45.84 
4 , 7 , 2010 , 46.05 , 45.02 , 45.83 , 45.32 
4 , 8 , 2010 , 45.97 , 44.81 , 45.16 , 45.76 
4 , 9 , 2010 , 46.22 , 45.45 , 45.88 , 45.98 
4 , 12 , 2010 , 46.47 , 45.90 , 46.03 , 46.14 
4 , 13 , 2010 , 46.38 , 45.85 , 46.04 , 45.87 
4 , 14 , 2010 , 47.93 , 46.78 , 47.40 , 47.73 
4 , 15 , 2010 , 48.20 , 47.49 , 47.65 , 47.81 
4 , 16 , 2010 , 47.75 , 45.14 , 47.67 , 45.55 
4 , 19 , 2010 , 45.70 , 44.59 , 45.23 , 45.39 
4 , 20 , 2010 , 46.15 , 45.56 , 45.77 , 45.88 
4 , 21 , 2010 , 46.39 , 45.00 , 46.04 , 45.35 
4 , 22 , 2010 , 45.12 , 44.03 , 44.91 , 44.74 
4 , 23 , 2010 , 45.07 , 44.25 , 44.73 , 44.94 
4 , 26 , 2010 , 44.81 , 43.73 , 44.78 , 43.89 
4 , 27 , 2010 , 44.37 , 42.30 , 43.48 , 42.41 
4 , 28 , 2010 , 43.71 , 42.78 , 42.84 , 43.46 
4 , 29 , 2010 , 44.33 , 43.60 , 43.89 , 44.00 
4 , 30 , 2010 , 44.05 , 42.23 , 44.02 , 42.58 
5 , 3 , 2010 , 43.73 , 42.89 , 42.97 , 43.53 
5 , 4 , 2010 , 43.36 , 42.25 , 42.97 , 42.47 
5 , 5 , 2010 , 43.37 , 41.62 , 42.11 , 42.63 
5 , 6 , 2010 , 42.78 , 39.29 , 42.63 , 40.81 
5 , 7 , 2010 , 41.84 , 39.78 , 41.03 , 40.76 
5 , 10 , 2010 , 43.30 , 41.42 , 42.32 , 41.95 
5 , 11 , 2010 , 42.55 , 41.15 , 41.46 , 41.55 
5 , 12 , 2010 , 41.79 , 40.81 , 41.74 , 41.69 
5 , 13 , 2010 , 41.60 , 40.78 , 41.44 , 40.81 
5 , 14 , 2010 , 40.10 , 39.21 , 40.10 , 39.89 
5 , 17 , 2010 , 40.04 , 38.77 , 39.93 , 39.84 
5 , 18 , 2010 , 40.62 , 38.55 , 40.62 , 39.02 
5 , 19 , 2010 , 39.66 , 38.52 , 38.54 , 39.38 
5 , 20 , 2010 , 39.25 , 37.31 , 38.55 , 37.83 
5 , 21 , 2010 , 40.16 , 37.02 , 37.02 , 40.05 
5 , 24 , 2010 , 40.25 , 38.50 , 40.16 , 38.62 
5 , 25 , 2010 , 39.01 , 37.35 , 37.67 , 38.94 
5 , 26 , 2010 , 39.50 , 38.47 , 39.19 , 38.78 
5 , 27 , 2010 , 40.49 , 39.40 , 39.58 , 40.42 
5 , 28 , 2010 , 40.35 , 39.36 , 40.33 , 39.58 
6 , 1 , 2010 , 39.96 , 38.50 , 39.32 , 38.54 
6 , 2 , 2010 , 39.62 , 38.67 , 39.17 , 39.55 
6 , 3 , 2010 , 39.94 , 38.62 , 39.86 , 39.10 
6 , 4 , 2010 , 38.70 , 37.50 , 38.49 , 37.62 
6 , 7 , 2010 , 38.13 , 36.66 , 37.79 , 36.72 
6 , 8 , 2010 , 37.80 , 36.55 , 36.86 , 37.78 
6 , 9 , 2010 , 38.16 , 37.01 , 38.15 , 37.12 
6 , 10 , 2010 , 38.37 , 37.41 , 37.68 , 38.29 
6 , 11 , 2010 , 38.17 , 37.52 , 37.79 , 38.09 
6 , 14 , 2010 , 38.27 , 37.23 , 37.97 , 37.33 
6 , 15 , 2010 , 38.28 , 37.26 , 37.55 , 38.25 
6 , 16 , 2010 , 38.88 , 37.99 , 38.02 , 38.52 
6 , 17 , 2010 , 38.90 , 37.92 , 38.60 , 38.44 
6 , 18 , 2010 , 39.27 , 38.38 , 38.60 , 39.18 
6 , 21 , 2010 , 39.78 , 38.66 , 39.55 , 38.87 
6 , 22 , 2010 , 39.58 , 38.22 , 38.93 , 38.33 
6 , 23 , 2010 , 39.11 , 38.02 , 38.29 , 38.89 
6 , 24 , 2010 , 38.70 , 37.42 , 38.55 , 38.03 
6 , 25 , 2010 , 39.60 , 38.28 , 38.78 , 39.44 
6 , 28 , 2010 , 39.64 , 38.47 , 39.55 , 38.54 
6 , 29 , 2010 , 37.91 , 36.88 , 37.91 , 37.06 
6 , 30 , 2010 , 37.49 , 36.51 , 37.02 , 36.61 
7 , 1 , 2010 , 36.69 , 35.16 , 36.54 , 36.08 
7 , 2 , 2010 , 36.69 , 35.34 , 36.31 , 35.83 
7 , 6 , 2010 , 36.89 , 35.86 , 36.69 , 36.33 
7 , 7 , 2010 , 38.24 , 36.41 , 36.64 , 38.15 
7 , 8 , 2010 , 38.82 , 37.15 , 38.78 , 38.16 
7 , 9 , 2010 , 38.89 , 37.68 , 37.75 , 38.85 
7 , 12 , 2010 , 39.34 , 38.60 , 38.86 , 39.19 
7 , 13 , 2010 , 40.69 , 39.74 , 39.81 , 40.48 
7 , 14 , 2010 , 40.38 , 39.84 , 40.15 , 40.35 
7 , 15 , 2010 , 40.84 , 39.31 , 40.72 , 40.46 
7 , 16 , 2010 , 40.35 , 38.86 , 40.28 , 39.00 
7 , 19 , 2010 , 39.36 , 38.12 , 39.03 , 39.04 
7 , 20 , 2010 , 39.64 , 38.28 , 38.32 , 39.63 
7 , 21 , 2010 , 40.25 , 38.34 , 40.25 , 38.42 
7 , 22 , 2010 , 39.60 , 38.73 , 38.96 , 39.35 
7 , 23 , 2010 , 39.96 , 38.97 , 39.17 , 39.83 
7 , 26 , 2010 , 40.36 , 39.50 , 39.80 , 40.33 
7 , 27 , 2010 , 41.24 , 40.61 , 40.74 , 40.69 
7 , 28 , 2010 , 40.90 , 40.15 , 40.44 , 40.32 
7 , 29 , 2010 , 40.83 , 39.91 , 40.71 , 40.21 
7 , 30 , 2010 , 40.69 , 39.72 , 39.72 , 40.28 
8 , 2 , 2010 , 41.70 , 40.73 , 40.98 , 41.64 
8 , 3 , 2010 , 41.65 , 40.87 , 41.50 , 41.08 
8 , 4 , 2010 , 41.41 , 40.86 , 41.22 , 41.29 
8 , 5 , 2010 , 41.43 , 40.94 , 40.97 , 41.27 
8 , 6 , 2010 , 40.95 , 39.97 , 40.74 , 40.44 
8 , 9 , 2010 , 40.56 , 39.66 , 40.55 , 39.82 
8 , 10 , 2010 , 39.73 , 39.16 , 39.67 , 39.17 
8 , 11 , 2010 , 38.78 , 37.75 , 38.65 , 37.77 
8 , 12 , 2010 , 37.99 , 37.22 , 37.36 , 37.81 
8 , 13 , 2010 , 38.04 , 37.50 , 37.80 , 37.50 
8 , 16 , 2010 , 37.82 , 37.28 , 37.32 , 37.69 
8 , 17 , 2010 , 38.07 , 37.40 , 37.97 , 37.48 
8 , 18 , 2010 , 38.19 , 37.39 , 37.39 , 37.89 
8 , 19 , 2010 , 37.97 , 37.00 , 37.66 , 37.07 
8 , 20 , 2010 , 37.36 , 36.81 , 37.11 , 37.14 
8 , 23 , 2010 , 37.41 , 36.84 , 37.21 , 36.88 
8 , 24 , 2010 , 36.70 , 35.92 , 36.59 , 36.21 
8 , 25 , 2010 , 36.44 , 35.67 , 35.95 , 36.23 
8 , 26 , 2010 , 36.62 , 35.62 , 36.36 , 35.63 
8 , 27 , 2010 , 36.69 , 35.55 , 35.87 , 36.60 
8 , 30 , 2010 , 36.60 , 35.83 , 36.40 , 35.85 
8 , 31 , 2010 , 36.64 , 35.73 , 35.94 , 36.36 
9 , 1 , 2010 , 37.80 , 36.66 , 36.74 , 37.74 
9 , 2 , 2010 , 38.20 , 37.49 , 37.84 , 38.16 
9 , 3 , 2010 , 39.17 , 38.47 , 38.47 , 39.17 
9 , 7 , 2010 , 38.84 , 38.22 , 38.73 , 38.28 
9 , 8 , 2010 , 39.43 , 38.34 , 38.34 , 39.12 
9 , 9 , 2010 , 40.32 , 39.12 , 39.93 , 40.10 
9 , 10 , 2010 , 40.25 , 39.67 , 39.92 , 39.76 
9 , 13 , 2010 , 41.47 , 40.64 , 40.64 , 41.12 
9 , 14 , 2010 , 41.23 , 40.46 , 40.97 , 40.72 
9 , 15 , 2010 , 41.14 , 40.34 , 40.51 , 40.98 
9 , 16 , 2010 , 41.10 , 40.55 , 40.72 , 40.99 
9 , 17 , 2010 , 41.08 , 39.99 , 41.03 , 40.06 
9 , 20 , 2010 , 41.31 , 40.03 , 40.24 , 41.19 
9 , 21 , 2010 , 41.50 , 40.47 , 41.31 , 40.59 
9 , 22 , 2010 , 40.84 , 39.75 , 40.43 , 39.94 
9 , 23 , 2010 , 39.70 , 38.99 , 39.63 , 39.10 
9 , 24 , 2010 , 39.80 , 39.30 , 39.51 , 39.75 
9 , 27 , 2010 , 39.67 , 39.01 , 39.54 , 39.08 
9 , 28 , 2010 , 39.40 , 38.61 , 39.36 , 38.95 
9 , 29 , 2010 , 38.88 , 38.06 , 38.79 , 38.41 
9 , 30 , 2010 , 38.95 , 37.96 , 38.49 , 38.06 
10 , 1 , 2010 , 39.09 , 38.29 , 38.34 , 38.81 
10 , 4 , 2010 , 39.54 , 38.71 , 39.00 , 38.95 
10 , 5 , 2010 , 39.82 , 39.07 , 39.36 , 39.64 
10 , 6 , 2010 , 40.07 , 39.42 , 39.56 , 39.90 
10 , 7 , 2010 , 40.32 , 39.20 , 40.11 , 39.52 
