Month , Day , Year , High , Low , Open , Close
9 , 24 , 2010 , 10.69 , 10.27 , 10.32 , 10.64 
9 , 27 , 2010 , 11.00 , 10.50 , 10.63 , 10.68 
9 , 28 , 2010 , 10.79 , 10.41 , 10.76 , 10.49 
9 , 29 , 2010 , 10.65 , 10.26 , 10.35 , 10.60 
9 , 30 , 2010 , 11.00 , 10.40 , 10.65 , 10.60 
10 , 1 , 2010 , 10.90 , 10.62 , 10.70 , 10.84 
10 , 4 , 2010 , 10.92 , 10.73 , 10.89 , 10.73 
10 , 5 , 2010 , 10.93 , 10.66 , 10.70 , 10.83 
10 , 6 , 2010 , 10.87 , 10.40 , 10.84 , 10.50 
10 , 7 , 2010 , 10.63 , 10.40 , 10.58 , 10.58 
10 , 8 , 2010 , 11.18 , 10.63 , 10.63 , 11.10 
10 , 11 , 2010 , 11.12 , 10.81 , 11.12 , 11.00 
10 , 12 , 2010 , 11.43 , 11.00 , 11.05 , 11.29 
10 , 13 , 2010 , 11.55 , 11.20 , 11.32 , 11.36 
10 , 14 , 2010 , 11.35 , 11.09 , 11.28 , 11.20 
10 , 15 , 2010 , 11.25 , 10.95 , 11.12 , 10.98 
10 , 18 , 2010 , 11.23 , 10.98 , 11.08 , 11.22 
10 , 19 , 2010 , 11.24 , 10.85 , 11.19 , 10.95 
10 , 20 , 2010 , 11.44 , 10.94 , 11.00 , 11.38 
10 , 21 , 2010 , 12.18 , 11.41 , 11.54 , 11.80 
10 , 22 , 2010 , 12.00 , 11.74 , 11.95 , 11.76 
10 , 25 , 2010 , 12.12 , 11.88 , 11.90 , 11.96 
10 , 26 , 2010 , 12.01 , 11.77 , 11.95 , 11.93 
10 , 27 , 2010 , 12.25 , 11.81 , 11.97 , 12.11 
10 , 28 , 2010 , 12.62 , 11.19 , 12.26 , 12.36 
10 , 29 , 2010 , 12.97 , 11.75 , 12.02 , 12.68 
11 , 1 , 2010 , 12.94 , 12.41 , 12.84 , 12.51 
11 , 2 , 2010 , 12.79 , 12.43 , 12.64 , 12.65 
11 , 3 , 2010 , 12.78 , 12.40 , 12.65 , 12.70 
11 , 4 , 2010 , 13.45 , 12.80 , 12.98 , 13.39 
11 , 5 , 2010 , 13.75 , 13.11 , 13.20 , 13.25 
11 , 8 , 2010 , 13.34 , 13.16 , 13.22 , 13.22 
11 , 9 , 2010 , 13.46 , 12.62 , 13.12 , 12.76 
11 , 10 , 2010 , 13.05 , 12.84 , 12.85 , 12.93 
11 , 11 , 2010 , 13.41 , 12.89 , 12.97 , 13.27 
