Month , Day , Year , High , Low , Open , Close
4 , 26 , 2011 , 29.59 , 29.05 , 29.56 , 29.12 
4 , 27 , 2011 , 29.49 , 28.75 , 29.30 , 28.86 
4 , 28 , 2011 , 28.95 , 28.69 , 28.83 , 28.83 
4 , 29 , 2011 , 29.29 , 28.35 , 29.01 , 28.58 
5 , 2 , 2011 , 28.99 , 28.38 , 28.74 , 28.82 
5 , 3 , 2011 , 28.89 , 28.05 , 28.85 , 28.19 
5 , 4 , 2011 , 28.36 , 27.31 , 28.28 , 27.96 
5 , 5 , 2011 , 28.26 , 27.41 , 28.00 , 27.98 
5 , 6 , 2011 , 28.41 , 27.85 , 28.02 , 28.00 
5 , 9 , 2011 , 28.45 , 28.01 , 28.10 , 28.29 
5 , 10 , 2011 , 28.69 , 28.08 , 28.44 , 28.52 
5 , 11 , 2011 , 28.63 , 28.01 , 28.63 , 28.31 
5 , 12 , 2011 , 28.45 , 27.82 , 28.18 , 28.45 
5 , 13 , 2011 , 28.37 , 27.75 , 28.22 , 27.93 
5 , 16 , 2011 , 28.48 , 27.40 , 28.00 , 27.54 
5 , 17 , 2011 , 27.71 , 26.87 , 27.65 , 27.50 
5 , 18 , 2011 , 27.88 , 27.42 , 27.77 , 27.56 
5 , 19 , 2011 , 28.34 , 27.53 , 27.71 , 28.29 
5 , 20 , 2011 , 28.90 , 27.97 , 28.25 , 28.50 
5 , 23 , 2011 , 28.57 , 28.19 , 28.39 , 28.33 
5 , 24 , 2011 , 29.06 , 28.47 , 28.58 , 29.06 
5 , 25 , 2011 , 29.28 , 28.80 , 28.93 , 29.02 
5 , 26 , 2011 , 29.22 , 28.61 , 28.90 , 28.69 
5 , 27 , 2011 , 29.18 , 28.50 , 28.81 , 29.18 
5 , 31 , 2011 , 29.76 , 29.00 , 29.41 , 29.29 
6 , 1 , 2011 , 29.47 , 28.85 , 29.20 , 29.00 
6 , 2 , 2011 , 29.38 , 28.44 , 29.09 , 29.38 
6 , 3 , 2011 , 29.76 , 28.73 , 29.18 , 29.75 
6 , 6 , 2011 , 29.77 , 29.25 , 29.60 , 29.52 
6 , 7 , 2011 , 29.97 , 29.42 , 29.68 , 29.79 
6 , 8 , 2011 , 29.86 , 29.46 , 29.71 , 29.73 
6 , 9 , 2011 , 29.89 , 29.64 , 29.72 , 29.69 
6 , 10 , 2011 , 29.85 , 29.43 , 29.76 , 29.53 
6 , 13 , 2011 , 29.93 , 29.20 , 29.67 , 29.45 
6 , 14 , 2011 , 29.86 , 29.06 , 29.30 , 29.50 
6 , 15 , 2011 , 29.65 , 28.89 , 29.29 , 29.36 
6 , 16 , 2011 , 29.44 , 29.07 , 29.40 , 29.21 
6 , 17 , 2011 , 29.74 , 29.15 , 29.18 , 29.70 
6 , 20 , 2011 , 29.67 , 29.40 , 29.50 , 29.61 
6 , 21 , 2011 , 29.70 , 29.34 , 29.66 , 29.62 
6 , 22 , 2011 , 29.97 , 29.45 , 29.60 , 29.62 
6 , 23 , 2011 , 29.59 , 28.91 , 29.43 , 29.10 
6 , 24 , 2011 , 29.30 , 28.59 , 29.13 , 28.60 
6 , 27 , 2011 , 28.79 , 28.22 , 28.70 , 28.26 
6 , 28 , 2011 , 28.67 , 28.10 , 28.67 , 28.30 
6 , 29 , 2011 , 28.80 , 28.32 , 28.62 , 28.40 
6 , 30 , 2011 , 28.78 , 28.31 , 28.55 , 28.73 
7 , 1 , 2011 , 29.28 , 28.37 , 28.81 , 29.27 
7 , 5 , 2011 , 29.39 , 29.04 , 29.27 , 29.26 
7 , 6 , 2011 , 29.24 , 28.92 , 29.23 , 29.11 
7 , 7 , 2011 , 29.45 , 28.86 , 29.25 , 28.98 
7 , 8 , 2011 , 29.33 , 28.69 , 28.76 , 28.92 
7 , 11 , 2011 , 28.74 , 28.16 , 28.74 , 28.36 
7 , 12 , 2011 , 28.37 , 28.10 , 28.18 , 28.17 
7 , 13 , 2011 , 28.48 , 28.06 , 28.31 , 28.19 
7 , 14 , 2011 , 28.41 , 28.02 , 28.18 , 28.03 
7 , 15 , 2011 , 28.63 , 28.00 , 28.23 , 28.59 
7 , 18 , 2011 , 28.41 , 27.98 , 28.41 , 28.19 
7 , 19 , 2011 , 28.49 , 28.24 , 28.42 , 28.35 
7 , 20 , 2011 , 28.93 , 28.25 , 28.50 , 28.50 
7 , 21 , 2011 , 28.87 , 28.22 , 28.51 , 28.51 
7 , 22 , 2011 , 28.63 , 28.24 , 28.48 , 28.36 
7 , 25 , 2011 , 28.39 , 27.48 , 28.32 , 27.50 
7 , 26 , 2011 , 27.74 , 27.36 , 27.61 , 27.57 
7 , 27 , 2011 , 28.40 , 27.10 , 27.31 , 28.18 
7 , 28 , 2011 , 28.24 , 27.64 , 27.99 , 28.16 
7 , 29 , 2011 , 28.30 , 27.80 , 28.00 , 28.23 
8 , 1 , 2011 , 28.50 , 28.12 , 28.42 , 28.23 
8 , 2 , 2011 , 28.17 , 27.64 , 28.01 , 27.85 
8 , 3 , 2011 , 27.87 , 27.25 , 27.85 , 27.72 
8 , 4 , 2011 , 27.60 , 26.33 , 27.60 , 26.47 
