Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 27.00 , 26.80 , 26.91 , 26.92 
3 , 18 , 2010 , 27.02 , 26.87 , 26.95 , 26.98 
3 , 19 , 2010 , 27.53 , 26.80 , 27.07 , 27.38 
3 , 22 , 2010 , 27.43 , 27.20 , 27.25 , 27.27 
3 , 23 , 2010 , 27.67 , 27.21 , 27.36 , 27.65 
3 , 24 , 2010 , 27.68 , 27.31 , 27.61 , 27.31 
3 , 25 , 2010 , 27.59 , 27.33 , 27.46 , 27.40 
3 , 26 , 2010 , 27.49 , 27.25 , 27.40 , 27.33 
3 , 29 , 2010 , 27.48 , 27.34 , 27.40 , 27.39 
3 , 30 , 2010 , 27.53 , 27.31 , 27.45 , 27.44 
3 , 31 , 2010 , 27.65 , 27.25 , 27.40 , 27.50 
4 , 1 , 2010 , 27.72 , 27.56 , 27.68 , 27.65 
4 , 5 , 2010 , 27.78 , 27.33 , 27.78 , 27.43 
4 , 6 , 2010 , 27.42 , 27.11 , 27.42 , 27.15 
4 , 7 , 2010 , 27.15 , 26.78 , 27.15 , 26.91 
4 , 8 , 2010 , 26.89 , 26.72 , 26.89 , 26.88 
4 , 9 , 2010 , 27.31 , 26.93 , 26.96 , 27.30 
4 , 12 , 2010 , 27.43 , 27.26 , 27.33 , 27.38 
4 , 13 , 2010 , 27.54 , 27.33 , 27.34 , 27.51 
4 , 14 , 2010 , 27.53 , 27.33 , 27.52 , 27.48 
4 , 15 , 2010 , 27.39 , 27.07 , 27.38 , 27.13 
4 , 16 , 2010 , 27.57 , 27.09 , 27.12 , 27.49 
4 , 19 , 2010 , 27.66 , 27.46 , 27.49 , 27.66 
4 , 20 , 2010 , 27.65 , 27.16 , 27.61 , 27.24 
4 , 21 , 2010 , 27.29 , 27.00 , 27.29 , 27.10 
4 , 22 , 2010 , 27.26 , 27.00 , 27.07 , 27.16 
4 , 23 , 2010 , 27.23 , 26.87 , 27.23 , 26.94 
4 , 26 , 2010 , 27.18 , 26.87 , 27.00 , 26.87 
4 , 27 , 2010 , 26.93 , 26.42 , 26.83 , 26.44 
4 , 28 , 2010 , 26.79 , 26.28 , 26.51 , 26.68 
4 , 29 , 2010 , 27.10 , 26.78 , 26.81 , 26.87 
4 , 30 , 2010 , 26.98 , 26.70 , 26.81 , 26.73 
5 , 3 , 2010 , 26.98 , 26.63 , 26.86 , 26.88 
5 , 4 , 2010 , 26.90 , 26.53 , 26.70 , 26.59 
5 , 5 , 2010 , 26.95 , 26.60 , 26.65 , 26.83 
5 , 6 , 2010 , 27.10 , 25.61 , 26.84 , 26.15 
5 , 7 , 2010 , 26.42 , 25.77 , 26.10 , 26.34 
5 , 10 , 2010 , 27.05 , 26.63 , 26.93 , 27.02 
5 , 11 , 2010 , 27.04 , 26.75 , 26.81 , 26.81 
5 , 12 , 2010 , 27.05 , 26.71 , 26.90 , 27.01 
5 , 13 , 2010 , 27.00 , 26.73 , 26.98 , 26.75 
5 , 14 , 2010 , 26.83 , 26.43 , 26.68 , 26.67 
5 , 17 , 2010 , 26.78 , 26.43 , 26.74 , 26.71 
5 , 18 , 2010 , 26.86 , 26.54 , 26.85 , 26.55 
5 , 19 , 2010 , 26.68 , 26.23 , 26.50 , 26.56 
5 , 20 , 2010 , 26.25 , 25.77 , 26.25 , 25.77 
5 , 21 , 2010 , 25.86 , 25.15 , 25.42 , 25.80 
5 , 24 , 2010 , 25.93 , 25.51 , 25.61 , 25.73 
5 , 25 , 2010 , 25.37 , 24.97 , 25.19 , 25.31 
5 , 26 , 2010 , 25.44 , 24.97 , 25.42 , 25.04 
5 , 27 , 2010 , 25.63 , 25.13 , 25.31 , 25.62 
5 , 28 , 2010 , 25.97 , 25.50 , 25.59 , 25.70 
6 , 1 , 2010 , 26.06 , 25.37 , 25.56 , 25.65 
6 , 2 , 2010 , 26.21 , 25.59 , 25.77 , 26.21 
6 , 3 , 2010 , 26.50 , 26.23 , 26.34 , 26.38 
6 , 4 , 2010 , 26.07 , 25.51 , 26.07 , 25.64 
6 , 7 , 2010 , 25.75 , 25.39 , 25.62 , 25.40 
6 , 8 , 2010 , 25.91 , 25.26 , 25.40 , 25.78 
6 , 9 , 2010 , 25.93 , 25.59 , 25.90 , 25.68 
6 , 10 , 2010 , 26.25 , 25.93 , 25.93 , 26.23 
6 , 11 , 2010 , 25.87 , 25.57 , 25.86 , 25.83 
