Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 82.07 , 80.73 , 80.92 , 82.04 
3 , 18 , 2010 , 82.35 , 81.59 , 81.59 , 82.13 
3 , 19 , 2010 , 83.22 , 81.23 , 82.20 , 81.62 
3 , 22 , 2010 , 82.16 , 81.10 , 81.56 , 82.07 
3 , 23 , 2010 , 82.67 , 81.55 , 82.20 , 82.67 
3 , 24 , 2010 , 82.64 , 81.57 , 82.35 , 82.28 
3 , 25 , 2010 , 82.75 , 81.25 , 82.65 , 81.36 
3 , 26 , 2010 , 82.22 , 81.07 , 81.52 , 81.58 
3 , 29 , 2010 , 82.29 , 81.01 , 81.82 , 81.84 
3 , 30 , 2010 , 82.82 , 81.84 , 82.05 , 82.76 
3 , 31 , 2010 , 83.29 , 82.56 , 82.73 , 83.00 
4 , 1 , 2010 , 83.88 , 83.08 , 83.57 , 83.82 
4 , 5 , 2010 , 84.26 , 83.50 , 83.74 , 83.95 
4 , 6 , 2010 , 84.42 , 83.29 , 83.33 , 84.27 
4 , 7 , 2010 , 84.75 , 83.43 , 83.89 , 84.44 
4 , 8 , 2010 , 84.76 , 84.13 , 84.18 , 84.49 
4 , 9 , 2010 , 85.24 , 84.46 , 84.49 , 84.95 
4 , 12 , 2010 , 85.39 , 84.74 , 85.14 , 84.99 
4 , 13 , 2010 , 85.14 , 84.62 , 84.74 , 84.94 
4 , 14 , 2010 , 85.98 , 84.79 , 85.06 , 85.88 
4 , 15 , 2010 , 87.84 , 85.65 , 85.86 , 87.64 
4 , 16 , 2010 , 88.00 , 86.46 , 87.39 , 86.81 
4 , 19 , 2010 , 87.14 , 85.67 , 86.22 , 87.13 
4 , 20 , 2010 , 88.14 , 86.79 , 87.78 , 88.14 
4 , 21 , 2010 , 88.14 , 87.03 , 88.14 , 87.56 
4 , 22 , 2010 , 87.80 , 85.91 , 86.82 , 87.71 
4 , 23 , 2010 , 88.28 , 86.99 , 87.86 , 88.22 
4 , 26 , 2010 , 89.00 , 88.06 , 88.40 , 88.27 
4 , 27 , 2010 , 88.17 , 86.41 , 88.04 , 86.41 
4 , 28 , 2010 , 86.60 , 82.01 , 83.77 , 84.34 
4 , 29 , 2010 , 85.94 , 83.95 , 83.95 , 84.31 
4 , 30 , 2010 , 84.82 , 83.68 , 84.54 , 83.77 
5 , 3 , 2010 , 84.40 , 83.65 , 84.23 , 84.01 
5 , 4 , 2010 , 83.18 , 81.50 , 82.96 , 82.17 
5 , 5 , 2010 , 82.38 , 81.01 , 81.68 , 81.90 
5 , 6 , 2010 , 82.79 , 76.15 , 81.67 , 79.34 
5 , 7 , 2010 , 80.47 , 78.01 , 79.20 , 78.88 
5 , 10 , 2010 , 81.78 , 79.73 , 81.52 , 81.30 
5 , 11 , 2010 , 81.19 , 80.19 , 80.46 , 80.39 
5 , 12 , 2010 , 81.79 , 80.35 , 80.76 , 81.75 
5 , 13 , 2010 , 81.60 , 80.31 , 81.44 , 80.51 
5 , 14 , 2010 , 80.19 , 77.28 , 79.89 , 77.90 
5 , 17 , 2010 , 78.92 , 76.28 , 78.25 , 78.08 
5 , 18 , 2010 , 79.91 , 77.71 , 78.72 , 77.79 
5 , 19 , 2010 , 77.32 , 75.33 , 77.25 , 76.54 
5 , 20 , 2010 , 75.93 , 74.23 , 75.05 , 74.27 
5 , 21 , 2010 , 77.13 , 72.70 , 73.69 , 77.10 
5 , 24 , 2010 , 77.07 , 75.59 , 76.41 , 75.97 
5 , 25 , 2010 , 76.37 , 73.81 , 73.81 , 76.29 
5 , 26 , 2010 , 77.79 , 76.34 , 77.00 , 76.85 
5 , 27 , 2010 , 78.92 , 77.29 , 78.28 , 78.91 
5 , 28 , 2010 , 78.91 , 77.25 , 78.91 , 77.60 
6 , 1 , 2010 , 77.90 , 76.25 , 77.04 , 76.25 
6 , 2 , 2010 , 78.10 , 75.98 , 76.92 , 78.04 
6 , 3 , 2010 , 78.28 , 75.78 , 78.28 , 76.45 
6 , 4 , 2010 , 75.50 , 74.00 , 75.20 , 74.12 
6 , 7 , 2010 , 75.42 , 74.10 , 74.42 , 74.24 
6 , 8 , 2010 , 76.06 , 73.84 , 74.28 , 75.93 
6 , 9 , 2010 , 77.36 , 75.77 , 76.74 , 76.10 
6 , 10 , 2010 , 78.43 , 77.02 , 77.23 , 77.65 
6 , 11 , 2010 , 77.84 , 76.77 , 76.77 , 77.78 
6 , 14 , 2010 , 78.64 , 77.41 , 78.24 , 77.50 
6 , 15 , 2010 , 79.33 , 77.58 , 78.01 , 79.30 
6 , 16 , 2010 , 80.27 , 78.59 , 78.59 , 80.09 
6 , 17 , 2010 , 80.79 , 79.17 , 80.50 , 80.74 
6 , 18 , 2010 , 81.71 , 80.79 , 80.99 , 81.17 
6 , 21 , 2010 , 83.27 , 81.31 , 81.98 , 81.83 
6 , 22 , 2010 , 82.44 , 80.53 , 81.79 , 80.55 
6 , 23 , 2010 , 81.04 , 79.10 , 80.50 , 80.20 
6 , 24 , 2010 , 80.79 , 78.99 , 79.89 , 79.10 
6 , 25 , 2010 , 80.00 , 78.46 , 79.45 , 79.45 
6 , 28 , 2010 , 79.97 , 78.84 , 79.70 , 79.35 
6 , 29 , 2010 , 78.71 , 76.94 , 78.49 , 77.37 
6 , 30 , 2010 , 77.97 , 75.85 , 77.41 , 75.99 
7 , 1 , 2010 , 77.24 , 75.70 , 75.72 , 76.77 
7 , 2 , 2010 , 77.35 , 76.17 , 76.97 , 76.88 
7 , 6 , 2010 , 77.99 , 76.53 , 77.64 , 77.46 
7 , 7 , 2010 , 79.95 , 77.55 , 77.67 , 79.91 
7 , 8 , 2010 , 81.08 , 80.06 , 80.59 , 81.08 
7 , 9 , 2010 , 81.80 , 80.73 , 81.05 , 81.33 
7 , 12 , 2010 , 81.75 , 80.74 , 80.99 , 81.50 
7 , 13 , 2010 , 83.87 , 81.85 , 82.12 , 83.49 
7 , 14 , 2010 , 83.19 , 81.06 , 81.33 , 82.83 
7 , 15 , 2010 , 83.15 , 81.69 , 82.99 , 82.81 
7 , 16 , 2010 , 82.38 , 80.69 , 82.38 , 80.96 
7 , 19 , 2010 , 81.48 , 80.34 , 81.32 , 81.03 
7 , 20 , 2010 , 82.57 , 80.09 , 80.24 , 82.45 
7 , 21 , 2010 , 83.25 , 81.56 , 82.96 , 82.36 
7 , 22 , 2010 , 85.36 , 83.07 , 83.34 , 84.33 
7 , 23 , 2010 , 85.43 , 83.87 , 84.28 , 85.39 
7 , 26 , 2010 , 85.99 , 85.07 , 85.15 , 85.65 
7 , 27 , 2010 , 86.39 , 85.45 , 86.26 , 85.83 
7 , 28 , 2010 , 86.72 , 85.02 , 85.02 , 86.28 
