Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 36.34 , 36.09 , 36.21 , 36.22 
3 , 18 , 2010 , 36.38 , 36.02 , 36.08 , 36.36 
3 , 19 , 2010 , 36.58 , 36.01 , 36.48 , 36.17 
3 , 22 , 2010 , 36.82 , 36.12 , 36.17 , 36.54 
3 , 23 , 2010 , 36.80 , 36.46 , 36.64 , 36.62 
3 , 24 , 2010 , 36.70 , 36.18 , 36.68 , 36.26 
3 , 25 , 2010 , 36.58 , 35.96 , 36.58 , 35.98 
3 , 26 , 2010 , 36.04 , 35.40 , 36.04 , 35.42 
3 , 29 , 2010 , 35.73 , 35.34 , 35.50 , 35.47 
3 , 30 , 2010 , 35.94 , 35.48 , 35.51 , 35.90 
3 , 31 , 2010 , 36.49 , 35.80 , 35.87 , 36.22 
4 , 1 , 2010 , 36.59 , 36.04 , 36.45 , 36.15 
4 , 5 , 2010 , 36.97 , 36.20 , 36.35 , 36.55 
4 , 6 , 2010 , 36.58 , 36.06 , 36.39 , 36.51 
4 , 7 , 2010 , 36.68 , 36.45 , 36.51 , 36.52 
4 , 8 , 2010 , 36.62 , 36.45 , 36.51 , 36.52 
4 , 9 , 2010 , 36.92 , 36.54 , 36.69 , 36.84 
4 , 12 , 2010 , 36.83 , 36.54 , 36.83 , 36.57 
4 , 13 , 2010 , 36.96 , 36.50 , 36.57 , 36.92 
4 , 14 , 2010 , 36.82 , 36.45 , 36.72 , 36.59 
4 , 15 , 2010 , 36.78 , 36.50 , 36.61 , 36.72 
4 , 16 , 2010 , 36.84 , 36.50 , 36.52 , 36.54 
4 , 19 , 2010 , 36.62 , 35.75 , 35.95 , 36.58 
4 , 20 , 2010 , 36.65 , 36.46 , 36.53 , 36.53 
4 , 21 , 2010 , 36.56 , 35.80 , 36.50 , 36.01 
4 , 22 , 2010 , 35.84 , 35.21 , 35.79 , 35.38 
4 , 23 , 2010 , 35.48 , 34.85 , 35.42 , 35.46 
4 , 26 , 2010 , 35.70 , 35.25 , 35.48 , 35.32 
4 , 27 , 2010 , 35.40 , 34.82 , 35.29 , 34.87 
4 , 28 , 2010 , 35.02 , 34.57 , 35.02 , 34.76 
4 , 29 , 2010 , 35.35 , 34.83 , 34.97 , 35.04 
4 , 30 , 2010 , 35.50 , 34.97 , 35.13 , 34.97 
5 , 3 , 2010 , 35.41 , 35.00 , 35.27 , 35.19 
5 , 4 , 2010 , 35.38 , 34.86 , 35.03 , 35.01 
5 , 5 , 2010 , 35.37 , 34.86 , 34.96 , 35.08 
5 , 6 , 2010 , 35.13 , 33.42 , 35.05 , 34.40 
5 , 7 , 2010 , 34.90 , 34.02 , 34.40 , 34.62 
5 , 10 , 2010 , 35.80 , 34.92 , 35.47 , 35.15 
5 , 11 , 2010 , 35.54 , 34.95 , 34.98 , 35.28 
5 , 12 , 2010 , 35.07 , 34.47 , 35.07 , 34.78 
5 , 13 , 2010 , 34.83 , 34.48 , 34.78 , 34.50 
5 , 14 , 2010 , 34.40 , 33.73 , 34.34 , 33.92 
5 , 17 , 2010 , 34.16 , 33.58 , 33.97 , 34.01 
5 , 18 , 2010 , 34.42 , 33.61 , 34.25 , 33.62 
5 , 19 , 2010 , 34.00 , 33.47 , 33.47 , 33.86 
5 , 20 , 2010 , 33.96 , 33.10 , 33.45 , 33.34 
5 , 21 , 2010 , 33.20 , 32.67 , 33.00 , 33.12 
5 , 24 , 2010 , 33.41 , 32.90 , 33.01 , 32.98 
5 , 25 , 2010 , 32.81 , 32.02 , 32.63 , 32.75 
5 , 26 , 2010 , 32.98 , 32.10 , 32.98 , 32.25 
5 , 27 , 2010 , 32.87 , 32.52 , 32.67 , 32.82 
5 , 28 , 2010 , 33.08 , 32.56 , 32.84 , 32.79 
6 , 1 , 2010 , 33.13 , 32.41 , 32.63 , 32.55 
6 , 2 , 2010 , 33.22 , 32.62 , 32.76 , 33.21 
6 , 3 , 2010 , 33.54 , 33.17 , 33.23 , 33.37 
6 , 4 , 2010 , 33.10 , 32.27 , 33.02 , 32.37 
6 , 7 , 2010 , 32.85 , 32.43 , 32.59 , 32.58 
6 , 8 , 2010 , 32.92 , 32.38 , 32.57 , 32.90 
6 , 9 , 2010 , 33.29 , 32.81 , 33.00 , 32.95 
6 , 10 , 2010 , 33.92 , 33.15 , 33.35 , 33.46 
6 , 11 , 2010 , 33.80 , 33.26 , 33.32 , 33.67 
6 , 14 , 2010 , 34.22 , 33.83 , 34.00 , 33.87 
6 , 15 , 2010 , 34.42 , 33.76 , 33.95 , 34.39 
6 , 16 , 2010 , 34.36 , 33.92 , 34.27 , 34.11 
6 , 17 , 2010 , 34.39 , 33.93 , 34.24 , 34.39 
6 , 18 , 2010 , 34.74 , 34.36 , 34.66 , 34.61 
6 , 21 , 2010 , 34.85 , 34.52 , 34.76 , 34.66 
6 , 22 , 2010 , 34.98 , 34.42 , 34.66 , 34.45 
6 , 23 , 2010 , 34.70 , 34.24 , 34.44 , 34.56 
6 , 24 , 2010 , 34.61 , 34.19 , 34.44 , 34.48 
6 , 25 , 2010 , 34.35 , 33.86 , 34.32 , 33.94 
6 , 28 , 2010 , 34.26 , 33.77 , 34.25 , 34.02 
6 , 29 , 2010 , 33.81 , 33.34 , 33.61 , 33.75 
6 , 30 , 2010 , 34.07 , 33.43 , 33.70 , 33.50 
7 , 1 , 2010 , 33.47 , 32.82 , 33.43 , 33.12 
7 , 2 , 2010 , 33.87 , 33.09 , 33.28 , 33.67 
7 , 6 , 2010 , 34.15 , 33.67 , 33.97 , 33.91 
7 , 7 , 2010 , 34.67 , 33.76 , 34.02 , 34.66 
7 , 8 , 2010 , 35.19 , 34.75 , 34.83 , 35.18 
7 , 9 , 2010 , 35.18 , 34.88 , 35.14 , 35.17 
7 , 12 , 2010 , 35.19 , 34.94 , 35.10 , 35.13 
7 , 13 , 2010 , 35.60 , 35.17 , 35.27 , 35.21 
7 , 14 , 2010 , 35.20 , 34.70 , 35.15 , 34.80 
7 , 15 , 2010 , 35.24 , 34.62 , 34.86 , 35.17 
7 , 16 , 2010 , 35.12 , 34.58 , 35.08 , 34.64 
7 , 19 , 2010 , 35.08 , 34.76 , 34.76 , 34.99 
7 , 20 , 2010 , 35.31 , 34.45 , 34.77 , 35.26 
7 , 21 , 2010 , 35.43 , 34.72 , 35.43 , 34.95 
7 , 22 , 2010 , 35.85 , 35.00 , 35.85 , 35.15 
7 , 23 , 2010 , 35.24 , 34.57 , 35.22 , 35.17 
7 , 26 , 2010 , 35.52 , 35.17 , 35.20 , 35.44 
7 , 27 , 2010 , 36.13 , 35.25 , 35.63 , 36.10 
7 , 28 , 2010 , 36.20 , 35.53 , 36.02 , 35.67 
7 , 29 , 2010 , 35.99 , 35.20 , 35.90 , 35.45 
7 , 30 , 2010 , 35.82 , 35.05 , 35.26 , 35.60 
8 , 2 , 2010 , 36.39 , 35.75 , 35.84 , 36.34 
8 , 3 , 2010 , 36.66 , 36.28 , 36.43 , 36.58 
8 , 4 , 2010 , 36.82 , 36.22 , 36.47 , 36.78 
8 , 5 , 2010 , 36.88 , 36.46 , 36.59 , 36.85 
8 , 6 , 2010 , 36.89 , 36.39 , 36.60 , 36.87 
8 , 9 , 2010 , 37.01 , 36.87 , 36.98 , 36.96 
8 , 10 , 2010 , 37.92 , 36.81 , 36.81 , 37.77 
8 , 11 , 2010 , 37.26 , 36.57 , 36.81 , 36.71 
8 , 12 , 2010 , 36.87 , 36.23 , 36.42 , 36.60 
8 , 13 , 2010 , 35.84 , 35.23 , 35.39 , 35.70 
8 , 16 , 2010 , 35.73 , 35.23 , 35.38 , 35.57 
8 , 17 , 2010 , 35.15 , 34.45 , 35.02 , 34.75 
8 , 18 , 2010 , 34.97 , 34.64 , 34.81 , 34.78 
8 , 19 , 2010 , 34.69 , 34.18 , 34.59 , 34.28 
8 , 20 , 2010 , 34.23 , 33.73 , 34.10 , 34.17 
8 , 23 , 2010 , 34.54 , 34.25 , 34.35 , 34.31 
8 , 24 , 2010 , 34.22 , 33.85 , 34.04 , 33.97 
8 , 25 , 2010 , 34.50 , 33.80 , 33.84 , 34.31 
8 , 26 , 2010 , 34.46 , 33.84 , 34.46 , 33.95 
8 , 27 , 2010 , 34.25 , 33.72 , 34.11 , 34.20 
8 , 30 , 2010 , 34.28 , 33.95 , 34.23 , 33.97 
8 , 31 , 2010 , 34.04 , 33.54 , 33.95 , 33.59 
9 , 1 , 2010 , 34.33 , 33.83 , 34.11 , 34.20 
9 , 2 , 2010 , 34.42 , 34.12 , 34.16 , 34.31 
9 , 3 , 2010 , 34.71 , 34.28 , 34.30 , 34.66 
9 , 7 , 2010 , 34.78 , 34.43 , 34.71 , 34.54 
9 , 8 , 2010 , 34.90 , 34.59 , 34.81 , 34.81 
9 , 9 , 2010 , 35.44 , 34.77 , 34.90 , 35.17 
9 , 10 , 2010 , 35.52 , 35.20 , 35.45 , 35.43 
9 , 13 , 2010 , 35.74 , 35.32 , 35.73 , 35.53 
9 , 14 , 2010 , 35.85 , 35.45 , 35.57 , 35.65 
9 , 15 , 2010 , 35.84 , 35.51 , 35.64 , 35.70 
9 , 16 , 2010 , 35.76 , 35.38 , 35.58 , 35.67 
9 , 17 , 2010 , 35.97 , 35.58 , 35.84 , 35.79 
9 , 20 , 2010 , 36.39 , 35.81 , 35.92 , 36.35 
9 , 21 , 2010 , 36.49 , 36.08 , 36.38 , 36.33 
9 , 22 , 2010 , 36.71 , 35.99 , 36.22 , 36.05 
9 , 23 , 2010 , 36.01 , 35.75 , 35.93 , 35.86 
9 , 24 , 2010 , 36.28 , 36.01 , 36.21 , 36.10 
9 , 27 , 2010 , 36.18 , 35.94 , 36.15 , 35.94 
9 , 28 , 2010 , 36.39 , 35.90 , 36.05 , 36.39 
9 , 29 , 2010 , 36.72 , 36.10 , 36.31 , 36.53 
9 , 30 , 2010 , 36.90 , 36.33 , 36.59 , 36.53 
10 , 1 , 2010 , 36.77 , 36.42 , 36.68 , 36.54 
10 , 4 , 2010 , 36.56 , 36.13 , 36.54 , 36.30 
10 , 5 , 2010 , 37.00 , 36.44 , 36.59 , 36.89 
10 , 6 , 2010 , 37.17 , 36.71 , 36.82 , 37.17 
10 , 7 , 2010 , 37.40 , 36.94 , 37.28 , 37.08 
10 , 8 , 2010 , 37.24 , 36.91 , 37.13 , 37.07 
10 , 11 , 2010 , 37.33 , 37.09 , 37.15 , 37.22 
10 , 12 , 2010 , 37.50 , 37.00 , 37.13 , 37.36 
10 , 13 , 2010 , 37.50 , 37.26 , 37.50 , 37.40 
10 , 14 , 2010 , 37.58 , 37.31 , 37.40 , 37.42 
