Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 85.20 , 84.50 , 84.77 , 84.86 
3 , 18 , 2010 , 86.13 , 84.34 , 84.74 , 85.94 
3 , 19 , 2010 , 87.19 , 86.10 , 86.82 , 86.90 
3 , 22 , 2010 , 86.35 , 85.12 , 85.39 , 85.71 
3 , 23 , 2010 , 85.75 , 84.42 , 85.50 , 84.78 
3 , 24 , 2010 , 84.71 , 83.46 , 84.68 , 83.88 
3 , 25 , 2010 , 84.58 , 83.49 , 83.93 , 83.53 
3 , 26 , 2010 , 84.58 , 83.53 , 83.94 , 84.24 
3 , 29 , 2010 , 85.23 , 84.53 , 84.54 , 84.82 
3 , 30 , 2010 , 85.03 , 83.61 , 84.70 , 84.09 
3 , 31 , 2010 , 83.88 , 82.89 , 83.88 , 83.22 
4 , 1 , 2010 , 84.25 , 83.20 , 83.61 , 83.88 
4 , 5 , 2010 , 84.49 , 83.57 , 84.00 , 83.84 
4 , 6 , 2010 , 83.62 , 82.28 , 83.62 , 82.52 
4 , 7 , 2010 , 82.81 , 81.97 , 82.22 , 82.19 
4 , 8 , 2010 , 82.59 , 81.99 , 82.23 , 82.19 
4 , 9 , 2010 , 82.82 , 81.88 , 82.44 , 82.79 
4 , 12 , 2010 , 83.20 , 82.53 , 82.72 , 82.92 
4 , 13 , 2010 , 82.92 , 82.14 , 82.84 , 82.60 
4 , 14 , 2010 , 82.69 , 81.49 , 82.63 , 82.61 
4 , 15 , 2010 , 83.58 , 82.61 , 82.68 , 83.22 
4 , 16 , 2010 , 83.54 , 82.03 , 83.31 , 82.99 
4 , 19 , 2010 , 84.28 , 82.87 , 82.95 , 84.20 
4 , 20 , 2010 , 85.42 , 84.26 , 84.52 , 84.97 
4 , 21 , 2010 , 86.85 , 84.29 , 84.84 , 86.25 
4 , 22 , 2010 , 86.78 , 85.41 , 85.89 , 86.67 
4 , 23 , 2010 , 86.92 , 85.94 , 86.73 , 86.92 
4 , 26 , 2010 , 87.06 , 85.92 , 87.03 , 86.09 
4 , 27 , 2010 , 86.27 , 84.19 , 85.99 , 84.50 
4 , 28 , 2010 , 85.23 , 83.89 , 84.88 , 84.96 
4 , 29 , 2010 , 86.65 , 85.44 , 85.44 , 86.37 
4 , 30 , 2010 , 86.87 , 84.89 , 86.24 , 84.89 
5 , 3 , 2010 , 86.98 , 85.03 , 85.29 , 86.75 
