Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 25.31 , 25.05 , 25.14 , 25.16 
3 , 18 , 2010 , 25.27 , 24.82 , 25.20 , 24.90 
3 , 19 , 2010 , 25.01 , 24.65 , 24.97 , 24.78 
3 , 22 , 2010 , 25.03 , 24.63 , 24.65 , 24.91 
3 , 23 , 2010 , 24.83 , 24.46 , 24.75 , 24.83 
3 , 24 , 2010 , 24.75 , 24.35 , 24.75 , 24.38 
3 , 25 , 2010 , 24.62 , 24.34 , 24.51 , 24.34 
3 , 26 , 2010 , 24.59 , 24.31 , 24.44 , 24.48 
3 , 29 , 2010 , 24.62 , 24.26 , 24.51 , 24.31 
3 , 30 , 2010 , 24.55 , 24.31 , 24.39 , 24.34 
3 , 31 , 2010 , 24.34 , 24.16 , 24.26 , 24.24 
4 , 1 , 2010 , 24.62 , 24.35 , 24.37 , 24.54 
4 , 5 , 2010 , 24.87 , 24.53 , 24.60 , 24.87 
4 , 6 , 2010 , 25.06 , 24.73 , 24.88 , 24.98 
4 , 7 , 2010 , 25.41 , 24.87 , 24.93 , 25.25 
4 , 8 , 2010 , 25.69 , 25.13 , 25.18 , 25.59 
4 , 9 , 2010 , 25.67 , 25.28 , 25.63 , 25.63 
4 , 12 , 2010 , 25.60 , 25.37 , 25.59 , 25.60 
4 , 13 , 2010 , 26.31 , 25.43 , 25.43 , 26.22 
4 , 14 , 2010 , 26.63 , 26.13 , 26.36 , 26.59 
4 , 15 , 2010 , 26.80 , 26.46 , 26.54 , 26.66 
4 , 16 , 2010 , 26.72 , 26.12 , 26.56 , 26.29 
4 , 19 , 2010 , 26.46 , 25.92 , 26.20 , 26.45 
4 , 20 , 2010 , 26.98 , 26.54 , 26.54 , 26.62 
4 , 21 , 2010 , 26.79 , 26.43 , 26.70 , 26.66 
4 , 22 , 2010 , 27.70 , 26.45 , 26.61 , 27.53 
4 , 23 , 2010 , 28.25 , 27.31 , 27.56 , 28.22 
