Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 3.42 , 3.36 , 3.41 , 3.39 
3 , 18 , 2010 , 3.45 , 3.34 , 3.38 , 3.39 
3 , 19 , 2010 , 3.42 , 3.35 , 3.41 , 3.39 
3 , 22 , 2010 , 3.60 , 3.38 , 3.39 , 3.59 
3 , 23 , 2010 , 3.74 , 3.59 , 3.59 , 3.72 
3 , 24 , 2010 , 3.72 , 3.63 , 3.70 , 3.63 
3 , 25 , 2010 , 3.78 , 3.68 , 3.69 , 3.70 
3 , 26 , 2010 , 3.75 , 3.63 , 3.71 , 3.65 
3 , 29 , 2010 , 3.73 , 3.68 , 3.68 , 3.72 
3 , 30 , 2010 , 3.76 , 3.67 , 3.73 , 3.74 
3 , 31 , 2010 , 3.77 , 3.68 , 3.69 , 3.73 
4 , 1 , 2010 , 3.83 , 3.71 , 3.75 , 3.75 
4 , 5 , 2010 , 3.86 , 3.78 , 3.78 , 3.84 
4 , 6 , 2010 , 3.86 , 3.80 , 3.80 , 3.83 
4 , 7 , 2010 , 3.88 , 3.75 , 3.81 , 3.86 
4 , 8 , 2010 , 3.83 , 3.76 , 3.83 , 3.81 
4 , 9 , 2010 , 3.86 , 3.78 , 3.81 , 3.85 
4 , 12 , 2010 , 3.91 , 3.83 , 3.84 , 3.86 
4 , 13 , 2010 , 3.88 , 3.83 , 3.86 , 3.87 
4 , 14 , 2010 , 4.01 , 3.91 , 3.91 , 4.00 
4 , 15 , 2010 , 4.02 , 3.93 , 4.02 , 3.96 
4 , 16 , 2010 , 4.00 , 3.92 , 3.96 , 3.99 
4 , 19 , 2010 , 4.01 , 3.93 , 3.97 , 3.99 
4 , 20 , 2010 , 4.06 , 3.98 , 4.05 , 4.04 
4 , 21 , 2010 , 4.09 , 3.94 , 4.04 , 4.00 
4 , 22 , 2010 , 4.25 , 3.86 , 3.97 , 4.22 
4 , 23 , 2010 , 4.31 , 4.21 , 4.26 , 4.29 
4 , 26 , 2010 , 4.34 , 4.25 , 4.28 , 4.26 
4 , 27 , 2010 , 4.31 , 4.10 , 4.23 , 4.11 
4 , 28 , 2010 , 4.20 , 4.08 , 4.13 , 4.15 
4 , 29 , 2010 , 4.26 , 4.13 , 4.18 , 4.24 
4 , 30 , 2010 , 4.25 , 4.04 , 4.25 , 4.05 
5 , 3 , 2010 , 4.18 , 4.04 , 4.06 , 4.16 
5 , 4 , 2010 , 4.10 , 3.92 , 4.08 , 3.99 
5 , 5 , 2010 , 4.00 , 3.85 , 3.97 , 3.89 
5 , 6 , 2010 , 3.95 , 3.55 , 3.85 , 3.78 
5 , 7 , 2010 , 3.83 , 3.58 , 3.76 , 3.70 
5 , 10 , 2010 , 3.91 , 3.82 , 3.82 , 3.90 
5 , 11 , 2010 , 3.96 , 3.84 , 3.86 , 3.90 
5 , 12 , 2010 , 4.00 , 3.91 , 3.93 , 3.99 
5 , 13 , 2010 , 4.02 , 3.88 , 3.95 , 3.90 
5 , 14 , 2010 , 3.87 , 3.74 , 3.86 , 3.82 
5 , 17 , 2010 , 3.92 , 3.77 , 3.85 , 3.89 
5 , 18 , 2010 , 3.97 , 3.81 , 3.95 , 3.82 
5 , 19 , 2010 , 3.94 , 3.72 , 3.81 , 3.82 
5 , 20 , 2010 , 3.79 , 3.64 , 3.73 , 3.70 
5 , 21 , 2010 , 3.85 , 3.61 , 3.66 , 3.78 
5 , 24 , 2010 , 3.80 , 3.67 , 3.73 , 3.67 
5 , 25 , 2010 , 3.71 , 3.53 , 3.55 , 3.69 
5 , 26 , 2010 , 3.78 , 3.65 , 3.73 , 3.66 
5 , 27 , 2010 , 3.80 , 3.74 , 3.74 , 3.79 
5 , 28 , 2010 , 3.82 , 3.71 , 3.80 , 3.79 
