Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 25.10 , 24.68 , 24.99 , 24.87 
3 , 18 , 2010 , 24.88 , 24.46 , 24.88 , 24.63 
3 , 19 , 2010 , 24.81 , 24.26 , 24.75 , 24.44 
3 , 22 , 2010 , 24.82 , 24.23 , 24.28 , 24.71 
3 , 23 , 2010 , 25.06 , 24.44 , 24.75 , 24.56 
3 , 24 , 2010 , 24.69 , 24.40 , 24.51 , 24.47 
3 , 25 , 2010 , 25.03 , 24.61 , 24.64 , 24.61 
3 , 26 , 2010 , 24.88 , 24.51 , 24.73 , 24.62 
3 , 29 , 2010 , 24.92 , 24.66 , 24.72 , 24.80 
3 , 30 , 2010 , 25.38 , 24.92 , 24.92 , 25.24 
3 , 31 , 2010 , 25.43 , 25.14 , 25.18 , 25.40 
4 , 1 , 2010 , 25.59 , 25.21 , 25.56 , 25.39 
4 , 5 , 2010 , 25.63 , 25.29 , 25.45 , 25.56 
4 , 6 , 2010 , 26.10 , 25.48 , 25.49 , 25.88 
4 , 7 , 2010 , 25.95 , 25.49 , 25.89 , 25.57 
4 , 8 , 2010 , 25.73 , 25.41 , 25.41 , 25.69 
4 , 9 , 2010 , 26.00 , 25.68 , 25.88 , 25.89 
4 , 12 , 2010 , 26.10 , 25.83 , 25.83 , 25.96 
4 , 13 , 2010 , 26.05 , 25.72 , 25.87 , 25.85 
4 , 14 , 2010 , 26.42 , 25.80 , 25.91 , 26.31 
4 , 15 , 2010 , 26.47 , 26.23 , 26.46 , 26.26 
4 , 16 , 2010 , 26.37 , 25.83 , 26.10 , 25.95 
4 , 19 , 2010 , 26.15 , 25.47 , 25.88 , 25.73 
4 , 20 , 2010 , 26.29 , 25.72 , 25.90 , 26.14 
4 , 21 , 2010 , 26.34 , 25.88 , 26.34 , 26.06 
4 , 22 , 2010 , 26.25 , 25.20 , 25.88 , 26.16 
4 , 23 , 2010 , 26.76 , 26.20 , 26.36 , 26.72 
4 , 26 , 2010 , 26.92 , 26.57 , 26.82 , 26.58 
4 , 27 , 2010 , 26.58 , 25.48 , 26.58 , 25.49 
4 , 28 , 2010 , 25.73 , 25.06 , 25.65 , 25.30 
4 , 29 , 2010 , 25.84 , 25.18 , 25.37 , 25.54 
4 , 30 , 2010 , 25.74 , 24.60 , 25.72 , 24.80 
5 , 3 , 2010 , 25.14 , 24.45 , 25.12 , 25.07 
5 , 4 , 2010 , 25.74 , 24.83 , 25.34 , 25.13 
5 , 5 , 2010 , 24.90 , 23.60 , 24.80 , 23.79 
5 , 6 , 2010 , 23.80 , 21.10 , 23.54 , 23.03 
5 , 7 , 2010 , 23.40 , 22.20 , 22.84 , 22.31 
5 , 10 , 2010 , 23.61 , 22.83 , 23.40 , 23.03 
5 , 11 , 2010 , 22.75 , 22.12 , 22.74 , 22.32 
5 , 12 , 2010 , 23.62 , 22.46 , 22.50 , 23.26 
5 , 13 , 2010 , 23.99 , 23.06 , 23.27 , 23.23 
5 , 14 , 2010 , 22.00 , 20.91 , 21.53 , 21.25 
5 , 17 , 2010 , 21.67 , 20.82 , 21.52 , 21.08 
5 , 18 , 2010 , 21.46 , 19.56 , 21.29 , 20.28 
5 , 19 , 2010 , 21.33 , 19.61 , 20.31 , 20.24 
5 , 20 , 2010 , 21.00 , 19.67 , 19.67 , 20.55 
5 , 21 , 2010 , 21.73 , 20.22 , 20.24 , 21.39 
5 , 24 , 2010 , 21.65 , 20.98 , 21.54 , 20.98 
5 , 25 , 2010 , 20.87 , 20.38 , 20.41 , 20.69 
5 , 26 , 2010 , 21.30 , 20.50 , 21.03 , 20.50 
5 , 27 , 2010 , 21.13 , 20.58 , 21.03 , 20.78 
