Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 28.89 , 28.51 , 28.76 , 28.72 
3 , 18 , 2010 , 28.88 , 28.48 , 28.76 , 28.74 
3 , 19 , 2010 , 29.46 , 28.94 , 29.12 , 29.06 
3 , 22 , 2010 , 29.75 , 28.71 , 28.71 , 29.55 
3 , 23 , 2010 , 29.85 , 29.43 , 29.62 , 29.75 
3 , 24 , 2010 , 29.77 , 29.41 , 29.61 , 29.67 
3 , 25 , 2010 , 30.83 , 30.10 , 30.35 , 30.15 
3 , 26 , 2010 , 31.24 , 30.20 , 30.28 , 31.09 
3 , 29 , 2010 , 31.46 , 31.03 , 31.14 , 31.28 
3 , 30 , 2010 , 31.98 , 31.22 , 31.28 , 31.78 
3 , 31 , 2010 , 31.92 , 31.45 , 31.61 , 31.52 
4 , 1 , 2010 , 32.09 , 31.63 , 31.67 , 31.93 
4 , 5 , 2010 , 32.76 , 32.10 , 32.10 , 32.44 
4 , 6 , 2010 , 32.80 , 32.18 , 32.23 , 32.70 
4 , 7 , 2010 , 32.91 , 32.13 , 32.71 , 32.35 
4 , 8 , 2010 , 32.97 , 32.05 , 32.29 , 32.86 
4 , 9 , 2010 , 33.10 , 32.58 , 32.93 , 33.10 
4 , 12 , 2010 , 33.27 , 32.72 , 33.09 , 32.98 
4 , 13 , 2010 , 33.51 , 32.82 , 32.97 , 33.36 
4 , 14 , 2010 , 33.96 , 33.39 , 33.54 , 33.91 
4 , 15 , 2010 , 34.37 , 33.74 , 33.77 , 34.03 
4 , 16 , 2010 , 34.20 , 33.50 , 33.90 , 33.88 
4 , 19 , 2010 , 34.04 , 33.20 , 33.66 , 33.88 
4 , 20 , 2010 , 34.43 , 33.91 , 34.12 , 34.18 
4 , 21 , 2010 , 34.72 , 34.07 , 34.16 , 34.67 
4 , 22 , 2010 , 37.03 , 34.39 , 34.75 , 36.82 
4 , 23 , 2010 , 37.59 , 36.61 , 36.99 , 37.57 
4 , 26 , 2010 , 38.08 , 37.37 , 37.48 , 37.38 
4 , 27 , 2010 , 37.36 , 36.00 , 37.25 , 36.05 
4 , 28 , 2010 , 36.33 , 35.31 , 36.21 , 35.89 
4 , 29 , 2010 , 38.15 , 36.30 , 36.36 , 37.67 
4 , 30 , 2010 , 37.77 , 36.68 , 37.74 , 36.76 
5 , 3 , 2010 , 37.72 , 36.84 , 37.02 , 37.68 
5 , 4 , 2010 , 37.19 , 36.00 , 37.19 , 36.16 
5 , 5 , 2010 , 36.29 , 34.95 , 35.66 , 35.26 
5 , 6 , 2010 , 35.88 , 32.05 , 35.00 , 34.30 
5 , 7 , 2010 , 34.33 , 32.47 , 34.03 , 33.34 
5 , 10 , 2010 , 35.99 , 34.96 , 34.99 , 35.80 
5 , 11 , 2010 , 36.14 , 34.64 , 35.06 , 35.60 
5 , 12 , 2010 , 36.73 , 35.60 , 35.68 , 36.71 
5 , 13 , 2010 , 37.12 , 35.90 , 36.52 , 36.03 
5 , 14 , 2010 , 35.76 , 34.24 , 35.73 , 34.61 
5 , 17 , 2010 , 35.31 , 33.93 , 34.68 , 34.93 
5 , 18 , 2010 , 35.89 , 34.17 , 35.37 , 34.30 
5 , 19 , 2010 , 34.51 , 32.65 , 34.06 , 33.69 
5 , 20 , 2010 , 33.33 , 32.19 , 32.68 , 32.24 
5 , 21 , 2010 , 33.04 , 31.28 , 31.60 , 32.94 
5 , 24 , 2010 , 33.15 , 32.24 , 32.62 , 32.27 
5 , 25 , 2010 , 32.34 , 30.88 , 31.23 , 32.25 
5 , 26 , 2010 , 33.36 , 32.16 , 32.67 , 32.28 
5 , 27 , 2010 , 34.04 , 32.84 , 33.01 , 34.02 
5 , 28 , 2010 , 34.23 , 33.07 , 34.00 , 33.45 
6 , 1 , 2010 , 33.62 , 32.80 , 32.99 , 32.88 
6 , 2 , 2010 , 33.50 , 32.45 , 32.93 , 33.50 
6 , 3 , 2010 , 34.46 , 33.53 , 33.57 , 34.37 
6 , 4 , 2010 , 33.48 , 31.86 , 33.27 , 32.18 
6 , 7 , 2010 , 32.53 , 31.02 , 32.22 , 31.09 
6 , 8 , 2010 , 32.23 , 30.44 , 31.07 , 32.14 
6 , 9 , 2010 , 33.67 , 32.28 , 32.34 , 32.51 
6 , 10 , 2010 , 33.60 , 32.73 , 32.74 , 33.41 
6 , 11 , 2010 , 33.34 , 32.59 , 32.92 , 33.32 
6 , 14 , 2010 , 34.52 , 33.51 , 33.73 , 33.97 
6 , 15 , 2010 , 35.20 , 34.21 , 34.39 , 35.15 
6 , 16 , 2010 , 35.62 , 34.88 , 34.88 , 35.32 
6 , 17 , 2010 , 35.46 , 34.73 , 35.32 , 35.24 
6 , 18 , 2010 , 35.83 , 35.09 , 35.38 , 35.30 
6 , 21 , 2010 , 36.39 , 34.95 , 35.99 , 35.25 
6 , 22 , 2010 , 35.38 , 33.92 , 35.13 , 34.07 
6 , 23 , 2010 , 34.34 , 33.28 , 34.11 , 33.72 
6 , 24 , 2010 , 33.91 , 32.54 , 33.61 , 32.66 
6 , 25 , 2010 , 32.86 , 31.86 , 32.68 , 32.71 
6 , 28 , 2010 , 33.15 , 32.18 , 32.91 , 32.22 
6 , 29 , 2010 , 31.74 , 30.43 , 31.51 , 30.64 
6 , 30 , 2010 , 31.23 , 29.88 , 30.64 , 29.94 
7 , 1 , 2010 , 30.35 , 29.10 , 29.91 , 30.12 
7 , 2 , 2010 , 30.54 , 29.33 , 30.33 , 29.55 
7 , 6 , 2010 , 30.34 , 28.94 , 29.97 , 29.25 
7 , 7 , 2010 , 30.77 , 29.28 , 29.28 , 30.75 
7 , 8 , 2010 , 31.14 , 30.19 , 31.09 , 30.68 
7 , 9 , 2010 , 31.30 , 30.68 , 30.75 , 31.14 
7 , 12 , 2010 , 31.34 , 30.56 , 30.56 , 30.97 
7 , 13 , 2010 , 32.22 , 31.31 , 31.34 , 31.87 
7 , 14 , 2010 , 32.42 , 31.58 , 31.79 , 32.16 
7 , 15 , 2010 , 32.19 , 31.08 , 32.03 , 31.66 
7 , 16 , 2010 , 31.60 , 30.22 , 31.40 , 30.31 
7 , 19 , 2010 , 30.96 , 30.05 , 30.43 , 30.94 
7 , 20 , 2010 , 31.62 , 30.31 , 30.31 , 31.55 
7 , 21 , 2010 , 31.77 , 30.52 , 31.77 , 30.76 
7 , 22 , 2010 , 32.27 , 31.22 , 31.22 , 32.04 
7 , 23 , 2010 , 33.15 , 31.72 , 32.03 , 33.14 
7 , 26 , 2010 , 34.06 , 32.91 , 33.20 , 33.87 
7 , 27 , 2010 , 34.00 , 33.24 , 34.00 , 33.58 
7 , 28 , 2010 , 34.13 , 33.35 , 33.61 , 33.67 
7 , 29 , 2010 , 34.20 , 33.35 , 33.86 , 33.76 
7 , 30 , 2010 , 34.03 , 33.06 , 33.26 , 33.91 
8 , 2 , 2010 , 35.41 , 34.33 , 34.54 , 35.32 
8 , 3 , 2010 , 35.46 , 34.48 , 35.27 , 34.95 
8 , 4 , 2010 , 35.72 , 34.87 , 35.12 , 35.64 
8 , 5 , 2010 , 35.70 , 35.13 , 35.26 , 35.35 
8 , 6 , 2010 , 35.19 , 34.39 , 34.94 , 35.18 
8 , 9 , 2010 , 35.70 , 35.25 , 35.39 , 35.64 
8 , 10 , 2010 , 35.18 , 34.45 , 35.00 , 34.83 
8 , 11 , 2010 , 34.13 , 33.35 , 34.10 , 33.56 
8 , 12 , 2010 , 33.93 , 32.79 , 32.90 , 33.61 
8 , 13 , 2010 , 33.93 , 33.28 , 33.40 , 33.48 
8 , 16 , 2010 , 33.90 , 33.05 , 33.16 , 33.79 
8 , 17 , 2010 , 35.19 , 33.96 , 34.17 , 34.68 
8 , 18 , 2010 , 35.07 , 34.21 , 34.60 , 34.70 
8 , 19 , 2010 , 34.64 , 33.19 , 34.48 , 33.57 
8 , 20 , 2010 , 33.65 , 32.78 , 33.28 , 33.57 
8 , 23 , 2010 , 33.88 , 33.08 , 33.84 , 33.14 
8 , 24 , 2010 , 32.62 , 31.64 , 32.53 , 32.01 
8 , 25 , 2010 , 32.28 , 31.46 , 31.84 , 32.16 
8 , 26 , 2010 , 33.00 , 31.79 , 32.26 , 31.92 
8 , 27 , 2010 , 32.94 , 31.25 , 32.11 , 32.70 
8 , 30 , 2010 , 32.65 , 31.66 , 32.65 , 31.66 
