Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 66.44 , 65.87 , 66.23 , 66.38 
3 , 18 , 2010 , 66.74 , 66.36 , 66.47 , 66.68 
3 , 19 , 2010 , 66.91 , 66.00 , 66.89 , 66.53 
3 , 22 , 2010 , 67.25 , 65.90 , 66.07 , 67.01 
3 , 23 , 2010 , 67.35 , 66.83 , 67.14 , 67.35 
3 , 24 , 2010 , 67.19 , 66.58 , 66.99 , 66.80 
3 , 25 , 2010 , 67.44 , 66.84 , 67.13 , 66.90 
3 , 26 , 2010 , 67.45 , 66.93 , 67.09 , 67.26 
3 , 29 , 2010 , 67.48 , 66.59 , 67.46 , 67.07 
3 , 30 , 2010 , 67.49 , 66.92 , 67.11 , 67.24 
3 , 31 , 2010 , 67.39 , 66.63 , 67.15 , 66.72 
4 , 1 , 2010 , 67.71 , 67.06 , 67.06 , 67.58 
4 , 5 , 2010 , 68.20 , 67.76 , 67.76 , 68.03 
4 , 6 , 2010 , 67.96 , 67.65 , 67.77 , 67.81 
4 , 7 , 2010 , 68.13 , 67.26 , 67.80 , 67.70 
4 , 8 , 2010 , 69.03 , 67.87 , 67.90 , 68.76 
4 , 9 , 2010 , 68.77 , 68.14 , 68.66 , 68.68 
4 , 12 , 2010 , 68.85 , 68.37 , 68.77 , 68.53 
4 , 13 , 2010 , 69.05 , 68.31 , 68.68 , 68.92 
4 , 14 , 2010 , 69.53 , 69.05 , 69.18 , 69.42 
4 , 15 , 2010 , 69.49 , 68.97 , 69.31 , 69.16 
4 , 16 , 2010 , 69.28 , 68.33 , 69.11 , 69.03 
4 , 19 , 2010 , 69.97 , 68.99 , 69.00 , 69.92 
4 , 20 , 2010 , 70.59 , 69.95 , 69.98 , 70.34 
4 , 21 , 2010 , 71.19 , 70.05 , 70.62 , 70.36 
4 , 22 , 2010 , 71.47 , 70.12 , 70.25 , 71.03 
4 , 23 , 2010 , 71.35 , 70.75 , 71.22 , 71.15 
4 , 26 , 2010 , 71.42 , 70.73 , 71.30 , 71.02 
4 , 27 , 2010 , 71.33 , 70.40 , 70.71 , 70.53 
4 , 28 , 2010 , 70.73 , 69.76 , 70.48 , 70.34 
4 , 29 , 2010 , 71.70 , 70.58 , 70.58 , 71.52 
4 , 30 , 2010 , 71.71 , 70.39 , 71.53 , 70.59 
5 , 3 , 2010 , 71.84 , 70.65 , 70.88 , 71.42 
5 , 4 , 2010 , 71.30 , 70.30 , 71.15 , 70.64 
5 , 5 , 2010 , 71.06 , 70.13 , 70.40 , 70.66 
5 , 6 , 2010 , 71.49 , 67.49 , 70.45 , 69.42 
5 , 7 , 2010 , 69.32 , 67.42 , 69.02 , 68.01 
5 , 10 , 2010 , 71.05 , 69.75 , 70.07 , 70.58 
5 , 11 , 2010 , 71.10 , 70.13 , 70.17 , 70.48 
5 , 12 , 2010 , 70.94 , 70.15 , 70.73 , 70.67 
5 , 13 , 2010 , 71.30 , 70.45 , 70.71 , 70.50 
5 , 14 , 2010 , 70.45 , 69.10 , 70.28 , 69.59 
5 , 17 , 2010 , 70.25 , 69.35 , 69.82 , 70.14 
5 , 18 , 2010 , 70.81 , 69.84 , 70.53 , 70.02 
5 , 19 , 2010 , 69.95 , 68.90 , 69.66 , 69.40 
5 , 20 , 2010 , 69.36 , 67.63 , 68.54 , 67.66 
5 , 21 , 2010 , 68.04 , 65.55 , 67.07 , 67.86 
5 , 24 , 2010 , 68.51 , 67.26 , 67.84 , 67.66 
5 , 25 , 2010 , 67.84 , 66.20 , 66.59 , 67.84 
5 , 26 , 2010 , 68.06 , 66.00 , 67.89 , 66.01 
5 , 27 , 2010 , 67.20 , 66.02 , 66.41 , 67.20 
5 , 28 , 2010 , 67.63 , 66.75 , 67.24 , 66.87 
6 , 1 , 2010 , 67.31 , 66.04 , 66.23 , 66.36 
6 , 2 , 2010 , 67.80 , 66.20 , 66.53 , 67.77 
6 , 3 , 2010 , 68.25 , 67.44 , 67.80 , 67.85 
6 , 4 , 2010 , 68.09 , 66.52 , 66.82 , 66.70 
6 , 7 , 2010 , 67.82 , 66.25 , 66.64 , 66.75 
6 , 8 , 2010 , 68.45 , 65.81 , 67.16 , 68.38 
6 , 9 , 2010 , 68.90 , 68.04 , 68.68 , 68.26 
6 , 10 , 2010 , 69.41 , 68.71 , 68.98 , 69.37 
6 , 11 , 2010 , 69.55 , 68.75 , 68.86 , 69.54 
6 , 14 , 2010 , 69.98 , 69.30 , 69.95 , 69.30 
6 , 15 , 2010 , 70.49 , 69.85 , 69.94 , 70.40 
6 , 16 , 2010 , 70.50 , 70.01 , 70.06 , 70.29 
6 , 17 , 2010 , 70.58 , 69.38 , 70.55 , 70.05 
6 , 18 , 2010 , 70.43 , 69.81 , 70.25 , 69.88 
6 , 21 , 2010 , 70.50 , 69.77 , 70.27 , 69.92 
6 , 22 , 2010 , 70.37 , 68.55 , 70.01 , 68.64 
6 , 23 , 2010 , 69.30 , 68.47 , 68.82 , 68.63 
6 , 24 , 2010 , 68.54 , 67.61 , 68.43 , 67.73 
6 , 25 , 2010 , 68.29 , 67.37 , 67.71 , 67.42 
6 , 28 , 2010 , 67.89 , 67.25 , 67.58 , 67.33 
6 , 29 , 2010 , 66.79 , 66.09 , 66.61 , 66.46 
6 , 30 , 2010 , 66.84 , 65.80 , 66.29 , 65.87 
7 , 1 , 2010 , 66.90 , 65.31 , 66.72 , 66.71 
7 , 2 , 2010 , 67.00 , 65.97 , 66.75 , 66.14 
7 , 6 , 2010 , 67.10 , 65.63 , 66.52 , 66.11 
7 , 7 , 2010 , 67.37 , 66.01 , 66.09 , 67.31 
7 , 8 , 2010 , 69.15 , 67.55 , 67.80 , 69.02 
7 , 9 , 2010 , 69.33 , 68.75 , 69.08 , 69.22 
7 , 12 , 2010 , 70.00 , 68.96 , 68.96 , 69.94 
7 , 13 , 2010 , 71.07 , 70.12 , 70.44 , 70.84 
7 , 14 , 2010 , 70.98 , 70.16 , 70.50 , 70.90 
7 , 15 , 2010 , 71.46 , 70.43 , 70.90 , 71.33 
7 , 16 , 2010 , 71.28 , 69.86 , 71.16 , 69.94 
7 , 19 , 2010 , 70.38 , 69.45 , 69.97 , 69.91 
7 , 20 , 2010 , 70.96 , 69.44 , 69.47 , 70.87 
7 , 21 , 2010 , 71.00 , 69.65 , 70.93 , 70.11 
7 , 22 , 2010 , 71.54 , 70.51 , 70.51 , 71.40 
7 , 23 , 2010 , 71.17 , 68.94 , 70.76 , 69.90 
7 , 26 , 2010 , 70.87 , 69.90 , 70.04 , 70.87 
7 , 27 , 2010 , 71.03 , 69.99 , 71.03 , 70.40 
7 , 28 , 2010 , 70.38 , 69.37 , 70.21 , 69.77 
7 , 29 , 2010 , 70.25 , 68.90 , 70.20 , 69.38 
7 , 30 , 2010 , 69.98 , 68.59 , 68.92 , 69.73 
8 , 2 , 2010 , 70.50 , 69.93 , 70.50 , 70.25 
8 , 3 , 2010 , 70.84 , 70.06 , 70.21 , 70.45 
8 , 4 , 2010 , 70.95 , 70.21 , 70.38 , 70.69 
8 , 5 , 2010 , 70.50 , 69.84 , 70.50 , 70.45 
8 , 6 , 2010 , 71.80 , 70.02 , 70.16 , 71.74 
8 , 9 , 2010 , 73.34 , 72.35 , 72.41 , 72.92 
8 , 10 , 2010 , 72.98 , 71.97 , 72.50 , 72.84 
8 , 11 , 2010 , 72.32 , 71.50 , 72.01 , 71.57 
8 , 12 , 2010 , 72.15 , 71.04 , 71.04 , 72.06 
8 , 13 , 2010 , 72.47 , 71.69 , 71.69 , 71.89 
8 , 16 , 2010 , 72.12 , 71.54 , 71.76 , 71.79 
8 , 17 , 2010 , 73.65 , 71.74 , 72.08 , 73.22 
8 , 18 , 2010 , 73.82 , 72.80 , 73.23 , 73.25 
8 , 19 , 2010 , 73.40 , 72.45 , 73.15 , 72.97 
8 , 20 , 2010 , 73.20 , 72.68 , 72.87 , 73.08 
8 , 23 , 2010 , 73.94 , 73.33 , 73.53 , 73.34 
8 , 24 , 2010 , 73.10 , 72.19 , 72.75 , 72.72 
8 , 25 , 2010 , 73.45 , 72.30 , 72.30 , 73.19 
8 , 26 , 2010 , 73.76 , 73.11 , 73.69 , 73.16 
8 , 27 , 2010 , 74.07 , 72.86 , 73.47 , 73.99 
8 , 30 , 2010 , 73.47 , 72.74 , 73.31 , 72.74 
8 , 31 , 2010 , 73.32 , 72.55 , 72.56 , 73.06 
9 , 1 , 2010 , 74.60 , 73.72 , 73.92 , 74.54 
9 , 2 , 2010 , 75.06 , 74.29 , 74.75 , 75.02 
9 , 3 , 2010 , 75.35 , 74.42 , 74.90 , 75.09 
9 , 7 , 2010 , 75.98 , 74.93 , 74.97 , 75.80 
9 , 8 , 2010 , 76.26 , 75.75 , 75.94 , 76.08 
9 , 9 , 2010 , 76.08 , 73.66 , 74.34 , 74.37 
9 , 10 , 2010 , 75.13 , 74.18 , 74.19 , 75.01 
9 , 13 , 2010 , 75.34 , 74.01 , 75.25 , 74.57 
