Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 62.96 , 61.21 , 61.21 , 62.96 
3 , 18 , 2010 , 63.39 , 62.29 , 62.90 , 63.31 
3 , 19 , 2010 , 64.27 , 63.07 , 64.22 , 64.07 
3 , 22 , 2010 , 65.66 , 63.77 , 63.80 , 64.63 
3 , 23 , 2010 , 64.97 , 63.95 , 64.74 , 64.93 
3 , 24 , 2010 , 65.21 , 63.87 , 65.03 , 64.01 
3 , 25 , 2010 , 64.69 , 63.98 , 64.02 , 64.17 
3 , 26 , 2010 , 64.50 , 63.33 , 64.25 , 63.62 
3 , 29 , 2010 , 65.40 , 63.48 , 63.62 , 65.19 
3 , 30 , 2010 , 66.98 , 64.86 , 65.09 , 66.72 
3 , 31 , 2010 , 66.47 , 65.40 , 66.47 , 65.72 
4 , 1 , 2010 , 66.36 , 65.77 , 65.99 , 66.36 
4 , 5 , 2010 , 66.95 , 66.21 , 66.71 , 66.61 
4 , 6 , 2010 , 66.71 , 66.10 , 66.25 , 66.62 
4 , 7 , 2010 , 66.61 , 65.88 , 66.50 , 66.17 
4 , 8 , 2010 , 66.62 , 65.80 , 66.40 , 66.60 
4 , 9 , 2010 , 66.90 , 66.09 , 66.53 , 66.56 
4 , 12 , 2010 , 66.56 , 65.28 , 66.55 , 65.47 
4 , 13 , 2010 , 65.56 , 64.45 , 65.47 , 65.24 
4 , 14 , 2010 , 65.61 , 64.53 , 65.61 , 64.87 
4 , 15 , 2010 , 64.97 , 64.54 , 64.87 , 64.78 
4 , 16 , 2010 , 64.87 , 63.77 , 64.62 , 64.19 
4 , 19 , 2010 , 64.58 , 63.80 , 63.99 , 64.43 
4 , 20 , 2010 , 66.14 , 64.59 , 64.85 , 65.98 
4 , 21 , 2010 , 66.24 , 65.13 , 65.98 , 65.51 
4 , 22 , 2010 , 66.92 , 65.33 , 65.47 , 66.76 
4 , 23 , 2010 , 68.03 , 66.33 , 66.76 , 68.03 
4 , 26 , 2010 , 68.19 , 66.93 , 68.05 , 67.11 
4 , 27 , 2010 , 67.09 , 65.89 , 66.71 , 66.01 
4 , 28 , 2010 , 66.62 , 65.72 , 66.18 , 66.25 
4 , 29 , 2010 , 67.31 , 66.35 , 66.67 , 66.48 
4 , 30 , 2010 , 66.93 , 64.79 , 66.62 , 64.81 
5 , 3 , 2010 , 65.12 , 64.05 , 64.86 , 64.87 
5 , 4 , 2010 , 68.18 , 66.25 , 67.89 , 67.54 
5 , 5 , 2010 , 67.86 , 66.59 , 66.89 , 67.32 
5 , 6 , 2010 , 67.70 , 62.94 , 67.02 , 66.05 
5 , 7 , 2010 , 65.92 , 63.09 , 65.92 , 63.73 
5 , 10 , 2010 , 66.94 , 65.36 , 66.23 , 66.49 
5 , 11 , 2010 , 66.89 , 65.72 , 65.99 , 66.10 
5 , 12 , 2010 , 69.10 , 66.62 , 67.51 , 69.06 
5 , 13 , 2010 , 69.96 , 68.41 , 68.91 , 68.99 
5 , 14 , 2010 , 69.69 , 66.69 , 68.75 , 67.72 
5 , 17 , 2010 , 68.84 , 67.06 , 68.16 , 68.60 
5 , 18 , 2010 , 71.11 , 69.29 , 69.36 , 69.34 
5 , 19 , 2010 , 70.24 , 68.37 , 69.03 , 69.86 
5 , 20 , 2010 , 68.98 , 67.64 , 68.02 , 67.64 
5 , 21 , 2010 , 68.38 , 66.02 , 66.21 , 68.33 
5 , 24 , 2010 , 69.28 , 67.21 , 67.98 , 68.15 
5 , 25 , 2010 , 67.98 , 66.21 , 66.96 , 67.81 
5 , 26 , 2010 , 69.47 , 67.73 , 68.09 , 67.88 
5 , 27 , 2010 , 70.08 , 68.62 , 68.96 , 70.07 
5 , 28 , 2010 , 70.87 , 69.42 , 69.42 , 70.00 
6 , 1 , 2010 , 70.22 , 68.65 , 69.66 , 68.81 
6 , 2 , 2010 , 70.25 , 68.83 , 69.16 , 70.25 
6 , 3 , 2010 , 71.49 , 70.50 , 70.50 , 71.28 
6 , 4 , 2010 , 70.16 , 68.22 , 69.91 , 68.56 
6 , 7 , 2010 , 69.67 , 68.38 , 68.66 , 68.95 
6 , 8 , 2010 , 68.94 , 67.50 , 68.61 , 68.23 
6 , 9 , 2010 , 69.74 , 68.29 , 68.50 , 68.56 
