Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 28.82 , 28.61 , 28.75 , 28.74 
3 , 18 , 2010 , 30.37 , 28.55 , 28.75 , 29.66 
3 , 19 , 2010 , 30.86 , 29.46 , 29.78 , 29.66 
3 , 22 , 2010 , 30.09 , 29.34 , 29.48 , 30.02 
3 , 23 , 2010 , 30.39 , 29.72 , 29.98 , 30.32 
3 , 24 , 2010 , 30.43 , 30.04 , 30.20 , 30.33 
3 , 25 , 2010 , 31.04 , 30.27 , 30.50 , 30.51 
3 , 26 , 2010 , 30.81 , 30.10 , 30.50 , 30.26 
3 , 29 , 2010 , 30.86 , 30.28 , 30.41 , 30.54 
3 , 30 , 2010 , 30.60 , 30.17 , 30.50 , 30.23 
3 , 31 , 2010 , 30.27 , 29.72 , 30.05 , 29.75 
4 , 1 , 2010 , 30.31 , 29.18 , 29.93 , 29.37 
4 , 5 , 2010 , 29.63 , 29.43 , 29.50 , 29.53 
4 , 6 , 2010 , 29.63 , 29.27 , 29.45 , 29.44 
4 , 7 , 2010 , 29.99 , 29.19 , 29.51 , 29.34 
4 , 8 , 2010 , 29.31 , 28.90 , 29.18 , 29.00 
4 , 9 , 2010 , 29.09 , 28.72 , 28.98 , 28.87 
4 , 12 , 2010 , 29.01 , 28.62 , 28.93 , 28.63 
4 , 13 , 2010 , 28.87 , 28.52 , 28.55 , 28.63 
4 , 14 , 2010 , 28.96 , 28.70 , 28.80 , 28.90 
4 , 15 , 2010 , 29.68 , 28.77 , 28.89 , 29.65 
4 , 16 , 2010 , 29.53 , 27.18 , 29.53 , 27.41 
4 , 19 , 2010 , 27.81 , 25.79 , 27.25 , 27.04 
4 , 20 , 2010 , 27.64 , 26.45 , 27.44 , 27.12 
4 , 21 , 2010 , 26.99 , 25.47 , 26.58 , 25.69 
4 , 22 , 2010 , 26.24 , 25.58 , 25.80 , 26.06 
4 , 23 , 2010 , 26.28 , 25.30 , 26.00 , 26.24 
4 , 26 , 2010 , 26.33 , 25.85 , 26.27 , 26.06 
4 , 27 , 2010 , 25.99 , 24.79 , 25.90 , 24.85 
4 , 28 , 2010 , 25.71 , 25.00 , 25.06 , 25.61 
4 , 29 , 2010 , 25.75 , 24.98 , 25.75 , 25.22 
4 , 30 , 2010 , 25.25 , 24.69 , 25.25 , 24.72 
5 , 3 , 2010 , 25.28 , 24.83 , 24.92 , 25.23 
5 , 4 , 2010 , 24.94 , 24.11 , 24.94 , 24.46 
5 , 5 , 2010 , 24.96 , 24.05 , 24.10 , 24.58 
5 , 6 , 2010 , 25.05 , 22.25 , 24.35 , 23.54 
5 , 7 , 2010 , 23.89 , 22.84 , 23.46 , 23.36 
5 , 10 , 2010 , 22.50 , 20.52 , 22.42 , 21.77 
5 , 11 , 2010 , 22.33 , 21.37 , 21.41 , 21.76 
5 , 12 , 2010 , 22.67 , 21.83 , 21.83 , 22.29 
5 , 13 , 2010 , 22.68 , 20.77 , 22.20 , 21.70 
5 , 14 , 2010 , 21.74 , 21.34 , 21.51 , 21.57 
5 , 17 , 2010 , 21.89 , 21.04 , 21.53 , 21.56 
5 , 18 , 2010 , 21.95 , 21.02 , 21.72 , 21.03 
5 , 19 , 2010 , 21.78 , 20.83 , 20.83 , 21.51 
5 , 20 , 2010 , 21.59 , 20.85 , 20.94 , 21.21 
5 , 21 , 2010 , 22.04 , 20.66 , 20.66 , 22.02 
5 , 24 , 2010 , 22.12 , 21.15 , 21.97 , 21.15 
5 , 25 , 2010 , 21.29 , 20.56 , 20.71 , 21.24 
5 , 26 , 2010 , 21.75 , 20.76 , 21.44 , 20.88 
5 , 27 , 2010 , 21.48 , 20.38 , 20.38 , 20.88 
5 , 28 , 2010 , 20.86 , 20.39 , 20.74 , 20.50 
6 , 1 , 2010 , 20.40 , 19.27 , 20.40 , 19.30 
6 , 2 , 2010 , 19.96 , 19.23 , 19.42 , 19.90 
6 , 3 , 2010 , 20.29 , 19.56 , 19.84 , 19.69 
6 , 4 , 2010 , 19.62 , 18.86 , 19.44 , 18.89 
6 , 7 , 2010 , 19.06 , 18.55 , 18.90 , 18.75 
6 , 8 , 2010 , 19.30 , 18.50 , 18.86 , 18.96 
6 , 9 , 2010 , 19.34 , 18.69 , 19.20 , 18.79 
6 , 10 , 2010 , 19.50 , 18.86 , 19.22 , 19.48 
6 , 11 , 2010 , 19.70 , 19.16 , 19.30 , 19.68 
6 , 14 , 2010 , 20.19 , 19.63 , 19.91 , 19.91 
6 , 15 , 2010 , 21.27 , 20.11 , 20.16 , 21.23 
6 , 16 , 2010 , 21.86 , 20.77 , 20.88 , 21.76 
6 , 17 , 2010 , 21.99 , 20.55 , 21.94 , 20.82 
6 , 18 , 2010 , 21.28 , 20.80 , 20.84 , 21.10 
6 , 21 , 2010 , 21.57 , 21.10 , 21.28 , 21.21 
6 , 22 , 2010 , 21.39 , 20.70 , 21.35 , 20.73 
6 , 23 , 2010 , 21.38 , 20.71 , 20.76 , 21.13 
6 , 24 , 2010 , 21.12 , 20.56 , 21.08 , 20.60 
6 , 25 , 2010 , 22.22 , 20.70 , 20.77 , 22.01 
6 , 28 , 2010 , 22.13 , 21.20 , 22.01 , 21.25 
6 , 29 , 2010 , 21.05 , 19.99 , 21.00 , 20.01 
6 , 30 , 2010 , 20.34 , 19.50 , 20.00 , 19.92 
7 , 1 , 2010 , 20.09 , 19.46 , 19.90 , 19.80 
7 , 2 , 2010 , 20.25 , 19.72 , 19.85 , 20.00 
7 , 6 , 2010 , 20.43 , 19.57 , 20.33 , 19.74 
7 , 7 , 2010 , 20.40 , 19.66 , 19.73 , 20.37 
7 , 8 , 2010 , 21.34 , 20.54 , 20.60 , 21.30 
7 , 9 , 2010 , 22.08 , 21.31 , 21.45 , 22.04 
7 , 12 , 2010 , 22.17 , 21.83 , 21.97 , 22.01 
7 , 13 , 2010 , 22.77 , 22.20 , 22.20 , 22.67 
7 , 14 , 2010 , 22.63 , 22.19 , 22.59 , 22.39 
7 , 15 , 2010 , 22.53 , 21.84 , 22.40 , 22.47 
7 , 16 , 2010 , 22.59 , 21.83 , 22.35 , 21.94 
7 , 19 , 2010 , 22.15 , 21.66 , 22.02 , 21.84 
7 , 20 , 2010 , 22.33 , 21.31 , 21.53 , 22.32 
7 , 21 , 2010 , 22.64 , 21.87 , 22.32 , 22.18 
7 , 22 , 2010 , 22.66 , 22.31 , 22.39 , 22.45 
7 , 23 , 2010 , 22.75 , 22.26 , 22.46 , 22.62 
7 , 26 , 2010 , 23.09 , 22.41 , 22.54 , 23.09 
7 , 27 , 2010 , 23.44 , 22.83 , 23.22 , 22.88 
7 , 28 , 2010 , 23.00 , 22.60 , 22.86 , 22.64 
7 , 29 , 2010 , 24.17 , 23.08 , 23.19 , 23.64 
7 , 30 , 2010 , 23.72 , 23.30 , 23.43 , 23.55 
8 , 2 , 2010 , 24.00 , 23.56 , 23.81 , 23.61 
8 , 3 , 2010 , 23.94 , 23.41 , 23.48 , 23.88 
8 , 4 , 2010 , 24.12 , 23.78 , 23.98 , 24.06 
8 , 5 , 2010 , 24.04 , 23.65 , 23.90 , 23.85 
8 , 6 , 2010 , 23.64 , 23.20 , 23.59 , 23.53 
8 , 9 , 2010 , 23.74 , 23.45 , 23.63 , 23.64 
8 , 10 , 2010 , 23.55 , 23.21 , 23.39 , 23.33 
8 , 11 , 2010 , 22.99 , 22.31 , 22.99 , 22.32 
8 , 12 , 2010 , 22.26 , 22.00 , 22.09 , 22.22 
8 , 13 , 2010 , 22.18 , 21.90 , 22.18 , 21.90 
8 , 16 , 2010 , 22.33 , 21.75 , 21.81 , 22.26 
8 , 17 , 2010 , 22.48 , 22.20 , 22.45 , 22.24 
8 , 18 , 2010 , 22.58 , 21.94 , 22.18 , 22.54 
8 , 19 , 2010 , 22.47 , 21.96 , 22.41 , 22.02 
8 , 20 , 2010 , 22.00 , 21.47 , 21.86 , 21.71 
8 , 23 , 2010 , 21.83 , 21.24 , 21.74 , 21.50 
8 , 24 , 2010 , 21.39 , 21.08 , 21.24 , 21.10 
8 , 25 , 2010 , 21.33 , 20.89 , 21.02 , 21.24 
8 , 26 , 2010 , 21.55 , 20.99 , 21.31 , 21.07 
8 , 27 , 2010 , 21.44 , 20.89 , 21.22 , 21.44 
8 , 30 , 2010 , 21.36 , 21.18 , 21.36 , 21.18 
8 , 31 , 2010 , 22.26 , 20.72 , 21.03 , 21.14 
9 , 1 , 2010 , 21.97 , 21.44 , 21.44 , 21.95 
9 , 2 , 2010 , 22.83 , 21.85 , 21.85 , 22.83 
9 , 3 , 2010 , 23.16 , 22.80 , 22.96 , 23.15 
9 , 7 , 2010 , 22.99 , 22.25 , 22.94 , 22.25 
9 , 8 , 2010 , 22.73 , 22.26 , 22.30 , 22.66 
9 , 9 , 2010 , 23.70 , 22.96 , 23.00 , 23.57 
9 , 10 , 2010 , 25.33 , 24.16 , 24.21 , 24.95 
9 , 13 , 2010 , 25.61 , 24.91 , 25.61 , 25.35 
9 , 14 , 2010 , 25.35 , 24.90 , 25.16 , 25.09 
9 , 15 , 2010 , 25.07 , 24.69 , 24.96 , 24.83 
9 , 16 , 2010 , 24.94 , 24.65 , 24.81 , 24.85 
9 , 17 , 2010 , 25.35 , 24.82 , 24.98 , 25.00 
9 , 20 , 2010 , 26.13 , 25.00 , 25.00 , 25.99 
9 , 21 , 2010 , 26.00 , 25.45 , 25.99 , 25.55 
9 , 22 , 2010 , 25.81 , 25.17 , 25.51 , 25.44 
9 , 23 , 2010 , 25.62 , 24.69 , 25.16 , 24.69 
9 , 24 , 2010 , 25.79 , 24.88 , 25.09 , 25.77 
9 , 27 , 2010 , 25.97 , 25.08 , 25.89 , 25.10 
9 , 28 , 2010 , 25.48 , 24.84 , 25.14 , 25.43 
9 , 29 , 2010 , 25.39 , 25.00 , 25.19 , 25.15 
9 , 30 , 2010 , 25.54 , 24.89 , 25.20 , 24.98 
10 , 1 , 2010 , 25.53 , 25.00 , 25.00 , 25.23 
10 , 4 , 2010 , 25.40 , 24.82 , 25.09 , 24.98 
10 , 5 , 2010 , 25.79 , 24.90 , 25.26 , 25.57 
10 , 6 , 2010 , 26.05 , 25.48 , 25.62 , 26.05 
10 , 7 , 2010 , 26.55 , 25.93 , 26.08 , 26.48 
10 , 8 , 2010 , 26.95 , 26.34 , 26.48 , 26.90 
10 , 11 , 2010 , 27.84 , 26.81 , 26.82 , 27.57 
10 , 12 , 2010 , 27.75 , 27.03 , 27.35 , 27.68 
10 , 13 , 2010 , 28.02 , 27.54 , 27.79 , 27.88 
10 , 14 , 2010 , 27.96 , 26.48 , 27.77 , 26.66 
10 , 15 , 2010 , 27.05 , 26.30 , 26.79 , 26.50 
10 , 18 , 2010 , 26.68 , 26.44 , 26.45 , 26.61 
10 , 19 , 2010 , 26.78 , 26.21 , 26.24 , 26.44 
10 , 20 , 2010 , 27.17 , 26.45 , 26.45 , 27.11 
10 , 21 , 2010 , 27.42 , 26.87 , 27.15 , 27.01 
10 , 22 , 2010 , 27.16 , 26.73 , 27.09 , 26.84 
10 , 25 , 2010 , 27.10 , 26.41 , 27.05 , 26.48 
10 , 26 , 2010 , 27.44 , 26.25 , 26.29 , 27.36 
10 , 27 , 2010 , 27.40 , 26.56 , 27.14 , 27.13 
10 , 28 , 2010 , 28.70 , 26.57 , 27.96 , 26.57 
