Month , Day , Year , High , Low , Open , Close
12 , 13 , 2012 , 26.17 , 25.75 , 26.00 , 26.10 
12 , 14 , 2012 , 26.12 , 25.98 , 26.10 , 26.04 
12 , 17 , 2012 , 26.16 , 25.91 , 26.01 , 26.05 
12 , 18 , 2012 , 26.16 , 25.74 , 26.03 , 25.89 
12 , 19 , 2012 , 26.08 , 25.79 , 25.88 , 25.94 
12 , 20 , 2012 , 26.08 , 25.86 , 25.95 , 26.07 
12 , 21 , 2012 , 25.81 , 25.47 , 25.74 , 25.76 
12 , 24 , 2012 , 25.80 , 25.60 , 25.69 , 25.67 
12 , 26 , 2012 , 25.74 , 25.35 , 25.61 , 25.39 
12 , 27 , 2012 , 25.43 , 25.06 , 25.22 , 25.36 
12 , 28 , 2012 , 25.37 , 25.15 , 25.18 , 25.26 
12 , 31 , 2012 , 25.49 , 25.00 , 25.04 , 25.45 
1 , 2 , 2013 , 26.69 , 25.78 , 25.84 , 26.67 
1 , 3 , 2013 , 26.77 , 26.49 , 26.70 , 26.64 
1 , 4 , 2013 , 26.83 , 26.55 , 26.70 , 26.74 
1 , 7 , 2013 , 26.74 , 26.55 , 26.62 , 26.66 
1 , 8 , 2013 , 26.92 , 26.46 , 26.52 , 26.68 
1 , 9 , 2013 , 27.08 , 26.68 , 26.79 , 27.05 
1 , 10 , 2013 , 27.34 , 27.09 , 27.13 , 27.31 
1 , 11 , 2013 , 27.54 , 27.25 , 27.35 , 27.42 
1 , 14 , 2013 , 27.52 , 27.17 , 27.46 , 27.48 
1 , 15 , 2013 , 27.74 , 27.34 , 27.58 , 27.71 
1 , 16 , 2013 , 27.92 , 27.58 , 27.75 , 27.82 
1 , 17 , 2013 , 28.08 , 27.77 , 27.84 , 28.06 
1 , 18 , 2013 , 28.10 , 27.82 , 27.97 , 28.08 
1 , 22 , 2013 , 28.04 , 27.30 , 27.73 , 27.56 
1 , 23 , 2013 , 27.89 , 27.35 , 27.50 , 27.79 
1 , 24 , 2013 , 28.03 , 27.64 , 27.93 , 27.83 
1 , 25 , 2013 , 27.89 , 27.69 , 27.83 , 27.78 
1 , 28 , 2013 , 27.93 , 27.62 , 27.88 , 27.81 
1 , 29 , 2013 , 27.93 , 27.54 , 27.54 , 27.83 
1 , 30 , 2013 , 27.98 , 27.67 , 27.83 , 27.73 
1 , 31 , 2013 , 27.95 , 27.65 , 27.65 , 27.79 
2 , 1 , 2013 , 28.32 , 27.93 , 28.00 , 28.22 
2 , 4 , 2013 , 28.15 , 27.83 , 28.01 , 27.88 
2 , 5 , 2013 , 28.11 , 27.85 , 27.95 , 27.95 
2 , 6 , 2013 , 28.13 , 27.80 , 27.90 , 28.00 
2 , 7 , 2013 , 28.08 , 27.58 , 27.64 , 28.04 
2 , 8 , 2013 , 28.10 , 27.75 , 27.80 , 27.76 
2 , 11 , 2013 , 27.80 , 27.63 , 27.73 , 27.75 
2 , 12 , 2013 , 27.83 , 27.27 , 27.70 , 27.68 
2 , 13 , 2013 , 27.81 , 27.46 , 27.64 , 27.75 
2 , 14 , 2013 , 27.02 , 26.45 , 26.69 , 26.57 
2 , 15 , 2013 , 27.07 , 26.60 , 26.84 , 26.72 
2 , 19 , 2013 , 27.19 , 26.75 , 26.75 , 26.96 
2 , 20 , 2013 , 27.15 , 26.95 , 27.07 , 27.03 
2 , 21 , 2013 , 27.05 , 26.64 , 26.99 , 26.82 
2 , 22 , 2013 , 27.13 , 26.73 , 26.89 , 26.77 
2 , 25 , 2013 , 27.08 , 26.48 , 26.79 , 26.49 
2 , 26 , 2013 , 26.98 , 26.51 , 26.53 , 26.95 
2 , 27 , 2013 , 27.67 , 26.86 , 26.86 , 27.57 
2 , 28 , 2013 , 27.86 , 27.53 , 27.54 , 27.64 
3 , 1 , 2013 , 27.86 , 26.94 , 26.94 , 27.81 
3 , 4 , 2013 , 28.44 , 27.61 , 27.70 , 28.28 
3 , 5 , 2013 , 28.67 , 28.33 , 28.36 , 28.51 
3 , 6 , 2013 , 28.67 , 28.45 , 28.50 , 28.52 
3 , 7 , 2013 , 28.68 , 28.44 , 28.67 , 28.55 
3 , 8 , 2013 , 28.75 , 28.39 , 28.62 , 28.58 
3 , 11 , 2013 , 28.58 , 28.42 , 28.54 , 28.43 
3 , 12 , 2013 , 28.55 , 28.16 , 28.49 , 28.21 
3 , 13 , 2013 , 28.51 , 28.21 , 28.30 , 28.47 
3 , 14 , 2013 , 28.55 , 28.34 , 28.50 , 28.53 
3 , 15 , 2013 , 28.68 , 28.36 , 28.45 , 28.41 
3 , 18 , 2013 , 28.47 , 28.07 , 28.26 , 28.31 
3 , 19 , 2013 , 28.54 , 28.17 , 28.29 , 28.34 
3 , 20 , 2013 , 28.72 , 28.42 , 28.59 , 28.69 
3 , 21 , 2013 , 28.74 , 28.41 , 28.58 , 28.56 
3 , 22 , 2013 , 30.12 , 29.27 , 29.32 , 29.73 
3 , 25 , 2013 , 30.30 , 29.70 , 29.95 , 29.88 
3 , 26 , 2013 , 30.30 , 29.84 , 29.98 , 30.29 
3 , 27 , 2013 , 30.38 , 29.87 , 30.02 , 30.35 
3 , 28 , 2013 , 30.66 , 30.22 , 30.44 , 30.62 
4 , 1 , 2013 , 30.81 , 30.38 , 30.42 , 30.68 
4 , 2 , 2013 , 30.95 , 30.64 , 30.67 , 30.80 
4 , 3 , 2013 , 30.83 , 30.10 , 30.76 , 30.29 
4 , 4 , 2013 , 30.41 , 30.22 , 30.40 , 30.28 
4 , 5 , 2013 , 30.21 , 29.84 , 29.88 , 30.03 
4 , 8 , 2013 , 30.20 , 29.92 , 30.15 , 30.15 
4 , 9 , 2013 , 30.24 , 29.93 , 30.12 , 30.13 
4 , 10 , 2013 , 30.36 , 30.15 , 30.17 , 30.23 
4 , 11 , 2013 , 30.65 , 30.33 , 30.53 , 30.35 
4 , 12 , 2013 , 30.58 , 30.27 , 30.54 , 30.55 
4 , 15 , 2013 , 30.75 , 30.15 , 30.68 , 30.19 
4 , 16 , 2013 , 30.73 , 30.20 , 30.20 , 30.63 
4 , 17 , 2013 , 30.52 , 29.75 , 30.39 , 29.82 
4 , 18 , 2013 , 30.16 , 29.73 , 29.79 , 30.10 
4 , 19 , 2013 , 31.80 , 30.05 , 30.14 , 31.69 
4 , 22 , 2013 , 31.65 , 31.26 , 31.40 , 31.53 
4 , 23 , 2013 , 32.02 , 31.50 , 31.56 , 31.86 
4 , 24 , 2013 , 32.10 , 31.42 , 32.03 , 31.46 
4 , 25 , 2013 , 31.83 , 31.48 , 31.66 , 31.68 
4 , 26 , 2013 , 31.80 , 31.44 , 31.78 , 31.56 
4 , 29 , 2013 , 31.66 , 31.35 , 31.52 , 31.62 
4 , 30 , 2013 , 31.69 , 31.30 , 31.51 , 31.45 
5 , 1 , 2013 , 31.69 , 31.30 , 31.30 , 31.46 
5 , 2 , 2013 , 31.74 , 31.31 , 31.46 , 31.42 
5 , 3 , 2013 , 31.83 , 31.51 , 31.68 , 31.73 
5 , 6 , 2013 , 31.80 , 31.11 , 31.64 , 31.15 
5 , 7 , 2013 , 31.43 , 31.04 , 31.06 , 31.41 
5 , 8 , 2013 , 31.50 , 30.64 , 31.16 , 30.92 
5 , 9 , 2013 , 31.05 , 30.53 , 30.96 , 30.58 
5 , 10 , 2013 , 30.78 , 30.43 , 30.73 , 30.63 
5 , 13 , 2013 , 30.91 , 30.45 , 30.52 , 30.83 
5 , 14 , 2013 , 31.27 , 30.83 , 30.84 , 31.18 
5 , 15 , 2013 , 31.53 , 31.11 , 31.20 , 31.50 
5 , 16 , 2013 , 31.68 , 31.20 , 31.40 , 31.46 
5 , 17 , 2013 , 31.62 , 31.15 , 31.41 , 31.50 
5 , 20 , 2013 , 31.51 , 30.74 , 31.49 , 30.80 
5 , 21 , 2013 , 31.01 , 30.59 , 30.92 , 31.01 
5 , 22 , 2013 , 31.99 , 30.90 , 30.94 , 31.77 
5 , 23 , 2013 , 31.76 , 30.98 , 31.43 , 31.23 
5 , 24 , 2013 , 31.33 , 30.76 , 31.00 , 30.95 
5 , 28 , 2013 , 31.92 , 31.11 , 31.23 , 31.28 
5 , 29 , 2013 , 31.21 , 30.27 , 31.08 , 30.28 
5 , 30 , 2013 , 30.17 , 29.58 , 30.05 , 29.60 
5 , 31 , 2013 , 29.84 , 29.21 , 29.39 , 29.48 
6 , 3 , 2013 , 29.75 , 29.21 , 29.47 , 29.74 
6 , 4 , 2013 , 30.06 , 29.36 , 29.92 , 29.57 
6 , 5 , 2013 , 29.59 , 29.33 , 29.45 , 29.47 
6 , 6 , 2013 , 29.58 , 29.08 , 29.51 , 29.29 
6 , 7 , 2013 , 29.96 , 29.31 , 29.54 , 29.86 
6 , 10 , 2013 , 30.18 , 29.46 , 29.84 , 29.58 
6 , 11 , 2013 , 29.97 , 29.21 , 29.94 , 29.80 
6 , 12 , 2013 , 30.05 , 29.46 , 30.00 , 29.53 
6 , 13 , 2013 , 30.00 , 29.19 , 29.48 , 29.97 
6 , 14 , 2013 , 30.23 , 29.62 , 29.82 , 29.81 
6 , 17 , 2013 , 30.64 , 29.91 , 29.91 , 30.34 
6 , 18 , 2013 , 30.61 , 30.24 , 30.33 , 30.50 
6 , 19 , 2013 , 30.57 , 29.53 , 30.41 , 29.53 
6 , 20 , 2013 , 29.44 , 28.24 , 29.21 , 28.34 
6 , 21 , 2013 , 29.01 , 28.22 , 28.62 , 28.85 
6 , 24 , 2013 , 28.86 , 28.43 , 28.59 , 28.64 
6 , 25 , 2013 , 28.97 , 28.53 , 28.88 , 28.62 
6 , 26 , 2013 , 29.04 , 28.68 , 28.82 , 28.85 
6 , 27 , 2013 , 29.33 , 28.89 , 29.06 , 29.15 
6 , 28 , 2013 , 29.20 , 28.53 , 28.89 , 28.53 
7 , 1 , 2013 , 29.45 , 28.71 , 28.79 , 29.05 
7 , 2 , 2013 , 29.17 , 28.69 , 28.80 , 28.78 
7 , 3 , 2013 , 28.79 , 28.54 , 28.58 , 28.58 
7 , 5 , 2013 , 28.99 , 28.50 , 28.90 , 28.78 
7 , 8 , 2013 , 29.05 , 28.69 , 28.95 , 28.75 
7 , 9 , 2013 , 29.17 , 28.74 , 29.04 , 29.04 
7 , 10 , 2013 , 29.22 , 28.90 , 29.03 , 29.15 
7 , 11 , 2013 , 30.20 , 29.45 , 29.60 , 30.17 
7 , 12 , 2013 , 30.42 , 30.03 , 30.16 , 30.36 
7 , 15 , 2013 , 30.50 , 30.09 , 30.47 , 30.18 
7 , 16 , 2013 , 30.18 , 29.75 , 30.10 , 29.87 
7 , 17 , 2013 , 31.18 , 29.85 , 30.13 , 30.50 
7 , 18 , 2013 , 30.91 , 30.38 , 30.59 , 30.58 
7 , 19 , 2013 , 30.71 , 30.19 , 30.59 , 30.69 
7 , 22 , 2013 , 31.37 , 30.45 , 31.36 , 30.70 
7 , 23 , 2013 , 31.32 , 30.70 , 30.77 , 31.08 
7 , 24 , 2013 , 31.10 , 30.60 , 31.05 , 30.80 
7 , 25 , 2013 , 31.19 , 30.53 , 30.57 , 31.14 
7 , 26 , 2013 , 31.60 , 30.80 , 30.83 , 31.58 
7 , 29 , 2013 , 31.70 , 31.26 , 31.45 , 31.61 
7 , 30 , 2013 , 31.86 , 30.99 , 31.81 , 31.05 
7 , 31 , 2013 , 31.50 , 31.00 , 31.04 , 31.27 
8 , 1 , 2013 , 31.78 , 31.31 , 31.57 , 31.71 
8 , 2 , 2013 , 32.00 , 31.48 , 31.67 , 31.94 
