Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 45.24 , 44.74 , 45.15 , 44.95 
3 , 18 , 2010 , 45.22 , 44.81 , 45.06 , 45.17 
3 , 19 , 2010 , 45.73 , 44.54 , 45.50 , 44.79 
3 , 22 , 2010 , 46.35 , 45.07 , 45.13 , 45.80 
3 , 23 , 2010 , 46.06 , 45.47 , 45.93 , 45.72 
3 , 24 , 2010 , 45.70 , 45.01 , 45.62 , 45.31 
3 , 25 , 2010 , 45.58 , 44.93 , 45.54 , 44.98 
3 , 26 , 2010 , 45.04 , 44.40 , 45.04 , 44.49 
3 , 29 , 2010 , 45.20 , 44.49 , 44.65 , 45.07 
3 , 30 , 2010 , 45.47 , 45.02 , 45.36 , 45.05 
3 , 31 , 2010 , 45.28 , 44.75 , 44.98 , 45.03 
4 , 1 , 2010 , 45.72 , 45.16 , 45.31 , 45.67 
4 , 5 , 2010 , 46.00 , 45.60 , 45.69 , 45.74 
4 , 6 , 2010 , 45.68 , 45.25 , 45.60 , 45.44 
4 , 7 , 2010 , 45.25 , 44.69 , 45.06 , 44.78 
4 , 8 , 2010 , 45.12 , 44.62 , 44.72 , 44.88 
4 , 9 , 2010 , 45.61 , 44.79 , 44.79 , 45.43 
4 , 12 , 2010 , 45.84 , 45.22 , 45.60 , 45.43 
4 , 13 , 2010 , 45.52 , 45.20 , 45.27 , 45.45 
4 , 14 , 2010 , 45.80 , 45.11 , 45.34 , 45.71 
4 , 15 , 2010 , 45.79 , 45.45 , 45.64 , 45.79 
4 , 16 , 2010 , 45.74 , 44.68 , 45.67 , 44.90 
4 , 19 , 2010 , 44.91 , 44.56 , 44.86 , 44.83 
4 , 20 , 2010 , 45.31 , 44.92 , 44.93 , 45.17 
4 , 21 , 2010 , 45.15 , 44.39 , 45.05 , 44.67 
4 , 22 , 2010 , 44.50 , 43.62 , 44.50 , 44.15 
4 , 23 , 2010 , 44.45 , 43.78 , 44.22 , 44.21 
4 , 26 , 2010 , 44.50 , 43.97 , 44.18 , 44.06 
4 , 27 , 2010 , 44.44 , 43.36 , 44.25 , 43.42 
4 , 28 , 2010 , 43.70 , 43.06 , 43.49 , 43.34 
4 , 29 , 2010 , 44.35 , 43.68 , 43.69 , 43.84 
4 , 30 , 2010 , 44.28 , 43.64 , 44.05 , 43.69 
5 , 3 , 2010 , 44.31 , 43.40 , 43.68 , 44.13 
5 , 4 , 2010 , 43.98 , 43.17 , 43.78 , 43.39 
5 , 5 , 2010 , 43.78 , 42.82 , 43.02 , 43.00 
5 , 6 , 2010 , 43.52 , 39.88 , 42.80 , 41.86 
5 , 7 , 2010 , 41.84 , 40.21 , 41.66 , 41.25 
5 , 10 , 2010 , 43.23 , 41.94 , 43.13 , 42.73 
5 , 11 , 2010 , 43.10 , 42.28 , 42.71 , 42.67 
5 , 12 , 2010 , 43.42 , 42.41 , 42.53 , 43.30 
5 , 13 , 2010 , 43.54 , 43.05 , 43.24 , 43.09 
5 , 14 , 2010 , 43.51 , 41.96 , 42.94 , 42.39 
5 , 17 , 2010 , 42.79 , 41.98 , 42.39 , 42.53 
5 , 18 , 2010 , 43.30 , 42.31 , 42.70 , 42.35 
5 , 19 , 2010 , 42.28 , 41.55 , 42.12 , 41.76 
5 , 20 , 2010 , 41.25 , 40.32 , 41.04 , 40.32 
5 , 21 , 2010 , 40.68 , 39.10 , 39.79 , 40.33 
5 , 24 , 2010 , 41.29 , 39.92 , 40.12 , 40.64 
5 , 25 , 2010 , 40.19 , 39.13 , 40.03 , 39.95 
5 , 26 , 2010 , 40.08 , 39.10 , 39.92 , 39.14 
5 , 27 , 2010 , 39.67 , 38.73 , 39.42 , 39.41 
5 , 28 , 2010 , 39.90 , 39.12 , 39.31 , 39.18 
6 , 1 , 2010 , 39.05 , 38.24 , 38.86 , 38.30 
6 , 2 , 2010 , 39.10 , 38.31 , 38.51 , 39.08 
6 , 3 , 2010 , 39.50 , 38.98 , 39.28 , 39.23 
6 , 4 , 2010 , 38.90 , 37.87 , 38.62 , 38.00 
6 , 7 , 2010 , 38.28 , 37.69 , 38.08 , 37.71 
6 , 8 , 2010 , 37.88 , 37.31 , 37.80 , 37.64 
6 , 9 , 2010 , 38.24 , 37.43 , 37.86 , 37.52 
6 , 10 , 2010 , 38.59 , 37.96 , 38.01 , 38.17 
6 , 11 , 2010 , 38.19 , 37.77 , 37.85 , 38.13 
6 , 14 , 2010 , 39.24 , 38.33 , 38.33 , 38.82 
6 , 15 , 2010 , 39.19 , 38.60 , 39.04 , 38.80 
6 , 16 , 2010 , 39.19 , 38.55 , 38.61 , 39.12 
6 , 17 , 2010 , 39.34 , 38.70 , 39.16 , 38.97 
6 , 18 , 2010 , 39.16 , 38.62 , 39.06 , 38.87 
6 , 21 , 2010 , 39.25 , 38.51 , 39.22 , 38.68 
6 , 22 , 2010 , 38.98 , 38.05 , 38.65 , 38.08 
6 , 23 , 2010 , 37.71 , 36.93 , 37.45 , 37.51 
6 , 24 , 2010 , 37.52 , 36.80 , 37.34 , 36.85 
6 , 25 , 2010 , 37.14 , 36.70 , 36.85 , 36.86 
6 , 28 , 2010 , 37.25 , 36.74 , 37.05 , 36.87 
6 , 29 , 2010 , 36.96 , 35.85 , 36.77 , 36.21 
6 , 30 , 2010 , 36.69 , 35.96 , 36.16 , 36.27 
7 , 1 , 2010 , 36.24 , 35.13 , 36.09 , 36.04 
7 , 2 , 2010 , 36.30 , 35.90 , 36.02 , 36.03 
7 , 6 , 2010 , 36.65 , 35.89 , 36.33 , 36.20 
7 , 7 , 2010 , 37.08 , 35.79 , 36.17 , 37.05 
7 , 8 , 2010 , 37.48 , 36.62 , 37.25 , 36.99 
7 , 9 , 2010 , 37.31 , 36.93 , 37.17 , 37.23 
7 , 12 , 2010 , 37.77 , 37.31 , 37.64 , 37.68 
7 , 13 , 2010 , 38.29 , 37.86 , 38.01 , 37.96 
7 , 14 , 2010 , 38.11 , 37.46 , 37.80 , 38.06 
7 , 15 , 2010 , 38.37 , 37.74 , 38.12 , 38.01 
7 , 16 , 2010 , 38.10 , 37.14 , 37.89 , 37.27 
7 , 19 , 2010 , 37.70 , 36.99 , 37.33 , 37.09 
7 , 20 , 2010 , 37.42 , 36.51 , 36.84 , 37.42 
7 , 21 , 2010 , 37.55 , 35.92 , 37.55 , 36.22 
7 , 22 , 2010 , 37.25 , 36.22 , 36.46 , 36.77 
7 , 23 , 2010 , 37.19 , 36.42 , 36.80 , 36.58 
7 , 26 , 2010 , 37.06 , 36.44 , 36.49 , 36.98 
7 , 27 , 2010 , 37.45 , 36.84 , 37.17 , 37.39 
7 , 28 , 2010 , 37.59 , 36.43 , 37.41 , 36.45 
7 , 29 , 2010 , 36.78 , 36.00 , 36.68 , 36.10 
7 , 30 , 2010 , 37.03 , 35.89 , 35.97 , 36.97 
8 , 2 , 2010 , 37.73 , 37.30 , 37.49 , 37.53 
8 , 3 , 2010 , 37.78 , 37.36 , 37.54 , 37.59 
8 , 4 , 2010 , 38.08 , 37.60 , 37.60 , 37.90 
8 , 5 , 2010 , 37.93 , 37.45 , 37.66 , 37.83 
8 , 6 , 2010 , 37.92 , 37.20 , 37.68 , 37.81 
8 , 9 , 2010 , 37.70 , 36.59 , 36.90 , 37.43 
8 , 10 , 2010 , 37.44 , 36.87 , 37.25 , 37.25 
8 , 11 , 2010 , 36.83 , 36.16 , 36.83 , 36.28 
