Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 38.88 , 38.19 , 38.35 , 38.35 
3 , 18 , 2010 , 38.60 , 37.60 , 38.60 , 37.83 
3 , 19 , 2010 , 38.13 , 37.13 , 38.03 , 37.28 
3 , 22 , 2010 , 37.61 , 36.59 , 36.95 , 37.18 
3 , 23 , 2010 , 37.61 , 36.82 , 37.22 , 37.58 
3 , 24 , 2010 , 38.04 , 37.29 , 37.45 , 37.36 
3 , 25 , 2010 , 38.32 , 37.45 , 37.70 , 37.53 
3 , 26 , 2010 , 38.34 , 37.45 , 37.57 , 37.66 
3 , 29 , 2010 , 38.40 , 37.75 , 37.86 , 38.32 
3 , 30 , 2010 , 38.53 , 38.17 , 38.31 , 38.20 
3 , 31 , 2010 , 38.63 , 37.94 , 37.94 , 38.62 
4 , 1 , 2010 , 39.25 , 38.68 , 38.84 , 39.22 
4 , 5 , 2010 , 40.10 , 39.37 , 39.40 , 40.06 
4 , 6 , 2010 , 40.23 , 39.86 , 40.01 , 39.96 
4 , 7 , 2010 , 40.01 , 39.03 , 39.77 , 39.28 
4 , 8 , 2010 , 40.65 , 39.08 , 39.15 , 40.55 
4 , 9 , 2010 , 40.95 , 39.96 , 40.75 , 40.34 
4 , 12 , 2010 , 40.74 , 40.31 , 40.60 , 40.66 
4 , 13 , 2010 , 40.57 , 39.94 , 40.49 , 40.51 
4 , 14 , 2010 , 41.48 , 40.32 , 40.32 , 41.38 
4 , 15 , 2010 , 41.29 , 40.53 , 40.54 , 41.23 
4 , 16 , 2010 , 41.25 , 39.88 , 40.99 , 40.43 
4 , 19 , 2010 , 41.00 , 39.99 , 40.07 , 40.97 
4 , 20 , 2010 , 41.86 , 41.00 , 41.24 , 41.84 
4 , 21 , 2010 , 41.91 , 40.64 , 41.81 , 41.25 
4 , 22 , 2010 , 41.65 , 40.46 , 40.80 , 41.60 
4 , 23 , 2010 , 42.01 , 40.81 , 41.10 , 41.97 
4 , 26 , 2010 , 42.55 , 41.63 , 41.87 , 41.74 
4 , 27 , 2010 , 41.56 , 39.25 , 41.38 , 39.48 
4 , 28 , 2010 , 40.75 , 38.92 , 39.88 , 39.13 
4 , 29 , 2010 , 40.76 , 39.42 , 39.63 , 40.65 
4 , 30 , 2010 , 42.52 , 40.57 , 41.21 , 40.62 
