Month , Day , Year , High , Low , Open , Close
7 , 31 , 2012 , 23.37 , 21.61 , 23.37 , 21.71 
8 , 1 , 2012 , 21.58 , 20.84 , 21.53 , 20.88 
8 , 2 , 2012 , 20.84 , 19.82 , 20.77 , 20.04 
8 , 3 , 2012 , 22.16 , 19.90 , 20.36 , 21.09 
8 , 6 , 2012 , 22.15 , 21.30 , 21.39 , 21.92 
8 , 7 , 2012 , 22.45 , 20.50 , 22.20 , 20.72 
8 , 8 , 2012 , 21.15 , 20.22 , 20.71 , 20.72 
8 , 9 , 2012 , 21.17 , 20.61 , 20.75 , 21.01 
8 , 10 , 2012 , 21.82 , 21.13 , 21.41 , 21.81 
8 , 13 , 2012 , 22.45 , 21.40 , 22.15 , 21.60 
8 , 14 , 2012 , 21.60 , 20.25 , 21.41 , 20.38 
8 , 15 , 2012 , 21.41 , 20.40 , 20.64 , 21.20 
8 , 16 , 2012 , 20.48 , 19.69 , 20.44 , 19.87 
8 , 17 , 2012 , 20.08 , 19.00 , 20.01 , 19.05 
8 , 20 , 2012 , 20.13 , 18.75 , 19.05 , 20.01 
8 , 21 , 2012 , 19.98 , 19.09 , 19.58 , 19.16 
8 , 22 , 2012 , 19.53 , 18.96 , 19.36 , 19.44 
8 , 23 , 2012 , 19.73 , 19.36 , 19.50 , 19.44 
8 , 24 , 2012 , 19.68 , 19.25 , 19.52 , 19.41 
8 , 27 , 2012 , 19.53 , 19.10 , 19.49 , 19.15 
8 , 28 , 2012 , 19.38 , 18.95 , 19.10 , 19.34 
8 , 29 , 2012 , 19.38 , 19.07 , 19.32 , 19.10 
8 , 30 , 2012 , 19.45 , 19.06 , 19.27 , 19.09 
8 , 31 , 2012 , 18.70 , 18.03 , 18.68 , 18.06 
9 , 4 , 2012 , 18.27 , 17.55 , 18.08 , 17.73 
9 , 5 , 2012 , 18.75 , 18.18 , 18.27 , 18.58 
9 , 6 , 2012 , 19.26 , 18.72 , 18.74 , 18.96 
9 , 7 , 2012 , 19.42 , 18.78 , 19.10 , 18.98 
9 , 10 , 2012 , 19.20 , 18.55 , 19.06 , 18.81 
9 , 11 , 2012 , 19.58 , 18.85 , 18.92 , 19.43 
9 , 12 , 2012 , 21.16 , 20.28 , 20.76 , 20.93 
9 , 13 , 2012 , 21.48 , 20.61 , 20.96 , 20.71 
9 , 14 , 2012 , 22.08 , 20.90 , 21.13 , 22.00 
9 , 17 , 2012 , 22.75 , 21.50 , 22.67 , 21.52 
9 , 18 , 2012 , 21.98 , 21.37 , 21.60 , 21.87 
9 , 19 , 2012 , 23.37 , 21.77 , 21.99 , 23.29 
9 , 20 , 2012 , 23.24 , 22.54 , 23.02 , 22.59 
9 , 21 , 2012 , 23.24 , 22.60 , 22.97 , 22.86 
9 , 24 , 2012 , 21.98 , 20.36 , 21.78 , 20.79 
9 , 25 , 2012 , 21.21 , 20.22 , 21.20 , 20.28 
9 , 26 , 2012 , 20.78 , 19.80 , 20.15 , 20.62 
9 , 27 , 2012 , 21.00 , 20.16 , 20.99 , 20.32 
9 , 28 , 2012 , 21.95 , 20.50 , 20.57 , 21.66 
10 , 1 , 2012 , 22.59 , 21.73 , 22.08 , 21.99 
10 , 2 , 2012 , 22.49 , 21.82 , 22.08 , 22.27 
10 , 3 , 2012 , 22.49 , 21.80 , 22.30 , 21.83 
10 , 4 , 2012 , 22.40 , 21.41 , 22.32 , 21.95 
10 , 5 , 2012 , 21.63 , 20.88 , 21.49 , 20.91 
10 , 8 , 2012 , 20.75 , 20.16 , 20.40 , 20.40 
10 , 9 , 2012 , 20.55 , 19.97 , 20.39 , 20.23 
10 , 10 , 2012 , 19.94 , 19.45 , 19.93 , 19.64 
10 , 11 , 2012 , 19.96 , 19.61 , 19.88 , 19.75 
10 , 12 , 2012 , 19.80 , 19.48 , 19.75 , 19.52 
10 , 15 , 2012 , 19.88 , 19.49 , 19.68 , 19.52 
10 , 16 , 2012 , 19.69 , 19.30 , 19.68 , 19.48 
10 , 17 , 2012 , 20.48 , 19.37 , 19.50 , 19.88 
10 , 18 , 2012 , 19.79 , 18.89 , 19.70 , 18.98 
10 , 19 , 2012 , 19.06 , 18.80 , 19.00 , 19.00 
10 , 22 , 2012 , 19.43 , 19.05 , 19.20 , 19.32 
10 , 23 , 2012 , 19.80 , 19.10 , 19.25 , 19.50 
10 , 24 , 2012 , 24.25 , 22.85 , 24.13 , 23.23 
10 , 25 , 2012 , 23.31 , 22.47 , 23.29 , 22.56 
10 , 26 , 2012 , 22.88 , 21.88 , 22.40 , 21.94 
10 , 31 , 2012 , 21.50 , 20.73 , 20.82 , 21.11 
11 , 1 , 2012 , 21.44 , 21.01 , 21.08 , 21.21 
11 , 2 , 2012 , 21.69 , 21.07 , 21.26 , 21.18 
11 , 5 , 2012 , 21.48 , 20.92 , 21.10 , 21.25 
11 , 6 , 2012 , 21.37 , 20.99 , 21.24 , 21.17 
11 , 7 , 2012 , 20.95 , 20.37 , 20.85 , 20.47 
11 , 8 , 2012 , 20.73 , 19.98 , 20.52 , 19.99 
11 , 9 , 2012 , 20.00 , 19.13 , 19.96 , 19.21 
11 , 12 , 2012 , 20.17 , 18.87 , 19.15 , 20.07 
11 , 13 , 2012 , 20.11 , 19.56 , 19.61 , 19.86 
11 , 14 , 2012 , 22.50 , 19.93 , 20.10 , 22.36 
11 , 15 , 2012 , 22.50 , 21.65 , 22.34 , 22.17 
11 , 16 , 2012 , 23.93 , 22.18 , 22.25 , 23.56 
11 , 19 , 2012 , 24.12 , 22.82 , 23.96 , 22.92 
11 , 20 , 2012 , 23.90 , 22.70 , 22.73 , 23.10 
11 , 21 , 2012 , 24.53 , 23.05 , 23.22 , 24.32 
11 , 23 , 2012 , 24.68 , 23.88 , 24.58 , 24.00 
11 , 26 , 2012 , 26.09 , 24.81 , 24.94 , 25.94 
11 , 27 , 2012 , 26.50 , 25.46 , 26.04 , 26.15 
11 , 28 , 2012 , 26.49 , 25.75 , 25.94 , 26.36 
11 , 29 , 2012 , 27.52 , 26.16 , 26.50 , 27.32 
11 , 30 , 2012 , 28.00 , 26.76 , 27.26 , 28.00 
12 , 3 , 2012 , 28.88 , 26.98 , 28.00 , 27.04 
12 , 4 , 2012 , 27.76 , 26.68 , 27.06 , 27.46 
12 , 5 , 2012 , 27.90 , 27.26 , 27.75 , 27.71 
12 , 6 , 2012 , 27.75 , 26.82 , 27.68 , 26.97 
12 , 7 , 2012 , 27.78 , 26.84 , 27.07 , 27.49 
12 , 10 , 2012 , 28.17 , 27.10 , 27.17 , 27.84 
