Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 24.70 , 24.41 , 24.56 , 24.60 
3 , 18 , 2010 , 24.77 , 24.46 , 24.56 , 24.60 
3 , 19 , 2010 , 24.79 , 24.48 , 24.64 , 24.59 
3 , 22 , 2010 , 24.55 , 24.07 , 24.07 , 24.51 
3 , 23 , 2010 , 24.66 , 24.44 , 24.53 , 24.62 
3 , 24 , 2010 , 24.66 , 24.45 , 24.59 , 24.47 
3 , 25 , 2010 , 24.75 , 24.40 , 24.47 , 24.47 
3 , 26 , 2010 , 24.67 , 24.43 , 24.53 , 24.58 
3 , 29 , 2010 , 24.79 , 24.62 , 24.70 , 24.77 
3 , 30 , 2010 , 24.84 , 24.51 , 24.84 , 24.55 
3 , 31 , 2010 , 24.53 , 24.32 , 24.43 , 24.42 
4 , 1 , 2010 , 24.64 , 24.32 , 24.53 , 24.43 
4 , 5 , 2010 , 24.49 , 24.36 , 24.46 , 24.46 
4 , 6 , 2010 , 24.53 , 24.30 , 24.38 , 24.53 
4 , 7 , 2010 , 24.44 , 24.14 , 24.32 , 24.18 
4 , 8 , 2010 , 24.34 , 24.10 , 24.10 , 24.21 
4 , 9 , 2010 , 24.36 , 24.13 , 24.23 , 24.34 
4 , 12 , 2010 , 24.56 , 24.18 , 24.28 , 24.53 
4 , 13 , 2010 , 24.72 , 24.42 , 24.43 , 24.67 
4 , 14 , 2010 , 25.07 , 24.63 , 24.64 , 25.05 
4 , 15 , 2010 , 25.47 , 24.97 , 25.09 , 25.35 
4 , 16 , 2010 , 25.37 , 24.66 , 25.25 , 24.66 
4 , 19 , 2010 , 24.75 , 24.34 , 24.53 , 24.75 
4 , 20 , 2010 , 25.00 , 24.69 , 24.89 , 24.92 
4 , 21 , 2010 , 24.91 , 24.57 , 24.90 , 24.78 
4 , 22 , 2010 , 24.85 , 24.45 , 24.63 , 24.79 
4 , 23 , 2010 , 24.78 , 24.61 , 24.77 , 24.72 
4 , 26 , 2010 , 24.92 , 24.54 , 24.66 , 24.73 
4 , 27 , 2010 , 25.05 , 24.06 , 24.59 , 24.09 
4 , 28 , 2010 , 24.40 , 23.99 , 24.28 , 24.07 
4 , 29 , 2010 , 24.89 , 24.16 , 24.20 , 24.79 
4 , 30 , 2010 , 24.87 , 24.15 , 24.87 , 24.22 
5 , 3 , 2010 , 24.59 , 24.19 , 24.37 , 24.57 
5 , 4 , 2010 , 24.50 , 23.86 , 24.23 , 23.97 
5 , 5 , 2010 , 24.05 , 23.41 , 23.83 , 23.49 
5 , 6 , 2010 , 23.61 , 21.64 , 23.30 , 22.53 
5 , 7 , 2010 , 22.74 , 22.05 , 22.52 , 22.29 
5 , 10 , 2010 , 23.28 , 22.74 , 22.96 , 23.01 
5 , 11 , 2010 , 23.51 , 22.62 , 22.81 , 23.17 
5 , 12 , 2010 , 23.53 , 23.04 , 23.21 , 23.48 
5 , 13 , 2010 , 23.45 , 23.13 , 23.40 , 23.13 
5 , 14 , 2010 , 23.11 , 22.63 , 22.97 , 22.79 
5 , 17 , 2010 , 23.06 , 22.65 , 22.84 , 22.92 
5 , 18 , 2010 , 23.27 , 22.42 , 23.09 , 22.48 
5 , 19 , 2010 , 22.61 , 21.85 , 22.32 , 22.25 
5 , 20 , 2010 , 22.09 , 21.41 , 21.83 , 21.41 
5 , 21 , 2010 , 21.73 , 21.01 , 21.16 , 21.72 
5 , 24 , 2010 , 21.75 , 21.33 , 21.58 , 21.34 
5 , 25 , 2010 , 21.34 , 20.79 , 20.97 , 21.32 
5 , 26 , 2010 , 21.51 , 21.11 , 21.43 , 21.19 
5 , 27 , 2010 , 21.86 , 21.33 , 21.44 , 21.83 
5 , 28 , 2010 , 22.03 , 21.60 , 21.84 , 21.81 
6 , 1 , 2010 , 21.72 , 21.26 , 21.65 , 21.28 
6 , 2 , 2010 , 21.73 , 21.27 , 21.41 , 21.73 
6 , 3 , 2010 , 21.88 , 21.60 , 21.69 , 21.86 
6 , 4 , 2010 , 21.66 , 20.90 , 21.38 , 20.99 
6 , 7 , 2010 , 21.61 , 20.56 , 21.39 , 20.57 
6 , 8 , 2010 , 20.94 , 20.21 , 20.66 , 20.89 
6 , 9 , 2010 , 21.34 , 20.93 , 21.01 , 21.05 
6 , 10 , 2010 , 21.71 , 21.19 , 21.28 , 21.71 
6 , 11 , 2010 , 22.14 , 21.45 , 21.54 , 22.08 
6 , 14 , 2010 , 23.89 , 22.75 , 23.58 , 22.85 
6 , 15 , 2010 , 23.10 , 22.63 , 22.95 , 23.10 
6 , 16 , 2010 , 23.16 , 22.76 , 22.81 , 23.15 
6 , 17 , 2010 , 23.25 , 22.96 , 23.16 , 23.20 
6 , 18 , 2010 , 23.38 , 22.96 , 23.21 , 23.14 
6 , 21 , 2010 , 23.51 , 22.99 , 23.32 , 23.09 
6 , 22 , 2010 , 23.24 , 22.87 , 23.14 , 22.95 
6 , 23 , 2010 , 23.45 , 22.85 , 22.99 , 23.03 
6 , 24 , 2010 , 23.10 , 22.81 , 22.98 , 22.91 
6 , 25 , 2010 , 23.25 , 22.72 , 23.02 , 23.25 
6 , 28 , 2010 , 23.37 , 23.10 , 23.19 , 23.24 
6 , 29 , 2010 , 23.14 , 22.72 , 22.82 , 22.87 
6 , 30 , 2010 , 22.99 , 22.51 , 22.79 , 22.55 
7 , 1 , 2010 , 22.62 , 22.13 , 22.48 , 22.43 
7 , 2 , 2010 , 22.61 , 22.21 , 22.47 , 22.38 
7 , 6 , 2010 , 22.73 , 22.17 , 22.56 , 22.36 
7 , 7 , 2010 , 22.91 , 22.15 , 22.39 , 22.87 
7 , 8 , 2010 , 23.04 , 22.53 , 23.04 , 22.78 
7 , 9 , 2010 , 23.13 , 22.68 , 22.77 , 23.11 
7 , 12 , 2010 , 23.02 , 22.41 , 23.02 , 22.64 
7 , 13 , 2010 , 23.34 , 22.83 , 22.86 , 23.26 
7 , 14 , 2010 , 23.17 , 22.95 , 23.14 , 23.06 
7 , 15 , 2010 , 23.09 , 22.72 , 23.06 , 23.03 
7 , 16 , 2010 , 23.01 , 22.43 , 22.84 , 22.47 
7 , 19 , 2010 , 22.60 , 22.30 , 22.55 , 22.56 
7 , 20 , 2010 , 22.82 , 22.21 , 22.26 , 22.81 
7 , 21 , 2010 , 23.06 , 22.33 , 23.06 , 22.42 
7 , 22 , 2010 , 23.09 , 22.57 , 22.66 , 23.09 
7 , 23 , 2010 , 23.25 , 22.93 , 23.01 , 23.22 
7 , 26 , 2010 , 23.56 , 22.85 , 22.98 , 23.56 
7 , 27 , 2010 , 23.73 , 23.34 , 23.70 , 23.53 
7 , 28 , 2010 , 23.49 , 23.20 , 23.43 , 23.26 
7 , 29 , 2010 , 23.50 , 22.96 , 23.42 , 23.20 
7 , 30 , 2010 , 23.62 , 22.90 , 22.94 , 23.52 
8 , 2 , 2010 , 23.97 , 23.69 , 23.87 , 23.88 
8 , 3 , 2010 , 24.02 , 23.59 , 23.88 , 23.93 
8 , 4 , 2010 , 24.05 , 23.73 , 23.85 , 23.96 
8 , 5 , 2010 , 24.20 , 23.73 , 23.81 , 24.15 
8 , 6 , 2010 , 24.12 , 23.65 , 23.88 , 23.99 
8 , 9 , 2010 , 24.14 , 23.82 , 24.03 , 24.09 
8 , 10 , 2010 , 24.17 , 23.75 , 23.85 , 24.10 
8 , 11 , 2010 , 23.79 , 23.56 , 23.79 , 23.60 
8 , 12 , 2010 , 23.66 , 23.17 , 23.35 , 23.62 
8 , 13 , 2010 , 23.68 , 23.46 , 23.57 , 23.49 
8 , 16 , 2010 , 23.47 , 23.17 , 23.39 , 23.31 
8 , 17 , 2010 , 23.89 , 23.49 , 23.49 , 23.80 
8 , 18 , 2010 , 24.12 , 23.43 , 23.75 , 23.91 
8 , 19 , 2010 , 23.79 , 23.20 , 23.79 , 23.21 
8 , 20 , 2010 , 23.17 , 22.85 , 23.01 , 23.14 
8 , 23 , 2010 , 23.64 , 23.15 , 23.29 , 23.45 
8 , 24 , 2010 , 23.41 , 23.08 , 23.18 , 23.27 
8 , 25 , 2010 , 23.44 , 23.08 , 23.10 , 23.38 
8 , 26 , 2010 , 23.53 , 23.32 , 23.42 , 23.35 
8 , 27 , 2010 , 23.97 , 23.33 , 23.50 , 23.96 
8 , 30 , 2010 , 23.89 , 23.64 , 23.83 , 23.67 
8 , 31 , 2010 , 23.86 , 23.49 , 23.61 , 23.72 
9 , 1 , 2010 , 24.34 , 23.90 , 23.99 , 24.33 
9 , 2 , 2010 , 24.37 , 24.15 , 24.36 , 24.30 
9 , 3 , 2010 , 24.61 , 24.36 , 24.53 , 24.58 
9 , 7 , 2010 , 24.45 , 24.01 , 24.35 , 24.05 
9 , 8 , 2010 , 24.28 , 24.07 , 24.11 , 24.16 
9 , 9 , 2010 , 24.48 , 24.09 , 24.42 , 24.24 
9 , 10 , 2010 , 24.34 , 24.09 , 24.31 , 24.12 
9 , 13 , 2010 , 24.50 , 23.99 , 24.43 , 24.15 
9 , 14 , 2010 , 24.13 , 23.87 , 24.05 , 24.04 
9 , 15 , 2010 , 24.24 , 23.83 , 23.92 , 24.22 
9 , 16 , 2010 , 24.12 , 23.92 , 24.12 , 24.04 
9 , 17 , 2010 , 24.47 , 24.13 , 24.13 , 24.27 
9 , 20 , 2010 , 24.51 , 24.23 , 24.29 , 24.48 
9 , 21 , 2010 , 24.54 , 24.25 , 24.46 , 24.33 
9 , 22 , 2010 , 24.34 , 23.81 , 24.30 , 23.89 
9 , 23 , 2010 , 23.84 , 23.48 , 23.65 , 23.48 
9 , 24 , 2010 , 24.34 , 23.72 , 23.74 , 24.34 
9 , 27 , 2010 , 24.34 , 23.96 , 24.15 , 24.16 
9 , 28 , 2010 , 24.38 , 23.95 , 24.15 , 24.33 
9 , 29 , 2010 , 24.34 , 24.01 , 24.18 , 24.23 
9 , 30 , 2010 , 24.72 , 24.11 , 24.27 , 24.12 
10 , 1 , 2010 , 24.35 , 23.80 , 24.35 , 23.92 
10 , 4 , 2010 , 23.88 , 23.57 , 23.83 , 23.65 
10 , 5 , 2010 , 24.07 , 23.50 , 23.84 , 24.01 
10 , 6 , 2010 , 23.82 , 23.64 , 23.75 , 23.77 
10 , 7 , 2010 , 23.88 , 23.49 , 23.87 , 23.53 
10 , 8 , 2010 , 23.80 , 23.40 , 23.50 , 23.72 
10 , 11 , 2010 , 24.00 , 23.70 , 23.77 , 23.87 
10 , 12 , 2010 , 23.98 , 23.59 , 23.76 , 23.95 
10 , 13 , 2010 , 24.18 , 23.84 , 24.00 , 24.09 
10 , 14 , 2010 , 24.17 , 23.88 , 24.01 , 24.00 
10 , 15 , 2010 , 24.24 , 23.84 , 24.18 , 23.92 
10 , 18 , 2010 , 24.36 , 23.94 , 23.95 , 24.35 
10 , 19 , 2010 , 24.54 , 24.06 , 24.09 , 24.39 
10 , 20 , 2010 , 24.80 , 24.34 , 24.44 , 24.76 
10 , 21 , 2010 , 25.19 , 24.69 , 24.83 , 25.15 
10 , 22 , 2010 , 25.29 , 25.03 , 25.14 , 25.19 
10 , 25 , 2010 , 25.37 , 25.03 , 25.29 , 25.12 
10 , 26 , 2010 , 25.21 , 24.88 , 25.01 , 24.92 
10 , 27 , 2010 , 25.31 , 24.73 , 24.76 , 25.30 
10 , 28 , 2010 , 25.44 , 24.91 , 25.32 , 25.25 
10 , 29 , 2010 , 25.20 , 24.97 , 25.14 , 24.98 
11 , 1 , 2010 , 25.40 , 24.98 , 25.09 , 25.15 
11 , 2 , 2010 , 25.36 , 25.18 , 25.26 , 25.24 
11 , 3 , 2010 , 25.45 , 25.17 , 25.22 , 25.38 
11 , 4 , 2010 , 26.04 , 25.40 , 25.52 , 26.02 
11 , 5 , 2010 , 26.34 , 25.80 , 26.00 , 25.97 
11 , 8 , 2010 , 26.01 , 25.55 , 25.86 , 25.98 
11 , 9 , 2010 , 26.49 , 25.06 , 26.16 , 25.15 
11 , 10 , 2010 , 25.32 , 25.01 , 25.12 , 25.25 
11 , 11 , 2010 , 25.24 , 25.03 , 25.08 , 25.24 
11 , 12 , 2010 , 25.50 , 25.03 , 25.06 , 25.42 
11 , 15 , 2010 , 25.80 , 25.42 , 25.48 , 25.46 
11 , 16 , 2010 , 25.39 , 24.90 , 25.31 , 24.97 
11 , 17 , 2010 , 25.08 , 24.71 , 24.95 , 24.89 
11 , 18 , 2010 , 25.38 , 25.09 , 25.11 , 25.15 
11 , 19 , 2010 , 25.27 , 24.93 , 25.01 , 25.21 
11 , 22 , 2010 , 25.19 , 24.99 , 25.05 , 25.12 
11 , 23 , 2010 , 24.98 , 24.72 , 24.88 , 24.77 
11 , 24 , 2010 , 25.19 , 24.92 , 24.97 , 25.14 
11 , 26 , 2010 , 25.12 , 24.87 , 24.91 , 25.07 
11 , 29 , 2010 , 25.13 , 24.71 , 24.83 , 25.07 
11 , 30 , 2010 , 25.26 , 24.77 , 24.77 , 25.08 
12 , 1 , 2010 , 25.77 , 25.39 , 25.40 , 25.77 
12 , 2 , 2010 , 26.42 , 25.71 , 25.75 , 26.39 
12 , 3 , 2010 , 26.39 , 25.98 , 26.25 , 26.09 
12 , 6 , 2010 , 26.34 , 25.89 , 25.97 , 26.24 
12 , 7 , 2010 , 26.75 , 26.45 , 26.50 , 26.51 
12 , 8 , 2010 , 26.67 , 26.44 , 26.54 , 26.60 
12 , 9 , 2010 , 26.96 , 26.60 , 26.70 , 26.83 
12 , 10 , 2010 , 27.00 , 26.73 , 26.90 , 26.91 
12 , 13 , 2010 , 27.01 , 26.74 , 26.99 , 26.74 
12 , 14 , 2010 , 27.15 , 26.80 , 26.80 , 26.95 
12 , 15 , 2010 , 27.28 , 26.74 , 26.77 , 26.89 
12 , 16 , 2010 , 27.06 , 26.72 , 26.96 , 26.87 
12 , 17 , 2010 , 27.19 , 26.74 , 26.74 , 27.09 
12 , 20 , 2010 , 27.30 , 27.04 , 27.05 , 27.18 
12 , 21 , 2010 , 27.28 , 27.05 , 27.22 , 27.13 
12 , 22 , 2010 , 27.34 , 27.16 , 27.19 , 27.31 
12 , 23 , 2010 , 27.35 , 27.22 , 27.28 , 27.30 
12 , 27 , 2010 , 27.40 , 27.16 , 27.19 , 27.37 
12 , 28 , 2010 , 27.44 , 27.21 , 27.36 , 27.43 
12 , 29 , 2010 , 27.49 , 27.28 , 27.38 , 27.48 
12 , 30 , 2010 , 27.50 , 27.29 , 27.50 , 27.38 
12 , 31 , 2010 , 27.46 , 27.21 , 27.34 , 27.34 
1 , 3 , 2011 , 27.61 , 27.36 , 27.51 , 27.46 
1 , 4 , 2011 , 27.75 , 27.32 , 27.51 , 27.73 
1 , 5 , 2011 , 27.82 , 27.46 , 27.53 , 27.70 
1 , 6 , 2011 , 27.66 , 27.04 , 27.60 , 27.28 
1 , 7 , 2011 , 27.38 , 26.92 , 27.30 , 27.07 
1 , 10 , 2011 , 26.97 , 26.72 , 26.95 , 26.82 
1 , 11 , 2011 , 27.08 , 26.77 , 26.85 , 27.07 
1 , 12 , 2011 , 27.52 , 27.20 , 27.27 , 27.49 
1 , 13 , 2011 , 27.49 , 27.25 , 27.41 , 27.40 
1 , 14 , 2011 , 27.71 , 27.26 , 27.35 , 27.71 
1 , 18 , 2011 , 27.91 , 27.59 , 27.73 , 27.82 
1 , 19 , 2011 , 27.76 , 27.28 , 27.74 , 27.32 
1 , 20 , 2011 , 27.49 , 27.15 , 27.33 , 27.32 
1 , 21 , 2011 , 27.60 , 27.21 , 27.44 , 27.60 
1 , 24 , 2011 , 27.73 , 27.41 , 27.53 , 27.66 
1 , 25 , 2011 , 28.09 , 27.59 , 27.61 , 28.00 
1 , 26 , 2011 , 28.01 , 27.76 , 27.96 , 27.86 
1 , 27 , 2011 , 28.44 , 27.85 , 27.86 , 28.42 
1 , 28 , 2011 , 28.69 , 27.76 , 28.38 , 27.78 
1 , 31 , 2011 , 28.01 , 27.72 , 27.81 , 27.88 
2 , 1 , 2011 , 28.46 , 27.87 , 28.12 , 28.35 
2 , 2 , 2011 , 28.40 , 28.07 , 28.13 , 28.19 
2 , 3 , 2011 , 28.36 , 28.06 , 28.20 , 28.27 
2 , 4 , 2011 , 28.87 , 28.14 , 28.35 , 28.39 
2 , 7 , 2011 , 28.56 , 28.35 , 28.50 , 28.43 
2 , 8 , 2011 , 28.60 , 28.38 , 28.49 , 28.58 
2 , 9 , 2011 , 28.90 , 28.39 , 28.48 , 28.80 
2 , 10 , 2011 , 28.74 , 28.43 , 28.70 , 28.49 
2 , 11 , 2011 , 28.87 , 28.36 , 28.42 , 28.80 
2 , 14 , 2011 , 28.95 , 28.66 , 28.72 , 28.87 
2 , 15 , 2011 , 30.83 , 29.50 , 29.75 , 30.23 
2 , 16 , 2011 , 31.08 , 30.19 , 30.59 , 30.27 
2 , 17 , 2011 , 30.95 , 30.15 , 30.17 , 30.75 
2 , 18 , 2011 , 30.83 , 30.36 , 30.57 , 30.78 
2 , 22 , 2011 , 30.51 , 29.84 , 29.84 , 30.20 
2 , 23 , 2011 , 30.25 , 29.63 , 30.18 , 29.75 
2 , 24 , 2011 , 30.00 , 29.65 , 29.72 , 29.98 
2 , 25 , 2011 , 30.24 , 29.91 , 30.03 , 30.20 
2 , 28 , 2011 , 30.62 , 30.04 , 30.10 , 30.44 
3 , 1 , 2011 , 30.60 , 30.18 , 30.34 , 30.25 
3 , 2 , 2011 , 30.37 , 29.56 , 29.57 , 30.04 
3 , 3 , 2011 , 30.45 , 29.66 , 29.70 , 30.33 
3 , 4 , 2011 , 30.56 , 29.92 , 30.25 , 30.24 
3 , 7 , 2011 , 30.50 , 29.77 , 30.19 , 29.94 
3 , 8 , 2011 , 30.24 , 29.90 , 30.04 , 30.10 
3 , 9 , 2011 , 30.05 , 29.66 , 30.03 , 29.75 
3 , 10 , 2011 , 29.59 , 29.19 , 29.58 , 29.20 
3 , 11 , 2011 , 30.43 , 29.17 , 29.29 , 30.27 
3 , 14 , 2011 , 30.80 , 29.54 , 29.54 , 30.23 
3 , 15 , 2011 , 30.24 , 29.52 , 29.52 , 29.92 
3 , 16 , 2011 , 29.94 , 28.89 , 29.87 , 29.19 
3 , 17 , 2011 , 29.68 , 29.05 , 29.68 , 29.17 
3 , 18 , 2011 , 29.58 , 29.12 , 29.49 , 29.19 
3 , 21 , 2011 , 29.58 , 29.37 , 29.42 , 29.44 
3 , 22 , 2011 , 29.56 , 29.05 , 29.49 , 29.05 
3 , 23 , 2011 , 29.37 , 28.82 , 29.02 , 29.27 
3 , 24 , 2011 , 29.53 , 29.24 , 29.33 , 29.49 
3 , 25 , 2011 , 29.90 , 29.46 , 29.54 , 29.80 
