Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 68.90 , 68.27 , 68.50 , 68.71 
3 , 18 , 2010 , 70.02 , 68.56 , 68.81 , 69.95 
3 , 19 , 2010 , 70.23 , 68.15 , 70.06 , 68.52 
3 , 22 , 2010 , 68.73 , 68.14 , 68.14 , 68.42 
3 , 23 , 2010 , 68.90 , 67.86 , 68.64 , 68.85 
3 , 24 , 2010 , 68.81 , 68.08 , 68.44 , 68.23 
3 , 25 , 2010 , 68.77 , 67.59 , 68.57 , 67.66 
3 , 26 , 2010 , 68.02 , 67.51 , 67.81 , 67.72 
3 , 29 , 2010 , 68.30 , 67.75 , 67.92 , 68.02 
3 , 30 , 2010 , 70.65 , 68.76 , 68.86 , 70.46 
3 , 31 , 2010 , 70.61 , 69.69 , 70.27 , 69.87 
4 , 1 , 2010 , 70.42 , 69.73 , 70.12 , 70.10 
4 , 5 , 2010 , 70.63 , 69.88 , 70.41 , 70.39 
4 , 6 , 2010 , 70.62 , 69.85 , 70.15 , 70.52 
4 , 7 , 2010 , 70.76 , 69.56 , 70.32 , 69.95 
4 , 8 , 2010 , 69.90 , 69.20 , 69.74 , 69.35 
4 , 9 , 2010 , 69.95 , 69.22 , 69.37 , 69.80 
4 , 12 , 2010 , 70.03 , 69.47 , 70.03 , 69.63 
4 , 13 , 2010 , 70.43 , 69.14 , 69.43 , 70.18 
4 , 14 , 2010 , 70.62 , 69.80 , 70.16 , 70.56 
4 , 15 , 2010 , 71.07 , 70.17 , 70.35 , 71.07 
4 , 16 , 2010 , 71.02 , 69.56 , 70.82 , 70.03 
4 , 19 , 2010 , 70.34 , 69.51 , 69.90 , 70.15 
4 , 20 , 2010 , 71.78 , 70.50 , 70.57 , 71.29 
4 , 21 , 2010 , 71.78 , 71.12 , 71.43 , 71.65 
4 , 22 , 2010 , 72.02 , 70.62 , 71.15 , 71.94 
4 , 23 , 2010 , 72.81 , 71.84 , 72.05 , 72.39 
4 , 26 , 2010 , 73.40 , 72.52 , 72.59 , 73.11 
4 , 27 , 2010 , 75.46 , 73.38 , 75.18 , 73.55 
4 , 28 , 2010 , 74.48 , 73.28 , 74.32 , 73.78 
4 , 29 , 2010 , 75.25 , 74.11 , 74.36 , 74.69 
4 , 30 , 2010 , 75.00 , 73.91 , 74.16 , 74.13 
5 , 3 , 2010 , 75.25 , 74.09 , 74.57 , 75.09 
5 , 4 , 2010 , 74.59 , 72.75 , 74.59 , 73.31 
5 , 5 , 2010 , 72.92 , 71.97 , 72.77 , 72.40 
5 , 6 , 2010 , 75.68 , 56.84 , 71.95 , 70.43 
5 , 7 , 2010 , 70.49 , 67.94 , 69.95 , 69.08 
5 , 10 , 2010 , 72.77 , 70.98 , 71.57 , 71.88 
5 , 11 , 2010 , 71.88 , 70.96 , 71.22 , 71.10 
5 , 12 , 2010 , 72.42 , 71.24 , 71.39 , 72.27 
5 , 13 , 2010 , 72.74 , 71.42 , 71.95 , 71.56 
5 , 14 , 2010 , 71.53 , 70.19 , 71.12 , 70.80 
5 , 17 , 2010 , 71.19 , 69.41 , 70.97 , 70.80 
5 , 18 , 2010 , 72.07 , 70.10 , 71.14 , 70.25 
5 , 19 , 2010 , 69.68 , 68.52 , 69.68 , 69.01 
5 , 20 , 2010 , 68.12 , 66.47 , 67.86 , 66.53 
5 , 21 , 2010 , 67.53 , 65.33 , 65.57 , 67.47 
5 , 24 , 2010 , 67.50 , 66.42 , 67.50 , 66.54 
5 , 25 , 2010 , 66.51 , 64.64 , 65.80 , 66.44 
5 , 26 , 2010 , 67.46 , 66.08 , 66.89 , 66.19 
5 , 27 , 2010 , 68.17 , 66.92 , 67.23 , 68.08 
5 , 28 , 2010 , 68.30 , 65.85 , 68.17 , 66.31 
6 , 1 , 2010 , 66.78 , 65.19 , 65.82 , 65.27 
6 , 2 , 2010 , 65.96 , 64.80 , 65.72 , 65.83 
6 , 3 , 2010 , 66.69 , 64.93 , 66.29 , 65.50 
6 , 4 , 2010 , 64.62 , 63.37 , 64.55 , 63.63 
6 , 7 , 2010 , 64.26 , 62.45 , 63.68 , 62.49 
6 , 8 , 2010 , 62.83 , 60.80 , 62.49 , 62.64 
6 , 9 , 2010 , 63.63 , 62.29 , 63.10 , 62.53 
6 , 10 , 2010 , 64.87 , 63.22 , 63.36 , 64.74 
6 , 11 , 2010 , 65.54 , 64.06 , 64.09 , 65.46 
6 , 14 , 2010 , 66.33 , 65.26 , 66.04 , 65.33 
6 , 15 , 2010 , 66.77 , 65.83 , 66.13 , 66.69 
6 , 16 , 2010 , 67.72 , 66.04 , 66.28 , 67.62 
6 , 17 , 2010 , 68.03 , 66.80 , 68.01 , 67.75 
6 , 18 , 2010 , 68.04 , 67.20 , 67.59 , 67.87 
6 , 21 , 2010 , 69.39 , 67.78 , 68.52 , 68.12 
6 , 22 , 2010 , 68.45 , 66.79 , 68.32 , 66.91 
6 , 23 , 2010 , 67.42 , 66.43 , 67.08 , 66.99 
6 , 24 , 2010 , 66.75 , 65.11 , 66.73 , 65.36 
6 , 25 , 2010 , 66.13 , 65.11 , 65.66 , 65.97 
6 , 28 , 2010 , 66.66 , 65.46 , 66.01 , 66.03 
6 , 29 , 2010 , 66.08 , 64.25 , 65.82 , 65.62 
6 , 30 , 2010 , 67.07 , 65.39 , 65.39 , 66.04 
7 , 1 , 2010 , 66.37 , 65.07 , 66.10 , 65.67 
7 , 2 , 2010 , 66.05 , 64.41 , 65.88 , 64.94 
7 , 6 , 2010 , 66.37 , 64.80 , 65.59 , 65.33 
7 , 7 , 2010 , 67.37 , 65.16 , 65.58 , 67.32 
7 , 8 , 2010 , 68.22 , 66.96 , 67.82 , 67.91 
7 , 9 , 2010 , 68.77 , 67.81 , 67.81 , 68.69 
7 , 12 , 2010 , 68.78 , 68.02 , 68.45 , 68.78 
7 , 13 , 2010 , 70.71 , 69.26 , 69.26 , 69.85 
7 , 14 , 2010 , 69.96 , 68.97 , 69.50 , 69.44 
7 , 15 , 2010 , 69.54 , 68.17 , 69.54 , 69.44 
7 , 16 , 2010 , 69.20 , 67.47 , 69.15 , 67.68 
7 , 19 , 2010 , 68.18 , 66.95 , 68.12 , 67.91 
7 , 20 , 2010 , 68.84 , 66.89 , 67.29 , 68.72 
7 , 21 , 2010 , 69.49 , 68.01 , 69.09 , 68.81 
7 , 22 , 2010 , 71.18 , 70.10 , 70.84 , 70.86 
7 , 23 , 2010 , 72.13 , 70.52 , 70.82 , 72.04 
7 , 26 , 2010 , 73.13 , 71.81 , 72.32 , 73.01 
7 , 27 , 2010 , 73.06 , 72.18 , 72.87 , 72.57 
7 , 28 , 2010 , 72.74 , 72.09 , 72.27 , 72.48 
7 , 29 , 2010 , 73.14 , 71.67 , 72.78 , 72.19 
7 , 30 , 2010 , 72.20 , 70.95 , 71.48 , 71.52 
8 , 2 , 2010 , 73.39 , 72.50 , 72.57 , 73.08 
8 , 3 , 2010 , 73.20 , 72.47 , 72.72 , 72.91 
8 , 4 , 2010 , 73.64 , 72.93 , 72.99 , 73.57 
8 , 5 , 2010 , 73.51 , 72.71 , 73.00 , 73.34 
8 , 6 , 2010 , 73.19 , 71.92 , 72.58 , 72.98 
8 , 9 , 2010 , 73.89 , 73.08 , 73.35 , 73.60 
8 , 10 , 2010 , 73.39 , 71.78 , 73.08 , 72.83 
8 , 11 , 2010 , 71.89 , 69.84 , 71.82 , 70.31 
8 , 12 , 2010 , 70.76 , 69.53 , 69.65 , 70.24 
8 , 13 , 2010 , 70.61 , 70.01 , 70.15 , 70.24 
8 , 16 , 2010 , 70.20 , 68.83 , 69.67 , 69.75 
8 , 17 , 2010 , 70.97 , 69.12 , 69.34 , 70.31 
8 , 18 , 2010 , 70.23 , 68.90 , 70.05 , 69.90 
8 , 19 , 2010 , 69.76 , 67.88 , 69.67 , 68.40 
8 , 20 , 2010 , 68.09 , 66.98 , 67.72 , 67.44 
8 , 23 , 2010 , 68.81 , 67.64 , 67.73 , 67.79 
8 , 24 , 2010 , 67.72 , 66.44 , 67.05 , 67.26 
8 , 25 , 2010 , 67.81 , 66.44 , 66.89 , 67.51 
8 , 26 , 2010 , 68.00 , 66.47 , 67.94 , 66.70 
8 , 27 , 2010 , 67.80 , 66.22 , 66.99 , 67.72 
8 , 30 , 2010 , 67.45 , 66.53 , 67.35 , 66.59 
8 , 31 , 2010 , 67.05 , 65.55 , 66.52 , 65.67 
9 , 1 , 2010 , 67.81 , 66.29 , 66.48 , 67.73 
9 , 2 , 2010 , 68.47 , 67.58 , 68.09 , 68.45 
9 , 3 , 2010 , 69.99 , 69.03 , 69.04 , 69.80 
9 , 7 , 2010 , 69.71 , 68.57 , 69.59 , 68.68 
9 , 8 , 2010 , 69.99 , 68.73 , 68.73 , 69.19 
9 , 9 , 2010 , 70.30 , 68.96 , 70.16 , 69.36 
9 , 10 , 2010 , 70.29 , 69.10 , 69.29 , 70.18 
9 , 13 , 2010 , 71.04 , 70.41 , 70.70 , 70.95 
9 , 14 , 2010 , 71.07 , 70.25 , 70.80 , 70.76 
9 , 15 , 2010 , 70.86 , 69.91 , 70.62 , 70.72 
9 , 16 , 2010 , 71.07 , 70.18 , 70.25 , 71.02 
9 , 17 , 2010 , 72.04 , 71.14 , 71.35 , 71.96 
9 , 20 , 2010 , 73.27 , 71.95 , 72.12 , 73.08 
9 , 21 , 2010 , 73.26 , 71.95 , 72.45 , 72.36 
9 , 22 , 2010 , 72.87 , 72.01 , 72.38 , 72.43 
9 , 23 , 2010 , 72.53 , 71.36 , 71.79 , 71.51 
9 , 24 , 2010 , 73.13 , 71.73 , 72.25 , 72.71 
9 , 27 , 2010 , 72.83 , 71.96 , 72.62 , 72.06 
9 , 28 , 2010 , 73.01 , 71.43 , 72.45 , 72.77 
9 , 29 , 2010 , 73.28 , 72.17 , 72.45 , 72.88 
9 , 30 , 2010 , 73.57 , 72.08 , 73.39 , 72.50 
10 , 1 , 2010 , 73.48 , 72.65 , 73.06 , 73.26 
10 , 4 , 2010 , 73.35 , 71.99 , 72.98 , 72.49 
10 , 5 , 2010 , 74.41 , 73.00 , 73.00 , 74.29 
10 , 6 , 2010 , 75.16 , 74.13 , 74.19 , 75.15 
10 , 7 , 2010 , 75.18 , 73.94 , 75.13 , 74.33 
10 , 8 , 2010 , 75.10 , 73.93 , 75.10 , 74.54 
10 , 11 , 2010 , 74.83 , 73.55 , 74.81 , 73.78 
10 , 12 , 2010 , 74.03 , 72.55 , 73.51 , 73.70 
10 , 13 , 2010 , 75.02 , 73.68 , 73.68 , 74.53 
10 , 14 , 2010 , 74.63 , 73.88 , 74.54 , 74.47 
10 , 15 , 2010 , 75.15 , 73.88 , 75.04 , 74.53 
10 , 18 , 2010 , 75.18 , 74.15 , 74.49 , 74.96 
10 , 19 , 2010 , 74.38 , 73.16 , 74.20 , 74.03 
10 , 20 , 2010 , 75.20 , 74.08 , 74.18 , 74.80 
10 , 21 , 2010 , 76.00 , 75.01 , 75.14 , 75.71 
10 , 22 , 2010 , 75.77 , 75.26 , 75.62 , 75.61 
10 , 25 , 2010 , 76.49 , 75.77 , 75.77 , 76.00 
10 , 26 , 2010 , 76.07 , 75.36 , 75.82 , 75.64 
10 , 27 , 2010 , 75.69 , 74.04 , 75.24 , 75.56 
10 , 28 , 2010 , 73.57 , 70.06 , 73.42 , 71.12 
10 , 29 , 2010 , 71.24 , 70.29 , 71.07 , 70.41 
11 , 1 , 2010 , 71.31 , 69.75 , 70.71 , 70.21 
11 , 2 , 2010 , 71.11 , 70.50 , 70.91 , 70.90 
11 , 3 , 2010 , 71.55 , 69.65 , 71.19 , 71.32 
11 , 4 , 2010 , 73.47 , 71.99 , 72.14 , 72.77 
11 , 5 , 2010 , 73.15 , 71.90 , 73.12 , 72.19 
11 , 8 , 2010 , 72.40 , 71.53 , 71.74 , 71.79 
11 , 9 , 2010 , 72.19 , 71.02 , 72.18 , 71.32 
11 , 10 , 2010 , 72.31 , 71.31 , 71.32 , 72.11 
11 , 11 , 2010 , 72.37 , 71.25 , 71.67 , 72.32 
11 , 12 , 2010 , 72.88 , 71.59 , 71.92 , 72.10 
