Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 3.59 , 3.52 , 3.53 , 3.55 
3 , 18 , 2010 , 3.55 , 3.51 , 3.54 , 3.52 
3 , 19 , 2010 , 3.63 , 3.48 , 3.56 , 3.58 
3 , 22 , 2010 , 3.64 , 3.53 , 3.57 , 3.57 
3 , 23 , 2010 , 3.62 , 3.58 , 3.58 , 3.61 
3 , 24 , 2010 , 3.63 , 3.60 , 3.61 , 3.60 
3 , 25 , 2010 , 3.65 , 3.60 , 3.62 , 3.61 
3 , 26 , 2010 , 3.64 , 3.58 , 3.62 , 3.60 
3 , 29 , 2010 , 3.64 , 3.57 , 3.62 , 3.59 
3 , 30 , 2010 , 3.64 , 3.56 , 3.59 , 3.61 
3 , 31 , 2010 , 3.66 , 3.59 , 3.61 , 3.62 
4 , 1 , 2010 , 3.65 , 3.60 , 3.63 , 3.63 
4 , 5 , 2010 , 3.65 , 3.62 , 3.64 , 3.63 
4 , 6 , 2010 , 3.65 , 3.60 , 3.61 , 3.64 
4 , 7 , 2010 , 3.64 , 3.54 , 3.64 , 3.55 
4 , 8 , 2010 , 3.55 , 3.50 , 3.55 , 3.50 
4 , 9 , 2010 , 3.54 , 3.47 , 3.51 , 3.54 
4 , 12 , 2010 , 3.56 , 3.45 , 3.55 , 3.50 
4 , 13 , 2010 , 3.52 , 3.49 , 3.49 , 3.51 
4 , 14 , 2010 , 3.53 , 3.50 , 3.53 , 3.53 
4 , 15 , 2010 , 3.53 , 3.48 , 3.53 , 3.48 
4 , 16 , 2010 , 3.50 , 3.46 , 3.49 , 3.47 
4 , 19 , 2010 , 3.47 , 3.42 , 3.47 , 3.46 
4 , 20 , 2010 , 3.48 , 3.41 , 3.46 , 3.44 
4 , 21 , 2010 , 3.51 , 3.42 , 3.43 , 3.44 
4 , 22 , 2010 , 3.45 , 3.40 , 3.43 , 3.44 
4 , 23 , 2010 , 3.61 , 3.44 , 3.46 , 3.59 
4 , 26 , 2010 , 3.61 , 3.57 , 3.60 , 3.59 
4 , 27 , 2010 , 3.59 , 3.55 , 3.56 , 3.55 
4 , 28 , 2010 , 3.58 , 3.55 , 3.56 , 3.57 
4 , 29 , 2010 , 3.72 , 3.58 , 3.58 , 3.70 
4 , 30 , 2010 , 3.75 , 3.67 , 3.72 , 3.68 
5 , 3 , 2010 , 3.67 , 3.60 , 3.67 , 3.65 
5 , 4 , 2010 , 3.63 , 3.56 , 3.62 , 3.62 
5 , 5 , 2010 , 3.66 , 3.57 , 3.59 , 3.60 
5 , 6 , 2010 , 3.64 , 3.16 , 3.59 , 3.55 
5 , 7 , 2010 , 3.22 , 2.85 , 2.95 , 3.11 
5 , 10 , 2010 , 3.22 , 3.08 , 3.17 , 3.22 
5 , 11 , 2010 , 3.34 , 3.19 , 3.21 , 3.33 
5 , 12 , 2010 , 3.37 , 3.30 , 3.35 , 3.36 
5 , 13 , 2010 , 3.36 , 3.25 , 3.34 , 3.27 
5 , 14 , 2010 , 3.27 , 3.22 , 3.22 , 3.25 
5 , 17 , 2010 , 3.28 , 3.19 , 3.25 , 3.25 
5 , 18 , 2010 , 3.45 , 3.30 , 3.40 , 3.32 
5 , 19 , 2010 , 3.35 , 3.28 , 3.31 , 3.29 
5 , 20 , 2010 , 3.28 , 3.21 , 3.24 , 3.22 
5 , 21 , 2010 , 3.24 , 3.16 , 3.20 , 3.19 
5 , 24 , 2010 , 3.22 , 3.18 , 3.19 , 3.19 
5 , 25 , 2010 , 3.17 , 3.10 , 3.13 , 3.13 
5 , 26 , 2010 , 3.23 , 3.11 , 3.13 , 3.17 
5 , 27 , 2010 , 3.29 , 3.21 , 3.22 , 3.27 
5 , 28 , 2010 , 3.33 , 3.25 , 3.26 , 3.25 
6 , 1 , 2010 , 3.28 , 3.21 , 3.25 , 3.21 
6 , 2 , 2010 , 3.28 , 3.19 , 3.21 , 3.28 
6 , 3 , 2010 , 3.34 , 3.27 , 3.29 , 3.31 
6 , 4 , 2010 , 3.36 , 3.26 , 3.26 , 3.30 
6 , 7 , 2010 , 3.32 , 3.25 , 3.32 , 3.25 
6 , 8 , 2010 , 3.25 , 3.11 , 3.25 , 3.16 
6 , 9 , 2010 , 3.25 , 3.17 , 3.17 , 3.20 
6 , 10 , 2010 , 3.25 , 3.21 , 3.24 , 3.23 
6 , 11 , 2010 , 3.27 , 3.13 , 3.22 , 3.24 
6 , 14 , 2010 , 3.28 , 3.20 , 3.25 , 3.24 
6 , 15 , 2010 , 3.29 , 3.22 , 3.23 , 3.27 
6 , 16 , 2010 , 3.29 , 3.24 , 3.25 , 3.25 
6 , 17 , 2010 , 3.29 , 3.24 , 3.26 , 3.27 
6 , 18 , 2010 , 3.32 , 3.25 , 3.27 , 3.29 
6 , 21 , 2010 , 3.38 , 3.30 , 3.31 , 3.33 
6 , 22 , 2010 , 3.34 , 3.28 , 3.34 , 3.29 
6 , 23 , 2010 , 3.29 , 3.24 , 3.29 , 3.27 
6 , 24 , 2010 , 3.34 , 3.23 , 3.25 , 3.30 
6 , 25 , 2010 , 3.33 , 3.27 , 3.30 , 3.31 
6 , 28 , 2010 , 3.39 , 3.29 , 3.32 , 3.37 
6 , 29 , 2010 , 3.34 , 3.28 , 3.33 , 3.29 
6 , 30 , 2010 , 3.33 , 3.26 , 3.29 , 3.26 
7 , 1 , 2010 , 3.29 , 3.17 , 3.24 , 3.27 
7 , 2 , 2010 , 3.37 , 3.28 , 3.29 , 3.34 
7 , 6 , 2010 , 3.42 , 3.35 , 3.37 , 3.40 
7 , 7 , 2010 , 3.52 , 3.41 , 3.41 , 3.47 
7 , 8 , 2010 , 3.51 , 3.44 , 3.49 , 3.50 
7 , 9 , 2010 , 3.57 , 3.48 , 3.49 , 3.56 
7 , 12 , 2010 , 3.54 , 3.42 , 3.54 , 3.45 
7 , 13 , 2010 , 3.48 , 3.44 , 3.47 , 3.46 
7 , 14 , 2010 , 3.48 , 3.44 , 3.46 , 3.48 
7 , 15 , 2010 , 3.51 , 3.46 , 3.49 , 3.51 
7 , 16 , 2010 , 3.50 , 3.42 , 3.50 , 3.42 
7 , 19 , 2010 , 3.44 , 3.37 , 3.42 , 3.43 
7 , 20 , 2010 , 3.53 , 3.38 , 3.39 , 3.52 
7 , 21 , 2010 , 3.57 , 3.51 , 3.53 , 3.54 
7 , 22 , 2010 , 3.62 , 3.55 , 3.57 , 3.58 
7 , 23 , 2010 , 3.60 , 3.56 , 3.58 , 3.58 
7 , 26 , 2010 , 3.60 , 3.56 , 3.58 , 3.60 
7 , 27 , 2010 , 3.62 , 3.58 , 3.61 , 3.59 
7 , 28 , 2010 , 3.59 , 3.48 , 3.58 , 3.49 
7 , 29 , 2010 , 3.55 , 3.43 , 3.52 , 3.48 
7 , 30 , 2010 , 3.51 , 3.43 , 3.46 , 3.49 
8 , 2 , 2010 , 3.54 , 3.47 , 3.54 , 3.49 
8 , 3 , 2010 , 3.53 , 3.47 , 3.49 , 3.49 
8 , 4 , 2010 , 3.52 , 3.47 , 3.51 , 3.48 
8 , 5 , 2010 , 3.48 , 3.40 , 3.46 , 3.46 
8 , 6 , 2010 , 3.75 , 3.60 , 3.66 , 3.72 
8 , 9 , 2010 , 3.82 , 3.72 , 3.73 , 3.79 
8 , 10 , 2010 , 3.79 , 3.71 , 3.73 , 3.78 
8 , 11 , 2010 , 3.75 , 3.71 , 3.72 , 3.72 
8 , 12 , 2010 , 3.74 , 3.64 , 3.67 , 3.72 
8 , 13 , 2010 , 3.76 , 3.69 , 3.71 , 3.69 
8 , 16 , 2010 , 3.71 , 3.65 , 3.68 , 3.70 
8 , 17 , 2010 , 3.79 , 3.71 , 3.71 , 3.76 
8 , 18 , 2010 , 3.81 , 3.73 , 3.75 , 3.78 
8 , 19 , 2010 , 3.82 , 3.75 , 3.78 , 3.80 
8 , 20 , 2010 , 3.82 , 3.76 , 3.78 , 3.81 
8 , 23 , 2010 , 3.89 , 3.80 , 3.82 , 3.84 
8 , 24 , 2010 , 3.83 , 3.76 , 3.80 , 3.78 
8 , 25 , 2010 , 3.78 , 3.70 , 3.77 , 3.74 
8 , 26 , 2010 , 3.76 , 3.72 , 3.76 , 3.74 
8 , 27 , 2010 , 3.83 , 3.73 , 3.77 , 3.82 
8 , 30 , 2010 , 3.83 , 3.74 , 3.80 , 3.75 
8 , 31 , 2010 , 3.77 , 3.72 , 3.73 , 3.75 
