Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 20.46 , 20.23 , 20.45 , 20.33 
3 , 18 , 2010 , 20.48 , 20.35 , 20.35 , 20.46 
3 , 19 , 2010 , 20.55 , 20.25 , 20.45 , 20.34 
3 , 22 , 2010 , 20.48 , 20.23 , 20.31 , 20.44 
3 , 23 , 2010 , 20.54 , 20.36 , 20.45 , 20.52 
3 , 24 , 2010 , 20.52 , 20.40 , 20.52 , 20.47 
3 , 25 , 2010 , 20.60 , 20.47 , 20.49 , 20.52 
3 , 26 , 2010 , 20.59 , 20.37 , 20.53 , 20.42 
3 , 29 , 2010 , 20.69 , 20.46 , 20.50 , 20.65 
3 , 30 , 2010 , 20.73 , 20.51 , 20.69 , 20.65 
3 , 31 , 2010 , 20.65 , 20.46 , 20.60 , 20.52 
4 , 1 , 2010 , 20.84 , 20.54 , 20.54 , 20.83 
4 , 5 , 2010 , 20.97 , 20.84 , 20.89 , 20.92 
4 , 6 , 2010 , 21.03 , 20.90 , 20.93 , 20.98 
4 , 7 , 2010 , 21.03 , 20.67 , 21.03 , 20.79 
4 , 8 , 2010 , 20.79 , 20.64 , 20.68 , 20.68 
4 , 9 , 2010 , 20.96 , 20.70 , 20.95 , 20.93 
4 , 12 , 2010 , 21.20 , 20.94 , 20.96 , 21.10 
4 , 13 , 2010 , 21.15 , 20.88 , 21.05 , 21.10 
4 , 14 , 2010 , 21.16 , 20.97 , 21.10 , 21.16 
4 , 15 , 2010 , 21.12 , 21.00 , 21.08 , 21.10 
4 , 16 , 2010 , 21.16 , 20.75 , 21.02 , 20.87 
4 , 19 , 2010 , 20.93 , 20.80 , 20.80 , 20.93 
4 , 20 , 2010 , 21.20 , 20.95 , 21.00 , 21.17 
4 , 21 , 2010 , 21.61 , 21.25 , 21.30 , 21.46 
4 , 22 , 2010 , 21.46 , 21.20 , 21.40 , 21.28 
4 , 23 , 2010 , 21.39 , 21.12 , 21.31 , 21.36 
4 , 26 , 2010 , 21.44 , 21.17 , 21.39 , 21.25 
4 , 27 , 2010 , 21.25 , 20.91 , 21.25 , 20.92 
4 , 28 , 2010 , 21.11 , 20.91 , 21.08 , 21.02 
4 , 29 , 2010 , 21.30 , 21.07 , 21.08 , 21.18 
4 , 30 , 2010 , 21.48 , 21.18 , 21.23 , 21.19 
5 , 3 , 2010 , 21.50 , 21.22 , 21.28 , 21.40 
5 , 4 , 2010 , 21.40 , 21.20 , 21.29 , 21.26 
5 , 5 , 2010 , 21.46 , 21.11 , 21.15 , 21.22 
5 , 6 , 2010 , 21.20 , 19.20 , 21.11 , 20.75 
5 , 7 , 2010 , 20.84 , 20.36 , 20.67 , 20.76 
5 , 10 , 2010 , 21.60 , 21.03 , 21.31 , 21.58 
5 , 11 , 2010 , 21.74 , 21.37 , 21.48 , 21.59 
5 , 12 , 2010 , 21.77 , 21.48 , 21.74 , 21.67 
5 , 13 , 2010 , 21.80 , 21.58 , 21.72 , 21.63 
5 , 14 , 2010 , 21.75 , 21.50 , 21.58 , 21.61 
5 , 17 , 2010 , 21.91 , 21.57 , 21.64 , 21.70 
5 , 18 , 2010 , 21.80 , 21.34 , 21.77 , 21.37 
5 , 19 , 2010 , 21.37 , 21.07 , 21.23 , 21.31 
5 , 20 , 2010 , 21.10 , 20.67 , 21.09 , 20.67 
5 , 21 , 2010 , 21.03 , 20.20 , 20.45 , 21.01 
5 , 24 , 2010 , 21.10 , 20.79 , 20.93 , 20.85 
5 , 25 , 2010 , 20.59 , 20.15 , 20.35 , 20.40 
5 , 26 , 2010 , 20.69 , 20.14 , 20.66 , 20.16 
5 , 27 , 2010 , 20.63 , 20.31 , 20.45 , 20.54 
5 , 28 , 2010 , 20.65 , 20.25 , 20.60 , 20.29 
6 , 1 , 2010 , 20.42 , 20.07 , 20.25 , 20.12 
6 , 2 , 2010 , 20.40 , 20.16 , 20.25 , 20.38 
6 , 3 , 2010 , 20.60 , 20.40 , 20.52 , 20.59 
6 , 4 , 2010 , 20.47 , 19.97 , 20.43 , 20.02 
6 , 7 , 2010 , 20.22 , 19.82 , 20.16 , 19.82 
6 , 8 , 2010 , 20.27 , 19.82 , 19.93 , 20.20 
6 , 9 , 2010 , 20.37 , 20.01 , 20.28 , 20.05 
6 , 10 , 2010 , 20.46 , 20.25 , 20.30 , 20.32 
6 , 11 , 2010 , 20.10 , 19.68 , 19.90 , 20.08 
6 , 14 , 2010 , 20.25 , 19.57 , 20.25 , 19.57 
6 , 15 , 2010 , 19.92 , 19.60 , 19.69 , 19.91 
6 , 16 , 2010 , 19.91 , 19.75 , 19.78 , 19.83 
6 , 17 , 2010 , 20.01 , 19.76 , 19.80 , 19.99 
6 , 18 , 2010 , 20.08 , 19.95 , 20.01 , 20.02 
6 , 21 , 2010 , 20.23 , 20.00 , 20.17 , 20.06 
6 , 22 , 2010 , 20.15 , 19.78 , 20.05 , 19.85 
6 , 23 , 2010 , 19.93 , 19.71 , 19.86 , 19.77 
6 , 24 , 2010 , 19.87 , 19.59 , 19.73 , 19.62 
6 , 25 , 2010 , 19.77 , 19.53 , 19.67 , 19.70 
