Month , Day , Year , High , Low , Open , Close
9 , 2 , 2011 , 18.50 , 17.56 , 18.00 , 17.71 
9 , 6 , 2011 , 17.70 , 16.65 , 16.94 , 17.50 
9 , 7 , 2011 , 18.47 , 17.63 , 17.79 , 18.15 
9 , 8 , 2011 , 19.08 , 17.79 , 17.81 , 18.87 
9 , 9 , 2011 , 18.89 , 17.97 , 18.31 , 18.18 
9 , 12 , 2011 , 18.44 , 17.45 , 17.67 , 18.33 
9 , 13 , 2011 , 18.31 , 17.22 , 18.15 , 17.67 
9 , 14 , 2011 , 17.66 , 17.23 , 17.57 , 17.52 
9 , 15 , 2011 , 18.48 , 17.62 , 17.94 , 17.71 
9 , 16 , 2011 , 17.84 , 17.43 , 17.73 , 17.55 
9 , 19 , 2011 , 17.28 , 16.55 , 17.09 , 16.78 
9 , 20 , 2011 , 17.12 , 16.75 , 16.85 , 16.85 
9 , 21 , 2011 , 17.23 , 16.17 , 16.68 , 16.20 
9 , 22 , 2011 , 15.70 , 14.42 , 15.47 , 14.74 
9 , 23 , 2011 , 15.16 , 14.53 , 14.59 , 14.77 
9 , 26 , 2011 , 15.18 , 14.75 , 14.95 , 15.05 
9 , 27 , 2011 , 15.91 , 14.85 , 15.42 , 14.92 
9 , 28 , 2011 , 15.32 , 14.46 , 14.99 , 14.49 
9 , 29 , 2011 , 14.93 , 13.18 , 14.71 , 13.92 
9 , 30 , 2011 , 13.97 , 13.42 , 13.69 , 13.53 
10 , 3 , 2011 , 13.90 , 13.31 , 13.46 , 13.58 
10 , 4 , 2011 , 14.41 , 13.34 , 13.36 , 14.38 
10 , 5 , 2011 , 15.89 , 14.27 , 14.75 , 15.74 
10 , 6 , 2011 , 16.68 , 15.55 , 15.70 , 16.65 
10 , 7 , 2011 , 16.99 , 15.63 , 16.99 , 15.80 
10 , 10 , 2011 , 16.74 , 16.04 , 16.04 , 16.49 
10 , 11 , 2011 , 16.81 , 16.22 , 16.36 , 16.58 
10 , 12 , 2011 , 17.07 , 16.64 , 16.78 , 16.79 
10 , 13 , 2011 , 16.95 , 16.42 , 16.67 , 16.89 
10 , 14 , 2011 , 18.10 , 17.18 , 17.21 , 18.07 
10 , 17 , 2011 , 18.24 , 17.43 , 18.02 , 17.47 
10 , 18 , 2011 , 18.27 , 17.09 , 17.39 , 18.10 
10 , 19 , 2011 , 18.53 , 17.73 , 18.10 , 17.80 
10 , 20 , 2011 , 18.33 , 17.65 , 17.86 , 18.25 
10 , 21 , 2011 , 18.84 , 18.25 , 18.46 , 18.68 
10 , 24 , 2011 , 19.24 , 17.77 , 18.78 , 17.93 
10 , 25 , 2011 , 17.33 , 15.71 , 17.30 , 16.49 
10 , 26 , 2011 , 17.48 , 16.60 , 16.91 , 17.37 
10 , 27 , 2011 , 18.86 , 17.64 , 18.04 , 18.67 
10 , 28 , 2011 , 18.81 , 18.13 , 18.52 , 18.66 
