Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 36.32 , 35.81 , 36.21 , 36.30 
3 , 18 , 2010 , 36.66 , 36.11 , 36.29 , 36.65 
3 , 19 , 2010 , 37.02 , 36.08 , 36.81 , 36.28 
3 , 22 , 2010 , 37.22 , 36.25 , 36.30 , 36.51 
3 , 23 , 2010 , 36.94 , 36.46 , 36.77 , 36.70 
3 , 24 , 2010 , 36.71 , 36.20 , 36.63 , 36.23 
3 , 25 , 2010 , 36.55 , 36.00 , 36.54 , 36.01 
3 , 26 , 2010 , 36.17 , 35.60 , 36.05 , 35.68 
3 , 29 , 2010 , 36.23 , 35.82 , 35.82 , 36.12 
3 , 30 , 2010 , 36.19 , 35.76 , 36.08 , 35.90 
3 , 31 , 2010 , 35.83 , 35.33 , 35.74 , 35.60 
4 , 1 , 2010 , 36.11 , 35.75 , 35.88 , 35.95 
4 , 5 , 2010 , 36.20 , 35.58 , 36.17 , 35.64 
4 , 6 , 2010 , 35.78 , 35.43 , 35.78 , 35.51 
4 , 7 , 2010 , 35.66 , 34.85 , 35.63 , 35.07 
4 , 8 , 2010 , 35.29 , 34.91 , 35.12 , 35.06 
4 , 9 , 2010 , 35.51 , 35.06 , 35.08 , 35.24 
4 , 12 , 2010 , 35.36 , 35.08 , 35.32 , 35.13 
4 , 13 , 2010 , 35.20 , 34.87 , 34.98 , 34.98 
4 , 14 , 2010 , 35.02 , 34.33 , 35.02 , 34.52 
4 , 15 , 2010 , 34.79 , 34.28 , 34.53 , 34.36 
4 , 16 , 2010 , 34.48 , 33.72 , 34.31 , 34.04 
4 , 19 , 2010 , 34.30 , 33.64 , 34.01 , 34.22 
4 , 20 , 2010 , 34.70 , 34.19 , 34.36 , 34.37 
4 , 21 , 2010 , 34.49 , 33.08 , 34.40 , 33.12 
4 , 22 , 2010 , 33.03 , 32.18 , 32.95 , 32.19 
4 , 23 , 2010 , 34.09 , 31.97 , 32.26 , 33.80 
4 , 26 , 2010 , 34.28 , 33.27 , 33.92 , 33.36 
4 , 27 , 2010 , 33.82 , 32.80 , 33.22 , 32.87 
4 , 28 , 2010 , 33.17 , 32.60 , 32.89 , 32.94 
4 , 29 , 2010 , 33.95 , 33.34 , 33.34 , 33.60 
4 , 30 , 2010 , 34.13 , 33.39 , 33.68 , 33.40 
5 , 3 , 2010 , 33.77 , 33.40 , 33.64 , 33.62 
5 , 4 , 2010 , 34.66 , 33.94 , 33.94 , 34.14 
5 , 5 , 2010 , 34.10 , 33.27 , 33.76 , 33.93 
5 , 6 , 2010 , 33.92 , 29.27 , 33.75 , 32.67 
5 , 7 , 2010 , 32.62 , 31.41 , 32.32 , 31.92 
5 , 10 , 2010 , 33.23 , 32.31 , 32.33 , 32.65 
5 , 11 , 2010 , 32.52 , 31.49 , 31.79 , 31.94 
5 , 12 , 2010 , 32.45 , 31.87 , 32.38 , 32.07 
5 , 13 , 2010 , 32.17 , 31.56 , 32.11 , 31.75 
5 , 14 , 2010 , 31.79 , 31.15 , 31.79 , 31.34 
5 , 17 , 2010 , 31.51 , 30.68 , 31.38 , 31.25 
5 , 18 , 2010 , 31.46 , 30.79 , 31.43 , 30.84 
5 , 19 , 2010 , 31.36 , 30.57 , 30.69 , 31.10 
5 , 20 , 2010 , 31.03 , 30.27 , 30.72 , 30.33 
5 , 21 , 2010 , 30.65 , 29.59 , 29.74 , 30.54 
5 , 24 , 2010 , 30.80 , 30.13 , 30.38 , 30.37 
5 , 25 , 2010 , 30.58 , 29.65 , 29.84 , 30.56 
5 , 26 , 2010 , 31.31 , 30.35 , 30.49 , 30.90 
5 , 27 , 2010 , 32.10 , 31.25 , 31.38 , 32.05 
5 , 28 , 2010 , 32.53 , 31.93 , 32.07 , 32.12 
6 , 1 , 2010 , 32.43 , 31.75 , 31.87 , 31.96 
6 , 2 , 2010 , 32.77 , 31.96 , 32.06 , 32.75 
6 , 3 , 2010 , 32.94 , 32.40 , 32.82 , 32.69 
6 , 4 , 2010 , 32.33 , 31.45 , 32.27 , 31.62 
6 , 7 , 2010 , 31.95 , 31.55 , 31.64 , 31.75 
6 , 8 , 2010 , 32.29 , 31.55 , 31.79 , 32.23 
6 , 9 , 2010 , 32.53 , 31.92 , 32.28 , 32.13 
6 , 10 , 2010 , 33.15 , 32.40 , 32.54 , 33.03 
6 , 11 , 2010 , 33.46 , 32.63 , 32.74 , 33.23 
6 , 14 , 2010 , 33.60 , 33.32 , 33.41 , 33.38 
6 , 15 , 2010 , 34.36 , 33.39 , 33.44 , 34.34 
6 , 16 , 2010 , 34.49 , 34.03 , 34.04 , 34.33 
6 , 17 , 2010 , 34.56 , 33.65 , 34.45 , 34.18 
