Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 30.67 , 30.06 , 30.53 , 30.28 
3 , 18 , 2010 , 30.36 , 29.70 , 30.20 , 30.08 
3 , 19 , 2010 , 30.21 , 29.50 , 30.14 , 29.63 
3 , 22 , 2010 , 29.74 , 29.08 , 29.30 , 29.60 
3 , 23 , 2010 , 29.74 , 29.35 , 29.63 , 29.53 
3 , 24 , 2010 , 29.68 , 29.26 , 29.42 , 29.37 
3 , 25 , 2010 , 29.79 , 28.87 , 29.54 , 28.91 
3 , 26 , 2010 , 29.22 , 28.58 , 29.08 , 28.85 
3 , 29 , 2010 , 29.60 , 29.00 , 29.28 , 29.43 
3 , 30 , 2010 , 29.46 , 28.82 , 29.31 , 29.21 
3 , 31 , 2010 , 29.51 , 28.80 , 28.95 , 29.29 
4 , 1 , 2010 , 29.87 , 29.09 , 29.46 , 29.20 
4 , 5 , 2010 , 29.49 , 29.13 , 29.28 , 29.29 
4 , 6 , 2010 , 29.62 , 28.96 , 29.25 , 29.36 
4 , 7 , 2010 , 30.37 , 29.25 , 29.31 , 30.02 
4 , 8 , 2010 , 30.95 , 29.73 , 29.90 , 30.88 
4 , 9 , 2010 , 31.45 , 30.75 , 31.10 , 30.98 
4 , 12 , 2010 , 31.31 , 30.75 , 31.14 , 30.93 
4 , 13 , 2010 , 30.99 , 30.40 , 30.83 , 30.48 
4 , 14 , 2010 , 31.45 , 30.50 , 30.95 , 31.14 
4 , 15 , 2010 , 31.21 , 30.73 , 31.11 , 30.88 
4 , 16 , 2010 , 30.79 , 28.67 , 30.75 , 29.16 
4 , 19 , 2010 , 29.89 , 28.76 , 28.90 , 29.56 
4 , 20 , 2010 , 30.52 , 29.44 , 29.83 , 30.45 
4 , 21 , 2010 , 32.29 , 31.09 , 31.38 , 31.68 
4 , 22 , 2010 , 32.10 , 30.89 , 31.14 , 31.90 
4 , 23 , 2010 , 32.16 , 31.62 , 31.97 , 31.94 
4 , 26 , 2010 , 31.96 , 30.76 , 31.88 , 30.94 
4 , 27 , 2010 , 31.23 , 29.76 , 30.61 , 29.93 
4 , 28 , 2010 , 30.90 , 29.95 , 30.27 , 30.33 
4 , 29 , 2010 , 31.76 , 30.43 , 30.65 , 31.31 
4 , 30 , 2010 , 31.08 , 30.20 , 30.99 , 30.22 
5 , 3 , 2010 , 30.60 , 29.80 , 30.25 , 30.43 
5 , 4 , 2010 , 30.05 , 29.33 , 30.00 , 29.49 
5 , 5 , 2010 , 29.60 , 28.75 , 28.97 , 29.29 
5 , 6 , 2010 , 29.27 , 26.31 , 29.00 , 27.64 
5 , 7 , 2010 , 28.24 , 26.96 , 27.83 , 27.75 
5 , 10 , 2010 , 29.43 , 28.32 , 29.03 , 28.86 
5 , 11 , 2010 , 28.99 , 28.18 , 28.39 , 28.38 
5 , 12 , 2010 , 27.90 , 26.86 , 27.34 , 27.80 
5 , 13 , 2010 , 28.36 , 27.61 , 28.07 , 27.62 
5 , 14 , 2010 , 27.25 , 26.76 , 27.20 , 27.08 
5 , 17 , 2010 , 27.26 , 26.51 , 27.04 , 27.11 
5 , 18 , 2010 , 27.44 , 26.46 , 27.44 , 26.73 
5 , 19 , 2010 , 27.25 , 26.41 , 26.59 , 27.04 
