Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 29.87 , 29.40 , 29.50 , 29.63 
3 , 18 , 2010 , 29.72 , 29.50 , 29.63 , 29.61 
3 , 19 , 2010 , 29.90 , 29.35 , 29.76 , 29.59 
3 , 22 , 2010 , 29.70 , 29.39 , 29.50 , 29.60 
3 , 23 , 2010 , 29.90 , 29.41 , 29.59 , 29.88 
3 , 24 , 2010 , 29.85 , 29.60 , 29.72 , 29.65 
3 , 25 , 2010 , 30.57 , 29.80 , 29.83 , 30.01 
3 , 26 , 2010 , 30.20 , 29.59 , 30.09 , 29.66 
3 , 29 , 2010 , 29.82 , 29.55 , 29.71 , 29.59 
3 , 30 , 2010 , 29.86 , 29.50 , 29.63 , 29.77 
3 , 31 , 2010 , 29.72 , 29.17 , 29.64 , 29.29 
4 , 1 , 2010 , 29.54 , 28.62 , 29.35 , 29.16 
4 , 5 , 2010 , 29.43 , 29.03 , 29.13 , 29.27 
4 , 6 , 2010 , 29.58 , 28.98 , 29.15 , 29.32 
4 , 7 , 2010 , 29.56 , 29.14 , 29.16 , 29.35 
4 , 8 , 2010 , 29.98 , 29.30 , 29.32 , 29.92 
4 , 9 , 2010 , 30.41 , 29.90 , 29.95 , 30.34 
4 , 12 , 2010 , 30.49 , 30.21 , 30.25 , 30.32 
4 , 13 , 2010 , 30.50 , 30.13 , 30.15 , 30.45 
4 , 14 , 2010 , 31.00 , 30.66 , 30.79 , 30.82 
4 , 15 , 2010 , 30.95 , 30.71 , 30.82 , 30.87 
4 , 16 , 2010 , 30.98 , 30.60 , 30.79 , 30.67 
4 , 19 , 2010 , 31.25 , 30.76 , 30.77 , 31.04 
4 , 20 , 2010 , 31.44 , 31.13 , 31.22 , 31.36 
4 , 21 , 2010 , 31.50 , 31.23 , 31.33 , 31.33 
4 , 22 , 2010 , 31.53 , 30.90 , 31.04 , 31.39 
4 , 23 , 2010 , 31.58 , 30.65 , 31.12 , 30.96 
4 , 26 , 2010 , 31.28 , 30.86 , 31.00 , 31.11 
4 , 27 , 2010 , 31.25 , 30.75 , 30.95 , 30.85 
4 , 28 , 2010 , 31.00 , 30.62 , 30.92 , 30.91 
4 , 29 , 2010 , 31.43 , 30.67 , 30.93 , 31.00 
4 , 30 , 2010 , 31.08 , 30.52 , 31.07 , 30.54 
5 , 3 , 2010 , 31.06 , 30.58 , 30.67 , 30.86 
5 , 4 , 2010 , 30.55 , 29.75 , 30.52 , 30.13 
5 , 5 , 2010 , 30.09 , 29.69 , 29.79 , 29.85 
5 , 6 , 2010 , 29.88 , 27.91 , 29.59 , 28.98 
5 , 7 , 2010 , 28.95 , 27.32 , 28.93 , 28.21 
5 , 10 , 2010 , 29.48 , 28.71 , 29.01 , 28.94 
5 , 11 , 2010 , 29.45 , 28.57 , 28.68 , 28.88 
5 , 12 , 2010 , 29.58 , 28.92 , 28.99 , 29.44 
5 , 13 , 2010 , 29.73 , 29.18 , 29.26 , 29.24 
5 , 14 , 2010 , 29.21 , 28.64 , 29.20 , 28.93 
5 , 17 , 2010 , 29.23 , 28.45 , 29.12 , 28.94 
5 , 18 , 2010 , 29.00 , 28.40 , 28.87 , 28.60 
5 , 19 , 2010 , 28.69 , 27.79 , 28.52 , 28.24 
5 , 20 , 2010 , 27.84 , 27.04 , 27.65 , 27.11 
5 , 21 , 2010 , 27.11 , 26.44 , 26.63 , 26.84 
5 , 24 , 2010 , 26.86 , 26.26 , 26.85 , 26.27 
5 , 25 , 2010 , 26.33 , 25.38 , 25.65 , 26.07 
5 , 26 , 2010 , 26.61 , 24.56 , 26.23 , 25.01 
5 , 27 , 2010 , 26.36 , 25.73 , 25.73 , 26.00 
5 , 28 , 2010 , 26.12 , 25.66 , 25.84 , 25.80 
6 , 1 , 2010 , 26.31 , 25.52 , 25.53 , 25.89 
6 , 2 , 2010 , 26.48 , 25.73 , 26.06 , 26.46 
6 , 3 , 2010 , 26.93 , 26.41 , 26.55 , 26.86 
6 , 4 , 2010 , 26.57 , 25.62 , 26.10 , 25.79 
6 , 7 , 2010 , 25.83 , 25.24 , 25.82 , 25.29 
6 , 8 , 2010 , 25.26 , 24.65 , 25.24 , 25.11 
