Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 25.47 , 24.00 , 25.40 , 24.42 
3 , 18 , 2010 , 25.33 , 24.07 , 24.28 , 24.98 
3 , 19 , 2010 , 25.47 , 23.23 , 25.19 , 23.79 
3 , 22 , 2010 , 24.84 , 23.30 , 23.37 , 24.35 
3 , 23 , 2010 , 25.40 , 24.42 , 24.70 , 24.98 
3 , 24 , 2010 , 25.05 , 24.21 , 24.84 , 24.28 
3 , 25 , 2010 , 26.10 , 24.14 , 24.98 , 24.21 
3 , 26 , 2010 , 24.98 , 23.58 , 24.00 , 23.72 
3 , 29 , 2010 , 24.56 , 23.79 , 24.07 , 24.14 
3 , 30 , 2010 , 24.63 , 23.44 , 24.14 , 23.93 
3 , 31 , 2010 , 24.00 , 22.60 , 23.51 , 22.67 
4 , 1 , 2010 , 23.86 , 22.53 , 23.23 , 22.95 
4 , 5 , 2010 , 23.79 , 22.39 , 23.02 , 23.65 
4 , 6 , 2010 , 25.12 , 23.09 , 23.16 , 24.49 
4 , 7 , 2010 , 24.63 , 23.93 , 24.21 , 24.14 
4 , 8 , 2010 , 25.68 , 23.58 , 23.93 , 25.54 
4 , 9 , 2010 , 25.54 , 24.91 , 25.47 , 25.26 
4 , 12 , 2010 , 26.10 , 24.91 , 25.12 , 25.47 
4 , 13 , 2010 , 26.00 , 24.84 , 25.33 , 25.40 
4 , 14 , 2010 , 27.78 , 25.75 , 25.89 , 27.22 
4 , 15 , 2010 , 27.78 , 26.52 , 26.80 , 26.66 
4 , 16 , 2010 , 26.31 , 23.79 , 26.24 , 24.70 
4 , 19 , 2010 , 25.61 , 24.28 , 24.42 , 25.26 
4 , 20 , 2010 , 25.75 , 24.63 , 25.40 , 25.47 
4 , 21 , 2010 , 25.33 , 24.42 , 25.26 , 24.91 
4 , 22 , 2010 , 23.93 , 22.39 , 23.86 , 23.09 
4 , 23 , 2010 , 24.56 , 22.95 , 23.23 , 23.16 
4 , 26 , 2010 , 23.93 , 22.74 , 23.51 , 23.65 
4 , 27 , 2010 , 23.51 , 21.69 , 23.16 , 21.90 
4 , 28 , 2010 , 22.25 , 20.71 , 21.34 , 21.97 
4 , 29 , 2010 , 26.10 , 23.16 , 25.54 , 23.65 
4 , 30 , 2010 , 24.07 , 22.39 , 23.65 , 23.02 
5 , 3 , 2010 , 23.86 , 22.25 , 23.72 , 23.23 
5 , 4 , 2010 , 23.30 , 21.90 , 22.88 , 22.25 
5 , 5 , 2010 , 22.60 , 21.13 , 22.11 , 21.62 
5 , 6 , 2010 , 22.46 , 17.28 , 21.48 , 20.29 
5 , 7 , 2010 , 20.85 , 18.89 , 20.01 , 19.73 
5 , 10 , 2010 , 22.32 , 21.20 , 21.62 , 22.11 
5 , 11 , 2010 , 23.37 , 21.62 , 21.76 , 22.46 
5 , 12 , 2010 , 23.23 , 22.25 , 22.46 , 22.39 
5 , 13 , 2010 , 22.25 , 21.20 , 22.04 , 21.41 
5 , 14 , 2010 , 21.34 , 20.36 , 21.27 , 21.06 
5 , 17 , 2010 , 21.62 , 20.64 , 20.78 , 21.48 
5 , 18 , 2010 , 22.32 , 20.78 , 22.04 , 20.99 
5 , 19 , 2010 , 21.83 , 20.50 , 20.92 , 21.20 
5 , 20 , 2010 , 21.62 , 19.80 , 20.22 , 20.43 
5 , 21 , 2010 , 21.83 , 19.52 , 19.80 , 21.41 
5 , 24 , 2010 , 21.48 , 20.50 , 20.71 , 20.64 
5 , 25 , 2010 , 20.85 , 19.10 , 19.80 , 20.78 
5 , 26 , 2010 , 22.25 , 20.43 , 20.57 , 20.85 
5 , 27 , 2010 , 22.04 , 21.41 , 21.76 , 21.97 
5 , 28 , 2010 , 22.11 , 21.06 , 21.90 , 21.48 
6 , 1 , 2010 , 21.90 , 20.36 , 20.92 , 20.43 
6 , 2 , 2010 , 21.62 , 20.64 , 20.85 , 21.48 
6 , 3 , 2010 , 21.69 , 20.78 , 21.34 , 21.62 
6 , 4 , 2010 , 21.27 , 20.01 , 20.99 , 20.45 
6 , 7 , 2010 , 20.71 , 19.31 , 20.43 , 19.52 
6 , 8 , 2010 , 20.29 , 19.17 , 19.24 , 20.15 
6 , 9 , 2010 , 21.20 , 20.01 , 20.22 , 20.29 
6 , 10 , 2010 , 22.74 , 20.57 , 20.99 , 21.41 
6 , 11 , 2010 , 23.86 , 20.85 , 21.41 , 23.30 
6 , 14 , 2010 , 23.86 , 22.18 , 23.72 , 22.25 
6 , 15 , 2010 , 23.72 , 22.46 , 22.60 , 22.95 
6 , 16 , 2010 , 23.72 , 22.11 , 22.11 , 23.30 
6 , 17 , 2010 , 23.86 , 22.46 , 23.23 , 23.86 
6 , 18 , 2010 , 24.35 , 23.37 , 23.72 , 24.35 
6 , 21 , 2010 , 25.19 , 23.44 , 24.70 , 23.72 
6 , 22 , 2010 , 24.77 , 23.44 , 23.58 , 23.93 
6 , 23 , 2010 , 25.05 , 22.95 , 23.79 , 24.63 
6 , 24 , 2010 , 24.21 , 22.25 , 24.14 , 22.46 
6 , 25 , 2010 , 23.72 , 22.18 , 22.67 , 23.02 
6 , 28 , 2010 , 23.86 , 22.88 , 23.44 , 23.02 
6 , 29 , 2010 , 22.60 , 20.64 , 22.60 , 21.13 
6 , 30 , 2010 , 21.62 , 19.03 , 21.06 , 19.17 
