Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 10.51 , 10.23 , 10.33 , 10.40 
3 , 18 , 2010 , 10.40 , 10.05 , 10.30 , 10.16 
3 , 19 , 2010 , 10.27 , 9.95 , 10.27 , 9.95 
3 , 22 , 2010 , 10.36 , 9.75 , 9.83 , 10.33 
3 , 23 , 2010 , 10.57 , 10.34 , 10.40 , 10.54 
3 , 24 , 2010 , 10.63 , 10.37 , 10.62 , 10.43 
3 , 25 , 2010 , 10.79 , 10.35 , 10.67 , 10.38 
3 , 26 , 2010 , 10.73 , 10.26 , 10.54 , 10.49 
3 , 29 , 2010 , 10.79 , 10.58 , 10.66 , 10.63 
3 , 30 , 2010 , 10.90 , 10.67 , 10.72 , 10.79 
3 , 31 , 2010 , 10.75 , 10.36 , 10.72 , 10.37 
4 , 1 , 2010 , 11.05 , 10.11 , 11.03 , 10.17 
4 , 5 , 2010 , 10.64 , 10.25 , 10.37 , 10.60 
4 , 6 , 2010 , 10.64 , 10.21 , 10.63 , 10.23 
4 , 7 , 2010 , 10.65 , 10.13 , 10.23 , 10.56 
4 , 8 , 2010 , 10.68 , 10.37 , 10.53 , 10.58 
4 , 9 , 2010 , 10.82 , 10.65 , 10.71 , 10.73 
4 , 12 , 2010 , 10.95 , 10.58 , 10.75 , 10.82 
4 , 13 , 2010 , 10.85 , 10.63 , 10.79 , 10.76 
4 , 14 , 2010 , 11.40 , 10.99 , 11.05 , 11.30 
4 , 15 , 2010 , 11.38 , 11.12 , 11.21 , 11.18 
4 , 16 , 2010 , 11.10 , 10.69 , 11.09 , 10.92 
4 , 19 , 2010 , 11.00 , 10.48 , 10.81 , 10.79 
4 , 20 , 2010 , 10.97 , 10.67 , 10.87 , 10.75 
4 , 21 , 2010 , 11.08 , 10.55 , 10.94 , 10.74 
4 , 22 , 2010 , 11.01 , 10.41 , 10.61 , 10.93 
4 , 23 , 2010 , 11.01 , 10.75 , 10.98 , 11.00 
4 , 26 , 2010 , 11.03 , 10.88 , 10.97 , 10.97 
4 , 27 , 2010 , 10.85 , 10.28 , 10.84 , 10.34 
4 , 28 , 2010 , 10.48 , 9.72 , 10.42 , 10.24 
4 , 29 , 2010 , 10.41 , 10.05 , 10.41 , 10.21 
4 , 30 , 2010 , 10.15 , 9.33 , 10.14 , 9.35 
5 , 3 , 2010 , 9.94 , 9.42 , 9.42 , 9.89 
5 , 4 , 2010 , 9.67 , 9.31 , 9.65 , 9.52 
5 , 5 , 2010 , 9.49 , 8.98 , 9.30 , 9.26 
5 , 6 , 2010 , 9.44 , 7.32 , 9.29 , 8.75 
5 , 7 , 2010 , 8.80 , 8.04 , 8.80 , 8.57 
5 , 10 , 2010 , 9.25 , 8.83 , 9.20 , 9.09 
5 , 11 , 2010 , 9.07 , 8.72 , 8.88 , 8.82 
5 , 12 , 2010 , 9.39 , 8.87 , 8.90 , 9.33 
5 , 13 , 2010 , 9.46 , 9.08 , 9.32 , 9.14 
5 , 14 , 2010 , 9.07 , 8.75 , 8.96 , 8.94 
5 , 17 , 2010 , 9.21 , 8.78 , 8.94 , 9.17 
5 , 18 , 2010 , 9.42 , 8.95 , 9.32 , 9.08 
5 , 19 , 2010 , 9.24 , 8.70 , 9.00 , 8.96 
