Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 12.02 , 11.96 , 11.98 , 12.01 
3 , 18 , 2010 , 12.05 , 11.95 , 12.02 , 11.99 
3 , 19 , 2010 , 12.14 , 11.95 , 12.01 , 12.04 
3 , 22 , 2010 , 12.04 , 11.91 , 12.02 , 11.96 
3 , 23 , 2010 , 12.03 , 11.91 , 11.97 , 11.96 
3 , 24 , 2010 , 11.97 , 11.78 , 11.95 , 11.82 
3 , 25 , 2010 , 11.90 , 11.78 , 11.87 , 11.86 
3 , 26 , 2010 , 11.98 , 11.85 , 11.90 , 11.95 
3 , 29 , 2010 , 12.15 , 11.94 , 11.94 , 12.15 
3 , 30 , 2010 , 12.18 , 11.88 , 12.18 , 11.92 
3 , 31 , 2010 , 12.18 , 11.86 , 11.90 , 12.08 
4 , 1 , 2010 , 12.24 , 12.13 , 12.14 , 12.21 
4 , 5 , 2010 , 12.25 , 12.15 , 12.23 , 12.24 
4 , 6 , 2010 , 12.33 , 12.14 , 12.18 , 12.30 
4 , 7 , 2010 , 12.30 , 12.15 , 12.30 , 12.28 
4 , 8 , 2010 , 12.30 , 12.15 , 12.26 , 12.26 
4 , 9 , 2010 , 12.43 , 12.17 , 12.28 , 12.43 
4 , 12 , 2010 , 12.48 , 12.38 , 12.43 , 12.44 
4 , 13 , 2010 , 12.40 , 12.24 , 12.40 , 12.37 
4 , 14 , 2010 , 12.38 , 12.10 , 12.34 , 12.15 
4 , 15 , 2010 , 12.23 , 12.11 , 12.16 , 12.21 
4 , 16 , 2010 , 12.31 , 12.04 , 12.20 , 12.11 
4 , 19 , 2010 , 12.15 , 12.07 , 12.08 , 12.10 
4 , 20 , 2010 , 12.51 , 12.21 , 12.23 , 12.51 
4 , 21 , 2010 , 12.63 , 12.48 , 12.50 , 12.59 
4 , 22 , 2010 , 12.74 , 12.48 , 12.55 , 12.73 
4 , 23 , 2010 , 12.83 , 12.62 , 12.71 , 12.83 
4 , 26 , 2010 , 12.86 , 12.66 , 12.85 , 12.77 
4 , 27 , 2010 , 12.81 , 12.50 , 12.70 , 12.51 
4 , 28 , 2010 , 12.77 , 12.49 , 12.55 , 12.69 
4 , 29 , 2010 , 12.78 , 12.63 , 12.72 , 12.67 
4 , 30 , 2010 , 13.06 , 12.71 , 12.72 , 13.01 
5 , 3 , 2010 , 13.27 , 12.97 , 13.07 , 13.17 
5 , 4 , 2010 , 13.08 , 12.80 , 13.08 , 12.86 
5 , 5 , 2010 , 13.00 , 12.68 , 12.74 , 12.74 
5 , 6 , 2010 , 13.00 , 12.25 , 12.69 , 12.77 
5 , 7 , 2010 , 12.99 , 12.57 , 12.75 , 12.81 
5 , 10 , 2010 , 13.25 , 13.01 , 13.02 , 13.16 
5 , 11 , 2010 , 13.32 , 13.00 , 13.06 , 13.17 
5 , 12 , 2010 , 13.23 , 13.05 , 13.19 , 13.22 
5 , 13 , 2010 , 13.38 , 13.11 , 13.22 , 13.21 
5 , 14 , 2010 , 13.36 , 13.10 , 13.19 , 13.18 
5 , 17 , 2010 , 13.22 , 12.91 , 13.20 , 13.16 
5 , 18 , 2010 , 13.28 , 13.07 , 13.15 , 13.08 
5 , 19 , 2010 , 13.11 , 12.88 , 13.06 , 13.01 
5 , 20 , 2010 , 12.86 , 12.54 , 12.86 , 12.54 
5 , 21 , 2010 , 12.65 , 12.32 , 12.39 , 12.65 
5 , 24 , 2010 , 12.79 , 12.53 , 12.62 , 12.58 
5 , 25 , 2010 , 12.41 , 12.13 , 12.40 , 12.38 
5 , 26 , 2010 , 12.43 , 12.11 , 12.36 , 12.11 
5 , 27 , 2010 , 12.46 , 12.25 , 12.27 , 12.45 
5 , 28 , 2010 , 12.62 , 12.43 , 12.43 , 12.48 
6 , 1 , 2010 , 12.50 , 12.23 , 12.37 , 12.24 
6 , 2 , 2010 , 12.48 , 12.16 , 12.25 , 12.42 
6 , 3 , 2010 , 12.58 , 12.42 , 12.51 , 12.55 
6 , 4 , 2010 , 12.46 , 12.12 , 12.46 , 12.16 
6 , 7 , 2010 , 12.39 , 12.14 , 12.19 , 12.26 
6 , 8 , 2010 , 12.29 , 12.15 , 12.25 , 12.23 
6 , 9 , 2010 , 12.32 , 12.08 , 12.27 , 12.10 
6 , 10 , 2010 , 12.58 , 12.22 , 12.29 , 12.58 
6 , 11 , 2010 , 12.52 , 12.37 , 12.47 , 12.50 
6 , 14 , 2010 , 12.74 , 12.54 , 12.63 , 12.63 
6 , 15 , 2010 , 12.83 , 12.68 , 12.73 , 12.83 
6 , 16 , 2010 , 13.00 , 12.75 , 12.75 , 12.92 
6 , 17 , 2010 , 13.11 , 12.81 , 12.96 , 13.09 
6 , 18 , 2010 , 13.18 , 13.03 , 13.09 , 13.13 
6 , 21 , 2010 , 13.25 , 12.90 , 13.25 , 12.98 
6 , 22 , 2010 , 12.97 , 12.64 , 12.97 , 12.68 
6 , 23 , 2010 , 12.77 , 12.00 , 12.00 , 12.55 
6 , 24 , 2010 , 12.68 , 12.37 , 12.50 , 12.40 
6 , 25 , 2010 , 12.45 , 12.26 , 12.45 , 12.31 
6 , 28 , 2010 , 12.36 , 12.23 , 12.32 , 12.30 
6 , 29 , 2010 , 12.25 , 11.99 , 12.10 , 12.09 
6 , 30 , 2010 , 12.41 , 12.13 , 12.14 , 12.19 
7 , 1 , 2010 , 12.26 , 12.11 , 12.26 , 12.24 
7 , 2 , 2010 , 12.34 , 12.21 , 12.28 , 12.24 
7 , 6 , 2010 , 12.47 , 12.24 , 12.36 , 12.35 
7 , 7 , 2010 , 12.71 , 12.33 , 12.43 , 12.70 
7 , 8 , 2010 , 12.75 , 12.67 , 12.75 , 12.75 
7 , 9 , 2010 , 12.88 , 12.69 , 12.73 , 12.86 
7 , 12 , 2010 , 12.98 , 12.79 , 12.80 , 12.98 
7 , 13 , 2010 , 13.11 , 12.98 , 13.01 , 13.07 
7 , 14 , 2010 , 13.09 , 12.94 , 13.00 , 13.03 
7 , 15 , 2010 , 13.25 , 12.93 , 13.00 , 13.24 
7 , 16 , 2010 , 13.25 , 13.07 , 13.20 , 13.15 
7 , 19 , 2010 , 13.23 , 13.07 , 13.14 , 13.19 
7 , 20 , 2010 , 13.20 , 13.00 , 13.15 , 13.18 
7 , 21 , 2010 , 13.20 , 12.96 , 13.13 , 13.03 
7 , 22 , 2010 , 13.28 , 13.07 , 13.07 , 13.21 
7 , 23 , 2010 , 13.31 , 13.03 , 13.24 , 13.20 
7 , 26 , 2010 , 13.42 , 13.13 , 13.16 , 13.21 
7 , 27 , 2010 , 13.50 , 13.11 , 13.11 , 13.45 
7 , 28 , 2010 , 13.42 , 13.24 , 13.38 , 13.27 
7 , 29 , 2010 , 13.38 , 13.09 , 13.32 , 13.13 
7 , 30 , 2010 , 13.15 , 13.00 , 13.11 , 13.08 
8 , 2 , 2010 , 13.50 , 13.15 , 13.15 , 13.50 
8 , 3 , 2010 , 13.51 , 13.38 , 13.44 , 13.44 
8 , 4 , 2010 , 13.46 , 13.23 , 13.46 , 13.40 
8 , 5 , 2010 , 13.32 , 13.17 , 13.29 , 13.32 
8 , 6 , 2010 , 13.43 , 13.16 , 13.26 , 13.43 
8 , 9 , 2010 , 13.47 , 13.33 , 13.42 , 13.37 
8 , 10 , 2010 , 13.48 , 13.24 , 13.28 , 13.44 
8 , 11 , 2010 , 13.36 , 13.14 , 13.24 , 13.17 
8 , 12 , 2010 , 13.10 , 12.91 , 13.09 , 13.02 
8 , 13 , 2010 , 13.12 , 12.93 , 13.00 , 13.01 
8 , 16 , 2010 , 13.09 , 12.83 , 12.94 , 13.04 
8 , 17 , 2010 , 13.24 , 13.07 , 13.09 , 13.12 
8 , 18 , 2010 , 13.18 , 12.98 , 13.09 , 13.14 
8 , 19 , 2010 , 13.09 , 12.88 , 13.05 , 12.96 
8 , 20 , 2010 , 13.36 , 12.83 , 12.83 , 13.32 
8 , 23 , 2010 , 13.50 , 13.35 , 13.35 , 13.43 
8 , 24 , 2010 , 13.81 , 13.32 , 13.34 , 13.57 
8 , 25 , 2010 , 13.57 , 13.23 , 13.41 , 13.32 
8 , 26 , 2010 , 13.38 , 13.21 , 13.28 , 13.26 
8 , 27 , 2010 , 13.48 , 13.23 , 13.31 , 13.47 
8 , 30 , 2010 , 13.50 , 13.31 , 13.40 , 13.32 
8 , 31 , 2010 , 13.46 , 13.21 , 13.26 , 13.43 
9 , 1 , 2010 , 13.66 , 13.38 , 13.50 , 13.66 
9 , 2 , 2010 , 13.70 , 13.55 , 13.69 , 13.66 
9 , 3 , 2010 , 13.75 , 13.61 , 13.71 , 13.66 
9 , 7 , 2010 , 13.66 , 13.54 , 13.54 , 13.57 
9 , 8 , 2010 , 13.67 , 13.44 , 13.61 , 13.57 
9 , 9 , 2010 , 13.73 , 13.64 , 13.68 , 13.65 
9 , 10 , 2010 , 13.80 , 13.59 , 13.72 , 13.79 
9 , 13 , 2010 , 14.00 , 13.81 , 13.89 , 13.86 
9 , 14 , 2010 , 13.88 , 13.73 , 13.74 , 13.76 
9 , 15 , 2010 , 13.53 , 13.34 , 13.45 , 13.44 
9 , 16 , 2010 , 13.49 , 13.36 , 13.49 , 13.47 
9 , 17 , 2010 , 13.53 , 13.41 , 13.53 , 13.44 
9 , 20 , 2010 , 13.63 , 13.40 , 13.48 , 13.63 
9 , 21 , 2010 , 13.69 , 13.48 , 13.59 , 13.52 
9 , 22 , 2010 , 13.64 , 13.50 , 13.56 , 13.58 
9 , 23 , 2010 , 13.55 , 13.38 , 13.51 , 13.39 
9 , 24 , 2010 , 13.76 , 13.49 , 13.55 , 13.63 
9 , 27 , 2010 , 13.73 , 13.60 , 13.65 , 13.67 
9 , 28 , 2010 , 13.77 , 13.58 , 13.72 , 13.75 
9 , 29 , 2010 , 13.71 , 13.56 , 13.69 , 13.67 
9 , 30 , 2010 , 13.86 , 13.58 , 13.79 , 13.60 
10 , 1 , 2010 , 13.63 , 13.49 , 13.52 , 13.60 
10 , 4 , 2010 , 13.65 , 13.43 , 13.60 , 13.50 
10 , 5 , 2010 , 13.64 , 13.50 , 13.55 , 13.60 
10 , 6 , 2010 , 13.73 , 13.52 , 13.52 , 13.70 
10 , 7 , 2010 , 13.76 , 13.69 , 13.71 , 13.73 
10 , 8 , 2010 , 13.77 , 13.68 , 13.77 , 13.73 
10 , 11 , 2010 , 13.76 , 13.63 , 13.71 , 13.75 
