Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 50.95 , 50.15 , 50.30 , 50.35 
3 , 18 , 2010 , 51.31 , 50.06 , 50.54 , 50.39 
3 , 19 , 2010 , 50.90 , 49.56 , 50.76 , 49.88 
3 , 22 , 2010 , 50.56 , 48.99 , 49.19 , 50.52 
3 , 23 , 2010 , 51.18 , 49.72 , 50.30 , 50.57 
3 , 24 , 2010 , 49.84 , 48.75 , 49.63 , 48.84 
3 , 25 , 2010 , 49.40 , 47.40 , 49.16 , 47.47 
3 , 26 , 2010 , 48.71 , 47.32 , 47.79 , 48.50 
3 , 29 , 2010 , 49.59 , 48.57 , 48.81 , 49.49 
3 , 30 , 2010 , 50.07 , 49.41 , 49.61 , 49.86 
3 , 31 , 2010 , 50.96 , 49.94 , 50.76 , 50.05 
4 , 1 , 2010 , 52.28 , 50.31 , 50.62 , 52.03 
4 , 5 , 2010 , 53.10 , 51.98 , 52.49 , 52.93 
4 , 6 , 2010 , 53.19 , 52.22 , 52.74 , 52.39 
4 , 7 , 2010 , 53.94 , 52.59 , 52.89 , 53.21 
4 , 8 , 2010 , 53.42 , 52.37 , 52.87 , 53.02 
4 , 9 , 2010 , 53.60 , 52.67 , 53.36 , 53.33 
4 , 12 , 2010 , 53.47 , 52.46 , 53.30 , 52.67 
4 , 13 , 2010 , 52.98 , 51.48 , 52.53 , 52.90 
4 , 14 , 2010 , 53.24 , 52.35 , 53.01 , 52.67 
4 , 15 , 2010 , 52.73 , 51.94 , 52.28 , 52.15 
4 , 16 , 2010 , 51.81 , 50.31 , 51.53 , 51.27 
4 , 19 , 2010 , 51.40 , 50.52 , 50.87 , 51.34 
4 , 20 , 2010 , 51.87 , 50.47 , 51.59 , 50.65 
4 , 21 , 2010 , 51.49 , 50.34 , 50.88 , 51.03 
4 , 22 , 2010 , 51.74 , 50.13 , 50.40 , 51.56 
4 , 23 , 2010 , 52.32 , 50.74 , 51.26 , 52.22 
4 , 26 , 2010 , 52.69 , 51.98 , 52.08 , 52.31 
4 , 27 , 2010 , 53.01 , 51.25 , 52.34 , 52.38 
4 , 28 , 2010 , 54.66 , 52.42 , 52.60 , 53.89 
4 , 29 , 2010 , 55.64 , 53.95 , 54.22 , 54.92 
4 , 30 , 2010 , 56.17 , 55.01 , 55.68 , 55.20 
5 , 3 , 2010 , 55.38 , 53.04 , 55.25 , 54.05 
5 , 4 , 2010 , 54.47 , 52.40 , 53.94 , 53.40 
5 , 5 , 2010 , 53.52 , 51.76 , 52.40 , 52.64 
5 , 6 , 2010 , 54.81 , 51.40 , 52.89 , 53.76 
5 , 7 , 2010 , 54.31 , 52.12 , 53.41 , 52.51 
5 , 10 , 2010 , 54.82 , 52.41 , 52.56 , 54.61 
5 , 11 , 2010 , 58.18 , 55.49 , 55.78 , 57.32 
5 , 12 , 2010 , 58.69 , 57.38 , 57.97 , 57.83 
5 , 13 , 2010 , 57.93 , 56.06 , 57.80 , 56.25 
5 , 14 , 2010 , 57.65 , 55.62 , 57.51 , 56.80 
5 , 17 , 2010 , 57.21 , 55.24 , 56.80 , 56.16 
5 , 18 , 2010 , 56.26 , 54.65 , 55.76 , 55.18 
5 , 19 , 2010 , 55.08 , 52.71 , 54.47 , 53.63 
5 , 20 , 2010 , 53.62 , 51.19 , 52.60 , 51.19 
5 , 21 , 2010 , 51.77 , 49.98 , 49.99 , 51.46 
5 , 24 , 2010 , 52.92 , 51.46 , 52.25 , 51.46 
5 , 25 , 2010 , 52.77 , 50.52 , 50.64 , 52.66 
5 , 26 , 2010 , 53.91 , 52.27 , 53.22 , 52.28 
5 , 27 , 2010 , 54.30 , 52.46 , 52.71 , 54.05 
5 , 28 , 2010 , 53.90 , 52.76 , 53.10 , 52.94 
6 , 1 , 2010 , 55.00 , 53.58 , 53.61 , 53.76 
6 , 2 , 2010 , 54.86 , 53.42 , 53.95 , 54.83 
6 , 3 , 2010 , 54.90 , 52.96 , 54.80 , 53.44 
6 , 4 , 2010 , 54.16 , 52.55 , 52.90 , 52.84 
6 , 7 , 2010 , 55.18 , 52.42 , 52.82 , 54.28 
6 , 8 , 2010 , 56.73 , 54.69 , 54.81 , 55.57 
6 , 9 , 2010 , 55.60 , 54.30 , 54.90 , 54.82 
6 , 10 , 2010 , 55.69 , 54.54 , 55.31 , 55.23 
6 , 11 , 2010 , 55.78 , 54.86 , 55.49 , 55.37 
6 , 14 , 2010 , 55.13 , 53.89 , 54.55 , 54.06 
6 , 15 , 2010 , 55.66 , 54.25 , 54.47 , 55.45 
6 , 16 , 2010 , 57.67 , 55.08 , 55.11 , 57.45 
6 , 17 , 2010 , 59.10 , 58.21 , 58.50 , 58.80 
6 , 18 , 2010 , 60.90 , 59.15 , 59.86 , 60.37 
6 , 21 , 2010 , 60.62 , 57.97 , 60.32 , 58.60 
6 , 22 , 2010 , 59.51 , 58.53 , 58.72 , 58.64 
6 , 23 , 2010 , 58.55 , 57.55 , 58.13 , 58.20 
6 , 24 , 2010 , 59.32 , 57.95 , 57.96 , 58.07 
6 , 25 , 2010 , 61.23 , 58.41 , 58.67 , 60.79 
6 , 28 , 2010 , 61.74 , 59.73 , 60.82 , 60.58 
6 , 29 , 2010 , 61.13 , 59.40 , 59.96 , 60.27 
6 , 30 , 2010 , 61.49 , 59.89 , 60.31 , 60.86 
7 , 1 , 2010 , 60.77 , 57.15 , 60.17 , 58.11 
7 , 2 , 2010 , 58.88 , 57.76 , 58.44 , 57.88 
7 , 6 , 2010 , 58.77 , 57.02 , 58.17 , 57.74 
7 , 7 , 2010 , 59.11 , 57.01 , 57.74 , 59.11 
7 , 8 , 2010 , 59.60 , 57.59 , 59.32 , 59.46 
7 , 9 , 2010 , 62.50 , 60.51 , 60.65 , 61.05 
7 , 12 , 2010 , 61.62 , 60.08 , 61.30 , 60.70 
7 , 13 , 2010 , 62.11 , 60.72 , 61.85 , 60.80 
7 , 14 , 2010 , 61.78 , 60.32 , 60.73 , 60.84 
7 , 15 , 2010 , 61.32 , 59.23 , 60.93 , 59.82 
7 , 16 , 2010 , 59.07 , 57.88 , 58.85 , 58.02 
7 , 19 , 2010 , 57.72 , 55.39 , 57.70 , 57.14 
7 , 20 , 2010 , 58.38 , 56.25 , 56.27 , 58.11 
7 , 21 , 2010 , 58.74 , 56.94 , 58.41 , 57.29 
7 , 22 , 2010 , 58.64 , 57.31 , 57.32 , 58.13 
7 , 23 , 2010 , 58.71 , 57.87 , 58.12 , 58.17 
7 , 26 , 2010 , 58.62 , 56.74 , 58.53 , 57.22 
7 , 27 , 2010 , 56.48 , 53.89 , 56.39 , 54.90 
7 , 28 , 2010 , 54.92 , 53.42 , 53.74 , 54.52 
7 , 29 , 2010 , 55.19 , 54.33 , 54.80 , 54.84 
7 , 30 , 2010 , 55.37 , 54.35 , 54.91 , 55.02 
8 , 2 , 2010 , 56.00 , 54.10 , 55.98 , 54.72 
8 , 3 , 2010 , 55.29 , 54.48 , 54.85 , 54.59 
8 , 4 , 2010 , 55.60 , 55.04 , 55.33 , 55.37 
8 , 5 , 2010 , 55.86 , 54.92 , 55.42 , 55.83 
8 , 6 , 2010 , 57.12 , 56.06 , 56.43 , 56.16 
8 , 9 , 2010 , 56.51 , 55.34 , 56.10 , 56.36 
8 , 10 , 2010 , 56.95 , 55.27 , 55.74 , 56.52 
8 , 11 , 2010 , 56.84 , 55.07 , 56.48 , 55.16 
8 , 12 , 2010 , 57.28 , 55.88 , 55.95 , 56.87 
8 , 13 , 2010 , 57.02 , 55.68 , 56.78 , 55.84 
8 , 16 , 2010 , 56.95 , 56.14 , 56.48 , 56.83 
8 , 17 , 2010 , 57.72 , 56.42 , 57.22 , 57.50 
8 , 18 , 2010 , 58.98 , 56.80 , 56.96 , 58.61 
8 , 19 , 2010 , 59.35 , 57.27 , 58.91 , 57.56 
8 , 20 , 2010 , 57.36 , 56.34 , 57.07 , 57.14 
8 , 23 , 2010 , 57.17 , 56.18 , 57.02 , 56.70 
8 , 24 , 2010 , 57.50 , 54.93 , 55.66 , 56.24 
8 , 25 , 2010 , 58.10 , 56.18 , 56.72 , 57.86 
8 , 26 , 2010 , 58.77 , 57.86 , 58.04 , 58.56 
8 , 27 , 2010 , 59.12 , 57.48 , 58.95 , 59.07 
8 , 30 , 2010 , 59.66 , 58.52 , 58.72 , 59.04 
8 , 31 , 2010 , 61.04 , 59.49 , 59.52 , 60.44 
9 , 1 , 2010 , 61.04 , 59.25 , 60.94 , 59.44 
9 , 2 , 2010 , 60.67 , 59.30 , 60.21 , 60.65 
9 , 3 , 2010 , 60.12 , 59.11 , 59.28 , 59.99 
9 , 7 , 2010 , 61.67 , 60.49 , 60.57 , 61.19 
9 , 8 , 2010 , 61.82 , 60.61 , 61.13 , 60.69 
9 , 9 , 2010 , 60.98 , 58.98 , 60.84 , 59.34 
9 , 10 , 2010 , 60.25 , 59.10 , 59.10 , 59.80 
9 , 13 , 2010 , 60.22 , 59.22 , 59.81 , 59.54 
9 , 14 , 2010 , 63.15 , 60.51 , 60.51 , 61.97 
9 , 15 , 2010 , 62.42 , 61.30 , 62.02 , 62.02 
9 , 16 , 2010 , 62.97 , 61.67 , 62.92 , 62.30 
9 , 17 , 2010 , 62.75 , 61.83 , 62.67 , 62.13 
