Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 10.25 , 10.06 , 10.13 , 10.13 
3 , 18 , 2010 , 10.16 , 10.06 , 10.10 , 10.08 
3 , 19 , 2010 , 10.13 , 10.01 , 10.10 , 10.06 
3 , 22 , 2010 , 10.43 , 10.01 , 10.05 , 10.41 
3 , 23 , 2010 , 10.50 , 10.29 , 10.43 , 10.42 
3 , 24 , 2010 , 10.45 , 10.32 , 10.42 , 10.34 
3 , 25 , 2010 , 10.71 , 10.37 , 10.38 , 10.51 
3 , 26 , 2010 , 10.70 , 10.48 , 10.50 , 10.61 
3 , 29 , 2010 , 10.71 , 10.52 , 10.70 , 10.56 
3 , 30 , 2010 , 10.81 , 10.63 , 10.70 , 10.72 
3 , 31 , 2010 , 10.72 , 10.53 , 10.61 , 10.53 
4 , 1 , 2010 , 10.81 , 10.52 , 10.52 , 10.71 
4 , 5 , 2010 , 11.44 , 10.80 , 10.80 , 11.43 
4 , 6 , 2010 , 12.00 , 11.41 , 11.49 , 11.91 
4 , 7 , 2010 , 11.77 , 11.31 , 11.73 , 11.39 
4 , 8 , 2010 , 11.71 , 11.32 , 11.32 , 11.69 
4 , 9 , 2010 , 11.79 , 11.49 , 11.58 , 11.77 
4 , 12 , 2010 , 11.89 , 11.65 , 11.76 , 11.88 
4 , 13 , 2010 , 12.38 , 11.86 , 11.88 , 12.34 
4 , 14 , 2010 , 12.73 , 12.26 , 12.42 , 12.51 
4 , 15 , 2010 , 12.55 , 12.21 , 12.46 , 12.40 
4 , 16 , 2010 , 12.41 , 12.03 , 12.35 , 12.19 
4 , 19 , 2010 , 12.37 , 11.82 , 12.18 , 12.11 
4 , 20 , 2010 , 12.49 , 12.12 , 12.15 , 12.44 
4 , 21 , 2010 , 12.71 , 12.20 , 12.64 , 12.43 
4 , 22 , 2010 , 14.64 , 12.95 , 13.00 , 14.32 
4 , 23 , 2010 , 14.37 , 13.77 , 14.29 , 14.25 
4 , 26 , 2010 , 15.67 , 14.35 , 14.36 , 15.45 
4 , 27 , 2010 , 15.15 , 14.52 , 15.01 , 14.58 
4 , 28 , 2010 , 14.68 , 13.97 , 14.50 , 14.20 
4 , 29 , 2010 , 14.85 , 14.19 , 14.40 , 14.74 
4 , 30 , 2010 , 14.84 , 14.08 , 14.84 , 14.13 
5 , 3 , 2010 , 14.83 , 14.14 , 14.28 , 14.57 
5 , 4 , 2010 , 14.41 , 13.98 , 14.29 , 14.19 
5 , 5 , 2010 , 14.53 , 13.74 , 13.93 , 14.03 
5 , 6 , 2010 , 14.43 , 12.86 , 13.87 , 13.85 
5 , 7 , 2010 , 14.29 , 12.92 , 13.86 , 13.01 
5 , 10 , 2010 , 13.99 , 13.57 , 13.66 , 13.93 
5 , 11 , 2010 , 14.59 , 13.65 , 13.66 , 14.26 
5 , 12 , 2010 , 15.42 , 14.49 , 14.53 , 15.40 
5 , 13 , 2010 , 17.07 , 15.32 , 15.49 , 15.72 
5 , 14 , 2010 , 15.14 , 14.29 , 15.07 , 14.37 
5 , 17 , 2010 , 15.29 , 14.47 , 14.50 , 15.19 
5 , 18 , 2010 , 15.39 , 14.37 , 15.06 , 14.57 
5 , 19 , 2010 , 14.93 , 13.91 , 14.43 , 14.37 
5 , 20 , 2010 , 14.00 , 13.28 , 13.82 , 13.57 
5 , 21 , 2010 , 14.28 , 12.97 , 13.06 , 14.21 
5 , 24 , 2010 , 14.91 , 14.29 , 14.48 , 14.52 
5 , 25 , 2010 , 15.00 , 13.86 , 13.93 , 15.00 
5 , 26 , 2010 , 15.55 , 14.80 , 15.35 , 14.97 
5 , 27 , 2010 , 15.57 , 15.07 , 15.43 , 15.55 
5 , 28 , 2010 , 16.28 , 15.46 , 15.55 , 15.88 
6 , 1 , 2010 , 15.88 , 15.30 , 15.61 , 15.33 
6 , 2 , 2010 , 15.87 , 14.97 , 15.56 , 15.83 
6 , 3 , 2010 , 16.38 , 15.70 , 15.99 , 15.98 
6 , 4 , 2010 , 16.39 , 15.36 , 15.70 , 15.68 
