Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 17.83 , 17.57 , 17.60 , 17.72 
3 , 18 , 2010 , 18.84 , 18.33 , 18.34 , 18.67 
3 , 19 , 2010 , 18.58 , 18.28 , 18.57 , 18.38 
3 , 22 , 2010 , 18.54 , 18.21 , 18.38 , 18.47 
3 , 23 , 2010 , 18.65 , 18.49 , 18.60 , 18.62 
3 , 24 , 2010 , 18.60 , 18.25 , 18.59 , 18.35 
3 , 25 , 2010 , 18.70 , 18.38 , 18.54 , 18.39 
3 , 26 , 2010 , 18.69 , 18.34 , 18.45 , 18.47 
3 , 29 , 2010 , 18.58 , 18.40 , 18.54 , 18.49 
3 , 30 , 2010 , 18.60 , 18.39 , 18.50 , 18.45 
3 , 31 , 2010 , 18.53 , 18.32 , 18.37 , 18.38 
4 , 1 , 2010 , 18.60 , 18.44 , 18.49 , 18.50 
4 , 5 , 2010 , 18.71 , 18.41 , 18.55 , 18.53 
4 , 6 , 2010 , 18.54 , 18.38 , 18.39 , 18.48 
4 , 7 , 2010 , 18.55 , 18.33 , 18.49 , 18.40 
4 , 8 , 2010 , 18.57 , 18.27 , 18.37 , 18.50 
4 , 9 , 2010 , 18.82 , 18.41 , 18.55 , 18.80 
4 , 12 , 2010 , 18.99 , 18.80 , 18.82 , 18.88 
4 , 13 , 2010 , 18.98 , 18.69 , 18.86 , 18.88 
4 , 14 , 2010 , 18.97 , 18.75 , 18.90 , 18.95 
4 , 15 , 2010 , 18.96 , 18.74 , 18.89 , 18.91 
4 , 16 , 2010 , 19.00 , 18.75 , 18.90 , 18.79 
4 , 19 , 2010 , 18.95 , 18.56 , 18.74 , 18.90 
4 , 20 , 2010 , 19.15 , 18.98 , 19.01 , 19.09 
4 , 21 , 2010 , 19.28 , 19.04 , 19.10 , 19.18 
4 , 22 , 2010 , 19.63 , 19.05 , 19.07 , 19.56 
4 , 23 , 2010 , 19.61 , 19.33 , 19.46 , 19.48 
4 , 26 , 2010 , 19.62 , 19.45 , 19.48 , 19.51 
4 , 27 , 2010 , 19.62 , 19.15 , 19.42 , 19.19 
4 , 28 , 2010 , 19.51 , 19.04 , 19.24 , 19.11 
4 , 29 , 2010 , 19.42 , 19.18 , 19.28 , 19.39 
4 , 30 , 2010 , 19.47 , 18.97 , 19.36 , 18.98 
5 , 3 , 2010 , 19.60 , 18.98 , 19.00 , 19.44 
5 , 4 , 2010 , 19.64 , 19.28 , 19.51 , 19.34 
5 , 5 , 2010 , 19.32 , 18.68 , 19.22 , 18.80 
5 , 6 , 2010 , 19.00 , 16.75 , 18.64 , 18.08 
5 , 7 , 2010 , 18.11 , 17.44 , 17.84 , 17.65 
5 , 10 , 2010 , 19.19 , 18.44 , 18.47 , 19.16 
5 , 11 , 2010 , 19.27 , 18.94 , 18.95 , 19.11 
5 , 12 , 2010 , 19.50 , 19.00 , 19.18 , 19.46 
5 , 13 , 2010 , 19.50 , 18.84 , 19.41 , 18.89 
5 , 14 , 2010 , 18.75 , 18.30 , 18.66 , 18.44 
5 , 17 , 2010 , 18.46 , 18.01 , 18.43 , 18.41 
5 , 18 , 2010 , 18.75 , 18.18 , 18.54 , 18.23 
5 , 19 , 2010 , 18.18 , 17.75 , 18.14 , 18.06 
5 , 20 , 2010 , 17.90 , 17.39 , 17.63 , 17.58 
5 , 21 , 2010 , 17.95 , 17.04 , 17.29 , 17.85 
5 , 24 , 2010 , 17.98 , 17.68 , 17.79 , 17.84 
5 , 25 , 2010 , 18.25 , 17.32 , 17.52 , 18.23 
5 , 26 , 2010 , 18.41 , 17.98 , 18.38 , 18.13 
5 , 27 , 2010 , 18.49 , 18.19 , 18.32 , 18.48 
5 , 28 , 2010 , 18.47 , 17.99 , 18.41 , 18.10 
6 , 1 , 2010 , 18.16 , 17.68 , 17.86 , 17.80 
6 , 2 , 2010 , 18.27 , 17.83 , 17.83 , 18.25 
6 , 3 , 2010 , 18.47 , 18.24 , 18.30 , 18.41 
6 , 4 , 2010 , 18.12 , 17.54 , 18.09 , 17.69 
6 , 7 , 2010 , 17.76 , 17.37 , 17.64 , 17.40 
6 , 8 , 2010 , 17.61 , 17.16 , 17.40 , 17.57 
6 , 9 , 2010 , 17.83 , 17.42 , 17.59 , 17.50 
6 , 10 , 2010 , 18.14 , 17.79 , 17.80 , 17.94 
6 , 11 , 2010 , 18.16 , 17.76 , 17.82 , 18.08 
6 , 14 , 2010 , 18.24 , 17.98 , 18.12 , 18.06 
6 , 15 , 2010 , 18.50 , 18.07 , 18.07 , 18.50 
6 , 16 , 2010 , 18.63 , 18.27 , 18.34 , 18.46 
6 , 17 , 2010 , 18.68 , 18.41 , 18.61 , 18.64 
6 , 18 , 2010 , 18.81 , 18.62 , 18.70 , 18.74 
6 , 21 , 2010 , 18.98 , 18.46 , 18.87 , 18.59 
6 , 22 , 2010 , 18.75 , 18.04 , 18.61 , 18.12 
6 , 23 , 2010 , 18.29 , 17.88 , 18.17 , 18.13 
6 , 24 , 2010 , 17.67 , 17.30 , 17.50 , 17.41 
6 , 25 , 2010 , 17.62 , 17.23 , 17.47 , 17.53 
6 , 28 , 2010 , 17.72 , 17.41 , 17.63 , 17.63 
6 , 29 , 2010 , 17.42 , 16.86 , 17.38 , 17.04 
6 , 30 , 2010 , 17.29 , 16.83 , 16.99 , 16.89 
7 , 1 , 2010 , 17.13 , 16.69 , 16.97 , 17.02 
7 , 2 , 2010 , 17.24 , 16.86 , 17.05 , 16.97 
7 , 6 , 2010 , 17.29 , 16.59 , 17.05 , 16.80 
7 , 7 , 2010 , 17.15 , 16.75 , 16.87 , 17.14 
7 , 8 , 2010 , 17.62 , 17.26 , 17.31 , 17.57 
7 , 9 , 2010 , 17.55 , 17.38 , 17.54 , 17.54 
