Month , Day , Year , High , Low , Open , Close
3 , 17 , 2010 , 65.34 , 64.56 , 64.81 , 64.90 
3 , 18 , 2010 , 65.10 , 64.73 , 65.03 , 65.05 
3 , 19 , 2010 , 65.61 , 64.91 , 65.19 , 65.54 
3 , 22 , 2010 , 65.37 , 64.80 , 65.26 , 64.94 
3 , 23 , 2010 , 65.33 , 64.83 , 65.05 , 65.19 
3 , 24 , 2010 , 65.35 , 64.73 , 65.14 , 64.94 
3 , 25 , 2010 , 65.60 , 64.94 , 65.42 , 64.98 
3 , 26 , 2010 , 65.68 , 65.02 , 65.02 , 65.53 
3 , 29 , 2010 , 66.06 , 65.52 , 65.72 , 65.78 
3 , 30 , 2010 , 65.95 , 65.35 , 65.95 , 65.72 
3 , 31 , 2010 , 65.88 , 65.19 , 65.39 , 65.57 
4 , 1 , 2010 , 66.61 , 65.79 , 66.05 , 66.25 
4 , 5 , 2010 , 66.69 , 66.19 , 66.45 , 66.42 
4 , 6 , 2010 , 66.20 , 65.54 , 66.20 , 65.73 
4 , 7 , 2010 , 65.90 , 65.14 , 65.44 , 65.22 
4 , 8 , 2010 , 65.27 , 64.64 , 65.18 , 65.10 
4 , 9 , 2010 , 66.19 , 65.07 , 65.08 , 66.15 
4 , 12 , 2010 , 66.63 , 66.10 , 66.15 , 66.22 
4 , 13 , 2010 , 66.79 , 65.60 , 66.05 , 66.64 
4 , 14 , 2010 , 66.86 , 65.84 , 66.84 , 66.85 
4 , 15 , 2010 , 67.00 , 66.34 , 66.64 , 66.82 
4 , 16 , 2010 , 66.83 , 65.43 , 66.79 , 65.97 
4 , 19 , 2010 , 66.50 , 65.60 , 65.68 , 66.42 
4 , 20 , 2010 , 67.61 , 66.47 , 66.62 , 67.43 
4 , 21 , 2010 , 68.39 , 66.94 , 67.07 , 68.37 
4 , 22 , 2010 , 69.07 , 67.79 , 67.96 , 68.99 
4 , 23 , 2010 , 69.04 , 68.15 , 69.04 , 68.99 
4 , 26 , 2010 , 69.63 , 68.85 , 69.04 , 68.93 
4 , 27 , 2010 , 68.77 , 67.10 , 68.77 , 67.18 
4 , 28 , 2010 , 69.80 , 67.75 , 69.47 , 68.67 
4 , 29 , 2010 , 69.75 , 68.40 , 68.98 , 69.38 
4 , 30 , 2010 , 69.72 , 67.77 , 69.31 , 67.83 
5 , 3 , 2010 , 69.38 , 68.11 , 68.22 , 69.24 
5 , 4 , 2010 , 68.48 , 66.22 , 68.48 , 66.66 
5 , 5 , 2010 , 67.11 , 66.20 , 66.20 , 66.88 
5 , 6 , 2010 , 66.72 , 60.34 , 66.60 , 64.57 
5 , 7 , 2010 , 64.68 , 62.34 , 64.34 , 62.84 
5 , 10 , 2010 , 65.43 , 63.73 , 65.13 , 64.88 
5 , 11 , 2010 , 65.70 , 63.42 , 63.72 , 64.89 
5 , 12 , 2010 , 65.88 , 64.83 , 64.89 , 65.75 
5 , 13 , 2010 , 65.94 , 64.79 , 65.49 , 64.98 
5 , 14 , 2010 , 64.79 , 62.79 , 64.42 , 63.29 
5 , 17 , 2010 , 64.09 , 62.38 , 63.21 , 63.67 
5 , 18 , 2010 , 64.58 , 62.84 , 64.17 , 62.85 
5 , 19 , 2010 , 62.97 , 61.38 , 62.49 , 62.27 
5 , 20 , 2010 , 61.47 , 59.67 , 61.12 , 60.02 
5 , 21 , 2010 , 61.18 , 58.56 , 59.03 , 61.13 
5 , 24 , 2010 , 61.48 , 60.18 , 60.81 , 60.25 
5 , 25 , 2010 , 60.99 , 58.70 , 58.89 , 60.80 
5 , 26 , 2010 , 61.68 , 60.09 , 61.31 , 60.18 
5 , 27 , 2010 , 61.06 , 60.21 , 61.06 , 61.03 
5 , 28 , 2010 , 61.37 , 60.27 , 61.16 , 60.49 
6 , 1 , 2010 , 61.11 , 59.50 , 60.17 , 59.54 
6 , 2 , 2010 , 60.87 , 59.66 , 59.90 , 60.82 
6 , 3 , 2010 , 61.97 , 60.67 , 60.95 , 60.93 
6 , 4 , 2010 , 59.91 , 58.04 , 59.63 , 58.24 
6 , 7 , 2010 , 58.37 , 57.06 , 58.36 , 57.09 
6 , 8 , 2010 , 57.46 , 56.33 , 56.73 , 57.38 
6 , 9 , 2010 , 58.69 , 57.32 , 57.63 , 57.56 
6 , 10 , 2010 , 59.17 , 58.24 , 58.41 , 59.05 
6 , 11 , 2010 , 59.74 , 58.12 , 58.43 , 59.69 
6 , 14 , 2010 , 60.71 , 59.62 , 60.17 , 59.74 
6 , 15 , 2010 , 60.62 , 59.74 , 59.92 , 60.50 
6 , 16 , 2010 , 61.27 , 60.33 , 60.41 , 61.08 
6 , 17 , 2010 , 61.88 , 60.81 , 61.52 , 61.50 
6 , 18 , 2010 , 62.16 , 61.44 , 61.56 , 62.08 
6 , 21 , 2010 , 63.06 , 61.00 , 62.95 , 61.24 
6 , 22 , 2010 , 61.67 , 60.12 , 61.08 , 60.25 
6 , 23 , 2010 , 60.52 , 59.45 , 60.11 , 59.93 
6 , 24 , 2010 , 60.06 , 58.70 , 59.76 , 58.88 
6 , 25 , 2010 , 59.06 , 58.05 , 59.02 , 58.60 
6 , 28 , 2010 , 59.39 , 58.26 , 58.81 , 58.42 
6 , 29 , 2010 , 57.85 , 55.21 , 57.60 , 55.52 
6 , 30 , 2010 , 55.78 , 54.37 , 55.42 , 54.44 
7 , 1 , 2010 , 54.50 , 53.50 , 54.33 , 54.15 
7 , 2 , 2010 , 54.69 , 53.78 , 54.01 , 54.10 
7 , 6 , 2010 , 54.74 , 53.57 , 54.65 , 54.12 
7 , 7 , 2010 , 55.62 , 54.27 , 54.42 , 55.59 
7 , 8 , 2010 , 56.36 , 55.48 , 56.34 , 56.17 
7 , 9 , 2010 , 55.97 , 54.81 , 55.91 , 55.45 
7 , 12 , 2010 , 54.80 , 54.15 , 54.43 , 54.55 
7 , 13 , 2010 , 55.59 , 54.80 , 55.08 , 55.26 
7 , 14 , 2010 , 57.50 , 55.85 , 55.85 , 56.99 
7 , 15 , 2010 , 57.72 , 56.15 , 57.72 , 56.61 
7 , 16 , 2010 , 56.55 , 54.54 , 56.40 , 54.74 
7 , 19 , 2010 , 55.70 , 55.00 , 55.09 , 55.49 
7 , 20 , 2010 , 56.36 , 54.48 , 54.80 , 56.32 
7 , 21 , 2010 , 57.29 , 55.57 , 57.04 , 56.03 
7 , 22 , 2010 , 57.98 , 56.55 , 56.67 , 57.90 
7 , 23 , 2010 , 58.49 , 57.76 , 57.85 , 58.17 
7 , 26 , 2010 , 59.05 , 58.00 , 58.43 , 59.04 
7 , 27 , 2010 , 59.40 , 58.02 , 59.40 , 58.14 
7 , 28 , 2010 , 58.78 , 57.80 , 58.15 , 58.39 
7 , 29 , 2010 , 60.00 , 57.81 , 59.49 , 58.44 
